,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,728,-1_health_grant_may_good,"[('health', 0.012534552308867321), ('grant', 0.011658293622995987), ('may', 0.010664596178810489), ('good', 0.009901482693174321), ('us', 0.009690550990515145), ('good health', 0.008582801487127416), ('god', 0.008110443754842586), ('grant us', 0.00710947395825492), ('allah', 0.007053395616491285), ('life', 0.005636673055926023)]",positive
1,0,392,0_birthday_happy birthday_happy_good,"[('birthday', 0.03341266775937832), ('happy birthday', 0.028962577737549972), ('happy', 0.027676264737264297), ('good', 0.017568698350793523), ('good health', 0.017094621002628926), ('god', 0.016124428538975222), ('may', 0.01566455236928082), ('health', 0.015588580590552176), ('grant', 0.015519044557360914), ('life', 0.014296164964108894)]",positive
2,1,289,1_allah_grant_us_health,"[('allah', 0.02312546369407574), ('grant', 0.01940879902084793), ('us', 0.019013832326668294), ('health', 0.016570565597439992), ('allah grant', 0.016464289721150945), ('may', 0.015891984444058177), ('may allah', 0.01554550186599435), ('good health', 0.015522309895339252), ('good', 0.01548445513119764), ('ya', 0.012584397497027262)]",positive
3,2,107,2_donations_help_covid19_fundraising,"[('donations', 0.024426437107473373), ('help', 0.016795554026435736), ('covid19', 0.01609314184790206), ('fundraising', 0.014344927075934917), ('medical', 0.014166552014501827), ('donation', 0.01282027493352928), ('support', 0.010678799336198813), ('donate', 0.010136431190085823), ('child', 0.009661902439602224), ('covid', 0.009464701123996562)]",positive
4,3,58,3_us_sins_forgive_every,"[('us', 0.03967735975599635), ('sins', 0.03441980212182504), ('forgive', 0.02799678124409579), ('every', 0.025811847321066297), ('forgive sins', 0.02343296451065711), ('allah', 0.023089143145841675), ('grant us', 0.020217609057037803), ('may', 0.0188951496600118), ('forgive sins multiply', 0.018191960427273342), ('every step life', 0.018191960427273342)]",positive
5,4,55,4_god grant_god_grant_god grant good,"[('god grant', 0.07225914025783746), ('god', 0.06464300444944215), ('grant', 0.0404607409149315), ('god grant good', 0.03926464171152081), ('health', 0.0392023969211797), ('may god', 0.03610477101601889), ('health god grant', 0.035536120794254285), ('may god grant', 0.0348799314768238), ('health god', 0.034430198949153744), ('grant good health', 0.030516071462250747)]",positive
6,5,49,5_comfort_gladness_inner_inner peace grant,"[('comfort', 0.041593467921980674), ('gladness', 0.026568799426470897), ('inner', 0.026235287989565502), ('inner peace grant', 0.025518896328475964), ('peace grant', 0.025518896328475964), ('inner peace', 0.025384807798178977), ('lasting comfort', 0.024914952525157782), ('health lasting', 0.024914952525157782), ('health lasting comfort', 0.024914952525157782), ('good health lasting', 0.024914952525157782)]",positive
7,6,44,6_granted_take granted_take_taken,"[('granted', 0.06295756025028695), ('take granted', 0.044617518943808526), ('take', 0.043474099721865965), ('taken', 0.029575156608761716), ('dont take', 0.027297052816127917), ('dont take granted', 0.02587702157267776), ('health', 0.025788795362707746), ('never', 0.02575277319470343), ('dont', 0.025580268209062635), ('im', 0.024914380187443255)]",positive
8,7,37,7_nas_benefits_wishes_may,"[('nas', 0.023036564827833485), ('benefits', 0.021615960264834613), ('wishes', 0.019710776406715317), ('may', 0.01916019474574047), ('make', 0.017896204448594008), ('grant wishes', 0.01737107716349419), ('grant', 0.016738863164526906), ('continue benefits', 0.015028237453797957), ('continue benefits others', 0.015028237453797957), ('benefits others', 0.015028237453797957)]",positive
9,8,32,8_friday_beautiful friday_beautiful_almightyallah,"[('friday', 0.034861034040725374), ('beautiful friday', 0.03372058173492106), ('beautiful', 0.03223545722528728), ('almightyallah', 0.030751223035930385), ('almightyallah grant', 0.030751223035930385), ('joy charity', 0.03011059806902402), ('contentment happy', 0.02926681564685664), ('may almightyallah', 0.028879084629563137), ('may almightyallah grant', 0.028879084629563137), ('almightyallah grant good', 0.028879084629563137)]",positive
10,9,31,9_recovery_sick_speedy_speedy recovery,"[('recovery', 0.06948720076415418), ('sick', 0.03356436732310602), ('speedy', 0.03268667185252785), ('speedy recovery', 0.03158766292822603), ('allah', 0.028366191431298284), ('may allah', 0.027363760289438953), ('allah grant', 0.02484443364936423), ('grant sick', 0.02330527348131612), ('recovery may', 0.0226299285716264), ('quick recovery', 0.021791114568351897)]",positive
11,10,29,10_cancer_mental health_mental_cell,"[('cancer', 0.047078993152937246), ('mental health', 0.04686672494716581), ('mental', 0.046180035507844136), ('cell', 0.03423020913445277), ('sickle cell', 0.02968091217549237), ('sickle', 0.02968091217549237), ('cancer mental', 0.026227229584270265), ('cancer mental health', 0.026227229584270265), ('cell cancer', 0.02377384573716319), ('cell cancer mental', 0.02377384573716319)]",positive
12,11,26,11_shortcomings admit_lives forgive shortcomings_lives forgive_forgive shortcomings admit,"[('shortcomings admit', 0.1047583594246411), ('lives forgive shortcomings', 0.1047583594246411), ('lives forgive', 0.1047583594246411), ('forgive shortcomings admit', 0.1047583594246411), ('admit', 0.10393074318385438), ('health long righteous', 0.10393074318385438), ('bless parents grant', 0.10393074318385438), ('long righteous', 0.10393074318385438), ('parents grant', 0.10313459593329707), ('parents grant good', 0.10313459593329707)]",positive
13,12,26,12_governor_people_kwara_good people,"[('governor', 0.03898808351955251), ('people', 0.02631358134513662), ('kwara', 0.02567630745607265), ('good people', 0.025602139889219635), ('state', 0.02275077739322506), ('good', 0.022111758740321442), ('years', 0.0200372130438557), ('state wish', 0.018433608389978068), ('prayer almighty', 0.017813178025254027), ('god', 0.017438577944500676)]",positive
14,13,25,13_sound health_sound_grant sound health_grant sound,"[('sound health', 0.12307277995609633), ('sound', 0.11217702672812768), ('grant sound health', 0.10661719876054061), ('grant sound', 0.10444764870181109), ('sound health may', 0.09628556446435108), ('health may', 0.06328630376981559), ('allah grant sound', 0.05466695034438904), ('may allah', 0.048878021096715234), ('may', 0.04412089933399174), ('health may allah', 0.04079601026270437)]",positive
15,14,25,14_long_long life_life_may,"[('long', 0.04234768897702646), ('long life', 0.04069820998714211), ('life', 0.0323994311332122), ('may', 0.025033420270816696), ('allah', 0.024595911213419693), ('may allah', 0.02372671777860649), ('grant', 0.02369236076051128), ('health long life', 0.023627849575369998), ('long life sound', 0.02177776565293733), ('health long', 0.021426732773420915)]",positive
16,15,24,15_accept_allah accept_us_may,"[('accept', 0.03510939787899582), ('allah accept', 0.0260472774574296), ('us', 0.025723362384214504), ('may', 0.02411317025824481), ('act', 0.02402367595318757), ('wa', 0.023097603499143804), ('wa minkum', 0.022678366841569386), ('minkum', 0.022678366841569386), ('witness', 0.022411108591318514), ('ameen', 0.022197154318200338)]",positive
17,16,24,16_blood_donation_blood donation_save lives,"[('blood', 0.08668907954928308), ('donation', 0.047893959742390704), ('blood donation', 0.041680918563339414), ('save lives', 0.03952172879401598), ('save', 0.03451368442806101), ('lives', 0.028341852330811487), ('donate', 0.023100098320083067), ('nearest', 0.021306813168555826), ('help save lives', 0.021306813168555826), ('help save', 0.020790506350342644)]",positive
18,17,24,17_frontline_workers_covid19_health workers,"[('frontline', 0.03396376284504154), ('workers', 0.03282773729939967), ('covid19', 0.03143153954335082), ('health workers', 0.029342098409382466), ('strength', 0.027479612171283106), ('grant strength', 0.027246906143705635), ('pandemic', 0.025352192486563653), ('home', 0.025153648426096117), ('frontline health', 0.02387003881289337), ('frontline health workers', 0.02387003881289337)]",positive
19,18,23,18_maternal_child_state_improve,"[('maternal', 0.04110940715041419), ('child', 0.028253967493720285), ('state', 0.028019574449102875), ('improve', 0.026374834009011385), ('provide health', 0.025631794472112737), ('amp', 0.02379645221209911), ('one', 0.022952519937066387), ('lives prog', 0.02251571036960864), ('sponsored', 0.02251571036960864), ('sponsored saving', 0.02251571036960864)]",positive
