Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,6440,-1_health_amp_thank_help,"[('health', 0.009924502341123114), ('amp', 0.006993961416308369), ('thank', 0.006526443136783005), ('help', 0.0056809893805163745), ('mental', 0.005287307595722069), ('mental health', 0.004958031046503243), ('people', 0.004473375330469537), ('care', 0.004371852092934606), ('appreciate', 0.004361694358810538), ('safe', 0.003907068459520186)]",positive,"['health', 'amp', 'thank', 'help', 'mental', 'mental health', 'people', 'care', 'appreciate', 'safe ']"
1,0,11268,0_health_covid19_thank_nurses,"[('health', 0.008553551877161548), ('covid19', 0.007226591971940842), ('thank', 0.007067942627376119), ('nurses', 0.006802095557860004), ('amp', 0.006792939418151658), ('help', 0.005632688131434881), ('care', 0.004933490287393201), ('covid', 0.004492295972258334), ('nursing', 0.00448990656937902), ('safe', 0.004206304599975814)]",positive,"['health', 'covid', 'thank', 'nurses', 'amp', 'help', 'care', 'covid', 'nursing', 'safe ']"
2,1,198,1_aboriginal_indigenous_torres_torres strait,"[('aboriginal', 0.04127970277548272), ('indigenous', 0.029513483353902643), ('torres', 0.022520805309806668), ('torres strait', 0.022520805309806668), ('strait', 0.022520805309806668), ('torres strait islander', 0.020827600904474337), ('islander', 0.020827600904474337), ('strait islander', 0.020827600904474337), ('aboriginal torres', 0.020406575390554293), ('aboriginal torres strait', 0.020406575390554293)]",positive,"['aboriginal', 'indigenous', 'torres', 'torres strait', 'strait', 'torres strait islander', 'islander', 'strait islander', 'aboriginal torres', 'aboriginal torres strait ']"
3,2,121,2_climate_climate change_change_health,"[('climate', 0.05467158845566802), ('climate change', 0.03193920589953887), ('change', 0.027168398972092004), ('health', 0.018053774969408756), ('climatechange', 0.016649778350175726), ('climateemergency', 0.01207009592209141), ('environmental', 0.012024839919571357), ('climateaction', 0.011300783217531257), ('fossil', 0.01039482169139307), ('impacts', 0.010267174488014714)]",positive,"['climate', 'climate change', 'change', 'health', 'climatechange', 'climateemergency', 'environmental', 'climateaction', 'fossil', 'impacts ']"
4,3,72,3_soil_farmers_food_foraging,"[('soil', 0.03393722356212616), ('farmers', 0.019700390510680964), ('food', 0.01767398225785959), ('foraging', 0.01679382634832237), ('soil health', 0.014923547614657303), ('health', 0.014023962238152212), ('carbon', 0.013435061078657898), ('amp', 0.012274795428181506), ('animal', 0.011602657835976084), ('agroecology', 0.010758478159957303)]",positive,"['soil', 'farmers', 'food', 'foraging', 'soil health', 'health', 'carbon', 'amp', 'animal', 'agroecology ']"
5,4,62,4_laybuy_paypal_laybuy amp paypal_1st payment,"[('laybuy', 0.10250071846538697), ('paypal', 0.10231895510503977), ('laybuy amp paypal', 0.05809625423792457), ('1st payment', 0.05809625423792457), ('fortnightly paypal', 0.05809625423792457), ('paypal payments', 0.05809625423792457), ('purchase easy', 0.05809625423792457), ('purchase easy weekly', 0.05809625423792457), ('paypal pay options', 0.05809625423792457), ('paypal pay', 0.05809625423792457)]",positive,"['laybuy', 'paypal', 'laybuy amp paypal', 'st payment', 'fortnightly paypal', 'paypal payments', 'purchase easy', 'purchase easy weekly', 'paypal pay options', 'paypal pay ']"
6,5,59,5_guys_lego_legopakenham_imrickjamesbricks,"[('guys', 0.11334573797968343), ('lego', 0.11038964299623828), ('legopakenham', 0.10633382882432135), ('imrickjamesbricks', 0.10633382882432135), ('lego imrickjamesbricks', 0.10633382882432135), ('imrickjamesbricks legopakenham', 0.10475728973769509), ('lego imrickjamesbricks legopakenham', 0.10475728973769509), ('legomelbourne', 0.09517024456907736), ('legopakenham legomelbourne', 0.09517024456907736), ('imrickjamesbricks legopakenham legomelbourne', 0.09354997303372607)]",positive,"['guys', 'lego', 'legopakenham', 'imrickjamesbricks', 'lego imrickjamesbricks', 'imrickjamesbricks legopakenham', 'lego imrickjamesbricks legopakenham', 'legomelbourne', 'legopakenham legomelbourne', 'imrickjamesbricks legopakenham legomelbourne ']"
7,6,55,6_covidsafe_app_covidsafe app_covid19,"[('covidsafe', 0.0464633000960534), ('app', 0.04530605273211042), ('covidsafe app', 0.029625558017505195), ('covid19', 0.0242575912213014), ('australian', 0.016653265695460325), ('download', 0.016571174467078804), ('australia', 0.014917981996732641), ('ct', 0.014734620309176721), ('app help', 0.014734620309176721), ('assist', 0.014513648106281868)]",positive,"['covidsafe', 'app', 'covidsafe app', 'covid', 'australian', 'download', 'australia', 'ct', 'app help', 'assist ']"
8,7,54,7_drivethru_drivethru covid19_gettested_covid19 testingclinic,"[('drivethru', 0.06956742521259708), ('drivethru covid19', 0.06419162965232666), ('gettested', 0.05955949118368867), ('covid19 testingclinic', 0.05106341488701074), ('greensborough', 0.05106341488701074), ('testingclinic', 0.05106341488701074), ('drivethru covid19 testingclinic', 0.05106341488701074), ('keep friends', 0.04982961125540712), ('keep friends family', 0.04982961125540712), ('civic', 0.047497410035711916)]",positive,"['drivethru', 'drivethru covid', 'gettested', 'covid testingclinic', 'greensborough', 'testingclinic', 'drivethru covid testingclinic', 'keep friends', 'keep friends family', 'civic ']"
9,8,48,8_cycling_bike_bikes_cyclists,"[('cycling', 0.03323207768626524), ('bike', 0.02529756671333752), ('bikes', 0.0219239948764887), ('cyclists', 0.0219239948764887), ('ride', 0.021810208671048624), ('rosa', 0.015805144068161022), ('maglia', 0.015805144068161022), ('rosa ride', 0.015805144068161022), ('maglia rosa ride', 0.015805144068161022), ('maglia rosa', 0.015805144068161022)]",positive,"['cycling', 'bike', 'bikes', 'cyclists', 'ride', 'rosa', 'maglia', 'rosa ride', 'maglia rosa ride', 'maglia rosa ']"
10,9,45,9_socks_crazy_crazy socks_crazysocks4docs,"[('socks', 0.101926067124858), ('crazy', 0.06486691405500672), ('crazy socks', 0.06260775049598012), ('crazysocks4docs', 0.0420990722282635), ('doctors', 0.03721584752480522), ('doctors health', 0.036547673475650924), ('socks docs', 0.03463160374762787), ('crazy socks docs', 0.03248840674722459), ('socks docs day', 0.03248840674722459), ('docs day', 0.03215791776565445)]",positive,"['socks', 'crazy', 'crazy socks', 'crazysocksdocs', 'doctors', 'doctors health', 'socks docs', 'crazy socks docs', 'socks docs day', 'docs day ']"
11,10,44,10_coronavirus_tackle next public_australia tackle next_mrna technology,"[('coronavirus', 0.04178482040250763), ('tackle next public', 0.020943357354299197), ('australia tackle next', 0.020943357354299197), ('mrna technology', 0.020943357354299197), ('help australia tackle', 0.020943357354299197), ('tackle next', 0.020943357354299197), ('australia tackle', 0.020943357354299197), ('pandemic help australia', 0.020943357354299197), ('research development', 0.020943357354299197), ('help australia', 0.020542583252632366)]",positive,"['coronavirus', 'tackle next public', 'australia tackle next', 'mrna technology', 'help australia tackle', 'tackle next', 'australia tackle', 'pandemic help australia', 'research development', 'help australia ']"
12,11,41,11_airborne_ventilation_air_aerosols,"[('airborne', 0.030567584902523894), ('ventilation', 0.02842731478494407), ('air', 0.025600670230725302), ('aerosols', 0.024736859819734194), ('spread', 0.01771774244012333), ('workplace', 0.01445761930041856), ('says', 0.014295293777404048), ('covid aerosol', 0.014134894299643808), ('indoor', 0.013820571401029753), ('aerosol', 0.013557540783791872)]",positive,"['airborne', 'ventilation', 'air', 'aerosols', 'spread', 'workplace', 'says', 'covid aerosol', 'indoor', 'aerosol ']"
13,12,41,12_oral health_oral_dental_dentist,"[('oral health', 0.04775243831529524), ('oral', 0.04681188030871333), ('dental', 0.045522591752866534), ('dentist', 0.04277381439511578), ('teeth', 0.0313980273006038), ('dental health', 0.023325448494873606), ('dentists', 0.01754405425430946), ('health', 0.015191643687813484), ('dentalcare', 0.01474175150662088), ('oralhealth', 0.014035243403447565)]",positive,"['oral health', 'oral', 'dental', 'dentist', 'teeth', 'dental health', 'dentists', 'health', 'dentalcare', 'oralhealth ']"
14,13,36,13_test_tested_testing_symptoms,"[('test', 0.051389143826947814), ('tested', 0.03239860198459657), ('testing', 0.029548163815758637), ('symptoms', 0.025975448400245228), ('symptoms thank', 0.023719589371282716), ('tests', 0.02361404400022293), ('results', 0.022995437964524947), ('south', 0.01985514997391286), ('tests thank', 0.01766406996776594), ('highest testing', 0.01766406996776594)]",positive,"['test', 'tested', 'testing', 'symptoms', 'symptoms thank', 'tests', 'results', 'south', 'tests thank', 'highest testing ']"
15,14,32,14_everything_care_medicare_team gladstone,"[('everything', 0.017825699465225085), ('care', 0.017557540996991625), ('medicare', 0.017248530307549723), ('team gladstone', 0.016756968651656722), ('thank', 0.01646035455548603), ('gladstone', 0.015953879945969373), ('excellency', 0.015648584964115194), ('team', 0.014878971682009585), ('health', 0.013926098141659056), ('health care', 0.013192906016982179)]",positive,"['everything', 'care', 'medicare', 'team gladstone', 'thank', 'gladstone', 'excellency', 'team', 'health', 'health care ']"
16,15,32,15_dogs_dog_dogsofinstagram_vet,"[('dogs', 0.04478804452821344), ('dog', 0.032916908478918615), ('dogsofinstagram', 0.024721825541900295), ('vet', 0.022768094552695007), ('vets', 0.021946323281196226), ('mydogposts dogsofinstagram dogsoftwitter', 0.02147884564155577), ('dogs rescuedogs', 0.02147884564155577), ('mydogposts dogsofinstagram', 0.02147884564155577), ('mydogposts', 0.02147884564155577), ('rescuedogs', 0.02147884564155577)]",positive,"['dogs', 'dog', 'dogsofinstagram', 'vet', 'vets', 'mydogposts dogsofinstagram dogsoftwitter', 'dogs rescuedogs', 'mydogposts dogsofinstagram', 'mydogposts', 'rescuedogs ']"
17,16,30,16_actorslife singerslife writerdaze_aussielad melbourneboy_singerslife_singerslife writerdaze aussielad,"[('actorslife singerslife writerdaze', 0.043293481802349695), ('aussielad melbourneboy', 0.043293481802349695), ('singerslife', 0.043293481802349695), ('singerslife writerdaze aussielad', 0.043293481802349695), ('love actorslife', 0.043293481802349695), ('actorslife singerslife', 0.043293481802349695), ('actorslife', 0.043293481802349695), ('foodie yummers', 0.043293481802349695), ('love actorslife singerslife', 0.043293481802349695), ('melbourneboy', 0.043293481802349695)]",positive,"['actorslife singerslife writerdaze', 'aussielad melbourneboy', 'singerslife', 'singerslife writerdaze aussielad', 'love actorslife', 'actorslife singerslife', 'actorslife', 'foodie yummers', 'love actorslife singerslife', 'melbourneboy ']"
18,17,30,17_borders_problem_must take action_shot achieving health,"[('borders', 0.038313653482470976), ('problem', 0.026332308650801675), ('must take action', 0.02407390404403002), ('shot achieving health', 0.02407390404403002), ('end 2022', 0.02407390404403002), ('covid end', 0.02407390404403002), ('best shot', 0.02407390404403002), ('ending covid end', 0.02407390404403002), ('end 2022 possible', 0.02407390404403002), ('endcovidforall', 0.02407390404403002)]",positive,"['borders', 'problem', 'must take action', 'shot achieving health', 'end', ' covid end', 'best shot', 'ending covid end', 'end', 'possible', 'endcovidforall ']"
19,18,29,18_innovation_celebrate every win_remodelling amp service_amp service augmentation,"[('innovation', 0.11614018025331056), ('celebrate every win', 0.07518643114933658), ('remodelling amp service', 0.07518643114933658), ('amp service augmentation', 0.07518643114933658), ('win innovation healthcare', 0.07518643114933658), ('service augmentation', 0.07518643114933658), ('augmentation', 0.07518643114933658), ('innovation healthcare', 0.07518643114933658), ('win innovation', 0.07518643114933658), ('innovation systems', 0.07518643114933658)]",positive,"['innovation', 'celebrate every win', 'remodelling amp service', 'amp service augmentation', 'win innovation healthcare', 'service augmentation', 'augmentation', 'innovation healthcare', 'win innovation', 'innovation systems ']"
20,19,28,19_causing listen qld_listen qld nurse_listen qld_qld nurse queensland,"[('causing listen qld', 0.21962352256779896), ('listen qld nurse', 0.21962352256779896), ('listen qld', 0.21629969592158405), ('qld nurse queensland', 0.1977647792592653), ('nurse queensland vaccine', 0.1977647792592653), ('nurse queensland', 0.1977647792592653), ('vaccine carnage', 0.19444429341004463), ('causing listen', 0.19444429341004463), ('qld nurse', 0.19444429341004463), ('carnage', 0.19444429341004463)]",positive,"['causing listen qld', 'listen qld nurse', 'listen qld', 'qld nurse queensland', 'nurse queensland vaccine', 'nurse queensland', 'vaccine carnage', 'causing listen', 'qld nurse', 'carnage ']"
