Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,10397,-1_birthday_amp_covid19_care,"[('birthday', 0.002303821767693325), ('amp', 0.0022910661679074237), ('covid19', 0.0022240034214936247), ('care', 0.0019227405486968), ('covid', 0.001904884392919459), ('people', 0.001881666922652522), ('safe', 0.0017917505662715329), ('india', 0.001751404356922926), ('stay', 0.0017462829357127382), ('happy birthday', 0.0017023421886867211)]",positive,"['birthday', 'amp', 'covid', 'care', 'covid', 'people', 'safe', 'india', 'stay', 'happy birthday ']"
1,0,956,0_morning sister wonderful_sister wonderful day_sister wonderful_wonderful day happiness,"[('morning sister wonderful', 0.04014929021137683), ('sister wonderful day', 0.03796825103198115), ('sister wonderful', 0.03788691471022606), ('wonderful day happiness', 0.02469665605618954), ('wonderful day', 0.024643045060928997), ('wonderful', 0.02203026089290547), ('good morning sister', 0.017665560404676206), ('morning sister', 0.01765729459056261), ('day happiness life', 0.016747190892081196), ('day happiness', 0.01674469142850351)]",positive,"['morning sister wonderful', 'sister wonderful day', 'sister wonderful', 'wonderful day happiness', 'wonderful day', 'wonderful', 'good morning sister', 'morning sister', 'day happiness life', 'day happiness ']"
2,1,721,1_morning wonderful day_good morning wonderful_morning wonderful_morning nice day,"[('morning wonderful day', 0.031922142745301925), ('good morning wonderful', 0.031689791081507046), ('morning wonderful', 0.026534834643205843), ('morning nice day', 0.02049009501829014), ('good morning nice', 0.020134328744426017), ('morning nice', 0.020134328744426017), ('day happiness', 0.019316864060039633), ('day happiness life', 0.019292877166828856), ('health good morning', 0.01779514968020502), ('good health good', 0.017700831418671844)]",positive,"['morning wonderful day', 'good morning wonderful', 'morning wonderful', 'morning nice day', 'good morning nice', 'morning nice', 'day happiness', 'day happiness life', 'health good morning', 'good health good ']"
3,2,570,2_morning sister wish_sister wish happy_sister wish_weekend happiness life,"[('morning sister wish', 0.032008573194180545), ('sister wish happy', 0.030191247672445073), ('sister wish', 0.03015752538338285), ('weekend happiness life', 0.02746842306460864), ('weekend happiness', 0.02745937596422989), ('joyful weekend', 0.027447366497128905), ('healthy joyful weekend', 0.027447366497128905), ('joyful weekend happiness', 0.027447366497128905), ('weekend', 0.02714686580302733), ('healthy joyful', 0.02696795124433328)]",positive,"['morning sister wish', 'sister wish happy', 'sister wish', 'weekend happiness life', 'weekend happiness', 'joyful weekend', 'healthy joyful weekend', 'joyful weekend happiness', 'weekend', 'healthy joyful ']"
4,3,546,3_morning sister productive_sister productive_sister productive new_week happiness life,"[('morning sister productive', 0.05484667693117789), ('sister productive', 0.052198260801820516), ('sister productive new', 0.0395679294787389), ('week happiness life', 0.03258151306843471), ('week happiness', 0.0325707862673441), ('productive', 0.032517270442129285), ('week', 0.03158641392257113), ('sister productive week', 0.028448055329263623), ('new week happiness', 0.02589689306416683), ('productive new', 0.02589689306416683)]",positive,"['morning sister productive', 'sister productive', 'sister productive new', 'week happiness life', 'week happiness', 'productive', 'week', 'sister productive week', 'new week happiness', 'productive new ']"
5,4,497,4_good health assalamu_health assalamu_bhai_health assalamu alaikum,"[('good health assalamu', 0.05567351004134612), ('health assalamu', 0.055552286863523016), ('bhai', 0.0449299836571772), ('health assalamu alaikum', 0.04334981964473681), ('assalamu alaikum bhai', 0.04313336958032548), ('alaikum bhai', 0.04313336958032548), ('assalamu', 0.03820852181791308), ('assalamu alaikum', 0.029481366721665056), ('alaikum', 0.02946716182499969), ('assalamu alaykum bhai', 0.027960161767249643)]",positive,"['good health assalamu', 'health assalamu', 'bhai', 'health assalamu alaikum', 'assalamu alaikum bhai', 'alaikum bhai', 'assalamu', 'assalamu alaikum', 'alaikum', 'assalamu alaykum bhai ']"
6,5,487,5_good morning blessed_morning blessed_morning blessed friday_friday happiness life,"[('good morning blessed', 0.050272840462049904), ('morning blessed', 0.050272840462049904), ('morning blessed friday', 0.050167338617815055), ('friday happiness life', 0.03507261130732736), ('friday happiness', 0.03507261130732736), ('blessed friday happiness', 0.03491218391962435), ('blessed friday', 0.03490095381351137), ('friday', 0.03479872067811843), ('blessed', 0.030065979652148748), ('morning sir blessed', 0.02783465022371083)]",positive,"['good morning blessed', 'morning blessed', 'morning blessed friday', 'friday happiness life', 'friday happiness', 'blessed friday happiness', 'blessed friday', 'friday', 'blessed', 'morning sir blessed ']"
7,6,470,6_sant shri_sant_shri asharamji_asharamji,"[('sant shri', 0.027846275020272718), ('sant', 0.02776360932158374), ('shri asharamji', 0.027478509110675065), ('asharamji', 0.027478509110675065), ('bapu', 0.027389293172004045), ('sant shri asharamji', 0.027320966367169047), ('shri asharamji bapu', 0.026822699235407137), ('asharamji bapu', 0.026822699235407137), ('shri', 0.016251896852252062), ('tulsi', 0.013486168012127294)]",positive,"['sant shri', 'sant', 'shri asharamji', 'asharamji', 'bapu', 'sant shri asharamji', 'shri asharamji bapu', 'asharamji bapu', 'shri', 'tulsi ']"
8,7,452,7_good morning wish_morning wish happy_morning wish_healthy sunday happiness,"[('good morning wish', 0.03431152800203282), ('morning wish happy', 0.03428736995934114), ('morning wish', 0.03423918934836762), ('healthy sunday happiness', 0.03123950053086172), ('healthy sunday', 0.03123950053086172), ('happy healthy sunday', 0.03123950053086172), ('sunday happiness', 0.030563342910680566), ('sunday happiness life', 0.030563342910680566), ('sunday', 0.03017008277386956), ('wish happy healthy', 0.020181529512731555)]",positive,"['good morning wish', 'morning wish happy', 'morning wish', 'healthy sunday happiness', 'healthy sunday', 'happy healthy sunday', 'sunday happiness', 'sunday happiness life', 'sunday', 'wish happy healthy ']"
9,8,449,8_morning mangalmay tuesday_good morning mangalmay_morning mangalmay_mangalmay,"[('morning mangalmay tuesday', 0.04855700293169029), ('good morning mangalmay', 0.04855700293169029), ('morning mangalmay', 0.04855700293169029), ('mangalmay', 0.04683876390642843), ('tuesday happiness', 0.046755692582713566), ('mangalmay tuesday happiness', 0.046755692582713566), ('tuesday happiness life', 0.046755692582713566), ('mangalmay tuesday', 0.046755692582713566), ('tuesday', 0.04631212670324526), ('sir mangalmay', 0.032299401004158755)]",positive,"['morning mangalmay tuesday', 'good morning mangalmay', 'morning mangalmay', 'mangalmay', 'tuesday happiness', 'mangalmay tuesday happiness', 'tuesday happiness life', 'mangalmay tuesday', 'tuesday', 'sir mangalmay ']"
