Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,201,-1_health_amp_care_hospital,"[('health', 0.015475346489644104), ('amp', 0.00839088095761024), ('care', 0.007864693079679068), ('hospital', 0.0076224209716765755), ('wellness', 0.006784023024463255), ('dont', 0.006067203622467593), ('medical', 0.006036191004500649), ('polio', 0.004677395712762137), ('science', 0.004664015829318488), ('want', 0.004663585082044535)]",negative,"['health', 'amp', 'care', 'hospital', 'wellness', 'dont', 'medical', 'polio', 'science', 'want ']"
1,0,209,0_vaccine_vaccines_people_israel,"[('vaccine', 0.02040457802297305), ('vaccines', 0.016354711143551064), ('people', 0.01260123753787656), ('israel', 0.012192658514512119), ('health', 0.008324084134205613), ('pfizer', 0.008262790297881432), ('get', 0.008144651485689406), ('covid19', 0.008071254741503369), ('amp', 0.007000997352686075), ('one', 0.0061148648665086455)]",negative,"['vaccine', 'vaccines', 'people', 'israel', 'health', 'pfizer', 'get', 'covid', 'amp', 'one ']"
2,1,80,1_mental_mental health_health_people,"[('mental', 0.07526530202762646), ('mental health', 0.0681712888416802), ('health', 0.04328305015455105), ('people', 0.018386664131272247), ('know', 0.009780764117934061), ('mentalhealth', 0.009412821571777634), ('im', 0.009274755766556465), ('stigma', 0.009167848220076704), ('like', 0.008776466085574391), ('mental health issues', 0.008658558821781553)]",negative,"['mental', 'mental health', 'health', 'people', 'know', 'mentalhealth', 'im', 'stigma', 'like', 'mental health issues ']"
3,2,41,2_freethemall_khalil_hunger strike_hunger,"[('freethemall', 0.037675536923629085), ('khalil', 0.03287444110592815), ('hunger strike', 0.03246938521072124), ('hunger', 0.03172676793568765), ('strike', 0.03123451374279719), ('detention', 0.02392425482826815), ('freekhalil', 0.02251267037400486), ('protest', 0.020936393774100535), ('freekhalil freethemall', 0.02065869544835788), ('administrative', 0.018758259292111314)]",negative,"['freethemall', 'khalil', 'hunger strike', 'hunger', 'strike', 'detention', 'freekhalil', 'protest', 'freekhalil freethemall', 'administrative ']"
4,3,39,3_egypt_safe_safe egypt_feel safe,"[('egypt', 0.06559492828013963), ('safe', 0.060979652360368945), ('safe egypt', 0.039674771922502274), ('feel safe', 0.03906388526942536), ('feel safe egypt', 0.03422271580846804), ('feel', 0.032216980085237365), ('dont feel safe', 0.028515434470925454), ('dont feel', 0.028515434470925454), ('cairo', 0.02791501265958531), ('dont', 0.02222414419140064)]",negative,"['egypt', 'safe', 'safe egypt', 'feel safe', 'feel safe egypt', 'feel', 'dont feel safe', 'dont feel', 'cairo', 'dont ']"
5,4,36,4_stayhome stayhealthy_swimmers_stayhealthy covid_stayhome stayhealthy covid,"[('stayhome stayhealthy', 0.07839667172728133), ('swimmers', 0.07839667172728133), ('stayhealthy covid', 0.07839667172728133), ('stayhome stayhealthy covid', 0.07839667172728133), ('iswimstat', 0.07839667172728133), ('congratulations', 0.07839667172728133), ('stayhealthy', 0.0773312056234171), ('stayhome', 0.07682083414796508), ('winners', 0.07663137590480155), ('19 coronavid19 quarantine', 0.07663137590480155)]",negative,"['stayhome stayhealthy', 'swimmers', 'stayhealthy covid', 'stayhome stayhealthy covid', 'iswimstat', 'congratulations', 'stayhealthy', 'stayhome', 'winners', ' coronavid quarantine ']"
6,5,34,5_new_lebanon_covid cases new_cases new,"[('new', 0.05300218647658108), ('lebanon', 0.051666888539245226), ('covid cases new', 0.03937248794594987), ('cases new', 0.03937248794594987), ('new covid cases', 0.03937248794594987), ('new covid', 0.03937248794594987), ('covid cases', 0.037683192223821445), ('covid', 0.031668849382522755), ('health ministry', 0.0315209199551969), ('new death lebanon', 0.031165117704951315)]",negative,"['new', 'lebanon', 'covid cases new', 'cases new', 'new covid cases', 'new covid', 'covid cases', 'covid', 'health ministry', 'new death lebanon ']"
7,6,29,6_cases_new coronavirus_coronavirus_ministry,"[('cases', 0.05369185277169899), ('new coronavirus', 0.0459738874398454), ('coronavirus', 0.041527896629404426), ('ministry', 0.041393059746509794), ('confirms', 0.035029538185092045), ('new', 0.030614229516925027), ('covid19', 0.030243780045854738), ('number', 0.02877320925872494), ('ministry health', 0.0278969155252107), ('corona', 0.027073420002126633)]",negative,"['cases', 'new coronavirus', 'coronavirus', 'ministry', 'confirms', 'new', 'covid', 'number', 'ministry health', 'corona ']"
8,7,27,7_western_economy_world_networks,"[('western', 0.026803038534913694), ('economy', 0.019602263064569372), ('world', 0.01901618488845974), ('networks', 0.017216344818794097), ('western world', 0.017216344818794097), ('cannot', 0.016996285152496786), ('business', 0.014993527418189637), ('healthcare', 0.014833319808076883), ('money', 0.014638690724053861), ('economytycoons business leaders', 0.013504434520069712)]",negative,"['western', 'economy', 'world', 'networks', 'western world', 'cannot', 'business', 'healthcare', 'money', 'economytycoons business leaders ']"
9,8,26,8_lungcancer_oncology_pulmonary physicians_lungcancer oncology cancer,"[('lungcancer', 0.028758120864857826), ('oncology', 0.02146763971103646), ('pulmonary physicians', 0.018896558562849868), ('lungcancer oncology cancer', 0.018896558562849868), ('meded healthcare', 0.018896558562849868), ('meded healthcare lungcancer', 0.018896558562849868), ('cmeoffice', 0.018896558562849868), ('cmeoffice meded', 0.018896558562849868), ('cmeoffice meded healthcare', 0.018896558562849868), ('oncology cancer', 0.018896558562849868)]",negative,"['lungcancer', 'oncology', 'pulmonary physicians', 'lungcancer oncology cancer', 'meded healthcare', 'meded healthcare lungcancer', 'cmeoffice', 'cmeoffice meded', 'cmeoffice meded healthcare', 'oncology cancer ']"
