Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2700,-1_health_singapore_people_covid19,"[('health', 0.0039545625046944685), ('singapore', 0.003345749655162217), ('people', 0.0028553214804256915), ('covid19', 0.0025335250754035354), ('covid', 0.0024798487807513505), ('mask', 0.002443859502464567), ('one', 0.0024380904462266216), ('get', 0.0023324671997144207), ('care', 0.0022152612394024662), ('time', 0.0021998196325262102)]",negative,"['health', 'singapore', 'people', 'covid', 'covid', 'mask', 'one', 'get', 'care', 'time ']"
1,0,1656,0_vaccine_whatshappeninginmyanmar_military_people,"[('vaccine', 0.005557864621354109), ('whatshappeninginmyanmar', 0.005459280856971517), ('military', 0.004673414676817735), ('people', 0.00446390048575195), ('healthcare', 0.004342846933255231), ('myanmar', 0.0042521028145649665), ('nurses', 0.0042279414670718055), ('nurse', 0.0038000416949582182), ('protest', 0.003706431494147406), ('vaccination', 0.003340653286843308)]",negative,"['vaccine', 'whatshappeninginmyanmar', 'military', 'people', 'healthcare', 'myanmar', 'nurses', 'nurse', 'protest', 'vaccination ']"
2,1,304,1_singapore_covid19_coronavirus_singapore covid19,"[('singapore', 0.013191058909858597), ('covid19', 0.011301700000078461), ('coronavirus', 0.01117346840868726), ('singapore covid19', 0.008227180330115606), ('coronavirusoutbreak', 0.007673955062485925), ('singaporeinsta', 0.007027937366522838), ('2020', 0.006828862411619618), ('update', 0.006575269371967097), ('covid19 singapore', 0.00644288354151865), ('malaysia', 0.0055613069066669804)]",negative,"['singapore', 'covid', 'coronavirus', 'singapore covid', 'coronavirusoutbreak', 'singaporeinsta', '', 'update', 'covid singapore', 'malaysia ']"
3,2,298,2_lockdown_day lockdown godbless_lockdown godbless singapore_lockdown godbless,"[('lockdown', 0.04014797188905028), ('day lockdown godbless', 0.020089757337058055), ('lockdown godbless singapore', 0.020089757337058055), ('lockdown godbless', 0.020089757337058055), ('godbless', 0.020089757337058055), ('godbless singapore', 0.020089757337058055), ('day lockdown', 0.01982407482935378), ('singapore lockdown', 0.011848837843434573), ('singapore day lockdown', 0.011412117156013526), ('singapore', 0.01135382064431233)]",negative,"['lockdown', 'day lockdown godbless', 'lockdown godbless singapore', 'lockdown godbless', 'godbless', 'godbless singapore', 'day lockdown', 'singapore lockdown', 'singapore day lockdown', 'singapore ']"
4,3,291,3_mental_mental health_health_mental health issues,"[('mental', 0.04464190911509583), ('mental health', 0.044364745360111535), ('health', 0.02031000611300058), ('mental health issues', 0.006626962707464753), ('health issues', 0.005826565944114525), ('issues', 0.005128604798347387), ('know', 0.004871298421801995), ('im', 0.004728258243608933), ('remind', 0.004662256833754027), ('mentalhealth', 0.004587737684435183)]",negative,"['mental', 'mental health', 'health', 'mental health issues', 'health issues', 'issues', 'know', 'im', 'remind', 'mentalhealth ']"
5,4,245,4_quarantine_singapore quarantine_hotel_singapore,"[('quarantine', 0.040589949426115025), ('singapore quarantine', 0.010511784629544328), ('hotel', 0.009278042648513491), ('singapore', 0.008400789348946202), ('quarantine singapore', 0.008167008356135859), ('day', 0.008120686563034855), ('days', 0.007543360087023785), ('day quarantine', 0.0071099282925347115), ('14', 0.007050189069719396), ('14 days', 0.006682795403749531)]",negative,"['quarantine', 'singapore quarantine', 'hotel', 'singapore', 'quarantine singapore', 'day', 'days', 'day quarantine', '', ' days ']"
6,5,208,5_party_worker party_worker_pritam,"[('party', 0.037400952188056495), ('worker party', 0.03547933666645354), ('worker', 0.025596824782636085), ('pritam', 0.018494820200022452), ('raeesah', 0.01653108804895572), ('pap', 0.014131312255666467), ('mp', 0.008498365321784994), ('lie', 0.008107063454921027), ('opposition', 0.006941865964748765), ('resign', 0.006269492011817436)]",negative,"['party', 'worker party', 'worker', 'pritam', 'raeesah', 'pap', 'mp', 'lie', 'opposition', 'resign ']"
7,6,205,6_covid19 cases_new covid19 cases_new covid19_cases,"[('covid19 cases', 0.04721979122401523), ('new covid19 cases', 0.04632939837048876), ('new covid19', 0.04611312933152225), ('cases', 0.04093574082941088), ('deaths singapore', 0.04052907386957519), ('deaths singapore reports', 0.040480228825476756), ('singapore reports', 0.03978297618263306), ('reports', 0.03846394041185881), ('new', 0.035555172406703715), ('deaths', 0.03036121524937989)]",negative,"['covid cases', 'new covid cases', 'new covid', 'cases', 'deaths singapore', 'deaths singapore reports', 'singapore reports', 'reports', 'new', 'deaths ']"
8,7,191,7_mask_wear_wear mask_wearing,"[('mask', 0.033629594589201936), ('wear', 0.021665918835208985), ('wear mask', 0.017255646934914135), ('wearing', 0.01622612661511589), ('masks', 0.015329486415884393), ('wearing mask', 0.009772657768201272), ('face', 0.007918271478218442), ('n95', 0.007161122886993045), ('reusable', 0.006336396660161404), ('singapore', 0.005292129667746466)]",negative,"['mask', 'wear', 'wear mask', 'wearing', 'masks', 'wearing mask', 'face', 'n', 'reusable', 'singapore ']"
9,8,144,8_circuit_circuit breaker_breaker_circuitbreaker,"[('circuit', 0.03691927786184619), ('circuit breaker', 0.036169975066671425), ('breaker', 0.03571064404521113), ('circuitbreaker', 0.017623181451801015), ('extended', 0.011144458211750844), ('circuit breaker measures', 0.011091992624249845), ('lockdown', 0.011078777719364797), ('breaker measures', 0.010937733441482703), ('circuitbreaker lockdown', 0.01037558392255908), ('singapore circuit breaker', 0.010258312232506932)]",negative,"['circuit', 'circuit breaker', 'breaker', 'circuitbreaker', 'extended', 'circuit breaker measures', 'lockdown', 'breaker measures', 'circuitbreaker lockdown', 'singapore circuit breaker ']"
