Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,313,-1_health_safe_amp_care,"[('health', 0.030637416049108045), ('safe', 0.013142838807808022), ('amp', 0.01159162207050272), ('care', 0.008023164727235674), ('seminar', 0.007401595912813428), ('new', 0.0065805633595780915), ('people', 0.006306373219595671), ('panama', 0.0062231547546176685), ('us', 0.0059209082469716045), ('time', 0.005822800658320158)]",positive,"['health', 'safe', 'amp', 'care', 'seminar', 'new', 'people', 'panama', 'us', 'time ']"
1,0,758,0_health_covid19_healthcare_care,"[('health', 0.027811640976223594), ('covid19', 0.020774311134619132), ('healthcare', 0.015574806137394587), ('care', 0.011167414846761809), ('mental', 0.010933157585097551), ('mental health', 0.010461018248307275), ('panama', 0.008813572055846909), ('love', 0.00812586333618157), ('good', 0.00774711416240599), ('amp', 0.007217427247133889)]",positive,"['health', 'covid', 'healthcare', 'care', 'mental', 'mental health', 'panama', 'love', 'good', 'amp ']"
2,1,60,1_nurse_nurses_nursing_career,"[('nurse', 0.10284313306091182), ('nurses', 0.057621111945649714), ('nursing', 0.03654864061454132), ('career', 0.03172479534105875), ('nurselife', 0.026090655314445998), ('jobs', 0.024154651828660004), ('job', 0.020461540609286254), ('nationalnursingassistantsweek nurses', 0.018418743207803134), ('career nursing assistants', 0.018418743207803134), ('moralorel', 0.018418743207803134)]",positive,"['nurse', 'nurses', 'nursing', 'career', 'nurselife', 'jobs', 'job', 'nationalnursingassistantsweek nurses', 'career nursing assistants', 'moralorel ']"
3,2,40,2_vaccine_dose_vaccination_first,"[('vaccine', 0.08429277825779878), ('dose', 0.02660292897325773), ('vaccination', 0.02155137202306119), ('first', 0.020434612910981524), ('health', 0.018607579492898974), ('people', 0.017568797684140047), ('vaccines', 0.017208855838100303), ('rapid scaleup proper', 0.015214228323686914), ('minimum', 0.015214228323686914), ('characteristics', 0.015214228323686914)]",positive,"['vaccine', 'dose', 'vaccination', 'first', 'health', 'people', 'vaccines', 'rapid scaleup proper', 'minimum', 'characteristics ']"
4,3,21,3_free_free thinker_thinker_media,"[('free', 0.06095752767883995), ('free thinker', 0.03386644175052473), ('thinker', 0.03386644175052473), ('media', 0.02822203479210394), ('must', 0.023954542692342144), ('covid19 public', 0.023908073080079435), ('relentless crackdown media', 0.023908073080079435), ('relentless', 0.023908073080079435), ('flow information', 0.023908073080079435), ('must put', 0.023908073080079435)]",positive,"['free', 'free thinker', 'thinker', 'media', 'must', 'covid public', 'relentless crackdown media', 'relentless', 'flow information', 'must put ']"
5,4,21,4_covid_scared_covid19_scared covid19,"[('covid', 0.10153302945504032), ('scared', 0.057077785276575255), ('covid19', 0.05280950818260269), ('scared covid19', 0.04820075169122611), ('im kinda', 0.04820075169122611), ('kinda scared', 0.04820075169122611), ('im kinda scared', 0.04820075169122611), ('admit', 0.04820075169122611), ('kinda scared covid19', 0.04820075169122611), ('kinda', 0.04820075169122611)]",positive,"['covid', 'scared', 'covid', 'scared covid', 'im kinda', 'kinda scared', 'im kinda scared', 'admit', 'kinda scared covid', 'kinda ']"
6,5,19,5_810_1010_710_910,"[('810', 0.14667179142709555), ('1010', 0.12435406382853714), ('710', 0.10379881277772011), ('910', 0.10077038814635146), ('empathy', 0.07222925101448728), ('social skills', 0.07222925101448728), ('creativity', 0.07222925101448728), ('optimism', 0.07222925101448728), ('trustworthiness', 0.07222925101448728), ('skills', 0.07155555906862787)]",positive,"['', '', '', '', 'empathy', 'social skills', 'creativity', 'optimism', 'trustworthiness', 'skills ']"
7,6,17,6_hiv_protocols_coronavirus_sica central american,"[('hiv', 0.04204824266273101), ('protocols', 0.03297624434585277), ('coronavirus', 0.031212621946871324), ('sica central american', 0.029684029573431962), ('assistance lgtbiq', 0.029684029573431962), ('sica central', 0.029684029573431962), ('central american covid19', 0.029684029573431962), ('management protocols assistance', 0.029684029573431962), ('measures well gbv', 0.029684029573431962), ('mechanism', 0.029684029573431962)]",positive,"['hiv', 'protocols', 'coronavirus', 'sica central american', 'assistance lgtbiq', 'sica central', 'central american covid', 'management protocols assistance', 'measures well gbv', 'mechanism ']"
8,7,16,7_pool_waiting_happy_swimmingpool,"[('pool', 0.1465747129030681), ('waiting', 0.1029691642411608), ('happy', 0.10266224751574261), ('swimmingpool', 0.0879224317927603), ('casaareka', 0.08264347420116415), ('pool swimmingpool pool', 0.08264347420116415), ('supportsmallbusiness', 0.08264347420116415), ('pool casaareka', 0.08264347420116415), ('swimmingpool pool', 0.08264347420116415), ('casaareka travel', 0.08264347420116415)]",positive,"['pool', 'waiting', 'happy', 'swimmingpool', 'casaareka', 'pool swimmingpool pool', 'supportsmallbusiness', 'pool casaareka', 'swimmingpool pool', 'casaareka travel ']"
9,8,13,8_fit_motivation_fitness_fitspo workout bodybuilding,"[('fit', 0.0888368624693172), ('motivation', 0.08624323518769528), ('fitness', 0.08169331641603744), ('fitspo workout bodybuilding', 0.05589339573460586), ('healthychoices', 0.05589339573460586), ('follow health fitness', 0.05589339573460586), ('follow health', 0.05589339573460586), ('yellow snapback', 0.05589339573460586), ('gym', 0.05589339573460586), ('gym train', 0.05589339573460586)]",positive,"['fit', 'motivation', 'fitness', 'fitspo workout bodybuilding', 'healthychoices', 'follow health fitness', 'follow health', 'yellow snapback', 'gym', 'gym train ']"
