,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,4062,-1_health_amp_message_safe,"[('health', 0.00878735562512646), ('amp', 0.006716493908118922), ('message', 0.006659638309185119), ('safe', 0.005665280895259465), ('mental', 0.004812134655777465), ('travel', 0.004707543623799194), ('us', 0.004623337056467153), ('mental health', 0.00448669374534467), ('people', 0.004365606735333696), ('care', 0.004357545558450396)]",positive
1,0,5317,0_health_amp_message_safe,"[('health', 0.008351067883871438), ('amp', 0.007169449658179501), ('message', 0.006993528701768023), ('safe', 0.005630185924109289), ('care', 0.005249311435674703), ('nurses', 0.005214509688790578), ('nurse', 0.005210031112997554), ('holiday', 0.0049482119283215525), ('day', 0.0046645010567254175), ('bonus', 0.004646834281665142)]",positive
2,1,102,1_fitness_gym_yoga_health,"[('fitness', 0.03833800380609931), ('gym', 0.028878067937420565), ('yoga', 0.0227714847681981), ('health', 0.018765338509266125), ('motivation', 0.017177465067428163), ('workout', 0.015352244154613818), ('photooftheday', 0.011155824827541341), ('lifestyle', 0.010519930625640309), ('health fitness', 0.010322136138850425), ('stretching', 0.010188871482954082)]",positive
3,2,92,2_scotland_lockdown_safe_travel,"[('scotland', 0.02884865986935681), ('lockdown', 0.021889324892560836), ('safe', 0.012727041112659347), ('travel', 0.012376561059448643), ('visitscotland', 0.00980778061251186), ('beautiful', 0.009391083605419326), ('travelling', 0.008880049663135315), ('covid19 stayhome scotland', 0.008736203713767503), ('unlimitedscotland', 0.008736203713767503), ('teamashtravels throwback', 0.008736203713767503)]",positive
4,3,75,3_bike_cycling_bikes_travel,"[('bike', 0.047795539149685255), ('cycling', 0.04614310304152441), ('bikes', 0.023112420628801023), ('travel', 0.01833706606093216), ('activetravel', 0.017089365775256875), ('active travel', 0.014861801559486163), ('active', 0.013836155240697198), ('safe', 0.013760028960093283), ('health', 0.011449368971372742), ('york', 0.011370625126636264)]",positive
5,4,57,4_mask_masks_facemask_face,"[('mask', 0.05563445882888059), ('masks', 0.04479529538899873), ('facemask', 0.03426370695330622), ('face', 0.031088046755399192), ('wear', 0.0251345809976603), ('wear mask', 0.022057666702598774), ('face masks', 0.02064430783835861), ('masks sale', 0.018521259111443474), ('mask non', 0.0167318364109331), ('covid19 redbubble', 0.0167318364109331)]",positive
6,5,50,5_petition via_sign petition via_petition_sign petition,"[('petition via', 0.10373829013339243), ('sign petition via', 0.10373829013339243), ('petition', 0.10119370238125269), ('sign petition', 0.10082148066853089), ('wages untaxable', 0.08894868413338218), ('untaxable offer', 0.08894868413338218), ('wages untaxable offer', 0.08894868413338218), ('johnson incentivise', 0.08894868413338218), ('bonus sign petition', 0.08894868413338218), ('boris johnson incentivise', 0.08894868413338218)]",positive
7,6,32,6_honeygain_bandwidth_crypto_honeygain share bandwidth,"[('honeygain', 0.2510333806001404), ('bandwidth', 0.1529745801475253), ('crypto', 0.15246603132711578), ('honeygain share bandwidth', 0.14199504319580364), ('bandwidth securely earn', 0.14199504319580364), ('bandwidth securely', 0.14199504319580364), ('join honeygain share', 0.14199504319580364), ('join honeygain', 0.14199504319580364), ('claim joining', 0.14199504319580364), ('bonus honeygain', 0.14199504319580364)]",positive
8,7,32,7_dog_dance_dog walk_walk,"[('dog', 0.06477074963476864), ('dance', 0.027246153379113503), ('dog walk', 0.022030290923826176), ('walk', 0.021678313388959293), ('bonus', 0.01806383074817978), ('dogsoftwittter', 0.015786902070650515), ('sitting', 0.015546605118931441), ('day borrowed', 0.012264366065889463), ('long way getting', 0.012264366065889463), ('sitting tonight', 0.012264366065889463)]",positive
9,8,32,8_birthday_happy birthday_missed birthdays_birthdays lockdown,"[('birthday', 0.14209446435679748), ('happy birthday', 0.09197722536839494), ('missed birthdays', 0.09029466539418769), ('birthdays lockdown', 0.09029466539418769), ('would send happy', 0.09029466539418769), ('big birthday party', 0.09029466539418769), ('lockdown mentalhealthandwellbeing', 0.09029466539418769), ('please would', 0.09029466539418769), ('missed birthdays lockdown', 0.09029466539418769), ('holding big', 0.09029466539418769)]",positive
10,9,31,9_reward healthcare_reward healthcare heroes_healthcare heroes_properly protect reward,"[('reward healthcare', 0.1091759176823801), ('reward healthcare heroes', 0.1091759176823801), ('healthcare heroes', 0.10843744618874407), ('properly protect reward', 0.08877147980559011), ('calling properly', 0.08877147980559011), ('letter calling properly', 0.08877147980559011), ('open letter calling', 0.08877147980559011), ('current crisis add', 0.08877147980559011), ('letter calling', 0.08877147980559011), ('crisis add name', 0.08877147980559011)]",positive
11,10,29,10_garden_gardening_bonus_hospital accommodation,"[('garden', 0.04355855385433473), ('gardening', 0.03117361609284383), ('bonus', 0.030902824395491628), ('hospital accommodation', 0.01656422349138059), ('garden centre', 0.015546967584981862), ('stock', 0.01191662765033891), ('carrot seedlings new', 0.011581173587543726), ('seedlings new home', 0.011581173587543726), ('seedlings new', 0.011581173587543726), ('hospital accommodation lockdown', 0.011581173587543726)]",positive
12,11,28,11_amp_parkrun_parks_landscape,"[('amp', 0.03608753453703009), ('parkrun', 0.024070702174594234), ('parks', 0.02324422708617113), ('landscape', 0.023007824472346387), ('parkprotectorawards', 0.022311542960722967), ('gt', 0.01865266942741816), ('landscape cared amp', 0.018359381824873153), ('ensure landscape', 0.018359381824873153), ('ensure landscape cared', 0.018359381824873153), ('amp people enjoy', 0.018359381824873153)]",positive
13,12,28,12_care_health using care_peopleplan consultation chance_winning 100 voucher,"[('care', 0.09143882194773693), ('health using care', 0.08123185276680779), ('peopleplan consultation chance', 0.08123185276680779), ('winning 100 voucher', 0.08123185276680779), ('everybodys views access', 0.08123185276680779), ('green care', 0.08123185276680779), ('guidance regulation', 0.08123185276680779), ('guidance regulation equality', 0.08123185276680779), ('hear everybodys', 0.08123185276680779), ('hear everybodys views', 0.08123185276680779)]",positive
14,13,26,13_avoid_nonessential_nonessential travel_travel,"[('avoid', 0.041392032279627004), ('nonessential', 0.040774674013705124), ('nonessential travel', 0.040774674013705124), ('travel', 0.033893752430536536), ('covid19', 0.03231241892139101), ('restrictions', 0.031565173736478), ('symptoms', 0.027960009501661158), ('health advice amp', 0.027558537173943836), ('risks everyone symptoms', 0.027558537173943836), ('risks everyone', 0.027558537173943836)]",positive
15,14,25,14_key workers_accommodation_key_harrogate town centre,"[('key workers', 0.06828953439181266), ('accommodation', 0.06222215746494849), ('key', 0.05568782596086678), ('harrogate town centre', 0.04966712131456655), ('offering accommodation key', 0.04966712131456655), ('offering accommodation', 0.04966712131456655), ('battle coronavirus', 0.04966712131456655), ('pandemic require housing', 0.04966712131456655), ('harrogate town', 0.04966712131456655), ('town centre battle', 0.04966712131456655)]",positive
16,15,24,15_nurses_dialysis_last years private_father suffered,"[('nurses', 0.030423719740010378), ('dialysis', 0.026427908413914195), ('last years private', 0.024496477487950075), ('father suffered', 0.024496477487950075), ('illnesses last years', 0.024496477487950075), ('lot illnesses', 0.024496477487950075), ('staff hospital big', 0.024496477487950075), ('lot illnesses last', 0.024496477487950075), ('healthcare staff hospital', 0.024496477487950075), ('healthcare seen dont', 0.024496477487950075)]",positive
17,16,24,16_assessor_amp social care_health amp social_amp social,"[('assessor', 0.03602120951083019), ('amp social care', 0.030055109960005176), ('health amp social', 0.029378254538834293), ('amp social', 0.02907201723953881), ('trainer assessor', 0.028074908803912148), ('care', 0.028025842559619447), ('social', 0.024998283729265068), ('trainer', 0.024465281088269526), ('social care', 0.024075112636992906), ('health amp', 0.023338917591722925)]",positive
18,17,24,17_warwick_messages attach_noon thank_noon thank customers,"[('warwick', 0.045922331586467385), ('messages attach', 0.04304443717947797), ('noon thank', 0.04304443717947797), ('noon thank customers', 0.04304443717947797), ('nurses warwick hospital', 0.04304443717947797), ('donated personal', 0.04304443717947797), ('oh wow great', 0.04304443717947797), ('nurses warwick', 0.04304443717947797), ('customers donated personal', 0.04304443717947797), ('oh wow', 0.04304443717947797)]",positive
19,18,22,18_carers_carers allowance_allowance_benefit,"[('carers', 0.10385654936057347), ('carers allowance', 0.09101432835147377), ('allowance', 0.08487415175461582), ('benefit', 0.04165413165279856), ('council tax', 0.03751825466313451), ('allowance guidance', 0.03326759474706264), ('benefit affect', 0.03326759474706264), ('benefit affect state', 0.03326759474706264), ('state pension council', 0.03326759474706264), ('state pension', 0.03326759474706264)]",positive
20,19,21,19_coronavirus_travel advice_health travel advice_links,"[('coronavirus', 0.07488691904408526), ('travel advice', 0.04819503009021084), ('health travel advice', 0.04022341815441766), ('links', 0.03414626927404257), ('health travel', 0.03229536551771005), ('website', 0.02996673203924448), ('latest', 0.029159778975987028), ('questions covid', 0.0282414765274434), ('advice website coronavirus', 0.0282414765274434), ('links latest', 0.0282414765274434)]",positive
21,20,21,20_appointments_appointments available_call 111 nhsnwjubilee_one need urgent,"[('appointments', 0.13791472333215732), ('appointments available', 0.0833136796192447), ('call 111 nhsnwjubilee', 0.08005037193136234), ('one need urgent', 0.08005037193136234), ('including hours', 0.08005037193136234), ('need one need', 0.08005037193136234), ('hours appointments need', 0.08005037193136234), ('hours appointments', 0.08005037193136234), ('urgent health advice', 0.08005037193136234), ('need urgent health', 0.08005037193136234)]",positive
22,21,20,21_familyrun_firesafety_fireprotection_york,"[('familyrun', 0.05720015575424814), ('firesafety', 0.05720015575424814), ('fireprotection', 0.05720015575424814), ('york', 0.05363896562870001), ('yorkshire uk', 0.053045565901445525), ('firesafety fireprotection', 0.053045565901445525), ('firesafety fireprotection familyrun', 0.053045565901445525), ('fireprotection familyrun', 0.053045565901445525), ('fire', 0.049690854103750695), ('01904', 0.04882818151631329)]",positive
23,22,20,22_nhs_thank_lovely_came,"[('nhs', 0.030908224093645242), ('thank', 0.026739288297519037), ('lovely', 0.02291538229525837), ('came', 0.022444089259836843), ('yorkshire', 0.021330147550845495), ('came yorkshire 40s', 0.019798190934935848), ('north surrey came', 0.019798190934935848), ('health nurse met', 0.019798190934935848), ('train mental health', 0.019798190934935848), ('train mental', 0.019798190934935848)]",positive
24,23,20,23_public_message_neurosurgeon cleaner thank_neurosurgeon cleaner,"[('public', 0.031719249010262775), ('message', 0.02881398723208958), ('neurosurgeon cleaner thank', 0.02730489694872716), ('neurosurgeon cleaner', 0.02730489694872716), ('country corner', 0.02730489694872716), ('corner nhsheroes', 0.02730489694872716), ('country corner nhsheroes', 0.02730489694872716), ('message every person', 0.02730489694872716), ('whole country corner', 0.02730489694872716), ('stay strong whole', 0.02730489694872716)]",positive
