,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,158,-1_health_covid19_amp_travel,"[('health', 0.014003126609061268), ('covid19', 0.01353852575969935), ('amp', 0.01124585673752781), ('travel', 0.010000322393911593), ('good', 0.009421038116384613), ('insurance', 0.008473861756736275), ('get', 0.0065419129901392445), ('workers', 0.006477724402848806), ('us', 0.00628037772775403), ('international', 0.006274341506090126)]",positive
1,0,139,0_health_happy_qatar_happiness,"[('health', 0.018258889725161438), ('happy', 0.016103126321591964), ('qatar', 0.01169574355185393), ('happiness', 0.011459394212607568), ('amp', 0.011366845688479451), ('world', 0.01119870747161131), ('dubai', 0.010723001392769167), ('good', 0.010037118728449354), ('safe', 0.009792969901500614), ('family', 0.009740901140378093)]",positive
2,1,47,1_dubai_uae_pcr_book appointment,"[('dubai', 0.021769974480709015), ('uae', 0.018517765579005675), ('pcr', 0.018072914318954185), ('book appointment', 0.016571075017901785), ('appointment', 0.016243882681136555), ('book', 0.016221539081160936), ('pcr covid19', 0.01505515234607377), ('service', 0.01478692989732615), ('app', 0.014729844460357142), ('health', 0.013765416863558233)]",positive
3,2,28,2_covid19_message_day_world,"[('covid19', 0.03960922279757625), ('message', 0.030881848922239687), ('day', 0.017794008919901075), ('world', 0.01751445301376708), ('tree', 0.016745910608172376), ('planet', 0.016745910608172376), ('karnataka', 0.016745910608172376), ('articles', 0.016745910608172376), ('medicine', 0.01613648656602596), ('amp', 0.01606144947413149)]",positive
4,3,25,3_hospital_pharmaceutical_doctors_message,"[('hospital', 0.04681653290361544), ('pharmaceutical', 0.036720815747657086), ('doctors', 0.028836099928463477), ('message', 0.02799222752562403), ('healthcare', 0.026307762752916766), ('company', 0.025090054418062776), ('would', 0.02471665708154012), ('team', 0.022011239786480865), ('covid19 team', 0.02069862554868007), ('us promote healthcare', 0.02069862554868007)]",positive
5,4,23,4_air_air travel_measures_travel,"[('air', 0.06070733856958387), ('air travel', 0.059024266403919196), ('measures', 0.04749630715726401), ('travel', 0.045518313761507924), ('health protection measures', 0.03464276631218951), ('health protection', 0.03464276631218951), ('protection measures', 0.03464276631218951), ('protection', 0.03436425045488), ('airport', 0.03224419711013427), ('aviation', 0.026102846097322975)]",positive
6,5,22,5_19_covid 19_covid_take,"[('19', 0.029310347299102507), ('covid 19', 0.026908108014226703), ('covid', 0.026098753453675), ('take', 0.023531107341447935), ('good news', 0.022174009474194817), ('news', 0.020912270165936515), ('cyprus', 0.018409161323205296), ('travel', 0.018388732655267855), ('card', 0.01773920757935585), ('covid19', 0.01674743141380416)]",positive
7,6,20,6_measures_air travel_air_health protection,"[('measures', 0.051749125459680585), ('air travel', 0.03936847455567429), ('air', 0.038933714819418014), ('health protection', 0.03610360585547461), ('health protection measures', 0.03610360585547461), ('protection measures', 0.03610360585547461), ('protection', 0.03581334535357976), ('airport', 0.033603892168995356), ('masks', 0.02750926971594973), ('travel', 0.026172557642678423)]",positive
8,7,19,7_god bless_actor_amitji_amitabhbachchan amitabh4u amitji,"[('god bless', 0.08273238533540822), ('actor', 0.08105366313126038), ('amitji', 0.08105366313126038), ('amitabhbachchan amitabh4u amitji', 0.08105366313126038), ('singer', 0.08105366313126038), ('amitabh4u amitji', 0.08105366313126038), ('actor singer', 0.08105366313126038), ('amitabhbachchan amitabh4u', 0.08105366313126038), ('superstar', 0.08105366313126038), ('amitabh4u amitji bigb', 0.08105366313126038)]",positive
9,8,18,8_offers_enjoy_discount_amazing,"[('offers', 0.031457379286290325), ('enjoy', 0.023972479379186673), ('discount', 0.023241916205553242), ('amazing', 0.022915212265069533), ('sales', 0.022323005809540324), ('promotions', 0.019463624024295818), ('hayz', 0.019463624024295818), ('prices', 0.018176869618045814), ('health', 0.01804100321292801), ('get', 0.017646771258006875)]",positive
