,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,29255,-1_health_amp_bonus_message,"[('health', 0.008554353220260352), ('amp', 0.006613088143529728), ('bonus', 0.005873052591092494), ('message', 0.005529436402629295), ('covid19', 0.005441725983160872), ('travel', 0.005419382325464932), ('safe', 0.005176396929433395), ('holiday', 0.004446590338077715), ('care', 0.004305130498575584), ('healthcare', 0.004154519612313467)]",positive
1,0,2713,0_holiday_amp_safe_happy,"[('holiday', 0.019518036132019127), ('amp', 0.018083261040948935), ('safe', 0.01737442132336925), ('happy', 0.016853448480109678), ('christmas', 0.016661233646762284), ('healthy', 0.01531232423714721), ('holidays', 0.014219601731115653), ('merry', 0.013358299663148164), ('merry christmas', 0.012960437744159404), ('season', 0.011442749558695474)]",positive
2,1,1296,1_mental_mental health_health_message,"[('mental', 0.05061488592733341), ('mental health', 0.049676300661777126), ('health', 0.025912445639486078), ('message', 0.013207467263597488), ('awareness', 0.010871843832879253), ('health awareness', 0.008177019570523521), ('mental health awareness', 0.006819399329679112), ('suicide', 0.006386364204304649), ('important', 0.006075098863428294), ('help', 0.0059836673409667755)]",positive
3,2,885,2_safe travels_travels_safe_travel,"[('safe travels', 0.051356858044590586), ('travels', 0.0507480006812292), ('safe', 0.0377899652070126), ('travel', 0.01844096504696022), ('travels safe', 0.012902207302271646), ('safe travels safe', 0.012274936762143277), ('travels safe travels', 0.012177017151308407), ('health', 0.009580473811529997), ('traveling', 0.00909760267724945), ('good', 0.007878627200251157)]",positive
4,3,793,3_nurse_travel_dialysis_travel nurse,"[('nurse', 0.05369029492979293), ('travel', 0.046608049647860784), ('dialysis', 0.03662051549621324), ('travel nurse', 0.035639740227608886), ('rn', 0.035310982350897586), ('dialysis travel', 0.03287248829415352), ('travel rn', 0.032824128655845684), ('dialysis travel rn', 0.03270244860783168), ('travel rn registered', 0.03260806965034894), ('rn registered nurse', 0.032525973593039145)]",positive
5,4,791,4_mask_wear_masks_wear mask,"[('mask', 0.03568355577605703), ('wear', 0.019271263206508155), ('masks', 0.018730892322312065), ('wear mask', 0.015279765428745384), ('hands', 0.012389077090697035), ('wearing', 0.011719242326235372), ('wash', 0.011030735515166869), ('wash hands', 0.010211721940665114), ('covid19', 0.009558767206396574), ('face', 0.009373028367755908)]",positive
6,5,718,5_vaccine_vaccines_covid_covid19,"[('vaccine', 0.027077575964507442), ('vaccines', 0.015063713005357285), ('covid', 0.013693274263742112), ('covid19', 0.01124920644396866), ('vaccinated', 0.01081927294732697), ('vaccination', 0.00965608293662279), ('get', 0.009051615832920272), ('health', 0.008451997940259913), ('message', 0.006423263122106802), ('covid19 vaccines', 0.0060196144998643205)]",positive
7,6,685,6_cvs health_cvs_job_bonus available,"[('cvs health', 0.027133921142170257), ('cvs', 0.02689666001295998), ('job', 0.023639726048795533), ('bonus available', 0.01854328150407822), ('opening', 0.01821943196536735), ('sign bonus', 0.018136396447291744), ('pharmacy', 0.017809964587694564), ('pharmacy technician', 0.01738963491973692), ('technician', 0.01713255279746646), ('sign', 0.017114666555430126)]",positive
8,7,659,7_bonus_nurses_nurse_work,"[('bonus', 0.015626952246603463), ('nurses', 0.013542225181719634), ('nurse', 0.011791531604081747), ('work', 0.011621928679843574), ('worker', 0.011046085052376687), ('dental', 0.009464833642986569), ('essential', 0.009360078819740655), ('rewarding', 0.008915066837092759), ('hard', 0.008711570193270042), ('workers', 0.008622959379017784)]",positive
9,8,395,8_veterans_military_day_honor,"[('veterans', 0.04304382517100956), ('military', 0.024455215691979962), ('day', 0.018426733708312704), ('honor', 0.015979322190717522), ('army', 0.014083925842650145), ('memorial', 0.013288057677366785), ('appreciation', 0.011872841979457621), ('veterans day', 0.011275725040688123), ('service', 0.010670200655702232), ('veteran', 0.01024743553857513)]",positive
