Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,237,-1_health_amp_covid19_care,"[('health', 0.021474446787156154), ('amp', 0.010431040638563484), ('covid19', 0.008174303718788621), ('care', 0.007796623633701644), ('thanks', 0.006507041540839584), ('world', 0.005957745716257515), ('safe', 0.005565665540416541), ('good', 0.005519477990356589), ('kosovo', 0.005504382663046334), ('new', 0.0054318922720665444)]",positive,"['health', 'amp', 'covid', 'care', 'thanks', 'world', 'safe', 'good', 'kosovo', 'new ']"
1,0,375,0_covid19_health_amp_kosovo,"[('covid19', 0.018416503609743517), ('health', 0.018367045872110854), ('amp', 0.01595983253543863), ('kosovo', 0.01219815771436055), ('pandemic', 0.00861339361053761), ('kfor', 0.008576343133209052), ('support', 0.007613820245711845), ('public', 0.007167080131200444), ('medical', 0.006651041613509061), ('response', 0.006028896491840873)]",positive,"['covid', 'health', 'amp', 'kosovo', 'pandemic', 'kfor', 'support', 'public', 'medical', 'response ']"
2,1,84,1_mental_mental health_health_important,"[('mental', 0.06987320244200518), ('mental health', 0.06789257104176857), ('health', 0.03735331786932822), ('important', 0.014490333058149353), ('care', 0.013795510850992022), ('schools', 0.011399603223419577), ('children', 0.01119771273545652), ('care mental', 0.00977108847721678), ('care mental health', 0.00977108847721678), ('wellbeing', 0.00919098705094842)]",positive,"['mental', 'mental health', 'health', 'important', 'care', 'schools', 'children', 'care mental', 'care mental health', 'wellbeing ']"
3,2,71,2_happy_love_good_wish,"[('happy', 0.04467516795517901), ('love', 0.03734733427578113), ('good', 0.03612467336385071), ('wish', 0.02791116012202031), ('year', 0.026430127993740695), ('health', 0.02620405975789432), ('birthday', 0.024945980510339284), ('happiness', 0.02444974476594667), ('good health', 0.022727205086325544), ('family', 0.02102552994933291)]",positive,"['happy', 'love', 'good', 'wish', 'year', 'health', 'birthday', 'happiness', 'good health', 'family ']"
4,3,48,3_nurses_workers_worker_risk,"[('nurses', 0.04538354798942574), ('workers', 0.020632571141267), ('worker', 0.020251075403624308), ('risk', 0.0191391084916565), ('line', 0.016746719930199435), ('fight', 0.01627431429134724), ('nurse', 0.016206911390499817), ('nurses day', 0.015652153046086244), ('day', 0.015077510546822402), ('covid19', 0.014292867083700997)]",positive,"['nurses', 'workers', 'worker', 'risk', 'line', 'fight', 'nurse', 'nurses day', 'day', 'covid ']"
5,4,48,4_covid19 covid19_covid19_covid19 covid19 covid19_pls,"[('covid19 covid19', 0.08544418979742023), ('covid19', 0.08355858221891453), ('covid19 covid19 covid19', 0.05090278494140523), ('pls', 0.042749380390073935), ('amp', 0.041130297975317164), ('rt', 0.03311422137318072), ('pls amp', 0.02652886648320065), ('pls amp rt', 0.02652886648320065), ('amp rt', 0.02652886648320065), ('er', 0.02063356282026717)]",positive,"['covid covid', 'covid', 'covid covid covid', 'pls', 'amp', 'rt', 'pls amp', 'pls amp rt', 'amp rt', 'er ']"
6,5,30,5_mask_visors_printing_visors health,"[('mask', 0.04898886170676238), ('visors', 0.036203413181157405), ('printing', 0.02491250187506667), ('visors health', 0.02491250187506667), ('visors health workers', 0.02491250187506667), ('wearing', 0.02190185408409573), ('crowded places', 0.018792138008054297), ('places', 0.018251545070079773), ('crowded', 0.018251545070079773), ('health workers', 0.018144227344681615)]",positive,"['mask', 'visors', 'printing', 'visors health', 'visors health workers', 'wearing', 'crowded places', 'places', 'crowded', 'health workers ']"
7,6,30,6_serbia_health_4th congress_congress socialmedicine,"[('serbia', 0.05240261666695724), ('health', 0.027277763124918815), ('4th congress', 0.02664869794984164), ('congress socialmedicine', 0.025333897198304544), ('socialmedicine', 0.025333897198304544), ('4th congress socialmedicine', 0.025333897198304544), ('congress', 0.024854635519864533), ('4th', 0.024854635519864533), ('lexology', 0.021736885407254557), ('sensitive', 0.021736885407254557)]",positive,"['serbia', 'health', 'th congress', 'congress socialmedicine', 'socialmedicine', 'th congress socialmedicine', 'congress', 'th', 'lexology', 'sensitive ']"
8,7,29,7_minister_meeting_minister arben vitia_minister arben,"[('minister', 0.031039200808434374), ('meeting', 0.026609451924986784), ('minister arben vitia', 0.024282490397584393), ('minister arben', 0.024282490397584393), ('arben', 0.02367461358313789), ('arben vitia', 0.02367461358313789), ('vitia', 0.023148235421635827), ('hand', 0.021551257100297608), ('results', 0.020944788131548195), ('covid19', 0.020941843569608015)]",positive,"['minister', 'meeting', 'minister arben vitia', 'minister arben', 'arben', 'arben vitia', 'vitia', 'hand', 'results', 'covid ']"
9,8,29,8_health_good health_healthy_enjoy,"[('health', 0.049242115814834835), ('good health', 0.03684653515323823), ('healthy', 0.03134606639383596), ('enjoy', 0.029780226971597223), ('good', 0.028446931725413866), ('nutrition', 0.028164383237687624), ('diet', 0.027206166251660543), ('life', 0.022894868671518964), ('1111', 0.022050138531832943), ('long life', 0.022050138531832943)]",positive,"['health', 'good health', 'healthy', 'enjoy', 'good', 'nutrition', 'diet', 'life', '', 'long life ']"
