Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2277,-1_health_good_mental_safe,"[('health', 0.010901690221217895), ('good', 0.005866258652090946), ('mental', 0.005492676291094145), ('safe', 0.005324185552736556), ('mental health', 0.005043052555638705), ('covid19', 0.005040094715605269), ('amp', 0.004894249518223234), ('day', 0.00440953012136151), ('jamaica', 0.004403951902802939), ('care', 0.004314696166534908)]",positive,"['health', 'good', 'mental', 'safe', 'mental health', 'covid', 'amp', 'day', 'jamaica', 'care ']"
1,0,4374,0_health_covid19_amp_frontline,"[('health', 0.012147376769117414), ('covid19', 0.007314929145337096), ('amp', 0.006219130194590532), ('frontline', 0.005584011688931698), ('nurses', 0.005480024194338873), ('nurse', 0.005295784486626805), ('covid', 0.005105492031372694), ('jamaica', 0.005038857077560902), ('care', 0.004984830510605033), ('workers', 0.004931371941303315)]",positive,"['health', 'covid', 'amp', 'frontline', 'nurses', 'nurse', 'covid', 'jamaica', 'care', 'workers ']"
2,1,37,1_caregivers_domestic workers caregivers_876 domestic workers_workers caregivers,"[('caregivers', 0.16286885395789508), ('domestic workers caregivers', 0.15901965213231398), ('876 domestic workers', 0.15901965213231398), ('workers caregivers', 0.15901965213231398), ('876 domestic', 0.15901965213231398), ('domestic workers', 0.15815044794950653), ('domestic', 0.1556852368261868), ('876', 0.14572476406759033), ('workers', 0.07080478931971175), ('caregivers registered', 0.0671686163092749)]",positive,"['caregivers', 'domestic workers caregivers', ' domestic workers', 'workers caregivers', ' domestic', 'domestic workers', 'domestic', '', 'workers', 'caregivers registered ']"
3,2,31,2_vote_trainfitclubja_trainfitclub_fitness,"[('vote', 0.11928980610222384), ('trainfitclubja', 0.0945360451083333), ('trainfitclub', 0.0945360451083333), ('fitness', 0.06746978557637943), ('trainfitclub trainfitclubja', 0.06368554945222069), ('vote vote', 0.06327319014110369), ('fitness health', 0.04930896242340603), ('health fitness', 0.035756332222922786), ('trainfitclubja trainfitevents', 0.035268825073109474), ('trainfitevents', 0.035268825073109474)]",positive,"['vote', 'trainfitclubja', 'trainfitclub', 'fitness', 'trainfitclub trainfitclubja', 'vote vote', 'fitness health', 'health fitness', 'trainfitclubja trainfitevents', 'trainfitevents ']"
4,3,29,3_salary_workers_benefits_years,"[('salary', 0.07334672823836547), ('workers', 0.030671199060151633), ('benefits', 0.02964725357127051), ('years', 0.02855536715088132), ('increase', 0.024886046493414884), ('standard 95', 0.02276882988436764), ('salary increase', 0.02276882988436764), ('government workers', 0.02276882988436764), ('95', 0.02208375320333279), ('relaxed', 0.02208375320333279)]",positive,"['salary', 'workers', 'benefits', 'years', 'increase', 'standard', ' salary increase', 'government workers', '', 'relaxed ']"
5,4,28,4_ready_time get ready_time get_get ready,"[('ready', 0.03370842482804137), ('time get ready', 0.03144471420684525), ('time get', 0.029390687560924566), ('get ready', 0.028876111728559754), ('grateful', 0.028724808421051306), ('get', 0.02786458390325597), ('worker', 0.026578501318569005), ('get ready job', 0.025936147427337415), ('essential workerhealthcare', 0.025936147427337415), ('essential workerhealthcare worker', 0.025936147427337415)]",positive,"['ready', 'time get ready', 'time get', 'get ready', 'grateful', 'get', 'worker', 'get ready job', 'essential workerhealthcare', 'essential workerhealthcare worker ']"
6,5,28,5_coronavirus flattenthecurve_covid19 coronavirus flattenthecurve_flattenthecurve_jamaicaunion adventistiad,"[('coronavirus flattenthecurve', 0.05699117844595428), ('covid19 coronavirus flattenthecurve', 0.05699117844595428), ('flattenthecurve', 0.0530625895199642), ('jamaicaunion adventistiad', 0.050328658634298876), ('jamaicaunion adventistiad adventist', 0.050328658634298876), ('ogsda ejcsda jamaicaunion', 0.050328658634298876), ('ejcsda jamaicaunion', 0.050328658634298876), ('ejcsda jamaicaunion adventistiad', 0.050328658634298876), ('jamaicaunion', 0.04999756019191234), ('seventhdayadventist sdachurch', 0.0496781297678087)]",positive,"['coronavirus flattenthecurve', 'covid coronavirus flattenthecurve', 'flattenthecurve', 'jamaicaunion adventistiad', 'jamaicaunion adventistiad adventist', 'ogsda ejcsda jamaicaunion', 'ejcsda jamaicaunion', 'ejcsda jamaicaunion adventistiad', 'jamaicaunion', 'seventhdayadventist sdachurch ']"
7,6,28,6_jamaica_workers jamaica_healthcare_time thanks see,"[('jamaica', 0.02876523534949385), ('workers jamaica', 0.02378097903228565), ('healthcare', 0.0227299655611472), ('time thanks see', 0.022562026577792913), ('standing healthcare workers', 0.022562026577792913), ('besmart besafe', 0.022562026577792913), ('jamaica around world', 0.022562026577792913), ('endstigma covid19', 0.022562026577792913), ('world especially time', 0.022562026577792913), ('besafe bekind', 0.022562026577792913)]",positive,"['jamaica', 'workers jamaica', 'healthcare', 'time thanks see', 'standing healthcare workers', 'besmart besafe', 'jamaica around world', 'endstigma covid', 'world especially time', 'besafe bekind ']"
8,7,27,7_ogsdarepost_100daysofprayer_adventist_asked pray,"[('ogsdarepost', 0.049509311277597556), ('100daysofprayer', 0.047106624935396545), ('adventist', 0.0468457419836604), ('asked pray', 0.04534183075814607), ('welcome day', 0.04534183075814607), ('100daysofprayer today', 0.04534183075814607), ('adventistiad', 0.04305784631392661), ('ogsda ejcsda', 0.0406014910457925), ('adventistiad adventist', 0.04018319978912245), ('ejcsda', 0.04018319978912245)]",positive,"['ogsdarepost', 'daysofprayer', 'adventist', 'asked pray', 'welcome day', 'daysofprayer today', 'adventistiad', 'ogsda ejcsda', 'adventistiad adventist', 'ejcsda ']"
9,8,27,8_jamaica_covid19 vaccines_covid19_vaccination,"[('jamaica', 0.04278526602403707), ('covid19 vaccines', 0.031599325932000155), ('covid19', 0.03150528305100986), ('vaccination', 0.030239134535625625), ('vaccines', 0.03019981795021046), ('medical supplies', 0.0297122349791616), ('vaccination card saying', 0.028189261441901266), ('card saying internationally', 0.028189261441901266), ('document developed', 0.028189261441901266), ('card saying', 0.028189261441901266)]",positive,"['jamaica', 'covid vaccines', 'covid', 'vaccination', 'vaccines', 'medical supplies', 'vaccination card saying', 'card saying internationally', 'document developed', 'card saying ']"
