Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,183,-1_health_one_covid19_people,"[('health', 0.018340413845346865), ('one', 0.008425313027113713), ('covid19', 0.008105674922039155), ('people', 0.007602650939341589), ('dont', 0.006838679573156595), ('press', 0.006217350214853278), ('get', 0.0061863379885540885), ('would', 0.006015059963768099), ('belize', 0.005967930060872212), ('us', 0.0057443174094763405)]",negative,"['health', 'one', 'covid', 'people', 'dont', 'press', 'get', 'would', 'belize', 'us ']"
1,0,57,0_health_mental_mental health_bad,"[('health', 0.04873179462428925), ('mental', 0.04789453877687546), ('mental health', 0.04655400525131622), ('bad', 0.017000763484058684), ('know', 0.015153424786754055), ('care', 0.014573469505248406), ('get', 0.014066744047427436), ('people', 0.013529123514367336), ('something', 0.012899428602528646), ('kids', 0.011786735683705763)]",negative,"['health', 'mental', 'mental health', 'bad', 'know', 'care', 'get', 'people', 'something', 'kids ']"
2,1,33,1_covid19_covid_death_dead,"[('covid19', 0.029862122142056774), ('covid', 0.026185814471628904), ('death', 0.01952373394512426), ('dead', 0.017760207554477034), ('care', 0.01646943544088266), ('last', 0.015530371930781519), ('calling', 0.015158895173012454), ('country', 0.015152528243120453), ('see', 0.014979217724550506), ('one', 0.01403253153376416)]",negative,"['covid', 'covid', 'death', 'dead', 'care', 'last', 'calling', 'country', 'see', 'one ']"
3,2,30,2_coronavirus_guatemala_positive_cases,"[('coronavirus', 0.057644068795918275), ('guatemala', 0.03110012914132684), ('positive', 0.029854825978541506), ('cases', 0.026115113626586615), ('positive coronavirus', 0.025145036125238964), ('spike', 0.025145036125238964), ('staff', 0.021531767581267833), ('omicron', 0.020341706683062594), ('guatemala city', 0.018998525622708227), ('city', 0.018998525622708227)]",negative,"['coronavirus', 'guatemala', 'positive', 'cases', 'positive coronavirus', 'spike', 'staff', 'omicron', 'guatemala city', 'city ']"
4,3,29,3_vaccine_vaccines_im_world,"[('vaccine', 0.03973158416099961), ('vaccines', 0.029364814052828373), ('im', 0.019182264161368034), ('world', 0.017129474864149886), ('physicians', 0.016089560696905494), ('scientists', 0.016089560696905494), ('even', 0.013998422135985593), ('physicians imam', 0.01335274104976562), ('brief', 0.01335274104976562), ('brief news regarding', 0.01335274104976562)]",negative,"['vaccine', 'vaccines', 'im', 'world', 'physicians', 'scientists', 'even', 'physicians imam', 'brief', 'brief news regarding ']"
5,4,26,4_quarantine_day_island_confirmed,"[('quarantine', 0.03700187746001813), ('day', 0.027954669475406733), ('island', 0.02242544289531809), ('confirmed', 0.01915101329103734), ('weeks', 0.018190674207614943), ('covid19', 0.017917273285234063), ('back', 0.016770925160976915), ('mothers', 0.015997361607194928), ('self quarantine', 0.015997361607194928), ('self', 0.015997361607194928)]",negative,"['quarantine', 'day', 'island', 'confirmed', 'weeks', 'covid', 'back', 'mothers', 'self quarantine', 'self ']"
6,5,26,5_honduras_health_people_government,"[('honduras', 0.048026746906812745), ('health', 0.020240947270158984), ('people', 0.018552860343978888), ('government', 0.01842225246615352), ('taken', 0.01578888103378241), ('honduran', 0.01578888103378241), ('roatan', 0.01530696234736755), ('hospital', 0.015008358408378981), ('covid19', 0.014675778515937245), ('help', 0.013071930874598053)]",negative,"['honduras', 'health', 'people', 'government', 'taken', 'honduran', 'roatan', 'hospital', 'covid', 'help ']"
7,6,26,6_patients_covid_icu_covid19,"[('patients', 0.03409517894178072), ('covid', 0.02197560204164403), ('icu', 0.021956469754921704), ('covid19', 0.021051092947290212), ('pneumonia', 0.015662816022253587), ('sps', 0.015662816022253587), ('patient', 0.015625430679474382), ('care', 0.01505001641682687), ('medicine', 0.013613784608688624), ('foam quedateenlacasa ucicovid', 0.012293050806535397)]",negative,"['patients', 'covid', 'icu', 'covid', 'pneumonia', 'sps', 'patient', 'care', 'medicine', 'foam quedateenlacasa ucicovid ']"
8,7,25,7_amp_well_protest_votes,"[('amp', 0.025425070843208816), ('well', 0.022251663644038123), ('protest', 0.018858498871658008), ('votes', 0.01414911318213921), ('ahso acting', 0.01414911318213921), ('entire amp', 0.01414911318213921), ('puppets whatever needhow', 0.01414911318213921), ('amp well', 0.01414911318213921), ('ahso acting personal', 0.01414911318213921), ('personal attorney', 0.01414911318213921)]",negative,"['amp', 'well', 'protest', 'votes', 'ahso acting', 'entire amp', 'puppets whatever needhow', 'amp well', 'ahso acting personal', 'personal attorney ']"
9,8,24,8_guatemala_en_city guatemala_guatemala city guatemala,"[('guatemala', 0.09206316157803128), ('en', 0.04782737670156655), ('city guatemala', 0.043901673254449554), ('guatemala city guatemala', 0.043901673254449554), ('city', 0.03873658124240782), ('guatemala city', 0.03873658124240782), ('quarantine', 0.035947118429508276), ('en guatemala city', 0.03573699210814816), ('en guatemala', 0.03573699210814816), ('chimaltenango', 0.03146894575228561)]",negative,"['guatemala', 'en', 'city guatemala', 'guatemala city guatemala', 'city', 'guatemala city', 'quarantine', 'en guatemala city', 'en guatemala', 'chimaltenango ']"
10,9,23,9_side_nurses_pay_greedy,"[('side', 0.03864723759797179), ('nurses', 0.03685999726404022), ('pay', 0.02948511762297229), ('greedy', 0.025894849980019768), ('torybritain', 0.025894849980019768), ('doctors', 0.022800471491761037), ('also', 0.02052824658830475), ('banananews', 0.02006964883455778), ('workers', 0.019365530174670652), ('nurse', 0.01900039290980086)]",negative,"['side', 'nurses', 'pay', 'greedy', 'torybritain', 'doctors', 'also', 'banananews', 'workers', 'nurse ']"
11,10,23,10_belize_press_caribbean_health,"[('belize', 0.06520379314185151), ('press', 0.03331127870680752), ('caribbean', 0.03140283638021433), ('health', 0.029442442096269433), ('government belize', 0.02877798646956209), ('office', 0.027800398719789225), ('belize press', 0.02527466249459768), ('government', 0.024117274989669455), ('press office', 0.024015881240647085), ('belize press office', 0.024015881240647085)]",negative,"['belize', 'press', 'caribbean', 'health', 'government belize', 'office', 'belize press', 'government', 'press office', 'belize press office ']"
12,11,14,11_safe_take care_illustratorlife_socialdistancing nosalgas,"[('safe', 0.06435919212541882), ('take care', 0.051597714410114584), ('illustratorlife', 0.05117143788654995), ('socialdistancing nosalgas', 0.05117143788654995), ('surfacedesign besafe', 0.05117143788654995), ('nosalgas covid19 illustratorlife', 0.05117143788654995), ('larisahernandez', 0.05117143788654995), ('nosalgas covid19', 0.05117143788654995), ('covid19 illustratorlife', 0.05117143788654995), ('covid19 illustratorlife surfacedesign', 0.05117143788654995)]",negative,"['safe', 'take care', 'illustratorlife', 'socialdistancing nosalgas', 'surfacedesign besafe', 'nosalgas covid illustratorlife', 'larisahernandez', 'nosalgas covid', 'covid illustratorlife', 'covid illustratorlife surfacedesign ']"
13,12,14,12_covid19 vaccine_vaccine_back_plan covid19,"[('covid19 vaccine', 0.07127810947658006), ('vaccine', 0.06632028079210632), ('back', 0.05381324895889789), ('plan covid19', 0.046389060513975185), ('back booster', 0.046389060513975185), ('officials advise white', 0.046389060513975185), ('booster plan covid19', 0.046389060513975185), ('plan covid19 vaccine', 0.046389060513975185), ('scale', 0.046389060513975185), ('scale back', 0.046389060513975185)]",negative,"['covid vaccine', 'vaccine', 'back', 'plan covid', 'back booster', 'officials advise white', 'booster plan covid', 'plan covid vaccine', 'scale', 'scale back ']"
