Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,7834,-1_health_amp_covid19_good,"[('health', 0.0027637173713406034), ('amp', 0.0026923606126811788), ('covid19', 0.0025071573270641144), ('good', 0.002107686701933599), ('care', 0.0020424456074552844), ('pakistan', 0.0018817942843650823), ('covid', 0.001881086987017446), ('hospital', 0.001868044899409937), ('people', 0.0018404009968241626), ('doctors', 0.0017960443617291108)]",positive,"['health', 'amp', 'covid', 'good', 'care', 'pakistan', 'covid', 'hospital', 'people', 'doctors ']"
1,0,526,0_birthday_happy birthday_happy_wealth,"[('birthday', 0.03204351669143673), ('happy birthday', 0.030468789315269192), ('happy', 0.02236798294759528), ('wealth', 0.015053478317686634), ('happiness', 0.01439244365960998), ('health wealth', 0.01215061059923616), ('health happiness', 0.011239800888878772), ('birthday may', 0.010911149476441416), ('good health', 0.010788670355141052), ('bless', 0.01041439199308308)]",positive,"['birthday', 'happy birthday', 'happy', 'wealth', 'happiness', 'health wealth', 'health happiness', 'birthday may', 'good health', 'bless ']"
2,1,477,1_allah bless_may allah bless_allah_bless,"[('allah bless', 0.03622378006581017), ('may allah bless', 0.03152108427811643), ('allah', 0.031074802305891373), ('bless', 0.030632274769646976), ('may allah', 0.02854477657323734), ('health may', 0.02434909645724298), ('health may allah', 0.02414014626790331), ('health ameen', 0.02369971266730182), ('may', 0.02307720893658747), ('health ameen may', 0.021681965146119857)]",positive,"['allah bless', 'may allah bless', 'allah', 'bless', 'may allah', 'health may', 'health may allah', 'health ameen', 'may', 'health ameen may ']"
3,2,394,2_mental health_mental_mental health issues_health,"[('mental health', 0.03820049914799131), ('mental', 0.037225678997754884), ('mental health issues', 0.006627006350889791), ('health', 0.006284836310214197), ('mental health awareness', 0.0061773057624746235), ('good mental', 0.005992711719772444), ('good mental health', 0.00584476432810215), ('health issues', 0.005443682995493587), ('health awareness', 0.005368118751659975), ('day', 0.004954737273592372)]",positive,"['mental health', 'mental', 'mental health issues', 'health', 'mental health awareness', 'good mental', 'good mental health', 'health issues', 'health awareness', 'day ']"
4,3,301,3_education_countries_economy_sector,"[('education', 0.006619224782749351), ('countries', 0.005541629770897754), ('economy', 0.005102637415106128), ('sector', 0.0050534624912733925), ('afghanistan', 0.004873739823689893), ('global', 0.004722180710599295), ('infrastructure', 0.004507615441049082), ('world', 0.004361040110872083), ('development', 0.004240889695777312), ('health education', 0.0041481931625839035)]",positive,"['education', 'countries', 'economy', 'sector', 'afghanistan', 'global', 'infrastructure', 'world', 'development', 'health education ']"
5,4,292,4_recovery_speedy_speedy recovery_health speedy recovery,"[('recovery', 0.049795506646965464), ('speedy', 0.043921330815716544), ('speedy recovery', 0.041757277961596506), ('health speedy recovery', 0.022737606874421074), ('health speedy', 0.022597003277371196), ('recovery good health', 0.018239969782803827), ('recovery good', 0.01804854645049311), ('recovery may', 0.014086421195293205), ('good health speedy', 0.013789094664427598), ('recovery may allah', 0.012802639109855667)]",positive,"['recovery', 'speedy', 'speedy recovery', 'health speedy recovery', 'health speedy', 'recovery good health', 'recovery good', 'recovery may', 'good health speedy', 'recovery may allah ']"
6,5,285,5_nurses_jobs_nurse_doctors nurses,"[('nurses', 0.028740559339648617), ('jobs', 0.019252127508913378), ('nurse', 0.01852587100335473), ('doctors nurses', 0.01595757822014096), ('jobs 2022', 0.014194791088654006), ('doctors', 0.01372234898683826), ('2022', 0.010539075036184647), ('staff', 0.009639011634202057), ('salute', 0.007805779000464049), ('medical', 0.007375909645675893)]",positive,"['nurses', 'jobs', 'nurse', 'doctors nurses', 'jobs', ' doctors', '', 'staff', 'salute', 'medical ']"
7,6,280,6_mask_wear_masks_wear mask,"[('mask', 0.0284096660911902), ('wear', 0.018881976596624748), ('masks', 0.01866452956442065), ('wear mask', 0.01494778054208745), ('wearing', 0.006680868751846791), ('face', 0.005914516740983285), ('wear masks', 0.00578719512313801), ('covid19', 0.005304298417633657), ('gloves', 0.005150226970886503), ('wash', 0.005107279022279231)]",positive,"['mask', 'wear', 'masks', 'wear mask', 'wearing', 'face', 'wear masks', 'covid', 'gloves', 'wash ']"
8,7,230,7_eid_mubarak_eid mubarak_prosperity,"[('eid', 0.054742937189145774), ('mubarak', 0.03321213265696254), ('eid mubarak', 0.03171801095939321), ('prosperity', 0.013550901320531931), ('eidmubarak', 0.013161806430111507), ('eidulfitr', 0.012822255268515294), ('family', 0.012720206558905146), ('peace', 0.012719211011943536), ('happiness', 0.011670876697926715), ('occasion', 0.011413242908235246)]",positive,"['eid', 'mubarak', 'eid mubarak', 'prosperity', 'eidmubarak', 'eidulfitr', 'family', 'peace', 'happiness', 'occasion ']"
9,8,229,8_environment_climate_trees_earth,"[('environment', 0.016236386944150465), ('climate', 0.012189385017104225), ('trees', 0.010533518874186012), ('earth', 0.010359579910882877), ('nature', 0.009789933936838096), ('worldenvironmentday', 0.008942996683088568), ('planet', 0.008199520645355727), ('animals', 0.007825346474807392), ('gogreen', 0.007765910832154065), ('climate change', 0.007534537325222481)]",positive,"['environment', 'climate', 'trees', 'earth', 'nature', 'worldenvironmentday', 'planet', 'animals', 'gogreen', 'climate change ']"
