Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,338,-1_health_covid19_korea_coronavirus,"[('health', 0.012755583923421472), ('covid19', 0.010966621967867567), ('korea', 0.009801668096531942), ('coronavirus', 0.008684296504390388), ('south', 0.008029102233528112), ('people', 0.006912074504826163), ('covid', 0.0067075434717484535), ('medical', 0.00589353873709976), ('hospital', 0.005822121335157876), ('dont', 0.005721319472550509)]",negative,"['health', 'covid', 'korea', 'coronavirus', 'south', 'people', 'covid', 'medical', 'hospital', 'dont ']"
1,0,396,0_korea_covid19_coronavirus_south,"[('korea', 0.024915486388225272), ('covid19', 0.018307492464901324), ('coronavirus', 0.016551962253222398), ('south', 0.016371407460391455), ('north', 0.015420708444927426), ('cases', 0.01381953116726464), ('health', 0.013119309459420189), ('view', 0.012852405171551784), ('article', 0.012020561729039824), ('north korea', 0.011836481338649351)]",negative,"['korea', 'covid', 'coronavirus', 'south', 'north', 'cases', 'health', 'view', 'article', 'north korea ']"
2,1,89,1_health_dont_healthcare_free,"[('health', 0.028406875931383548), ('dont', 0.01953863433745403), ('healthcare', 0.019350566489288033), ('free', 0.015011806829844212), ('im', 0.01455970083219914), ('care', 0.013025756224969352), ('health care', 0.011416497622629196), ('free healthcare', 0.010522439263317319), ('america', 0.009843873460249489), ('tobacco', 0.00943218874133744)]",negative,"['health', 'dont', 'healthcare', 'free', 'im', 'care', 'health care', 'free healthcare', 'america', 'tobacco ']"
3,2,59,2_mask_masks_wear_wearing,"[('mask', 0.0590758746455632), ('masks', 0.03620653539850469), ('wear', 0.02288252171249862), ('wearing', 0.01860906703348945), ('people', 0.01711444380058201), ('buy', 0.0167137890148344), ('wear mask', 0.01586624486430894), ('people buy', 0.011652020017051847), ('take', 0.011375531608522407), ('shop', 0.010933090216942045)]",negative,"['mask', 'masks', 'wear', 'wearing', 'people', 'buy', 'wear mask', 'people buy', 'take', 'shop ']"
4,3,55,3_mental_mental health_health_good,"[('mental', 0.08129090728553673), ('mental health', 0.07706287574525891), ('health', 0.0494542733674024), ('good', 0.016541123893438064), ('self', 0.014048996655198584), ('physical', 0.01224353727062372), ('ive', 0.012117515227754422), ('better', 0.010002636181238983), ('several', 0.009565020563340534), ('didnt', 0.009378163361493492)]",negative,"['mental', 'mental health', 'health', 'good', 'self', 'physical', 'ive', 'better', 'several', 'didnt ']"
5,4,48,4_vaccinated_vaccine_covid19_vaccines,"[('vaccinated', 0.03319126117319978), ('vaccine', 0.02307143228429958), ('covid19', 0.01778401980321381), ('vaccines', 0.016593287881701262), ('unvaccinated', 0.016336323371978604), ('healthcare', 0.01617939988265553), ('age', 0.014761323930414344), ('myanmar', 0.014338988567432109), ('healthcare workers', 0.013711206571685612), ('vaccination', 0.0130166788467846)]",negative,"['vaccinated', 'vaccine', 'covid', 'vaccines', 'unvaccinated', 'healthcare', 'age', 'myanmar', 'healthcare workers', 'vaccination ']"
6,5,35,5_coronavirus_novel coronavirus_novel_2019,"[('coronavirus', 0.06503308797808327), ('novel coronavirus', 0.054321473595165294), ('novel', 0.054321473595165294), ('2019', 0.04985269124539078), ('health', 0.04952954623401944), ('covid19', 0.041062237505257546), ('2019 novel', 0.038191032003325215), ('2019 novel coronavirus', 0.038191032003325215), ('world health organization', 0.036773754752017766), ('health organization', 0.03655493319405317)]",negative,"['coronavirus', 'novel coronavirus', 'novel', '', 'health', 'covid', ' novel', ' novel coronavirus', 'world health organization', 'health organization ']"
7,6,34,6_health_seoul_cancelled_hope,"[('health', 0.023513918545957642), ('seoul', 0.019514738882029464), ('cancelled', 0.019037562994070313), ('hope', 0.018052204426921396), ('album', 0.016201751447388273), ('really', 0.014492812364083564), ('kpop', 0.014092221235410029), ('concert', 0.013641219702969061), ('safety', 0.013314548665659754), ('due', 0.012708194054345505)]",negative,"['health', 'seoul', 'cancelled', 'hope', 'album', 'really', 'kpop', 'concert', 'safety', 'due ']"
8,7,28,7_protest_kong_protests_hong kong,"[('protest', 0.07009978446295108), ('kong', 0.04257856658530212), ('protests', 0.040419438274234984), ('hong kong', 0.03878738899987291), ('hong', 0.03878738899987291), ('live', 0.030764249953528888), ('protest covid19', 0.025422974502988156), ('whatshappeninginmyanmar', 0.022455243485686102), ('protesters', 0.02101080043921993), ('coronavirus clinics', 0.02101080043921993)]",negative,"['protest', 'kong', 'protests', 'hong kong', 'hong', 'live', 'protest covid', 'whatshappeninginmyanmar', 'protesters', 'coronavirus clinics ']"
9,8,18,8_people_please_fear_please please,"[('people', 0.038103536766100524), ('please', 0.03452949256840877), ('fear', 0.029285140086583415), ('please please', 0.026013371972367534), ('anxiety', 0.023925947795694954), ('could', 0.02269696497880158), ('wont', 0.020846367285460295), ('stressful people fear', 0.02031519977147912), ('send beautiful brightflowers', 0.02031519977147912), ('send beautiful', 0.02031519977147912)]",negative,"['people', 'please', 'fear', 'please please', 'anxiety', 'could', 'wont', 'stressful people fear', 'send beautiful brightflowers', 'send beautiful ']"
