,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,135,-1_health_bonus_amp_covid19,"[('health', 0.01524071348451791), ('bonus', 0.01361710695437406), ('amp', 0.013292144226714035), ('covid19', 0.009410553326657993), ('message', 0.008649350257892182), ('safe', 0.008579051666096195), ('day', 0.007984711145087196), ('holiday', 0.007820299325356054), ('send', 0.007146548009450737), ('medical', 0.006950866318240447)]",positive
1,0,51,0_health_body_c9_detox,"[('health', 0.0268606116888425), ('body', 0.024458202142360084), ('c9', 0.02196093453601268), ('detox', 0.020799736077364114), ('discount', 0.017664257102815616), ('lifestyle', 0.016874862364589096), ('fitness', 0.015614149854530014), ('benefits', 0.01511430428969306), ('get', 0.014964204271744977), ('35 discount', 0.014620709854445505)]",positive
2,1,34,1_safe_holidays_stay safe_easter,"[('safe', 0.04003006214464513), ('holidays', 0.03975055963148839), ('stay safe', 0.022771173306998068), ('easter', 0.022288729559300745), ('enjoy', 0.022093819171740147), ('stay', 0.02109785509871681), ('morning', 0.02094484050550332), ('season', 0.01936767589561742), ('metro', 0.017628547207105855), ('nu', 0.017628547207105855)]",positive
3,2,33,2_voucher_vouchers_gift_bonus,"[('voucher', 0.04177532336724277), ('vouchers', 0.0329019744193322), ('gift', 0.016835048123574326), ('bonus', 0.016140288953143036), ('get', 0.01548303617167774), ('cards', 0.013910043069114895), ('delivery', 0.01346803849885946), ('win', 0.012001240727605916), ('mysol', 0.011362293192130411), ('wow', 0.011362293192130411)]",positive
4,3,28,3_workers_night_health workers_allowance,"[('workers', 0.03590632013678961), ('night', 0.03197950981345876), ('health workers', 0.02956187782231569), ('allowance', 0.029276460891932324), ('shift', 0.029203729656874077), ('health', 0.029026636148298004), ('care', 0.028811222622157066), ('night shift', 0.027345661592772852), ('allowances', 0.02628335669118667), ('significant', 0.021268847905489996)]",positive
5,4,26,4_travel_travels_traveling_safe,"[('travel', 0.04304429060647161), ('travels', 0.027679984675891976), ('traveling', 0.02748573003352932), ('safe', 0.026033790577954317), ('traveltomorrow', 0.02562896716925947), ('safe travels', 0.024668943695388225), ('safety', 0.022017747018870732), ('injury collisions', 0.020150604107726428), ('start travelingi traveling', 0.020150604107726428), ('six months', 0.020150604107726428)]",positive
6,5,24,5_health_happy_month_blessed,"[('health', 0.02653828434857639), ('happy', 0.025721797845732187), ('month', 0.02055543472570787), ('blessed', 0.01944072522672343), ('love', 0.01929134838429914), ('john', 0.017598557456224836), ('words', 0.016939341337499917), ('good', 0.016700334388962967), ('year', 0.01607612365358262), ('happiness', 0.01594628263515946)]",positive
7,6,22,6_travel_covid_zimbabwe_even,"[('travel', 0.02884764126098842), ('covid', 0.018038481923485124), ('zimbabwe', 0.01757309063347088), ('even', 0.01757309063347088), ('travellers', 0.01731399851184336), ('increasing health', 0.016031074605872827), ('uv', 0.016031074605872827), ('covid ebola etc', 0.016031074605872827), ('uv light', 0.016031074605872827), ('innovation making', 0.016031074605872827)]",positive
8,7,22,7_covid19_need_take_distancing,"[('covid19', 0.027911171196588935), ('need', 0.02596343937276629), ('take', 0.023455166053605633), ('distancing', 0.021063028245933174), ('live', 0.021063028245933174), ('cant', 0.020478958863646566), ('responsibility', 0.020478958863646566), ('communities', 0.019973347835674754), ('around', 0.017598831100777285), ('vaccine', 0.016850422596746538)]",positive
9,8,21,8_immune_best_health_coffee,"[('immune', 0.0405512775257895), ('best', 0.033750100670138374), ('health', 0.031004132056986815), ('coffee', 0.024822259296104206), ('immune system', 0.024822259296104206), ('imsyser', 0.024553948530789703), ('immunity', 0.02301286618345458), ('immune health', 0.021364079601667495), ('imsyser immune health', 0.021364079601667495), ('imsyser immune', 0.021364079601667495)]",positive
10,9,20,9_zambia_laboratory_neurology_plant,"[('zambia', 0.045585744830519484), ('laboratory', 0.033836499948859594), ('neurology', 0.02433126955178566), ('plant', 0.02433126955178566), ('amp', 0.022961813982851055), ('join', 0.0209528158780876), ('heroes', 0.0209414934117444), ('messages', 0.02038377384922178), ('roadhealth', 0.01740516671494764), ('congratulations', 0.016753194729395522)]",positive
11,10,19,10_salary_experience_sales_centurion,"[('salary', 0.03741887389388568), ('experience', 0.028767703048386085), ('sales', 0.025171740167337826), ('centurion', 0.019221725376944603), ('send cv', 0.019221725376944603), ('requirements', 0.019221725376944603), ('centurion looking', 0.019221725376944603), ('cv', 0.019221725376944603), ('position', 0.019221725376944603), ('young', 0.01850170777154117)]",positive
12,11,18,11_masks_mask_minister_radio,"[('masks', 0.037128175499312646), ('mask', 0.027846131624484485), ('minister', 0.025287881232174687), ('radio', 0.01957688354741375), ('donate', 0.019034024365574952), ('south', 0.016858587488116458), ('wearing', 0.016516012385377893), ('covid19', 0.016213651172554317), ('messages', 0.014057775068428813), ('distance', 0.013923065812242242)]",positive
13,12,18,12_covid19_workers_africa_solidarity,"[('covid19', 0.04353300811265212), ('workers', 0.02964114110998908), ('africa', 0.02712594025386669), ('solidarity', 0.024108064218211298), ('response establishment', 0.023223902801469725), ('covid19 response', 0.023223902801469725), ('campaign aimed protecting', 0.023223902801469725), ('reopen', 0.023223902801469725), ('member', 0.023223902801469725), ('member states', 0.023223902801469725)]",positive
14,13,17,13_children_free_school_vouchers,"[('children', 0.038638035198699), ('free', 0.033016503780156095), ('school', 0.026322315825990174), ('vouchers', 0.024332364347900193), ('part', 0.019604477344669184), ('uniforms', 0.018497456384398456), ('day', 0.016712360639200362), ('r800', 0.015605355060870841), ('interested part', 0.015605355060870841), ('let us know', 0.015605355060870841)]",positive
15,14,16,14_medical_open_emergency_amp emergency travel,"[('medical', 0.04348196429977943), ('open', 0.036577697076971685), ('emergency', 0.035274431390977745), ('amp emergency travel', 0.031097549567591223), ('pharmacy', 0.031097549567591223), ('range', 0.031097549567591223), ('services including doctor', 0.031097549567591223), ('range health services', 0.031097549567591223), ('emergency travel', 0.031097549567591223), ('open offer range', 0.031097549567591223)]",positive
16,15,16,15_company_beds_falls_victoria,"[('company', 0.03705940223335222), ('beds', 0.03661136319296815), ('falls', 0.031381168451115556), ('victoria', 0.031381168451115556), ('victoria falls', 0.031381168451115556), ('hospital', 0.02991806797032608), ('covid19sa', 0.026896811579354897), ('accommodation', 0.024427427580405572), ('hands', 0.024427427580405572), ('bridge already', 0.02308848645860401)]",positive
17,16,15,16_learn_im_good_looking opportunity exposure,"[('learn', 0.07199986499665549), ('im', 0.06608477413498491), ('good', 0.05866628005490505), ('looking opportunity exposure', 0.042064501302544036), ('student looking', 0.042064501302544036), ('student looking opportunity', 0.042064501302544036), ('dont mind im', 0.042064501302544036), ('enhance skills', 0.042064501302544036), ('skills anything offer', 0.042064501302544036), ('skills anything', 0.042064501302544036)]",positive
18,17,13,17_stay home_globe_countries_traveling,"[('stay home', 0.04393363583156178), ('globe', 0.042848945397676134), ('countries', 0.041892809460492834), ('traveling', 0.04044328847790743), ('cases', 0.04026538725751863), ('virus', 0.03661136319296815), ('home', 0.03628253159980123), ('need', 0.03610154427070361), ('corona', 0.03570745449806344), ('stay', 0.032447640004883656)]",positive
19,18,13,18_jerusalemadancechallenge_mom_nurses_covid nurses jerusalemadancechallenge,"[('jerusalemadancechallenge', 0.06751450309240901), ('mom', 0.05952004110786278), ('nurses', 0.04430819215633844), ('covid nurses jerusalemadancechallenge', 0.04257715513602783), ('jerusalemadancechallenge mom', 0.04257715513602783), ('jerusalemadancechallenge mom also', 0.04257715513602783), ('also thre well', 0.04257715513602783), ('also thre', 0.04257715513602783), ('hospital covid nurses', 0.04257715513602783), ('thre well', 0.04257715513602783)]",positive
20,19,11,19_amp_centres_covid19_healthcare workers,"[('amp', 0.10925621293801024), ('centres', 0.04221074815189269), ('covid19', 0.030819562144804927), ('healthcare workers', 0.026285827953189365), ('enemy called covid19', 0.024417790859950845), ('contain pandemic', 0.024417790859950845), ('covid19 screening amp', 0.024417790859950845), ('invisible enemy', 0.024417790859950845), ('enemy called', 0.024417790859950845), ('contain', 0.024417790859950845)]",positive
