,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,118,-1_health_africa_south africa_travel,"[('health', 0.018015171797473407), ('africa', 0.012714033852386303), ('south africa', 0.01168981030972113), ('travel', 0.011505541976081477), ('south', 0.010346207424777864), ('workers', 0.009658933928827345), ('covid19', 0.009432902752231909), ('amp', 0.008789051385788338), ('ppes', 0.008170665754818457), ('demand', 0.00792382671889234)]",negative
1,0,67,0_travel_health_people_donkeys,"[('travel', 0.032864596628060364), ('health', 0.02006313151364898), ('people', 0.013953656921118286), ('donkeys', 0.01207660666908255), ('countries', 0.010688632322717363), ('quarantine', 0.010651508120715919), ('system', 0.010402982684828149), ('public', 0.00998625638742099), ('health system', 0.009854142400787917), ('take', 0.008783928671870552)]",negative
2,1,49,1_amp_people_message_messages,"[('amp', 0.023364786675939116), ('people', 0.021499947420322327), ('message', 0.020897884244493247), ('messages', 0.019419263931556133), ('mental health', 0.01708129186297716), ('health', 0.017072678972870493), ('mental', 0.016843327282419877), ('opposition', 0.012100643889408689), ('covid', 0.011162862789221363), ('care', 0.010064471010282012)]",negative
3,2,47,2_alcohol_sale_level_health,"[('alcohol', 0.03151787356183768), ('sale', 0.028697945203732627), ('level', 0.02424404262893591), ('health', 0.02125392888766052), ('sales', 0.015936309651560593), ('cigarettes', 0.01589211309793144), ('allowed', 0.015460604535427625), ('alcohol sales', 0.013439388953077017), ('south', 0.012617111882998019), ('covid19', 0.012026223909705737)]",negative
4,3,47,3_covid19_pcr_travel_covid,"[('covid19', 0.0317874352333721), ('pcr', 0.024649649665390305), ('travel', 0.022949550537651613), ('covid', 0.021077083208283734), ('need', 0.01604283864715081), ('tested', 0.014879454878863182), ('positive', 0.01445573340081592), ('negative', 0.014279842621170208), ('virus', 0.014190996910587362), ('back', 0.013454392454417164)]",negative
5,4,39,4_salary_usd_000_bonus,"[('salary', 0.03152270344040362), ('usd', 0.02691921304516624), ('000', 0.02353580828658644), ('bonus', 0.023014502224132406), ('allowance', 0.020672156680859696), ('give', 0.019602194272245983), ('workers', 0.01627792261570518), ('paid', 0.01242425217469211), ('earns', 0.012328029884554143), ('even', 0.01149195831817768)]",negative
6,5,34,5_lockdown_people_stay_hit,"[('lockdown', 0.05109451327255766), ('people', 0.020525670254052674), ('stay', 0.018429608836718014), ('hit', 0.017635067981398092), ('businesses', 0.015159889735523699), ('sales', 0.015110984969619825), ('stay home', 0.01505284386644096), ('party', 0.014695889984498408), ('saleshando', 0.014695889984498408), ('home', 0.014641272499698014)]",negative
7,6,27,6_black_520_healthcare heroes_professionals 520 black,"[('black', 0.10020549093531303), ('520', 0.06190786882399686), ('healthcare heroes', 0.06190786882399686), ('professionals 520 black', 0.06190786882399686), ('neck black', 0.06190786882399686), ('racialprofilinginvestigation medicalschemes', 0.06190786882399686), ('professionals 520', 0.06190786882399686), ('medicalschemes medicalaidinquiry', 0.06190786882399686), ('racialprofilinginvestigation', 0.06190786882399686), ('medicalschemes', 0.06190786882399686)]",negative
8,7,26,7_voucher_vouchers_watchatv_data,"[('voucher', 0.06948363692031213), ('vouchers', 0.033403943541415286), ('watchatv', 0.02321002492674193), ('data', 0.016265112135385527), ('go', 0.015433012013402426), ('get', 0.013787118567202404), ('buy', 0.013509236719776538), ('angipha voucher', 0.012908388893135633), ('using favourite device', 0.012908388893135633), ('comfort', 0.012908388893135633)]",negative
9,8,22,8_botswana_diabetes_dont_years,"[('botswana', 0.03385340971560553), ('diabetes', 0.021928736278258514), ('dont', 0.01906607088456962), ('years', 0.016186655386184162), ('africa', 0.015171231096322445), ('health', 0.014705591886006241), ('fat', 0.012924682727989788), ('travel', 0.01251357386639573), ('billion', 0.012349221679458882), ('air', 0.011903095788333035)]",negative
10,9,20,9_workers_frontline_frontline workers_strike,"[('workers', 0.04975005315461016), ('frontline', 0.042060313480426804), ('frontline workers', 0.038610304975672576), ('strike', 0.03654703438288087), ('critical', 0.03507192116298397), ('risk', 0.03289340119080944), ('work', 0.03279560961221832), ('working', 0.032545315845370126), ('government', 0.03159363768097671), ('government identified departments', 0.031433955411884464)]",negative
11,10,18,10_zambia_mobile_mobile 260_260,"[('zambia', 0.04818539387942915), ('mobile', 0.040974201198672934), ('mobile 260', 0.040974201198672934), ('260', 0.040974201198672934), ('covid19', 0.03411520660100199), ('first', 0.033849662197320114), ('travelled', 0.03159714828242401), ('travelled france', 0.029376784162890184), ('couple travelled', 0.029376784162890184), ('couple travelled france', 0.029376784162890184)]",negative
12,11,17,11_holiday_bank holiday_need_lot,"[('holiday', 0.03596017924621628), ('bank holiday', 0.02448065346907516), ('need', 0.02439166284107623), ('lot', 0.023261988526468963), ('bank', 0.022317717356961163), ('im', 0.02106476552161601), ('dental', 0.020960073530782254), ('111', 0.020960073530782254), ('urgent', 0.019584522775260124), ('health', 0.01701783476604155)]",negative
13,12,16,12_discovery_discovery health_fired_messages,"[('discovery', 0.05344292748645177), ('discovery health', 0.05344292748645177), ('fired', 0.05344292748645177), ('messages', 0.05003009388960127), ('whatsapp', 0.047338555532342244), ('employees', 0.043315003713044), ('sent', 0.042635361095204126), ('ppe', 0.03845514375353308), ('proper', 0.03550391664925669), ('patients', 0.03550391664925669)]",negative
14,13,16,13_discount_skincare_35 discount_35,"[('discount', 0.05668169149267295), ('skincare', 0.0347347649027964), ('35 discount', 0.028829294119532084), ('35', 0.028829294119532084), ('beauty', 0.028829294119532084), ('massage', 0.021621970589649063), ('get', 0.021406315670130047), ('cash', 0.020840858941677844), ('left', 0.020202981389215707), ('men', 0.019663948047133742)]",negative
