,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,851,-1_health_amp_travel_message,"[('health', 0.00725431850652448), ('amp', 0.006103181082816333), ('travel', 0.005595356857593635), ('message', 0.004477337477827318), ('safe', 0.003925470544670484), ('great', 0.0037025580774494205), ('care', 0.0036795563695082153), ('australia', 0.0036631038063467693), ('bonus', 0.0035619970816133627), ('time', 0.003234155599495954)]",positive
1,0,206,0_safe_travel_safe travels_travels,"[('safe', 0.021301222095320444), ('travel', 0.020161989084696037), ('safe travels', 0.013619384702499876), ('travels', 0.013557936816835701), ('care', 0.011971957635981752), ('take care', 0.010590226745303523), ('take', 0.009545499162668898), ('travel safe', 0.008259971777335317), ('amp', 0.007726450764271917), ('quarantine', 0.007401365515459397)]",positive
2,1,144,1_mental_mental health_health_message,"[('mental', 0.025967627000093474), ('mental health', 0.02470730295821937), ('health', 0.013815635379846496), ('message', 0.01063666506314266), ('kids', 0.010249665950476184), ('children', 0.009075877312660187), ('important', 0.007000244065336766), ('teaching', 0.006686139158469613), ('program', 0.005710595190372127), ('young', 0.005553193719483567)]",positive
3,2,137,2_holidays_christmas_happy_holiday,"[('holidays', 0.020457607065346415), ('christmas', 0.016559019140030554), ('happy', 0.015306424322776258), ('holiday', 0.015111447870565562), ('merry', 0.011799597255898906), ('merry christmas', 0.010889720976933116), ('happy holidays', 0.010425697591352236), ('year', 0.010049350839117538), ('safe', 0.007977946858669153), ('workers', 0.007321781039179173)]",positive
4,3,118,3_vaccination_message_covid19_health,"[('vaccination', 0.014286711066595546), ('message', 0.013650470968551378), ('covid19', 0.0117580175770133), ('health', 0.01085597560330911), ('vaccinated', 0.009917480789150801), ('people', 0.009875098195029675), ('vaccine', 0.009807629214550915), ('public', 0.007880461015598725), ('hubs', 0.007831086336661545), ('covid19 vaccination', 0.007776475687917191)]",positive
5,4,96,4_bonus_points_bonus points_earningpoints,"[('bonus', 0.03962312962792304), ('points', 0.0260108371133821), ('bonus points', 0.016450490752899734), ('earningpoints', 0.014211164748601651), ('earn', 0.012651332574714182), ('deals', 0.012483344479067647), ('aviation', 0.012326266208462654), ('pointhacks', 0.010831926594857407), ('buy', 0.010427918576702258), ('buyingpoints', 0.01019346935689893)]",positive
6,5,68,5_amp_work_bonus_workers,"[('amp', 0.02998097429191805), ('work', 0.012527703374045351), ('bonus', 0.011675933083651602), ('workers', 0.009919483272294678), ('morrison', 0.0075519171784597106), ('paid', 0.007485999562693086), ('amp reward', 0.007350731011657108), ('thank', 0.007207934149724935), ('holiday', 0.007098946285132747), ('retail', 0.007095989596024971)]",positive
7,6,51,6_stayhome_staysafe_blog_townsville,"[('stayhome', 0.018290457639201323), ('staysafe', 0.017162453522171377), ('blog', 0.014890649524793815), ('townsville', 0.01387395704257311), ('savenio', 0.01299291373411824), ('blog post', 0.01299291373411824), ('stayhealthy', 0.01189196317934838), ('beautiful', 0.011624439206554349), ('stayhome staysafe', 0.011155197733759548), ('townsvilleshines', 0.011155197733759548)]",positive
8,7,51,7_discount_iherb_products_code,"[('discount', 0.03049677663774208), ('iherb', 0.028774899321928255), ('products', 0.02731845165796864), ('code', 0.024793713227634923), ('get', 0.023487533959270907), ('sale', 0.02283052536241764), ('pharmacy online', 0.022329354728868368), ('online', 0.020589971306224135), ('pharmacy', 0.019421746779989497), ('health', 0.016510948604949657)]",positive
9,8,50,8_covid19_message_safety_christmasiscancelled covid,"[('covid19', 0.027873698283941293), ('message', 0.0192811494585185), ('safety', 0.01699366054866971), ('christmasiscancelled covid', 0.014874313371360609), ('safety christmasiscancelled covid', 0.014874313371360609), ('covid19nsw covid19aus auspol', 0.014874313371360609), ('covid19nsw covid19aus', 0.014874313371360609), ('workhealthandsafety safety christmasiscancelled', 0.014874313371360609), ('workhealthandsafety', 0.014874313371360609), ('work health safety', 0.014874313371360609)]",positive
10,9,50,9_gift_vouchers_voucher_gift vouchers,"[('gift', 0.047300484421059504), ('vouchers', 0.028032846131869075), ('voucher', 0.02160523433990538), ('gift vouchers', 0.02152164189130356), ('christmas', 0.015212239628360151), ('gift voucher', 0.014371755740797175), ('gift vouchers available', 0.009921690292045753), ('nursery', 0.009630164426329624), ('vouchers available', 0.009383783928263098), ('win', 0.00907012997857284)]",positive
11,10,47,10_mask_masks_wearing_wearing mask,"[('mask', 0.03647652248836834), ('masks', 0.017476116947492147), ('wearing', 0.017464032124692438), ('wearing mask', 0.015585960538085296), ('transport', 0.012946193278702162), ('settings', 0.01166637891993708), ('face', 0.011013212551920412), ('public transport', 0.010843075243963645), ('disability', 0.010530466980454341), ('wear', 0.010137127994321388)]",positive
12,11,46,11_victoria_hit_australia_around,"[('victoria', 0.014734361036794888), ('hit', 0.014153858253567957), ('australia', 0.011885592140216585), ('around', 0.011000267418938666), ('europe', 0.010411861099397993), ('travel', 0.01023578090734533), ('covid', 0.009710369466248358), ('safe', 0.009619467641299251), ('currently', 0.009398096895765746), ('amazing safe country', 0.009336053434167496)]",positive
13,12,40,12_covid_community_tested_message,"[('covid', 0.023506517798049822), ('community', 0.014749137332917642), ('tested', 0.014219493125711094), ('message', 0.013969051745501464), ('get', 0.013673885608190328), ('negative', 0.013051603453163602), ('hotline', 0.012660807243837526), ('get tested', 0.01250701618638992), ('test', 0.012094925303197909), ('check', 0.011129595806929739)]",positive
14,13,38,13_cases_quarantine_nsw_hotel quarantine,"[('cases', 0.037667727315779886), ('quarantine', 0.027827707568871343), ('nsw', 0.020121202095431473), ('hotel quarantine', 0.01912683073254039), ('zero', 0.017972028727281833), ('local cases', 0.016461192047651892), ('fourth day', 0.016461192047651892), ('travellers', 0.01580795799887481), ('hotel', 0.015460827614082856), ('day', 0.014598015762209381)]",positive
15,14,38,14_tested_test_testing_positive,"[('tested', 0.029496601266145606), ('test', 0.023695586831986287), ('testing', 0.019055925593797766), ('positive', 0.016871044018360513), ('friend', 0.016387000703414225), ('tests', 0.015856637148180742), ('symptoms', 0.015581279197323845), ('nsw', 0.015558182615711586), ('isolate', 0.015104265468176455), ('dept', 0.014794454439055917)]",positive
16,15,35,15_accommodation_workers_frontline_healthcare workers,"[('accommodation', 0.030377009296210445), ('workers', 0.029611984476831103), ('frontline', 0.02667857157599878), ('healthcare workers', 0.023866327073761174), ('accommodation protect', 0.023016023570554593), ('free accommodation protect', 0.023016023570554593), ('accommodation protect loved', 0.023016023570554593), ('protect loved', 0.023016023570554593), ('protect loved ones', 0.023016023570554593), ('free accommodation', 0.02254393057379949)]",positive
17,16,33,16_poison_shocking video showing_urgent covid19_update covid,"[('poison', 0.06929126633267207), ('shocking video showing', 0.06929126633267207), ('urgent covid19', 0.06929126633267207), ('update covid', 0.06929126633267207), ('poison air travel', 0.06929126633267207), ('quarantine bungle', 0.06929126633267207), ('air travel doors', 0.06929126633267207), ('quarantine bungle top', 0.06929126633267207), ('video showing poison', 0.06929126633267207), ('video showing', 0.06929126633267207)]",positive
18,17,32,17_tourism_greece_bali_coronavirus,"[('tourism', 0.05308995146537804), ('greece', 0.045072274636984475), ('bali', 0.04399548006805055), ('coronavirus', 0.03274824392092287), ('via', 0.031887818026818664), ('summer', 0.025195101463048902), ('travel', 0.02336982879144647), ('economy', 0.02288974896913967), ('era coronavirus health', 0.02186135149094827), ('era coronavirus', 0.02186135149094827)]",positive
19,18,32,18_workers_government_retention_retention bonus,"[('workers', 0.02488622855639374), ('government', 0.023154672992095875), ('retention', 0.01946380564703788), ('retention bonus', 0.01946380564703788), ('allowance', 0.019328518099959727), ('bonus', 0.01689569762911788), ('finally', 0.01677537752441416), ('labor', 0.015273743283024012), ('finally added', 0.012466217122007909), ('bonus working healthcare', 0.012466217122007909)]",positive
