Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,205,-1_health_barbados_covid19_appreciate,"[('health', 0.010056429144187052), ('barbados', 0.008383683416551593), ('covid19', 0.007764747055356414), ('appreciate', 0.007413830789708114), ('safe', 0.007383681385165437), ('month', 0.007061593645632246), ('everyone', 0.0067548986448800865), ('vaccine', 0.0065393062612815476), ('people', 0.006153067820971198), ('care', 0.006114809891622783)]",positive,"['health', 'barbados', 'covid', 'appreciate', 'safe', 'month', 'everyone', 'vaccine', 'people', 'care ']"
1,0,80,0_strength_blessings_health strength_health,"[('strength', 0.042912481925618584), ('blessings', 0.03746540670058213), ('health strength', 0.03501396801057148), ('health', 0.03309404003043201), ('life', 0.03255224313631846), ('life health', 0.026027157211459706), ('amp', 0.02317452757391632), ('life health strength', 0.019865276003397676), ('earthstrong', 0.018866511536848866), ('wealth', 0.01825190064443773)]",positive,"['strength', 'blessings', 'health strength', 'health', 'life', 'life health', 'amp', 'life health strength', 'earthstrong', 'wealth ']"
2,1,75,1_women_fitness_nutrition_empower tribe,"[('women', 0.05263069202910564), ('fitness', 0.048019808317078284), ('nutrition', 0.04606808609741596), ('empower tribe', 0.04606808609741596), ('empower tribe incredible', 0.04606808609741596), ('nutrition selfcare', 0.04606808609741596), ('personalized version', 0.04606808609741596), ('health wellness fitness', 0.04606808609741596), ('women levels', 0.04606808609741596), ('help women levels', 0.04606808609741596)]",positive,"['women', 'fitness', 'nutrition', 'empower tribe', 'empower tribe incredible', 'nutrition selfcare', 'personalized version', 'health wellness fitness', 'women levels', 'help women levels ']"
3,2,67,2_thank_workers_lives_healthcare,"[('thank', 0.021600844194528047), ('workers', 0.019955828457886172), ('lives', 0.015152908725299662), ('healthcare', 0.014762121908440715), ('health', 0.011835587905290712), ('essential', 0.011574000841281655), ('community', 0.011469682269142507), ('care', 0.011071733921696669), ('frontline', 0.009753425113482242), ('day', 0.009715865727733114)]",positive,"['thank', 'workers', 'lives', 'healthcare', 'health', 'essential', 'community', 'care', 'frontline', 'day ']"
4,3,49,3_appreciate_really_care_love,"[('appreciate', 0.0997223607290867), ('really', 0.03726308568997062), ('care', 0.034956003234616034), ('love', 0.032899344338683044), ('gratitude', 0.03209970274076185), ('really appreciate', 0.030019222166239114), ('even', 0.01783316818931214), ('sight gratitude', 0.017611305539441572), ('appreciate life appreciate', 0.017611305539441572), ('appreciate life', 0.017611305539441572)]",positive,"['appreciate', 'really', 'care', 'love', 'gratitude', 'really appreciate', 'even', 'sight gratitude', 'appreciate life appreciate', 'appreciate life ']"
5,4,49,4_mental_mental health_health_people,"[('mental', 0.07085145825020077), ('mental health', 0.06753391920708125), ('health', 0.030007741915234417), ('people', 0.017952353143110278), ('help', 0.014997977375443774), ('need', 0.014689989421731789), ('issues', 0.013318385225129955), ('want shout', 0.011575970495026202), ('want shout mental', 0.011575970495026202), ('shout mental', 0.011575970495026202)]",positive,"['mental', 'mental health', 'health', 'people', 'help', 'need', 'issues', 'want shout', 'want shout mental', 'shout mental ']"
6,5,47,5_nurses_workers_doctors_covid19,"[('nurses', 0.04380150458419853), ('workers', 0.021111840610185676), ('doctors', 0.020609498578428448), ('covid19', 0.020317542883794743), ('thank nurses', 0.020310264859593825), ('world health', 0.01880218947243028), ('world health day', 0.01880218947243028), ('day', 0.01844454124394388), ('health day', 0.017871354844963768), ('thank', 0.01762740608643396)]",positive,"['nurses', 'workers', 'doctors', 'covid', 'thank nurses', 'world health', 'world health day', 'day', 'health day', 'thank ']"
7,6,44,6_barbados_thank_elderly_covid,"[('barbados', 0.027594921363237792), ('thank', 0.020388851126599775), ('elderly', 0.017732747013819397), ('covid', 0.017201285049728714), ('safety', 0.013761028039782972), ('covid19', 0.01353054192760377), ('front line', 0.012251637567310238), ('line', 0.011961843384668444), ('front', 0.011477937887091427), ('work', 0.011324387061003372)]",positive,"['barbados', 'thank', 'elderly', 'covid', 'safety', 'covid', 'front line', 'line', 'front', 'work ']"
8,7,38,7_health_benefits_weightlifting_exercise,"[('health', 0.022097899779185626), ('benefits', 0.021016600798520677), ('weightlifting', 0.01946980891334332), ('exercise', 0.0190539669316353), ('helps', 0.018385338810461713), ('fat', 0.018039297161664677), ('healthy', 0.017385758757102784), ('help', 0.01724311532602312), ('health state', 0.015364723920688673), ('state', 0.014956121392009037)]",positive,"['health', 'benefits', 'weightlifting', 'exercise', 'helps', 'fat', 'healthy', 'help', 'health state', 'state ']"
9,8,33,8_birthday_happy_happy birthday_blessings,"[('birthday', 0.07201808713210568), ('happy', 0.06499886761322597), ('happy birthday', 0.05980707086310804), ('blessings', 0.040142173372991155), ('health', 0.026735700326462143), ('good', 0.023871830432283574), ('love', 0.021354914217064723), ('may', 0.020576596323458766), ('health blessings', 0.0200915665089433), ('life', 0.020003548609182558)]",positive,"['birthday', 'happy', 'happy birthday', 'blessings', 'health', 'good', 'love', 'may', 'health blessings', 'life ']"
