,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,111,-1_travel_singapore_covid19_people,"[('travel', 0.018599580634745632), ('singapore', 0.018398796324891956), ('covid19', 0.016493463831321768), ('people', 0.011394106600856175), ('sale', 0.010822362187257985), ('mask', 0.010751962413636833), ('may', 0.009801800020364146), ('family', 0.008930453840600247), ('investigate', 0.008876044120151425), ('look', 0.008742557850140798)]",negative
1,0,95,0_singapore_voucher_bonus_news,"[('singapore', 0.02666880993329215), ('voucher', 0.02421838510502408), ('bonus', 0.02392406812609348), ('news', 0.019619974332161744), ('sgdeals', 0.019485501019564047), ('vouchers', 0.0192110305822894), ('card', 0.016046806374646973), ('sg', 0.014566870803475974), ('free', 0.01414656989308862), ('creditcard', 0.013867333747992643)]",negative
2,1,75,1_quarantine_singapore_amp_travel,"[('quarantine', 0.03595962941381567), ('singapore', 0.02203791567830934), ('amp', 0.016778530786321036), ('travel', 0.014977084605481783), ('vaccinated', 0.014553064144097325), ('travellers', 0.014398187457593612), ('need', 0.013597984207346663), ('home', 0.012975417606298592), ('without', 0.010785267225405475), ('covid', 0.010446692520824105)]",negative
3,2,44,2_travel_pregnant_sg_working singapore,"[('travel', 0.05405074525456773), ('pregnant', 0.03937343115945501), ('sg', 0.03864496747225232), ('working singapore', 0.035629253076681924), ('travel restrictions', 0.035354220670386106), ('restrictions', 0.033989267756911884), ('working', 0.03369184563411286), ('pregnant women', 0.029723921071545156), ('feb', 0.029454447129256614), ('sir', 0.029232246508413696)]",negative
4,3,36,3_shop_supplements_21st_sale,"[('shop', 0.05318096277556306), ('supplements', 0.047367699793547), ('21st', 0.04470524996229787), ('sale', 0.044118542853986115), ('century', 0.04335400669749905), ('21st century', 0.04335400669749905), ('happening', 0.041573000282687914), ('21stcenturysg', 0.03921407695145504), ('vitamins', 0.03808224996788337), ('shop 21stcenturysg', 0.03780343457074579)]",negative
5,4,31,4_lockdown_travel_singapore_us,"[('lockdown', 0.03539449253082749), ('travel', 0.024964115392999503), ('singapore', 0.023486736020797063), ('us', 0.022647299925978897), ('sir', 0.019441921237121247), ('india', 0.019281348301439908), ('emergency', 0.017560403958887503), ('announced', 0.017560403958887503), ('airlines', 0.017560403958887503), ('help', 0.01705183106678245)]",negative
6,5,31,5_singapore_travel_covid19_travellers,"[('singapore', 0.04560865226337773), ('travel', 0.03327978957218078), ('covid19', 0.029668339949221283), ('travellers', 0.028565582821519386), ('travelling', 0.023568945042153778), ('travellers entering', 0.022958517533868298), ('notice', 0.022958517533868298), ('travellers entering singapore', 0.022958517533868298), ('entering', 0.022434453089208637), ('entering singapore', 0.022434453089208637)]",negative
7,6,29,6_singapore_covid19_travel_transit,"[('singapore', 0.03802527816321906), ('covid19', 0.0378138411682548), ('travel', 0.03635727548960825), ('transit', 0.02450903692326449), ('covid19 variant', 0.022104290737459283), ('variant', 0.020901302701084402), ('omicron', 0.020003537265864776), ('border travel', 0.018322067716068393), ('travel industry', 0.018322067716068393), ('africa', 0.018322067716068393)]",negative
8,7,26,7_29_way_patient_like,"[('29', 0.03204261602217503), ('way', 0.03192782743804923), ('patient', 0.03158983568843696), ('like', 0.03055387484594172), ('hub', 0.026324863073697465), ('holiday', 0.024797941807037725), ('serious', 0.022861185446702605), ('hes', 0.01838769565005956), ('saw ambulance healthcare', 0.01838769565005956), ('hes like holiday', 0.01838769565005956)]",negative
9,8,25,8_day_expensive_covid 19_19,"[('day', 0.06478455617101297), ('expensive', 0.04923205618152375), ('covid 19', 0.04805810281710235), ('19', 0.047341882225054255), ('totally suffering health', 0.04526784859844637), ('totally suffering', 0.04526784859844637), ('help covid 19', 0.04526784859844637), ('fitness financial really', 0.04526784859844637), ('health fitness', 0.04526784859844637), ('first baby day', 0.04526784859844637)]",negative
10,9,24,9_workers_healthcare_frontline_ministers,"[('workers', 0.05211393258644371), ('healthcare', 0.03605640196597898), ('frontline', 0.03407085850319279), ('ministers', 0.03050840371839898), ('get', 0.028261741266254522), ('covid19', 0.02816053193984382), ('news singapore president', 0.02683943916634254), ('officials get', 0.02683943916634254), ('frontline health workers', 0.02683943916634254), ('breaking news singapore', 0.02683943916634254)]",negative
11,10,20,10_hong_kong_hong kong_bubble,"[('hong', 0.05549853582463653), ('kong', 0.05265081978468182), ('hong kong', 0.05265081978468182), ('bubble', 0.045124975866894644), ('travel bubble', 0.045124975866894644), ('covid19', 0.04212862807604308), ('either', 0.03384373190017098), ('singapore', 0.032594862706597984), ('kong singapore', 0.03232231192741688), ('hong kong singapore', 0.03232231192741688)]",negative
12,11,17,11_visibility_sales_products_everyone,"[('visibility', 0.04924400203390829), ('sales', 0.04851316289391298), ('products', 0.04032349614347541), ('everyone', 0.039785652431495754), ('covid19', 0.03447732577105585), ('coronavirus', 0.02798593653639703), ('price basic', 0.025058122023446476), ('increasing price basic', 0.025058122023446476), ('fight covid19', 0.025058122023446476), ('fight covid19 singapore', 0.025058122023446476)]",negative
13,12,16,12_indonesian_influencers_coronavirus_covid19,"[('indonesian', 0.07021671066832627), ('influencers', 0.05407687862072593), ('coronavirus', 0.04837426752605486), ('covid19', 0.038736598858176624), ('thinking', 0.038300024000905236), ('outbreak', 0.03564804119291982), ('defer traveling', 0.030319435900255525), ('indonesian tourism', 0.030319435900255525), ('healthcare meds instead', 0.030319435900255525), ('money disinfectant', 0.030319435900255525)]",negative
14,13,15,13_philippines_every_nurses_uniform,"[('philippines', 0.054325843792973845), ('every', 0.051735473785803426), ('nurses', 0.04983024015335958), ('uniform', 0.04522500860840471), ('hospital', 0.035028662453738486), ('shift detecting', 0.03059075950273383), ('every cases got', 0.03059075950273383), ('travel hx china', 0.03059075950273383), ('hospital travelled', 0.03059075950273383), ('like shit', 0.03059075950273383)]",negative
15,14,12,14_please_lie_died_world,"[('please', 0.04061613917322862), ('lie', 0.03950623718874183), ('died', 0.0339224263792692), ('world', 0.03193367231961069), ('care', 0.0306835827505662), ('zero', 0.028118024712778224), ('hero', 0.028118024712778224), ('plenty', 0.028118024712778224), ('covid19', 0.02763387732710747), ('virus', 0.022948012134693007)]",negative
