Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,244,-1_health_amp_us_safe,"[('health', 0.02046470777162965), ('amp', 0.01083380503360533), ('us', 0.008312616304660358), ('safe', 0.007385754392832696), ('testosterone', 0.007082195221062354), ('learn', 0.006650465358262874), ('support', 0.006264085479318147), ('healthcare', 0.006049763846382474), ('via', 0.005990186139474437), ('like', 0.005501924129148137)]",positive,"['health', 'amp', 'us', 'safe', 'testosterone', 'learn', 'support', 'healthcare', 'via', 'like ']"
1,0,174,0_health_mental_mental health_care,"[('health', 0.029481673558449398), ('mental', 0.024690789208583953), ('mental health', 0.02324042836980171), ('care', 0.014905076385681608), ('healthcare', 0.013944565625081826), ('nurse', 0.013229525398327597), ('patients', 0.011827751913245536), ('take', 0.011319998879014765), ('need', 0.01055531626686164), ('nurses', 0.01024771010018034)]",positive,"['health', 'mental', 'mental health', 'care', 'healthcare', 'nurse', 'patients', 'take', 'need', 'nurses ']"
2,1,103,1_covid19_covid_care_pandemic,"[('covid19', 0.03629337884192706), ('covid', 0.018171705927456278), ('care', 0.0179651048554693), ('pandemic', 0.015398484438729598), ('vaccine', 0.014326847152429647), ('safe', 0.012266815751133921), ('covid19 pandemic', 0.011532041845579771), ('vaccination', 0.01134746110045298), ('amp', 0.011319049235713825), ('cancer', 0.011177732240391888)]",positive,"['covid', 'covid', 'care', 'pandemic', 'vaccine', 'safe', 'covid pandemic', 'vaccination', 'amp', 'cancer ']"
3,2,71,2_weightloss_fitness_diet_workout,"[('weightloss', 0.048747934685841834), ('fitness', 0.047443006906265406), ('diet', 0.04192320712022141), ('workout', 0.036422946585511054), ('fat', 0.03595787694645991), ('health workout', 0.03527036061571697), ('workout diet', 0.03527036061571697), ('health workout diet', 0.03387896258158165), ('weightloss fitness', 0.03246472527640198), ('health', 0.028530522278473087)]",positive,"['weightloss', 'fitness', 'diet', 'workout', 'fat', 'health workout', 'workout diet', 'health workout diet', 'weightloss fitness', 'health ']"
4,3,40,3_birthday_good_happy_happy birthday,"[('birthday', 0.05166845613928655), ('good', 0.05074803844445233), ('happy', 0.04428965339437119), ('happy birthday', 0.03296736067078971), ('good health', 0.03197801904913502), ('love', 0.03197801904913502), ('joy', 0.027919680257719445), ('good morning', 0.027472800558991425), ('morning', 0.025686016723266578), ('health', 0.025601315447606507)]",positive,"['birthday', 'good', 'happy', 'happy birthday', 'good health', 'love', 'joy', 'good morning', 'morning', 'health ']"
5,4,35,4_gun_violence_weapons_mental health,"[('gun', 0.03046768954696731), ('violence', 0.028383011146116507), ('weapons', 0.017210119894973175), ('mental health', 0.015633396678643875), ('mental', 0.015355515517201778), ('education', 0.014795106600462179), ('republican', 0.014775515919964073), ('gun violence', 0.014775515919964073), ('gop', 0.014775515919964073), ('want', 0.014243061633673998)]",positive,"['gun', 'violence', 'weapons', 'mental health', 'mental', 'education', 'republican', 'gun violence', 'gop', 'want ']"
6,5,33,5_success_wish_sponsors_health success,"[('success', 0.14827365279955013), ('wish', 0.11994092671788749), ('sponsors', 0.1085558102525518), ('health success', 0.1037072925201888), ('good health success', 0.09878763518214853), ('good health', 0.09620054063948118), ('sponsors good', 0.08871624582850668), ('sponsors good health', 0.08871624582850668), ('wish sponsors', 0.08871624582850668), ('wish sponsors good', 0.08871624582850668)]",positive,"['success', 'wish', 'sponsors', 'health success', 'good health success', 'good health', 'sponsors good', 'sponsors good health', 'wish sponsors', 'wish sponsors good ']"
7,6,27,6_brazil_healthcare_brazil brazilianpolitics_politics brazil brazilianpolitics,"[('brazil', 0.07941620972698848), ('healthcare', 0.024944316149214694), ('brazil brazilianpolitics', 0.02067500057683971), ('politics brazil brazilianpolitics', 0.02067500057683971), ('brazilianpolitics', 0.02067500057683971), ('brazil politics', 0.02067500057683971), ('brazil politics brazil', 0.02067500057683971), ('politics brazil', 0.02067500057683971), ('politics', 0.02067500057683971), ('president', 0.019957653387545675)]",positive,"['brazil', 'healthcare', 'brazil brazilianpolitics', 'politics brazil brazilianpolitics', 'brazilianpolitics', 'brazil politics', 'brazil politics brazil', 'politics brazil', 'politics', 'president ']"
8,7,23,7_cramps_medicramp_muscle_order,"[('cramps', 0.07146718613573833), ('medicramp', 0.053483254534822645), ('muscle', 0.0528109999401423), ('order', 0.05217976982147865), ('healthgoodfats', 0.04803411740491704), ('order click', 0.04803411740491704), ('avocadosfrommexico', 0.04803411740491704), ('avocadosfrommexico avocadosfrommexicosweepstakes', 0.04803411740491704), ('avocadosfrommexico avocadosfrommexicosweepstakes healthgoodfats', 0.04803411740491704), ('avocadosfrommexicosweepstakes', 0.04803411740491704)]",positive,"['cramps', 'medicramp', 'muscle', 'order', 'healthgoodfats', 'order click', 'avocadosfrommexico', 'avocadosfrommexico avocadosfrommexicosweepstakes', 'avocadosfrommexico avocadosfrommexicosweepstakes healthgoodfats', 'avocadosfrommexicosweepstakes ']"
9,8,21,8_thank_thank thank_lt3_appreciate,"[('thank', 0.1582189892870791), ('thank thank', 0.13972629867922387), ('lt3', 0.12910107035068608), ('appreciate', 0.10140696771782462), ('sounds right', 0.09877666477359089), ('right dawg', 0.09877666477359089), ('ath really sounds', 0.09877666477359089), ('lt3 lt3', 0.09877666477359089), ('thank thank thank', 0.09877666477359089), ('seeing', 0.09877666477359089)]",positive,"['thank', 'thank thank', 'lt', 'appreciate', 'sounds right', 'right dawg', 'ath really sounds', 'lt lt', 'thank thank thank', 'seeing ']"
