Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,147,-1_health_people_get_care,"[('health', 0.021802916260272285), ('people', 0.008373420259112092), ('get', 0.007276484592422349), ('care', 0.006940583191954284), ('private', 0.006860625265628907), ('ipob', 0.006860625265628907), ('im', 0.006665254009499861), ('getting', 0.006526831330421404), ('sick', 0.006526831330421404), ('home', 0.0065100055436351275)]",negative,"['health', 'people', 'get', 'care', 'private', 'ipob', 'im', 'getting', 'sick', 'home ']"
1,0,98,0_health_mental_mental health_get,"[('health', 0.01682720903610197), ('mental', 0.0160675293443186), ('mental health', 0.015534695907738412), ('get', 0.014483102229674685), ('covid', 0.014071636691058013), ('back', 0.011241731638015543), ('covid19', 0.010382198608042738), ('job', 0.009279281204079748), ('time', 0.009257005406532987), ('need', 0.008910314649716054)]",negative,"['health', 'mental', 'mental health', 'get', 'covid', 'back', 'covid', 'job', 'time', 'need ']"
2,1,48,1_omicron_theysayashelterisneeded_nasser_imam,"[('omicron', 0.049798548711222655), ('theysayashelterisneeded', 0.04345842627788945), ('nasser', 0.04159527875353657), ('imam', 0.040654571530072715), ('theysayashelterisneeded omicron', 0.040336882928311175), ('imam nasser', 0.03680742378628916), ('alyamani', 0.03277309124534967), ('allah', 0.0279780891955751), ('ad', 0.026769418050391208), ('mohammad', 0.026769418050391208)]",negative,"['omicron', 'theysayashelterisneeded', 'nasser', 'imam', 'theysayashelterisneeded omicron', 'imam nasser', 'alyamani', 'allah', 'ad', 'mohammad ']"
3,2,42,2_health_dont_system_many,"[('health', 0.020784551322894144), ('dont', 0.02023489739378191), ('system', 0.019836440212247293), ('many', 0.018520691419894063), ('offense', 0.017983979988145982), ('covid', 0.015800851540498248), ('healthcare', 0.01536154041644454), ('patients', 0.01445724213657326), ('healthcare system', 0.013190896592251939), ('patient', 0.012845699991532844)]",negative,"['health', 'dont', 'system', 'many', 'offense', 'covid', 'healthcare', 'patients', 'healthcare system', 'patient ']"
4,3,29,3_nicaragua_people_covid19_us,"[('nicaragua', 0.03419659133192987), ('people', 0.01980139128425237), ('covid19', 0.018228515372166992), ('us', 0.016581255426777967), ('cuba', 0.015816194739470667), ('govt', 0.015341136789108053), ('amp', 0.01518144166211626), ('president', 0.014877271472771425), ('campaign', 0.014592066815024856), ('rightwing', 0.01311831411446936)]",negative,"['nicaragua', 'people', 'covid', 'us', 'cuba', 'govt', 'amp', 'president', 'campaign', 'rightwing ']"
5,4,27,4_vaccine_dying_covid_vaccinated,"[('vaccine', 0.03519266300752883), ('dying', 0.03216933143264389), ('covid', 0.03193370540908479), ('vaccinated', 0.0313052733424242), ('covid19', 0.03085371278946553), ('people', 0.029047177097911065), ('right usa 99', 0.028979731137699166), ('chose vaccinated', 0.028979731137699166), ('decline', 0.028979731137699166), ('vaccine value', 0.028979731137699166)]",negative,"['vaccine', 'dying', 'covid', 'vaccinated', 'covid', 'people', 'right usa', ' chose vaccinated', 'decline', 'vaccine value ']"
6,5,24,5_24_miracle healing without_healing_without vaccine medicine,"[('24', 0.05479224927173437), ('miracle healing without', 0.05422330997431208), ('healing', 0.05422330997431208), ('without vaccine medicine', 0.05422330997431208), ('without vaccine', 0.05422330997431208), ('09', 0.05422330997431208), ('12 2020 ad', 0.05422330997431208), ('rabi akhir 1442', 0.05422330997431208), ('vaccine medicine imam', 0.05422330997431208), ('vaccine medicine', 0.05422330997431208)]",negative,"['', 'miracle healing without', 'healing', 'without vaccine medicine', 'without vaccine', '', '', 'ad', 'rabi akhir', ' vaccine medicine imam', 'vaccine medicine ']"
7,6,22,6_djt_military_truth_fake,"[('djt', 0.029341536442792644), ('military', 0.019693451250404302), ('truth', 0.01873186846677235), ('fake', 0.018338460276745402), ('speak', 0.01575476100032344), ('ministers', 0.01575476100032344), ('resign', 0.014985494773417879), ('healthcare', 0.014333831726611982), ('didnt', 0.013491713962353177), ('maga', 0.0132078985146749)]",negative,"['djt', 'military', 'truth', 'fake', 'speak', 'ministers', 'resign', 'healthcare', 'didnt', 'maga ']"
8,7,21,7_banananews_doctors_nurse_salary,"[('banananews', 0.039593850940834785), ('doctors', 0.03519453416963092), ('nurse', 0.03259277739327766), ('salary', 0.030829679979678823), ('nurses', 0.028403207155157494), ('months', 0.024566616597149503), ('sad', 0.0211054345476031), ('future', 0.02055311998645255), ('see', 0.020010544906799224), ('something forgive', 0.01769359989701732)]",negative,"['banananews', 'doctors', 'nurse', 'salary', 'nurses', 'months', 'sad', 'future', 'see', 'something forgive ']"
9,8,20,8_guatemala_quarantine_guatemala city_city guatemala,"[('guatemala', 0.07827725951178886), ('quarantine', 0.0354814461329703), ('guatemala city', 0.031337677775721384), ('city guatemala', 0.031337677775721384), ('guatemala city guatemala', 0.031337677775721384), ('en', 0.030396413886493594), ('city', 0.029600960850053943), ('chimaltenango', 0.025992187593265378), ('nicepic', 0.025992187593265378), ('en guatemala', 0.020386104229172128)]",negative,"['guatemala', 'quarantine', 'guatemala city', 'city guatemala', 'guatemala city guatemala', 'en', 'city', 'chimaltenango', 'nicepic', 'en guatemala ']"
