,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,80,-1_health_support_amp_etc,"[('health', 0.018114367913494103), ('support', 0.01754941810078475), ('amp', 0.012837960115625647), ('etc', 0.01045238738997126), ('health issues', 0.008532961326298508), ('twitter', 0.008358290323908588), ('issues', 0.008202104971444107), ('time', 0.008158910088221465), ('people', 0.008017564869106033), ('bail', 0.007639683748002738)]",negative
1,0,111,0_health_support_pakistan_services,"[('health', 0.03427695375274449), ('support', 0.019285110537558804), ('pakistan', 0.019060182821178478), ('services', 0.018860983930807727), ('health services', 0.01741730641486848), ('amp', 0.010955512943095503), ('us', 0.009855914622746102), ('humanitarian', 0.009260324863538788), ('covid19', 0.009043810793438986), ('dont', 0.008696395255364206)]",negative
2,1,51,1_covid19_health_services_health services,"[('covid19', 0.03200419601422203), ('health', 0.024973349509738174), ('services', 0.018649383816282842), ('health services', 0.017491377830218365), ('ut', 0.01655410516489257), ('covid', 0.015151537001647229), ('support', 0.015111086629293386), ('covid 19', 0.014488661472914631), ('19', 0.014488661472914631), ('could', 0.013544267862184833)]",negative
3,2,37,2_farmers_protest_farmers protest_support,"[('farmers', 0.07959820634591697), ('protest', 0.05651084383313682), ('farmers protest', 0.032603526043096395), ('support', 0.02946540722021933), ('support farmers', 0.02750969054644547), ('support farmers protest', 0.01667873503974938), ('modi', 0.013972939732755598), ('ambani', 0.013898945866457818), ('media', 0.013359274234118187), ('supporting', 0.011986532879137042)]",negative
4,3,25,3_pti_supporters_worker_feel,"[('pti', 0.048092166976399064), ('supporters', 0.025967081344702003), ('worker', 0.024918007907777363), ('feel', 0.01693196065481458), ('supporter', 0.016614727416089495), ('pdm', 0.016345033711606085), ('things', 0.015865674174834064), ('govt', 0.015428662998809099), ('political', 0.015109749700323052), ('protect', 0.015109749700323052)]",negative
5,4,20,4_protest_ik_hy_supporters,"[('protest', 0.04103531677193585), ('ik', 0.032676171110504755), ('hy', 0.027682865974020813), ('supporters', 0.022654039931757266), ('today', 0.01721615662120022), ('party', 0.015868065929636077), ('party worker supporter', 0.015432083219947287), ('party worker', 0.014771676019545132), ('worker supporter', 0.014771676019545132), ('worker', 0.01449254253027051)]",negative
6,5,14,5_wear_mask_stay_covid19,"[('wear', 0.055603878897188826), ('mask', 0.052527594246700504), ('stay', 0.048329788523170436), ('covid19', 0.04378927054651791), ('wear mask', 0.037593577536694), ('avoid', 0.03555925526343093), ('hands', 0.03475242431074302), ('healthy support', 0.031154807604858826), ('hands wear mask', 0.031154807604858826), ('healthy support missionfateh', 0.031154807604858826)]",negative
7,6,13,6_workers_frontline_risk_higher,"[('workers', 0.07039737358237323), ('frontline', 0.04631024462151472), ('risk', 0.03766996757880627), ('higher', 0.036530861563925265), ('health', 0.03320349826211603), ('deadly viruses funding', 0.03027410632980981), ('health4all', 0.03027410632980981), ('khan medical', 0.03027410632980981), ('khan medical centers', 0.03027410632980981), ('centers gilgit chitral', 0.03027410632980981)]",negative
8,7,12,7_services_provided_workers_covid19,"[('services', 0.036303347666920685), ('provided', 0.03610153203243527), ('workers', 0.035198686791186616), ('covid19', 0.03481479107055311), ('pakistan', 0.03153774345546306), ('people', 0.027691891253655017), ('allah', 0.02764323730726079), ('dealing covid19', 0.023720693288611552), ('stray dogs provided', 0.023720693288611552), ('stray dogs', 0.023720693288611552)]",negative
9,8,11,8_please_people_poor people_target,"[('please', 0.09509740248029554), ('people', 0.07060184887193126), ('poor people', 0.06887867881408526), ('target', 0.06887867881408526), ('poor', 0.05986798127870211), ('achieve target donate', 0.038592667078090885), ('please achieve target', 0.038592667078090885), ('maskfood poor', 0.038592667078090885), ('achieve', 0.038592667078090885), ('people 5000 helping', 0.038592667078090885)]",negative
