Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,201,-1_health_covid19_people_care,"[('health', 0.01570930157114547), ('covid19', 0.010832173906175222), ('people', 0.009909422030117363), ('care', 0.008150540375290316), ('medical', 0.007398764702879593), ('amp', 0.006391999361264569), ('im', 0.006165637252399661), ('poland', 0.006154294635212218), ('refused', 0.006022149317542148), ('nurse', 0.005989283841193363)]",negative,"['health', 'covid', 'people', 'care', 'medical', 'amp', 'im', 'poland', 'refused', 'nurse ']"
1,0,135,0_covid19_poland_health_covid,"[('covid19', 0.024247211696972495), ('poland', 0.017364759077529827), ('health', 0.017360569463728614), ('covid', 0.01594900489513185), ('polish', 0.013454273884065114), ('care', 0.011402828718649559), ('pandemic', 0.011234624186255069), ('deaths', 0.009736674294754393), ('minister', 0.009135497486197592), ('aljazeera', 0.008023953776499728)]",negative,"['covid', 'poland', 'health', 'covid', 'polish', 'care', 'pandemic', 'deaths', 'minister', 'aljazeera ']"
2,1,65,1_health_mental health_mental_guns,"[('health', 0.04065854222804466), ('mental health', 0.029879198491101135), ('mental', 0.029879198491101135), ('guns', 0.01549527388502944), ('people', 0.014342292953920983), ('permit', 0.010532185969096608), ('like', 0.009936202301679915), ('number', 0.009809325313461032), ('social', 0.009809325313461032), ('world', 0.009499433982998776)]",negative,"['health', 'mental health', 'mental', 'guns', 'people', 'permit', 'like', 'number', 'social', 'world ']"
3,2,46,2_vaccine_covid19_vaccines_get,"[('vaccine', 0.04802900959706989), ('covid19', 0.018523446659899374), ('vaccines', 0.01767354664745813), ('get', 0.017267503027824916), ('risk', 0.015773990146856355), ('moderna', 0.015554800414068704), ('vaccinated', 0.014797183880466986), ('people', 0.014121253652561568), ('covid', 0.014116754617469454), ('vaccination', 0.013730818655320672)]",negative,"['vaccine', 'covid', 'vaccines', 'get', 'risk', 'moderna', 'vaccinated', 'people', 'covid', 'vaccination ']"
4,3,24,3_war_children_russia_ukraine,"[('war', 0.04150199338351657), ('children', 0.027172448971113983), ('russia', 0.02584773734112661), ('ukraine', 0.02582848315489088), ('shrapnel', 0.023166882791559835), ('war poor', 0.01982320524149833), ('poor children shrapnel', 0.01982320524149833), ('arms heads', 0.01982320524149833), ('said ok', 0.01982320524149833), ('poor children', 0.01982320524149833)]",negative,"['war', 'children', 'russia', 'ukraine', 'shrapnel', 'war poor', 'poor children shrapnel', 'arms heads', 'said ok', 'poor children ']"
5,4,21,4_coronavirus_emergency_health emergency_declares,"[('coronavirus', 0.04916789291858044), ('emergency', 0.041671426431656416), ('health emergency', 0.036783945974333654), ('declares', 0.036783945974333654), ('health', 0.034799043223696785), ('covid19', 0.03059399808336835), ('public health emergency', 0.030506821795815736), ('mother', 0.027800259349871802), ('nurse', 0.026850659506233103), ('dailymail', 0.026077643192932428)]",negative,"['coronavirus', 'emergency', 'health emergency', 'declares', 'health', 'covid', 'public health emergency', 'mother', 'nurse', 'dailymail ']"
6,5,20,5_worker_australia_liveleak_workers,"[('worker', 0.06482825847915018), ('australia', 0.05717467868429831), ('liveleak', 0.05402626357617542), ('workers', 0.02242172378149769), ('walczy', 0.01989815740727881), ('body choice melbourneprotestaustralia', 0.01989815740727881), ('bring foreign', 0.01989815740727881), ('bring foreign workers', 0.01989815740727881), ('people australia melbourne', 0.01989815740727881), ('australian', 0.01989815740727881)]",negative,"['worker', 'australia', 'liveleak', 'workers', 'walczy', 'body choice melbourneprotestaustralia', 'bring foreign', 'bring foreign workers', 'people australia melbourne', 'australian ']"
7,6,17,6_rich_insurance_million_work,"[('rich', 0.03202051906049362), ('insurance', 0.024015389295370212), ('million', 0.0231654621594086), ('work', 0.022356623261376423), ('free', 0.02188474614851549), ('health care', 0.019836316263507153), ('country', 0.01851568978482801), ('care', 0.017898005964059903), ('billionaires', 0.017771636768332984), ('gates', 0.017771636768332984)]",negative,"['rich', 'insurance', 'million', 'work', 'free', 'health care', 'country', 'care', 'billionaires', 'gates ']"
8,7,16,7_protests_police_abortion_protesters,"[('protests', 0.05093029631102298), ('police', 0.0451167018452973), ('abortion', 0.04317647913562769), ('protesters', 0.03982513835803841), ('protest', 0.03135221313589968), ('ruling', 0.02590256382681142), ('poland', 0.024600075359833922), ('pis', 0.021588239567813847), ('rights', 0.021175251608434306), ('belarus', 0.01833137335946158)]",negative,"['protests', 'police', 'abortion', 'protesters', 'protest', 'ruling', 'poland', 'pis', 'rights', 'belarus ']"
9,8,15,8_quarantine_home_stayhome_stayhome zostanwdomu netflix,"[('quarantine', 0.10290234868295325), ('home', 0.036321304436565297), ('stayhome', 0.035681769434696996), ('stayhome zostanwdomu netflix', 0.02990568732731864), ('zostanwdomu netflix', 0.02990568732731864), ('please ok', 0.02990568732731864), ('home please ok', 0.02990568732731864), ('please ok thank', 0.02990568732731864), ('koronowiruspolska', 0.02990568732731864), ('home please', 0.02990568732731864)]",negative,"['quarantine', 'home', 'stayhome', 'stayhome zostanwdomu netflix', 'zostanwdomu netflix', 'please ok', 'home please ok', 'please ok thank', 'koronowiruspolska', 'home please ']"
