Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,337,-1_health_covid19_healthcare_amp,"[('health', 0.022470850929388886), ('covid19', 0.012649831977619149), ('healthcare', 0.009885005543417544), ('amp', 0.008279714199029268), ('care', 0.007681750871517532), ('people', 0.007260638739677216), ('stay', 0.0064016590844062655), ('good', 0.006232530594908414), ('us', 0.0056471634641933905), ('time', 0.005641799838365671)]",positive,"['health', 'covid', 'healthcare', 'amp', 'care', 'people', 'stay', 'good', 'us', 'time ']"
1,0,346,0_health_healthcare_covid19_mental,"[('health', 0.029202017010557177), ('healthcare', 0.020308677173967008), ('covid19', 0.015510098594702976), ('mental', 0.012595583225249582), ('mental health', 0.012186813315588334), ('nurses', 0.01050743647479338), ('amp', 0.010370766752061873), ('via', 0.009048070297738743), ('new', 0.007049862375609991), ('care', 0.006531445614081189)]",positive,"['health', 'healthcare', 'covid', 'mental', 'mental health', 'nurses', 'amp', 'via', 'new', 'care ']"
2,1,68,1_happy_safe_take care_take,"[('happy', 0.029035675360558243), ('safe', 0.02769934018903202), ('take care', 0.023584682424755515), ('take', 0.02306886529442827), ('wish', 0.021085824352523368), ('care', 0.020824370508651747), ('health', 0.020741328084507547), ('love', 0.020198730685605733), ('birthday', 0.016712894953085918), ('good', 0.015391722923276183)]",positive,"['happy', 'safe', 'take care', 'take', 'wish', 'care', 'health', 'love', 'birthday', 'good ']"
3,2,54,2_safe_take care_care_take,"[('safe', 0.13506129717137916), ('take care', 0.11249836410839797), ('care', 0.1056528540290368), ('take', 0.10503620484597155), ('care safe', 0.10392699612295633), ('take care safe', 0.10392699612295633), ('safe important', 0.06639072520452784), ('important', 0.06537253758349054), ('care safe important', 0.06400650201461898), ('facts', 0.04512499580719012)]",positive,"['safe', 'take care', 'care', 'take', 'care safe', 'take care safe', 'safe important', 'important', 'care safe important', 'facts ']"
4,3,36,3_jews_maimonides_scholar_circumcision,"[('jews', 0.038702952020294314), ('maimonides', 0.038702952020294314), ('scholar', 0.032005057991645124), ('circumcision', 0.032005057991645124), ('jewish', 0.025012266476070303), ('antisemitic', 0.025012266476070303), ('hebrew', 0.025012266476070303), ('also', 0.022458843456290012), ('learn', 0.02116310954897357), ('unlike', 0.017622675344675164)]",positive,"['jews', 'maimonides', 'scholar', 'circumcision', 'jewish', 'antisemitic', 'hebrew', 'also', 'learn', 'unlike ']"
5,4,26,4_workout_exercise_fitness_health,"[('workout', 0.06270925341407424), ('exercise', 0.03695256616190704), ('fitness', 0.03602257402500203), ('health', 0.03343851896491859), ('fitnessmotivation', 0.028686149529205507), ('fit', 0.027541032974691633), ('training', 0.02521580181750142), ('zumba', 0.025190412400663123), ('fit fitnessmotivation', 0.021585795158089786), ('motivation', 0.021585795158089786)]",positive,"['workout', 'exercise', 'fitness', 'health', 'fitnessmotivation', 'fit', 'training', 'zumba', 'fit fitnessmotivation', 'motivation ']"
6,5,22,5_health_everyone know_cannabis_health money,"[('health', 0.12480999896088397), ('everyone know', 0.04017969978585937), ('cannabis', 0.04017969978585937), ('health money', 0.04017969978585937), ('health benefits cannabis', 0.04017969978585937), ('benefits cannabis', 0.04017969978585937), ('benefits cannabis everyone', 0.04017969978585937), ('cannabis everyone', 0.04017969978585937), ('cannabis everyone know', 0.04017969978585937), ('10 health benefits', 0.04017969978585937)]",positive,"['health', 'everyone know', 'cannabis', 'health money', 'health benefits cannabis', 'benefits cannabis', 'benefits cannabis everyone', 'cannabis everyone', 'cannabis everyone know', ' health benefits ']"
7,6,15,6_lisbon_portugal_may day_covid19,"[('lisbon', 0.05544018770690646), ('portugal', 0.0361427979439234), ('may day', 0.031562081410445884), ('covid19', 0.029031650583929557), ('may', 0.027826926050553483), ('covid', 0.022002742226723552), ('portuguese', 0.021276824710464354), ('day', 0.02076036756784436), ('people', 0.020057712248171482), ('cuurentevents people', 0.017378762883157168)]",positive,"['lisbon', 'portugal', 'may day', 'covid', 'may', 'covid', 'portuguese', 'day', 'people', 'cuurentevents people ']"
8,7,15,7_covid19_pandemic_covid free_covid19 triage effectively,"[('covid19', 0.06920806551004019), ('pandemic', 0.02657822287522548), ('covid free', 0.02549473336666204), ('covid19 triage effectively', 0.02549473336666204), ('triage', 0.02549473336666204), ('triage effectively pandemic', 0.02549473336666204), ('covid19 triage', 0.02549473336666204), ('triage effectively', 0.02549473336666204), ('effectively pandemic', 0.02549473336666204), ('covid', 0.024208600901737713)]",positive,"['covid', 'pandemic', 'covid free', 'covid triage effectively', 'triage', 'triage effectively pandemic', 'covid triage', 'triage effectively', 'effectively pandemic', 'covid ']"
9,8,14,8_grateful_im grateful_im_appreciate,"[('grateful', 0.11584516140327916), ('im grateful', 0.10059717531818729), ('im', 0.08562647461605619), ('appreciate', 0.04368701907919828), ('hope', 0.04101509992413282), ('ok', 0.03948558508202103), ('bad', 0.037723940744320235), ('feel', 0.03475354842098374), ('thanks', 0.033878899374434425), ('youre', 0.03348459199329248)]",positive,"['grateful', 'im grateful', 'im', 'appreciate', 'hope', 'ok', 'bad', 'feel', 'thanks', 'youre ']"
