,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,411,-1_health_travel_safe_message,"[('health', 0.013250856576105417), ('travel', 0.009133080868487527), ('safe', 0.007887814824656194), ('message', 0.006946327650588588), ('new', 0.006909206217922966), ('stay', 0.006890049704043031), ('bonus', 0.006756848970678092), ('good', 0.00619991694714006), ('healthy', 0.00572650615919441), ('amp', 0.005466759740257141)]",positive
1,0,233,0_health_travel_happy_good,"[('health', 0.01405085749889116), ('travel', 0.0120649281478951), ('happy', 0.010006119072364903), ('good', 0.009870213785613894), ('birthday', 0.009400333549232521), ('always', 0.009280324235857309), ('love', 0.009234749207973774), ('message', 0.008846794500091758), ('covid19', 0.008407503326367948), ('safe', 0.00837155500463109)]",positive
2,1,66,1_nurses_nurse_travels2020_travel,"[('nurses', 0.036797684408836), ('nurse', 0.016334023223304503), ('travels2020', 0.015815276683149856), ('travel', 0.012460749134450649), ('work', 0.01177898076320027), ('hospital', 0.011673900948177352), ('nurses see', 0.010893173307152035), ('see', 0.01048827449775571), ('back', 0.010432295058928785), ('school', 0.010432124190318682)]",positive
3,2,64,2_safety_regarding_lagangilang_tips,"[('safety', 0.027116128718475664), ('regarding', 0.02054050339125234), ('lagangilang', 0.02034988758486212), ('tips', 0.02014780696736264), ('brgy', 0.019905919196350878), ('protocols', 0.019834987573240374), ('health protocols', 0.019058241103821802), ('engaged', 0.018707872803884713), ('health', 0.016297892598036576), ('likewise', 0.014389060264694678)]",positive
4,3,32,3_safe_safe travels_travels_take care,"[('safe', 0.06992777080378623), ('safe travels', 0.06327698717521188), ('travels', 0.05632734960061253), ('take care', 0.047781650571275744), ('take', 0.0455812229698453), ('care', 0.03996250263973686), ('trip', 0.02673123278356974), ('travel', 0.023167492525635516), ('safe travel', 0.02044651783345202), ('travel safe', 0.01696924889223949)]",positive
5,4,31,4_christmas_merry_merry christmas_safe,"[('christmas', 0.06346657383717859), ('merry', 0.05821791295929604), ('merry christmas', 0.04680575407103525), ('safe', 0.0374562620035839), ('holidays', 0.03627261544340678), ('holiday', 0.031713474207707204), ('everyone', 0.030554430708878904), ('season', 0.02691875242340291), ('happy holidays', 0.02691875242340291), ('happy', 0.024947641962810928)]",positive
6,5,30,5_vouchers_shipping_shopee_free shipping,"[('vouchers', 0.0513449332228518), ('shipping', 0.03457320288201887), ('shopee', 0.03305323155981), ('free shipping', 0.029656098726783077), ('free', 0.02739318410896646), ('ph', 0.024691299890747014), ('shipping vouchers', 0.0228306508321798), ('shopee ph', 0.0228306508321798), ('products', 0.021273419984712813), ('sale', 0.021154214791627306)]",positive
7,6,28,6_women_aizel_day_like,"[('women', 0.10069505440132438), ('aizel', 0.07423261422223666), ('day', 0.06563703876319003), ('like', 0.060503566319869695), ('international day', 0.05587871427948821), ('international', 0.0509103149210723), ('theme', 0.044486789552411476), ('covid19 like nurse', 0.04304967272017852), ('theme women', 0.04304967272017852), ('day women', 0.04304967272017852)]",positive
8,7,28,7_pray_jesus_us_farm,"[('pray', 0.039649570720416645), ('jesus', 0.028835260279881047), ('us', 0.028451085941747375), ('farm', 0.023621309773793016), ('pandemic', 0.02231229712197886), ('prayer', 0.021141648602248132), ('time', 0.01887523753812909), ('family pray', 0.018617160984804638), ('health', 0.01729417573359762), ('reflect', 0.017221767476945433)]",positive
9,8,24,8_bonus_vip_frds_group,"[('bonus', 0.044022387003672725), ('vip', 0.02795417329591143), ('frds', 0.02795417329591143), ('group', 0.02795417329591143), ('short', 0.02600281120246922), ('100', 0.02405513113349749), ('earn', 0.016860794656506445), ('real', 0.016799931135696507), ('amp earn beat', 0.015647646241243176), ('amp earn', 0.015647646241243176)]",positive
10,9,24,9_wellness_gift_massage_health,"[('wellness', 0.027792396205912704), ('gift', 0.025683758304279415), ('massage', 0.024840198302492483), ('health', 0.022280839902180976), ('technology', 0.020176079102349958), ('rewards', 0.017909986629769847), ('weareasea', 0.017663600664961622), ('breakthrough technology', 0.017663600664961622), ('breakthrough', 0.017663600664961622), ('intellicare', 0.017663600664961622)]",positive
11,10,23,10_win_coins_vouchers_chance win,"[('win', 0.08763802872308434), ('coins', 0.07113260407515358), ('vouchers', 0.0572286009576738), ('chance win', 0.052393005575731476), ('prizes', 0.052393005575731476), ('chance', 0.0514991546847304), ('get chance', 0.04804334191279935), ('get chance win', 0.04804334191279935), ('shopee', 0.04779862147556183), ('get', 0.04694312473315712)]",positive
12,11,18,11_good health_good_1111_health,"[('good health', 0.053533956949539344), ('good', 0.05026790211971093), ('1111', 0.050006910007130444), ('health', 0.04035307671172777), ('reunited', 0.0319907434265416), ('travel', 0.029259685004598926), ('family', 0.027964500278536548), ('wealth', 0.02658065145141298), ('1111 family', 0.025057123594090153), ('job', 0.024073163313351707)]",positive
13,12,18,12_sale_toyota_laiya_playa laiya,"[('sale', 0.031339577469077486), ('toyota', 0.023794767837923506), ('laiya', 0.023794767837923506), ('playa laiya', 0.023794767837923506), ('playa', 0.023794767837923506), ('buying', 0.022308277263395453), ('property', 0.01863752994601747), ('buying property', 0.01863752994601747), ('la', 0.01863752994601747), ('calamba', 0.01863752994601747)]",positive
14,13,17,13_messages_send_doctors nurses_frontliners,"[('messages', 0.05661005554382642), ('send', 0.05196329803645057), ('doctors nurses', 0.04357269322860814), ('frontliners', 0.04021256572000076), ('doctors', 0.035185995005000664), ('cards', 0.03193180065698955), ('message', 0.030152219917315884), ('spirits', 0.02724763635699127), ('message gratitude', 0.02724763635699127), ('nurses', 0.027114083248616)]",positive
15,14,16,14_mask_face_face mask_wear,"[('mask', 0.08387018085698586), ('face', 0.07038510440254592), ('face mask', 0.04219333031851631), ('wear', 0.037958928030996326), ('mask face', 0.03258003172340812), ('face shield', 0.03258003172340812), ('shield', 0.03013809308465451), ('mask face shield', 0.026992189766144477), ('wear face', 0.02114194803251357), ('wear face mask', 0.02114194803251357)]",positive
16,15,15,15_honey_yung sarap thanks_carb_low carb pork,"[('honey', 0.029367915919691828), ('yung sarap thanks', 0.023821913276071624), ('carb', 0.023821913276071624), ('low carb pork', 0.023821913276071624), ('lemon', 0.023821913276071624), ('yung sarap', 0.023821913276071624), ('low carb', 0.023821913276071624), ('pork', 0.023821913276071624), ('healthyfinds dinner low', 0.023821913276071624), ('healthyfinds dinner', 0.023821913276071624)]",positive
