Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,301,-1_health_thailand_see_public,"[('health', 0.013958215494010788), ('thailand', 0.010612017069610314), ('see', 0.008007166442856496), ('public', 0.0077034230285462895), ('dont', 0.007056024674812088), ('covid19', 0.006814882713453822), ('people', 0.006421601150618401), ('safe', 0.005921380249420006), ('public health', 0.0058630905242784215), ('care', 0.005829889966713908)]",neutral,"['health', 'thailand', 'see', 'public', 'dont', 'covid', 'people', 'safe', 'public health', 'care ']"
1,0,299,0_health_mental_mental health_care,"[('health', 0.03289054016047499), ('mental', 0.019913373459653282), ('mental health', 0.01942285356157512), ('care', 0.011231933893042164), ('take', 0.010879237305008522), ('people', 0.010840168596042159), ('dont', 0.009062812865841626), ('im', 0.008055833658525888), ('take care', 0.007887150712010732), ('good', 0.007638080796846031)]",neutral,"['health', 'mental', 'mental health', 'care', 'take', 'people', 'dont', 'im', 'take care', 'good ']"
2,1,252,1_covid19_thailand_health_quarantine,"[('covid19', 0.021810760716564792), ('thailand', 0.019359697166873), ('health', 0.0129719330378475), ('quarantine', 0.011743034553901667), ('myanmar', 0.011400665847130403), ('situation', 0.011218077905521628), ('covid', 0.009622704290320442), ('amp', 0.008958024681378275), ('cases', 0.008546807718508648), ('covid19 situation', 0.008347789778199922)]",neutral,"['covid', 'thailand', 'health', 'quarantine', 'myanmar', 'situation', 'covid', 'amp', 'cases', 'covid situation ']"
3,2,40,2_hong_hong kong_kong_city,"[('hong', 0.057396724638305856), ('hong kong', 0.0502080257129379), ('kong', 0.049919654649514526), ('city', 0.028318381960078794), ('view', 0.027752996472424362), ('stigmabase', 0.02441283156934602), ('view article', 0.02406613951945683), ('article', 0.021991582555075505), ('hongkongers', 0.01924474621176235), ('protests', 0.01604409301297122)]",neutral,"['hong', 'hong kong', 'kong', 'city', 'view', 'stigmabase', 'view article', 'article', 'hongkongers', 'protests ']"
4,3,38,3_covid_test_ive_good,"[('covid', 0.021546746715263798), ('test', 0.01997922653625191), ('ive', 0.01585604095909072), ('good', 0.014442357298116118), ('get', 0.013377895750313819), ('pcr', 0.013268492149754845), ('tests', 0.012068961496129082), ('testing', 0.011987535921751146), ('day', 0.010614321535790458), ('health', 0.01038054954013744)]",neutral,"['covid', 'test', 'ive', 'good', 'get', 'pcr', 'tests', 'testing', 'day', 'health ']"
5,4,37,4_worker_salary_women_one,"[('worker', 0.032207591388121425), ('salary', 0.024134006389748122), ('women', 0.02185823026521156), ('one', 0.01855813295068098), ('small', 0.017119739815776257), ('work', 0.016963533302366756), ('reduction', 0.013346614363911146), ('needs', 0.01292307113257564), ('care', 0.012537257302834242), ('dont care', 0.012268075066249556)]",neutral,"['worker', 'salary', 'women', 'one', 'small', 'work', 'reduction', 'needs', 'care', 'dont care ']"
6,5,36,5_covid19_covid_bf1_plugins cinema4d c4d,"[('covid19', 0.0383126102248733), ('covid', 0.03160157205792823), ('bf1', 0.024115775475900634), ('plugins cinema4d c4d', 0.020676522183652388), ('plugins', 0.020676522183652388), ('gpucompute', 0.020676522183652388), ('gpu gpucompute', 0.020676522183652388), ('gpu gpucompute gpurender', 0.020676522183652388), ('covid19 quarantine amd', 0.020676522183652388), ('c4d prorender', 0.020676522183652388)]",neutral,"['covid', 'covid', 'bf', 'plugins cinemad cd', 'plugins', 'gpucompute', 'gpu gpucompute', 'gpu gpucompute gpurender', 'covid quarantine amd', 'cd prorender ']"
7,6,35,6_auspol_strandedaussies_australia_citizen,"[('auspol', 0.032466966394818456), ('strandedaussies', 0.026631952910980014), ('australia', 0.01789146883845311), ('citizen', 0.016066943406236982), ('australian', 0.016066943406236982), ('sa', 0.015335544718674092), ('medicare', 0.013389119505197486), ('state', 0.012656554232755761), ('delta', 0.012530195693433378), ('thing', 0.012445658313665202)]",neutral,"['auspol', 'strandedaussies', 'australia', 'citizen', 'australian', 'sa', 'medicare', 'state', 'delta', 'thing ']"
8,7,35,7_vaccines_hta_early_covid19,"[('vaccines', 0.03495751134760092), ('hta', 0.02719687636685309), ('early', 0.023309050634411826), ('covid19', 0.020519708292482064), ('protection', 0.02043605379777059), ('conducted', 0.019374117625032307), ('focus strength', 0.019374117625032307), ('early hta', 0.019374117625032307), ('focus', 0.018492169898862), ('strength', 0.018492169898862)]",neutral,"['vaccines', 'hta', 'early', 'covid', 'protection', 'conducted', 'focus strength', 'early hta', 'focus', 'strength ']"
9,8,34,8_mask_masks_wear_wearing,"[('mask', 0.05947720979951124), ('masks', 0.04542898017368649), ('wear', 0.03426393355153408), ('wearing', 0.027189422554217777), ('cloth', 0.02496637732170215), ('wear mask', 0.021622828676033823), ('face', 0.02137804596533714), ('worried', 0.017761917742351592), ('nose', 0.016801928895080913), ('face mask', 0.015562045072411181)]",neutral,"['mask', 'masks', 'wear', 'wearing', 'cloth', 'wear mask', 'face', 'worried', 'nose', 'face mask ']"
