Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1151,-1_health_covid19_covid_singapore,"[('health', 0.00893162291034289), ('covid19', 0.008771327840208589), ('covid', 0.008217866095781325), ('singapore', 0.006839079875044954), ('get', 0.005075860149415746), ('people', 0.004926890401054768), ('one', 0.004668948958188959), ('amp', 0.0045523947061560915), ('safe', 0.00452478366719411), ('care', 0.004466660222970477)]",negative,"['health', 'covid', 'covid', 'singapore', 'get', 'people', 'one', 'amp', 'safe', 'care ']"
1,0,1386,0_health_mental_mental health_singapore,"[('health', 0.014408874182053924), ('mental', 0.011607574809172697), ('mental health', 0.011280923706514696), ('singapore', 0.010474495337949627), ('cases', 0.009319288977415768), ('covid19', 0.009196357118534696), ('new', 0.008246592833857709), ('deaths', 0.007151034569657998), ('covid19 cases', 0.006253267801043632), ('reports', 0.006185861644889201)]",negative,"['health', 'mental', 'mental health', 'singapore', 'cases', 'covid', 'new', 'deaths', 'covid cases', 'reports ']"
2,1,157,1_mask_face mask_face_get shopee,"[('mask', 0.08996905980498911), ('face mask', 0.0349875491379763), ('face', 0.03473770938381736), ('get shopee', 0.02658330147551939), ('shopee', 0.0263704351014841), ('check', 0.02482897371059233), ('shopee check', 0.02481791269597705), ('get shopee check', 0.02481791269597705), ('headloop', 0.022343195204235937), ('get', 0.021200472724653297)]",negative,"['mask', 'face mask', 'face', 'get shopee', 'shopee', 'check', 'shopee check', 'get shopee check', 'headloop', 'get ']"
3,2,82,2_whatshappeninginmyanmar_strike_military_myanmar,"[('whatshappeninginmyanmar', 0.03948690885292442), ('strike', 0.03415256139328145), ('military', 0.02379554312343224), ('myanmar', 0.023779768314988098), ('junta', 0.015925972937294957), ('people', 0.010880764000146521), ('protest', 0.010554800053857878), ('revolution', 0.010537139555384325), ('mandalay', 0.009586823007556743), ('dictatorship', 0.009586823007556743)]",negative,"['whatshappeninginmyanmar', 'strike', 'military', 'myanmar', 'junta', 'people', 'protest', 'revolution', 'mandalay', 'dictatorship ']"
4,3,69,3_vaccine_singapore_vaccination_vaccinated,"[('vaccine', 0.030201147188313255), ('singapore', 0.02716894258282372), ('vaccination', 0.026848691161753483), ('vaccinated', 0.024864007176302102), ('dose', 0.018782649345187037), ('covid19', 0.017182738245823254), ('covid19 vaccine', 0.01360127862793233), ('vaccines', 0.01244625961055206), ('people', 0.010908102603161964), ('fully', 0.010767365030062672)]",negative,"['vaccine', 'singapore', 'vaccination', 'vaccinated', 'dose', 'covid', 'covid vaccine', 'vaccines', 'people', 'fully ']"
5,4,66,4_quarantine_singapore_singapore quarantine_day,"[('quarantine', 0.08208208485589866), ('singapore', 0.03370567993078332), ('singapore quarantine', 0.0269951402906174), ('day', 0.023813178120050692), ('days', 0.01752030600227926), ('quarantine day', 0.01689430196608652), ('quarantine singapore', 0.016308534396042754), ('day quarantine', 0.015089319053314164), ('time', 0.013619905102556992), ('singapore quarantine day', 0.013237346741240002)]",negative,"['quarantine', 'singapore', 'singapore quarantine', 'day', 'days', 'quarantine day', 'quarantine singapore', 'day quarantine', 'time', 'singapore quarantine day ']"
6,5,46,5_omicron_omicron infections_omicron infections confirmed_infections confirmed,"[('omicron', 0.1284556555593471), ('omicron infections', 0.09797808283792994), ('omicron infections confirmed', 0.09797808283792994), ('infections confirmed', 0.09731756678353576), ('confirmed', 0.09098777336711197), ('infections', 0.08439927555269722), ('covid19 cases singapore', 0.06925105122470672), ('covid19 cases', 0.06794779056241629), ('cases singapore', 0.06636405426786901), ('new covid19', 0.06628224803030094)]",negative,"['omicron', 'omicron infections', 'omicron infections confirmed', 'infections confirmed', 'confirmed', 'infections', 'covid cases singapore', 'covid cases', 'cases singapore', 'new covid ']"
7,6,44,6_party_worker party_worker_opposition,"[('party', 0.060329781791147126), ('worker party', 0.05493741899999999), ('worker', 0.043851000761830065), ('opposition', 0.02397128281996231), ('pritam', 0.019744696763001085), ('govt', 0.017998573995613158), ('pap', 0.016969337046395864), ('really', 0.014884061079097849), ('pritam singh', 0.01387177653677295), ('singh', 0.013589727488132605)]",negative,"['party', 'worker party', 'worker', 'opposition', 'pritam', 'govt', 'pap', 'really', 'pritam singh', 'singh ']"
8,7,44,7_vouchers_voucher_singapore_points,"[('vouchers', 0.04985777750910055), ('voucher', 0.049087523114700875), ('singapore', 0.025664333420800257), ('points', 0.023188149414186877), ('sgdeals', 0.019367809519064003), ('singapore singapore zerowaste', 0.01777883013104665), ('zerowaste free', 0.017543015386321217), ('zerowaste', 0.017543015386321217), ('singapore zerowaste free', 0.017543015386321217), ('singapore zerowaste', 0.017543015386321217)]",negative,"['vouchers', 'voucher', 'singapore', 'points', 'sgdeals', 'singapore singapore zerowaste', 'zerowaste free', 'zerowaste', 'singapore zerowaste free', 'singapore zerowaste ']"
9,8,37,8_salary_pay_worker_1977 ceo,"[('salary', 0.05446964473312574), ('pay', 0.028571927562514636), ('worker', 0.014996792087404988), ('1977 ceo', 0.012944782435822583), ('soared 1322 typical', 0.012944782435822583), ('typical worker', 0.012944782435822583), ('worker salary risen', 0.012944782435822583), ('1322 typical', 0.012944782435822583), ('pay soared', 0.012944782435822583), ('1322 typical worker', 0.012944782435822583)]",negative,"['salary', 'pay', 'worker', ' ceo', 'soared', 'typical', 'typical worker', 'worker salary risen', ' typical', 'pay soared', ' typical worker ']"
