Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,88,-1_health_amp_safe_worker,"[('health', 0.024356478784533626), ('amp', 0.015523641750853197), ('safe', 0.013071218031582487), ('worker', 0.012358855691364721), ('best', 0.011983925650206912), ('like', 0.011648130342035835), ('best pieces', 0.011354256971974393), ('pieces like', 0.011354256971974393), ('pieces like collector', 0.011354256971974393), ('collected best', 0.011354256971974393)]",positive,"['health', 'amp', 'safe', 'worker', 'best', 'like', 'best pieces', 'pieces like', 'pieces like collector', 'collected best ']"
1,0,192,0_health_happy_happiness_good,"[('health', 0.039601592190213225), ('happy', 0.018736706493942188), ('happiness', 0.015905639012709628), ('good', 0.015370347422433496), ('birthday', 0.015004710338965738), ('wish', 0.014319302465581085), ('mental', 0.014034295021207233), ('love', 0.013956228555646525), ('happy birthday', 0.013788957929818824), ('mental health', 0.013619472599424401)]",positive,"['health', 'happy', 'happiness', 'good', 'birthday', 'wish', 'mental', 'love', 'happy birthday', 'mental health ']"
2,1,67,1_cbd_hemp_cbd hemp_cbd hemp health,"[('cbd', 0.1439034053346276), ('hemp', 0.11419891054002022), ('cbd hemp', 0.10591944255984502), ('cbd hemp health', 0.10348752619436564), ('hemp health', 0.10348752619436564), ('wellness', 0.09205722251820685), ('hemp health wellness', 0.0908335342811706), ('health wellness', 0.08945888749246844), ('cibadol', 0.07146310133933326), ('health', 0.06325757757400143)]",positive,"['cbd', 'hemp', 'cbd hemp', 'cbd hemp health', 'hemp health', 'wellness', 'hemp health wellness', 'health wellness', 'cibadol', 'health ']"
3,2,34,2_takes_takes shape_shape_06,"[('takes', 0.09646471905076147), ('takes shape', 0.09646471905076147), ('shape', 0.09400123305094146), ('06', 0.060197504116096805), ('worker 06', 0.060197504116096805), ('breath worker 06', 0.060197504116096805), ('worker 06 eth', 0.060197504116096805), ('06 eth', 0.060197504116096805), ('iron', 0.05990030624645653), ('mold also takes', 0.05990030624645653)]",positive,"['takes', 'takes shape', 'shape', '', 'worker', ' breath worker', ' worker', 'eth', ' eth', 'iron', 'mold also takes ']"
4,3,31,3_nurse_nurses_nurse practitioner_practitioner,"[('nurse', 0.0837554936048731), ('nurses', 0.0762774984338245), ('nurse practitioner', 0.03505184382047657), ('practitioner', 0.03505184382047657), ('girl', 0.03188407994185539), ('fae', 0.025047078372058305), ('nurse practitioner nurse', 0.025047078372058305), ('hot', 0.025047078372058305), ('practitioner nurse', 0.025047078372058305), ('practitioner nurse practitioner', 0.025047078372058305)]",positive,"['nurse', 'nurses', 'nurse practitioner', 'practitioner', 'girl', 'fae', 'nurse practitioner nurse', 'hot', 'practitioner nurse', 'practitioner nurse practitioner ']"
5,4,24,4_takes shape_takes_shape_flames,"[('takes shape', 0.09613975368469257), ('takes', 0.09613975368469257), ('shape', 0.09368456654934462), ('flames', 0.05999471387160102), ('awarded photo man', 0.05999471387160102), ('awarded', 0.05999471387160102), ('national international awarded', 0.05999471387160102), ('photo man', 0.05999471387160102), ('photo', 0.05999471387160102), ('flames molten', 0.05999471387160102)]",positive,"['takes shape', 'takes', 'shape', 'flames', 'awarded photo man', 'awarded', 'national international awarded', 'photo man', 'photo', 'flames molten ']"
6,5,23,5_beauty_via_via beauty_skin,"[('beauty', 0.12989942722528533), ('via', 0.09542549868542094), ('via beauty', 0.0898367093682063), ('skin', 0.0635051953548698), ('mask', 0.06241262030676015), ('recipes', 0.05773199577715436), ('benefits', 0.04276762962776446), ('oil', 0.042017347171353234), ('skin via', 0.038798765056458545), ('skin via beauty', 0.038798765056458545)]",positive,"['beauty', 'via', 'via beauty', 'skin', 'mask', 'recipes', 'benefits', 'oil', 'skin via', 'skin via beauty ']"
7,6,21,6_food service_food service worker_service worker_service,"[('food service', 0.069885974325298), ('food service worker', 0.069885974325298), ('service worker', 0.069885974325298), ('service', 0.06632719678349015), ('worker', 0.060163063031721115), ('worker food', 0.06011947938868585), ('service worker food', 0.06011947938868585), ('worker food service', 0.06011947938868585), ('food', 0.05386461714348198), ('international recruitment health', 0.039237047743771944)]",positive,"['food service', 'food service worker', 'service worker', 'service', 'worker', 'worker food', 'service worker food', 'worker food service', 'food', 'international recruitment health ']"
8,7,20,7_keep_0123_inside veins_hiiiiiiiiiiiiish keep chest,"[('keep', 0.20332259111769685), ('0123', 0.09200875147504778), ('inside veins', 0.09200875147504778), ('hiiiiiiiiiiiiish keep chest', 0.09200875147504778), ('chest inside veins', 0.09200875147504778), ('chest inside', 0.09200875147504778), ('chest', 0.09200875147504778), ('blood keep safe', 0.09200875147504778), ('blood keep', 0.09200875147504778), ('keep flesh', 0.09200875147504778)]",positive,"['keep', '', 'inside veins', 'hiiiiiiiiiiiiish keep chest', 'chest inside veins', 'chest inside', 'chest', 'blood keep safe', 'blood keep', 'keep flesh ']"
9,8,15,8_settlement_settlement worker_worker_schools,"[('settlement', 0.3725487455703693), ('settlement worker', 0.29559373616504564), ('worker', 0.21931139203261357), ('schools', 0.21229512955420712), ('worker schools', 0.21229512955420712), ('settlement worker schools', 0.21229512955420712), ('worker schools settlement', 0.21229512955420712), ('schools settlement worker', 0.21229512955420712), ('schools settlement', 0.21229512955420712), ('associate', 0.11919178654240158)]",positive,"['settlement', 'settlement worker', 'worker', 'schools', 'worker schools', 'settlement worker schools', 'worker schools settlement', 'schools settlement worker', 'schools settlement', 'associate ']"
