,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,202,-1_health_travel_covid19_na,"[('health', 0.012791001433031754), ('travel', 0.01179656289604544), ('covid19', 0.010618282744018801), ('na', 0.009024127384349469), ('message', 0.007269327621937961), ('ang', 0.006524593700252183), ('sa', 0.0064897632614931535), ('city', 0.006296654776791969), ('quarantine', 0.0061648187330165536), ('emergency', 0.006158888257559477)]",negative
1,0,172,0_travel_health_covid19_ban,"[('travel', 0.020017761987147838), ('health', 0.015848879852911384), ('covid19', 0.013974662936662698), ('ban', 0.01073468592703116), ('china', 0.00993905312577275), ('quarantine', 0.009751417017103388), ('virus', 0.008871018084546796), ('public', 0.008498943856853604), ('people', 0.007885630723297617), ('travel ban', 0.00768738339341147)]",negative
2,1,78,1_cases_covid19_case_health,"[('cases', 0.018270436580325535), ('covid19', 0.016341152840618687), ('case', 0.016170597955497665), ('health', 0.015300295583116321), ('travel', 0.014707429549090007), ('history', 0.014370108856086574), ('confirmed', 0.013234999903124645), ('male', 0.012055431889722157), ('old', 0.01093807263491816), ('italy', 0.01016286253386916)]",negative
3,2,69,2_mental health_mental_messages_na,"[('mental health', 0.0222259653534169), ('mental', 0.021944995969695028), ('messages', 0.016575777262514604), ('na', 0.01600942558608929), ('message', 0.014565898457403711), ('sa', 0.013569232871009439), ('ko', 0.0132113267986667), ('health', 0.012678772064164644), ('ang', 0.012592669561414907), ('work', 0.011495831579088482)]",negative
4,3,46,3_vouchers_discount_shopee_bts,"[('vouchers', 0.026576991450385848), ('discount', 0.01820126122508031), ('shopee', 0.01705748153695111), ('bts', 0.01683601620168012), ('voucher', 0.01683601620168012), ('sale', 0.014738730964350338), ('shipping', 0.013468812961344093), ('rfs', 0.012753084216086895), ('ph', 0.012688529118870676), ('funds', 0.011989180415305358)]",negative
5,4,39,4_stranded_summer_igphilippines_summer2020,"[('stranded', 0.05884062521175451), ('summer', 0.05391379456974019), ('igphilippines', 0.05221966893147139), ('summer2020', 0.045281172990303396), ('egai2020', 0.04458636988050031), ('cebu2020', 0.04374510220756145), ('cebu cebu2020 summer', 0.041226962586081335), ('summer summer2020', 0.041226962586081335), ('summer2020 travel igphilippines', 0.041226962586081335), ('summer2020 travel', 0.041226962586081335)]",negative
6,5,37,5_allowance_workers_health workers_risk allowance,"[('allowance', 0.041920301036080056), ('workers', 0.022953029633315504), ('health workers', 0.022940224626473032), ('risk allowance', 0.021148008665898173), ('special', 0.021002739288866944), ('special risk', 0.020121753465289938), ('special risk allowance', 0.020121753465289938), ('risk', 0.019238822677949696), ('health', 0.018472834566605475), ('nurses', 0.017726187215954918)]",negative
7,6,36,6_covid19testing covid19masstesting_covid19testing_covid19 covid19testing_covid19testing covid19masstesting pandemic,"[('covid19testing covid19masstesting', 0.04787859712473024), ('covid19testing', 0.04787859712473024), ('covid19 covid19testing', 0.04787859712473024), ('covid19testing covid19masstesting pandemic', 0.04787859712473024), ('covid19masstesting', 0.04787859712473024), ('covid19 covid19testing covid19masstesting', 0.04787859712473024), ('covid19masstesting pandemic', 0.04787859712473024), ('covid19', 0.04685439175985552), ('travelphotography', 0.043783241459262025), ('travel igphilippines', 0.040543230933309166)]",negative
8,7,28,7_stay_safe_stay safe_healthy,"[('stay', 0.06472646298464518), ('safe', 0.036087340078849076), ('stay safe', 0.02742733927913667), ('healthy', 0.027119075099602905), ('birthday', 0.025987983016761966), ('covid19', 0.023272619042500692), ('stay healthy', 0.022556758076010368), ('stay home', 0.020212875679703753), ('notice', 0.020212875679703753), ('message', 0.020125322950068063)]",negative
9,8,27,8_allowance_special_special risk_special risk allowance,"[('allowance', 0.03950283058603841), ('special', 0.03848356564094053), ('special risk', 0.03753967634234477), ('special risk allowance', 0.03753967634234477), ('risk allowance', 0.03616642813003427), ('health workers', 0.03586870848776729), ('workers', 0.03364568441871292), ('risk', 0.032901419168157406), ('president', 0.032710743788934876), ('covid19', 0.03161077649647804)]",negative
10,9,27,9_nurse_leave_pero_quarantine,"[('nurse', 0.03395786951632404), ('leave', 0.031043636038945215), ('pero', 0.02492966256157275), ('quarantine', 0.023741484077210825), ('say', 0.022728996868142122), ('ko', 0.020839385406204478), ('din', 0.01975669134476483), ('pums', 0.01952061458923781), ('pa', 0.017426732979330947), ('lang', 0.017272235093575346)]",negative
11,10,26,10_travel history_history_patients_denied,"[('travel history', 0.0438446854805839), ('history', 0.04310275089308024), ('patients', 0.039489388943096844), ('denied', 0.03557522045699993), ('emergency room', 0.03557522045699993), ('enter emergency', 0.03557522045699993), ('enter emergency room', 0.03557522045699993), ('enter', 0.035050239587681165), ('20', 0.0350365540632677), ('room', 0.03291817880294468)]",negative
