Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,300037,-1_health_thank_amp_help,"[('health', 0.008821083249317092), ('thank', 0.00779515512964964), ('amp', 0.007438728767816459), ('help', 0.006852161235844343), ('covid19', 0.006064310213208544), ('appreciate', 0.0055638427103184545), ('care', 0.0053213354817072045), ('healthcare', 0.004824894633321398), ('safe', 0.004515210066554072), ('us', 0.004506746962069754)]",positive,"['health', 'thank', 'amp', 'help', 'covid', 'appreciate', 'care', 'healthcare', 'safe', 'us ']"
1,0,7697,0_mental_mental health_health_help,"[('mental', 0.05361713561461071), ('mental health', 0.051740503729963014), ('health', 0.028044158614361832), ('help', 0.015212044171463865), ('awareness', 0.00756131490399796), ('mental health issues', 0.007189946937656319), ('need', 0.007146718704403517), ('people', 0.006821592482836541), ('issues', 0.006679161629377326), ('stigma', 0.006569611340048012)]",positive,"['mental', 'mental health', 'health', 'help', 'awareness', 'mental health issues', 'need', 'people', 'issues', 'stigma ']"
2,1,3824,1_year_new year_new_blessings,"[('year', 0.04078750938797418), ('new year', 0.03560321494376364), ('new', 0.028982234922554126), ('blessings', 0.02499960823967442), ('happiness', 0.024688927737455214), ('health', 0.023873759120058013), ('happy new', 0.023303265865898422), ('happy', 0.02166893152554827), ('happy new year', 0.021226559525665864), ('good health', 0.019212859717245716)]",positive,"['year', 'new year', 'new', 'blessings', 'happiness', 'health', 'happy new', 'happy', 'happy new year', 'good health ']"
3,2,3738,2_mask_masks_wear_wear mask,"[('mask', 0.04364120875496485), ('masks', 0.026556856706191855), ('wear', 0.02462283765576588), ('wear mask', 0.017741797253802913), ('wearing', 0.017466098347215117), ('wearing mask', 0.01129388553026989), ('covid19', 0.010157048273382544), ('spread', 0.010121117798646521), ('help', 0.009375121467448988), ('health', 0.007614415153120038)]",positive,"['mask', 'masks', 'wear', 'wear mask', 'wearing', 'wearing mask', 'covid', 'spread', 'help', 'health ']"
4,3,3695,3_veterans_military_veterans day_served,"[('veterans', 0.0506529922939592), ('military', 0.022726231463485527), ('veterans day', 0.017984214923920442), ('served', 0.01793780857532551), ('tribute', 0.017513521063641218), ('service', 0.01686452356938889), ('veteransday', 0.016512219018767902), ('appreciation', 0.01607713603636101), ('thank', 0.015850661209609856), ('day', 0.015602013606989366)]",positive,"['veterans', 'military', 'veterans day', 'served', 'tribute', 'service', 'veteransday', 'appreciation', 'thank', 'day ']"
5,4,2693,4_nurses_nurse_school_thank,"[('nurses', 0.0493914306946801), ('nurse', 0.03607622693846479), ('school', 0.03067408247415505), ('thank', 0.02423892863677392), ('nurses day', 0.023133134435938545), ('day', 0.021021725586434607), ('school nurses', 0.01896372547569738), ('school nurse', 0.017971353566288602), ('national', 0.017350700108600854), ('thank nurses', 0.016717235433855417)]",positive,"['nurses', 'nurse', 'school', 'thank', 'nurses day', 'day', 'school nurses', 'school nurse', 'national', 'thank nurses ']"
6,5,2547,5_nursingjobs_opening_latest job_latest job opening,"[('nursingjobs', 0.047808988902266605), ('opening', 0.04540879564782442), ('latest job', 0.044532393918066814), ('latest job opening', 0.04452913682278463), ('job opening', 0.04383492767043914), ('team latest job', 0.0340897746753017), ('team latest', 0.03408348258647022), ('job', 0.03166597872147121), ('latest', 0.03128878926495539), ('join', 0.02382597751237679)]",positive,"['nursingjobs', 'opening', 'latest job', 'latest job opening', 'job opening', 'team latest job', 'team latest', 'job', 'latest', 'join ']"
7,6,2458,6_stayhome_stayhealthy_staysafe_stayhome stayhealthy,"[('stayhome', 0.043408807386038625), ('stayhealthy', 0.038387349033539096), ('staysafe', 0.025621235245060717), ('stayhome stayhealthy', 0.021472976640902947), ('quarantine', 0.014545377042399759), ('stayhome staysafe', 0.014481753170738146), ('stay', 0.013054306901133265), ('staysafe stayhealthy', 0.01190780818327797), ('home', 0.010115728522213178), ('covid19', 0.00989303845213067)]",positive,"['stayhome', 'stayhealthy', 'staysafe', 'stayhome stayhealthy', 'quarantine', 'stayhome staysafe', 'stay', 'staysafe stayhealthy', 'home', 'covid ']"
8,7,2373,7_covid_analytics_latest covid_20220525,"[('covid', 0.09755205933516414), ('analytics', 0.09301811666692163), ('latest covid', 0.05540684812382268), ('20220525', 0.055374060533267114), ('usafacts datavisualization datascience', 0.055356646647609704), ('datascience analytics', 0.055356646647609704), ('publichealth covid', 0.055356646647609704), ('usafacts datavisualization', 0.055356646647609704), ('team using usafacts', 0.055356646647609704), ('analytics healthtech data', 0.055356646647609704)]",positive,"['covid', 'analytics', 'latest covid', '', 'usafacts datavisualization datascience', 'datascience analytics', 'publichealth covid', 'usafacts datavisualization', 'team using usafacts', 'analytics healthtech data ']"
9,8,2119,8_frontline_workers_frontline workers_thank,"[('frontline', 0.050175771972769845), ('workers', 0.03669284889164603), ('frontline workers', 0.03447014334844399), ('thank', 0.018856886866126906), ('thank frontline', 0.01708869314955936), ('thank frontline workers', 0.01301320786780175), ('frontlineworkers', 0.010952726613505975), ('healthcare', 0.010322438207284795), ('front', 0.010174644094387805), ('please', 0.010101818115510324)]",positive,"['frontline', 'workers', 'frontline workers', 'thank', 'thank frontline', 'thank frontline workers', 'frontlineworkers', 'healthcare', 'front', 'please ']"
10,9,2063,9_safe_stay_stay safe_take care,"[('safe', 0.055554178021689396), ('stay', 0.042188915749832356), ('stay safe', 0.04215069946206423), ('take care', 0.031419750058021875), ('thank', 0.029106756008572904), ('take', 0.025748042294797303), ('safe healthy', 0.02407313161406299), ('healthy', 0.023253082737367935), ('care', 0.021487429769995493), ('safe thank', 0.021487412361871214)]",positive,"['safe', 'stay', 'stay safe', 'take care', 'thank', 'take', 'safe healthy', 'healthy', 'care', 'safe thank ']"
11,10,1900,10_nursing_nursing homes_homes_nursing home,"[('nursing', 0.05032147615638723), ('nursing homes', 0.045884394023444304), ('homes', 0.04522004502903624), ('nursing home', 0.02958809636866148), ('home', 0.023448522686413096), ('covid19', 0.01998253842359448), ('residents', 0.01439829164331403), ('facilities', 0.01383839568699968), ('covid', 0.011580998188568448), ('patients', 0.01127043241337975)]",positive,"['nursing', 'nursing homes', 'homes', 'nursing home', 'home', 'covid', 'residents', 'facilities', 'covid', 'patients ']"
12,11,1845,11_appreciate_thank_appreciate thank_thanks,"[('appreciate', 0.08353129682090829), ('thank', 0.03978344718372643), ('appreciate thank', 0.039620561997339925), ('thanks', 0.0323653394855632), ('thank appreciate', 0.0302612437233), ('much', 0.027558807323736577), ('really appreciate', 0.022149581858961327), ('thank much', 0.021780721354805688), ('appreciate thanks', 0.020561980307882827), ('really', 0.019816262998160625)]",positive,"['appreciate', 'thank', 'appreciate thank', 'thanks', 'thank appreciate', 'much', 'really appreciate', 'thank much', 'appreciate thanks', 'really ']"
13,12,1758,12_music_song_stream_appreciate,"[('music', 0.0292662062267403), ('song', 0.020352393939531272), ('stream', 0.013490722043232378), ('appreciate', 0.010449888438913386), ('streaming', 0.010214665367181044), ('mental', 0.009255980498789453), ('mental health', 0.009034246064826426), ('radio', 0.008618787330003442), ('concert', 0.007836951402900073), ('album', 0.007830578871715396)]",positive,"['music', 'song', 'stream', 'appreciate', 'streaming', 'mental', 'mental health', 'radio', 'concert', 'album ']"
