Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1602,-1_singapore_health_safe_amp,"[('singapore', 0.004406713882504292), ('health', 0.003869318469066027), ('safe', 0.0038584444027635217), ('amp', 0.003415108380069124), ('day', 0.0030511904163686406), ('happy', 0.0029383833414281554), ('appreciate', 0.0028496125524521123), ('covid19', 0.0026570432575139698), ('good', 0.002646679789595986), ('love', 0.00259614844032218)]",positive,"['singapore', 'health', 'safe', 'amp', 'day', 'happy', 'appreciate', 'covid', 'good', 'love ']"
1,0,395,0_cases_circuit_circuit breaker_breaker,"[('cases', 0.01649713368304421), ('circuit', 0.015433838017221542), ('circuit breaker', 0.015188096270388751), ('breaker', 0.015045219543292973), ('covid19', 0.013129284923949776), ('covid19 cases', 0.012307456863939829), ('cases singapore', 0.011096390653139375), ('covid19singapore', 0.010412441708621418), ('new covid19', 0.00996412272502967), ('new', 0.009680760441129472)]",positive,"['cases', 'circuit', 'circuit breaker', 'breaker', 'covid', 'covid cases', 'cases singapore', 'covidsingapore', 'new covid', 'new ']"
2,1,208,1_mask_masks_wear_wear mask,"[('mask', 0.03044147648269694), ('masks', 0.01973592621740766), ('wear', 0.013600707359048078), ('wear mask', 0.012877752556246978), ('wearing', 0.009398604312955739), ('safe', 0.00866157846806419), ('stay safe', 0.00800638050059689), ('thank', 0.007578615133245978), ('stay', 0.007368146629312453), ('face', 0.007361331110037748)]",positive,"['mask', 'masks', 'wear', 'wear mask', 'wearing', 'safe', 'stay safe', 'thank', 'stay', 'face ']"
3,2,196,2_vaccination_vaccine_vaccines_covid19 vaccination,"[('vaccination', 0.031610358976893), ('vaccine', 0.029970639302933744), ('vaccines', 0.01673602530090734), ('covid19 vaccination', 0.0159383095180343), ('dose', 0.013196040883997165), ('first', 0.012999952103587715), ('covid19 vaccine', 0.012927269573514737), ('thank singapore', 0.008051302636769866), ('covid19 vaccines', 0.008001295853858805), ('received', 0.007937920124795283)]",positive,"['vaccination', 'vaccine', 'vaccines', 'covid vaccination', 'dose', 'first', 'covid vaccine', 'thank singapore', 'covid vaccines', 'received ']"
4,3,196,3_singapore zerowaste free_zerowaste free_zerowaste_singapore zerowaste,"[('singapore zerowaste free', 0.05586452517137925), ('zerowaste free', 0.05586452517137925), ('zerowaste', 0.05586452517137925), ('singapore zerowaste', 0.05586452517137925), ('singapore singapore zerowaste', 0.05419201076893104), ('free', 0.050097913168848124), ('singapore singapore', 0.04344205265893505), ('mask singapore singapore', 0.027135786848482942), ('voucher', 0.026969220775623356), ('mask singapore', 0.025059145868140016)]",positive,"['singapore zerowaste free', 'zerowaste free', 'zerowaste', 'singapore zerowaste', 'singapore singapore zerowaste', 'free', 'singapore singapore', 'mask singapore singapore', 'voucher', 'mask singapore ']"
5,4,191,4_circuitbreakersg_stayathome_circuitbreakingorange_circuitbreakingorange day,"[('circuitbreakersg', 0.023925213653187165), ('stayathome', 0.02264795918406465), ('circuitbreakingorange', 0.02111040640841544), ('circuitbreakingorange day', 0.020523452807657768), ('stayathome stayhome', 0.018173304004509165), ('singapore circuitbreakersg', 0.018068362028926307), ('stayathome stayhome singapore', 0.01623456647963292), ('stayhome', 0.015930222840378695), ('stayhome singapore', 0.014948512693897844), ('stayhome singapore circuitbreakersg', 0.013658191574154805)]",positive,"['circuitbreakersg', 'stayathome', 'circuitbreakingorange', 'circuitbreakingorange day', 'stayathome stayhome', 'singapore circuitbreakersg', 'stayathome stayhome singapore', 'stayhome', 'stayhome singapore', 'stayhome singapore circuitbreakersg ']"
6,5,184,5_healthcare_digitalhealth_healthtech_medical,"[('healthcare', 0.014878773905994307), ('digitalhealth', 0.011304425505189362), ('healthtech', 0.011128422690113637), ('medical', 0.010186171511924446), ('health', 0.007873457893118739), ('using', 0.007632742752334599), ('hospitals', 0.007569255486868775), ('telehealth', 0.007443770066052455), ('medtech', 0.007265875068198469), ('care', 0.007180387699384986)]",positive,"['healthcare', 'digitalhealth', 'healthtech', 'medical', 'health', 'using', 'hospitals', 'telehealth', 'medtech', 'care ']"
7,6,162,6_victors home_victors_victors home singapore_stayhome victors home,"[('victors home', 0.1723637011923516), ('victors', 0.1723637011923516), ('victors home singapore', 0.1723637011923516), ('stayhome victors home', 0.171648563184248), ('stayhome victors', 0.171648563184248), ('sgunited stayhome victors', 0.17093118403065158), ('singapore sgunited stayhome', 0.17021154744422415), ('home singapore sgunited', 0.16731009349340556), ('singapore sgunited', 0.16183271026784385), ('home singapore', 0.1617631919624991)]",positive,"['victors home', 'victors', 'victors home singapore', 'stayhome victors home', 'stayhome victors', 'sgunited stayhome victors', 'singapore sgunited stayhome', 'home singapore sgunited', 'singapore sgunited', 'home singapore ']"
8,7,159,7_coronavirus_covid19 coronavirus_cases_singapore coronavirus,"[('coronavirus', 0.03411617019745338), ('covid19 coronavirus', 0.014054590861457375), ('cases', 0.008811005520546842), ('singapore coronavirus', 0.008213156557875356), ('husbandandwife family', 0.008131528846832239), ('husbandandwife', 0.007766290538774024), ('spread', 0.007300300111679015), ('coronavirus singapore', 0.0069495940105099175), ('singapore', 0.006664584022644289), ('lunch', 0.006391071336468391)]",positive,"['coronavirus', 'covid coronavirus', 'cases', 'singapore coronavirus', 'husbandandwife family', 'husbandandwife', 'spread', 'coronavirus singapore', 'singapore', 'lunch ']"
9,8,150,8_exploring archives_archives_exploring_sgmemory,"[('exploring archives', 0.06282326595891209), ('archives', 0.06282326595891209), ('exploring', 0.06252383984189269), ('sgmemory', 0.06219346114764414), ('singapore sgmemory', 0.06182559041745842), ('exploringsgfromhome', 0.05911093794715714), ('exploringsgfromhome singapore', 0.05702045597491239), ('exploringsgfromhome singapore sgmemory', 0.05595672919959413), ('stayhome covid19', 0.055826018259811094), ('covid19 exploringsgfromhome', 0.052686985525457995)]",positive,"['exploring archives', 'archives', 'exploring', 'sgmemory', 'singapore sgmemory', 'exploringsgfromhome', 'exploringsgfromhome singapore', 'exploringsgfromhome singapore sgmemory', 'stayhome covid', 'covid exploringsgfromhome ']"
