,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,2958,-1_gift_health_amp_care,"[('gift', 0.009067366987724984), ('health', 0.007264226916919109), ('amp', 0.0072573256707095775), ('care', 0.006514547321170387), ('gifts', 0.005713791960241824), ('thank', 0.005197024900493427), ('appreciate', 0.004491959559166549), ('love', 0.004118280345640423), ('appreciation', 0.0035849810768112003), ('today', 0.003578713994157273)]",positive
1,0,4779,0_gift_health_care_covid19,"[('gift', 0.010064499507163122), ('health', 0.006783537693522069), ('care', 0.006766573155555043), ('covid19', 0.006346322344938579), ('amp', 0.0060418859637575055), ('thank', 0.005604679511815753), ('gifts', 0.004978048787102355), ('today', 0.004629828779537285), ('package', 0.00424536689288546), ('day', 0.004238406697181714)]",positive
2,1,303,1_mental_mental health_health_gift,"[('mental', 0.04620724926930089), ('mental health', 0.04452650680879685), ('health', 0.02138391254963717), ('gift', 0.009905182246931035), ('awareness', 0.006089146883632161), ('gifts', 0.005493789921615641), ('support', 0.005200761405015344), ('one', 0.004741052171547897), ('help', 0.0046960388020876416), ('take', 0.004668060313432357)]",positive
3,2,80,2_fitness_workout_health_gym,"[('fitness', 0.0337685882537472), ('workout', 0.03344369343911437), ('health', 0.017928425526254694), ('gym', 0.015532712173746762), ('gift health', 0.011653369100805295), ('fit', 0.011505392887301201), ('gift', 0.010771334436103102), ('motivation', 0.01017761280114352), ('wellness', 0.010035660391131698), ('2020', 0.009938824728086014)]",positive
4,3,66,3_veterans_flag_appreciation_american,"[('veterans', 0.054385677531632974), ('flag', 0.015640584303977672), ('appreciation', 0.015607857732535806), ('american', 0.015268564506474026), ('veteran', 0.01476924614143795), ('military', 0.013798658595013882), ('military appreciation', 0.013595689416745752), ('flag patriotic', 0.012122471936834692), ('usmc', 0.012122471936834692), ('patriotic', 0.011896228239652532)]",positive
5,4,53,4_skin_skincare_beauty_allows,"[('skin', 0.049355834136229244), ('skincare', 0.037808259067784636), ('beauty', 0.02098827216936808), ('allows', 0.01810216929780354), ('products', 0.017258818652281613), ('facial', 0.016090817153603144), ('skincareroutine', 0.01459343319065799), ('free', 0.014039738921022981), ('skincaretips', 0.013878092461010499), ('skin care', 0.012918751723135438)]",positive
6,5,47,5_pets_pet_animal_animals,"[('pets', 0.037142433506606405), ('pet', 0.029549575087718688), ('animal', 0.02166968839766037), ('animals', 0.020792814106131347), ('help', 0.014983632328393984), ('cats', 0.013472079967048117), ('calendar', 0.013266516903552098), ('rescue', 0.012910858426450619), ('cleveland', 0.012754744132900321), ('give', 0.012252189504526978)]",positive
7,6,46,6_valentines_valentines day_valentinesday_day,"[('valentines', 0.06596118926523499), ('valentines day', 0.051223774160792185), ('valentinesday', 0.031038922098170992), ('day', 0.026272784867510876), ('happy valentines', 0.021840696638645254), ('love', 0.019353163445467825), ('valentines day gift', 0.01914186120576976), ('health', 0.017565458711980154), ('valentinesday2021', 0.017544705313785516), ('happy valentines day', 0.017544705313785516)]",positive
8,7,42,7_people_thanks promoting selfcare_selfcare small gift_selfcare small,"[('people', 0.06401906872900398), ('thanks promoting selfcare', 0.05848757754650368), ('selfcare small gift', 0.05848757754650368), ('selfcare small', 0.05848757754650368), ('promoting selfcare', 0.05848757754650368), ('promoting selfcare small', 0.05848757754650368), ('help people feel', 0.058126055726930435), ('join school free', 0.058126055726930435), ('join school', 0.058126055726930435), ('im trying help', 0.058126055726930435)]",positive
9,8,40,8_mom_gift really wants_day gift really_celebrate mom mothers,"[('mom', 0.09710536874477362), ('gift really wants', 0.07348359711606892), ('day gift really', 0.07348359711606892), ('celebrate mom mothers', 0.07348359711606892), ('celebrate mom', 0.07348359711606892), ('shopping mom', 0.07348359711606892), ('make shopping mom', 0.07348359711606892), ('mom safe', 0.07348359711606892), ('shopping mom safe', 0.07348359711606892), ('gift really', 0.07348359711606892)]",positive
10,9,36,9_water_safe water_drinking water_provide,"[('water', 0.053845129913841557), ('safe water', 0.03042554805442381), ('drinking water', 0.021195071645596617), ('provide', 0.019893543993086973), ('drinking', 0.019856336647852968), ('twice', 0.018938105656003748), ('impact', 0.018839391242742927), ('safe', 0.018220432094357038), ('protect health', 0.01782814673199697), ('emergency relief', 0.017019717126731115)]",positive
11,10,34,10_distance_hands keep safe_safely wear mask_wash hands keep,"[('distance', 0.041777602607484594), ('hands keep safe', 0.04012281716962029), ('safely wear mask', 0.04012281716962029), ('wash hands keep', 0.04012281716962029), ('safely wear', 0.04012281716962029), ('hands keep', 0.04012281716962029), ('holidays safely wear', 0.04012281716962029), ('distance give loved', 0.04012281716962029), ('keep safe distance', 0.04012281716962029), ('distance give', 0.04012281716962029)]",positive
12,11,34,11_immune_immune system_system_emunity,"[('immune', 0.04685986463208571), ('immune system', 0.04398108058354001), ('system', 0.03554991037083841), ('emunity', 0.030028360573743425), ('immunity', 0.029074185787559867), ('vaccines', 0.01812020024667029), ('diseases', 0.017272426968116594), ('nourishyourbody plantbased', 0.016496680223871314), ('nourishyourbody plantbased emunity', 0.016496680223871314), ('phytonutrients', 0.016496680223871314)]",positive
13,12,31,12_wellness gifting lounge_luxuryexperience_luxuryexperience womens_luxuryexperience womens health,"[('wellness gifting lounge', 0.14048385109623704), ('luxuryexperience', 0.14048385109623704), ('luxuryexperience womens', 0.14048385109623704), ('luxuryexperience womens health', 0.14048385109623704), ('gifting lounge', 0.14048385109623704), ('wellness gifting', 0.1396314391895161), ('amp wellness gifting', 0.1396314391895161), ('womens health amp', 0.1388080204565783), ('lounge', 0.13724073673216636), ('hills california luxuryexperience', 0.1363185309857725)]",positive
14,13,30,13_aloe_plant_found inside leaf_inside leaf,"[('aloe', 0.13448164088923975), ('plant', 0.12139609687469882), ('found inside leaf', 0.07265416158190982), ('inside leaf', 0.07265416158190982), ('benefits derived', 0.07265416158190982), ('benefits derived gel', 0.07265416158190982), ('best gift due', 0.07265416158190982), ('derived', 0.07265416158190982), ('derived gel', 0.07265416158190982), ('derived gel found', 0.07265416158190982)]",positive
15,14,28,14_stayhome_call national_people power_people power call,"[('stayhome', 0.12031583650551333), ('call national', 0.08531254452324172), ('people power', 0.08531254452324172), ('people power call', 0.08531254452324172), ('power call', 0.08531254452324172), ('power call national', 0.08531254452324172), ('campaign people', 0.08531254452324172), ('campaign people power', 0.08531254452324172), ('referendum', 0.08531254452324172), ('important campaign people', 0.08531254452324172)]",positive
16,15,25,15_dental_dentistry_dentist_people happy healthier,"[('dental', 0.062114246097424254), ('dentistry', 0.032817387659857464), ('dentist', 0.028498973146249763), ('people happy healthier', 0.021866876126535807), ('send beautiful', 0.021866876126535807), ('send beautiful gift', 0.021866876126535807), ('healthier happypatient gratitude', 0.021866876126535807), ('healthier happypatient', 0.021866876126535807), ('patients send beautiful', 0.021866876126535807), ('feeling patients send', 0.021866876126535807)]",positive
17,16,25,16_blood_donors_blood donors_blood donor,"[('blood', 0.11871117824378592), ('donors', 0.026093879518575183), ('blood donors', 0.02562397647089058), ('blood donor', 0.025083490804638404), ('gift life', 0.024530378069156783), ('blood donor day', 0.021886089396045458), ('donor day', 0.021886089396045458), ('world blood', 0.021886089396045458), ('world blood donor', 0.021886089396045458), ('life', 0.021530212153564317)]",positive
18,17,24,17_anatomical_transplant_organ_kidney,"[('anatomical', 0.05309525714331499), ('transplant', 0.037057905098841055), ('organ', 0.031825432786031276), ('kidney', 0.030597726219755525), ('gifting benefit', 0.029328647767886802), ('professionals study', 0.029328647767886802), ('benefit mankind', 0.029328647767886802), ('dollars stress', 0.029328647767886802), ('anatomical gift', 0.029328647767886802), ('anatomical gift donation', 0.029328647767886802)]",positive
19,18,23,18_hiv_testing_awareness_test,"[('hiv', 0.05333125971766234), ('testing', 0.0304519011232489), ('awareness', 0.021177664966049812), ('test', 0.019005797493278374), ('free', 0.018994639481836564), ('knowledge awareness', 0.018754437553780708), ('awareness hiv', 0.018754437553780708), ('std', 0.018754437553780708), ('knowledge awareness hiv', 0.018754437553780708), ('health', 0.016527085696495736)]",positive
20,19,23,19_amp_promontory_artists_local,"[('amp', 0.02111637045786596), ('promontory', 0.01906759142759152), ('artists', 0.017937881319161297), ('local', 0.01698458483263906), ('families', 0.0162808267091953), ('neighbors', 0.015637758190886506), ('staff', 0.015078797215045058), ('holiday lists amp', 0.014834218189772303), ('hungry show appreciation', 0.014834218189772303), ('checking twice please', 0.014834218189772303)]",positive
21,20,23,20_etsy_pendant_keychain_stainless,"[('etsy', 0.0498142394121525), ('pendant', 0.0452046650002291), ('keychain', 0.04436100286656337), ('stainless', 0.0395817522721074), ('minion', 0.0395817522721074), ('silver', 0.028286421143320712), ('onlinecraft', 0.02785211864355509), ('onlinecraft etsyshop', 0.02785211864355509), ('onlinecraft etsyshop jewelryonetsy', 0.02785211864355509), ('minion stainless', 0.02785211864355509)]",positive
22,21,22,21_first_doses_health workers_county,"[('first', 0.040035830733076025), ('doses', 0.039378295251496304), ('health workers', 0.03789811222902016), ('county', 0.036848157746375454), ('get first', 0.026735563630214346), ('county health', 0.026069576830518817), ('moderna covid19', 0.024900341229033757), ('responders phase 1a', 0.024900341229033757), ('vaccine doses going', 0.024900341229033757), ('vaccine doses', 0.024900341229033757)]",positive
23,22,21,22_scrub_nursegift_cap_scrub cap,"[('scrub', 0.06387361488441058), ('nursegift', 0.052338555141272496), ('cap', 0.052338555141272496), ('scrub cap', 0.04915229175626106), ('etsy', 0.04802755291542209), ('excited share latest', 0.04653512348725628), ('share latest', 0.04653512348725628), ('latest addition etsy', 0.04653512348725628), ('latest addition', 0.04653512348725628), ('share latest addition', 0.04653512348725628)]",positive
24,23,21,23_amp_day health saturday_free food amp_social programs,"[('amp', 0.045491215322592274), ('day health saturday', 0.03567778418859639), ('free food amp', 0.03567778418859639), ('social programs', 0.03567778418859639), ('celebrating community', 0.03567778418859639), ('celebrating community day', 0.03567778418859639), ('health saturday', 0.03567778418859639), ('community day health', 0.03567778418859639), ('wellness important join', 0.03567778418859639), ('wellness important', 0.03567778418859639)]",positive
25,24,20,24_athletes_student athletes_hard worker_team,"[('athletes', 0.054347080813821405), ('student athletes', 0.020191019202745637), ('hard worker', 0.018758824589149386), ('team', 0.017990045409089297), ('hard', 0.01636722822383058), ('worker', 0.015678430167984342), ('possible every good', 0.014143091577464184), ('possible every', 0.014143091577464184), ('conversation blessed', 0.014143091577464184), ('athletes generations', 0.014143091577464184)]",positive
26,25,19,25_amp_gift shopping appointments_local pickup sododistrict_wants safe amp,"[('amp', 0.037904930336743546), ('gift shopping appointments', 0.02892211205625273), ('local pickup sododistrict', 0.02892211205625273), ('wants safe amp', 0.02892211205625273), ('wants safe', 0.02892211205625273), ('free local pickup', 0.02892211205625273), ('amp happy holiday', 0.02892211205625273), ('private card', 0.02892211205625273), ('private card amp', 0.02892211205625273), ('safe amp happy', 0.02892211205625273)]",positive
