Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,687,-1_health_care_covid19_singapore,"[('health', 0.009025632680879137), ('care', 0.006059849009504837), ('covid19', 0.005905087573076337), ('singapore', 0.005757709052090993), ('safe', 0.005683549696204551), ('people', 0.005152949359386665), ('im', 0.005134340430068694), ('amp', 0.005082564294164604), ('dont', 0.005078909191974076), ('take', 0.0048347475064221945)]",neutral,"['health', 'care', 'covid', 'singapore', 'safe', 'people', 'im', 'amp', 'dont', 'take ']"
1,0,391,0_singapore_covid19_covid_cases,"[('singapore', 0.014605412352368436), ('covid19', 0.01272652239533869), ('covid', 0.011071134244237989), ('cases', 0.007426159220697513), ('safe', 0.006951195553199494), ('healthcare', 0.006898689015380421), ('stay', 0.006776584628982938), ('stay safe', 0.006124143858163835), ('take', 0.005574619437256666), ('care', 0.005311057754432847)]",neutral,"['singapore', 'covid', 'covid', 'cases', 'safe', 'healthcare', 'stay', 'stay safe', 'take', 'care ']"
2,1,152,1_nurses_nurse_doctors_doctors nurses,"[('nurses', 0.034101806921630826), ('nurse', 0.03267206968525161), ('doctors', 0.012757925070294988), ('doctors nurses', 0.010814724266990306), ('like', 0.009007975387122237), ('staff', 0.008003330981971257), ('related', 0.007222248550729057), ('prevent', 0.007209234706976644), ('time', 0.006741176871278275), ('philippines', 0.006608776618187747)]",neutral,"['nurses', 'nurse', 'doctors', 'doctors nurses', 'like', 'staff', 'related', 'prevent', 'time', 'philippines ']"
3,2,122,2_mental_mental health_health_really,"[('mental', 0.06425687760362817), ('mental health', 0.06309709082810104), ('health', 0.034413876647221925), ('really', 0.010579392801683006), ('think', 0.008661471841966405), ('good mental health', 0.00864068170765551), ('good mental', 0.00864068170765551), ('issues', 0.008480750334855503), ('time', 0.008331325915257835), ('health issues', 0.007809915210024375)]",neutral,"['mental', 'mental health', 'health', 'really', 'think', 'good mental health', 'good mental', 'issues', 'time', 'health issues ']"
4,3,100,3_health_life_better_need,"[('health', 0.0317374280810471), ('life', 0.01372575726421078), ('better', 0.010489347796898736), ('need', 0.009006232246525414), ('good health', 0.008575449210901821), ('hope', 0.008398882167107729), ('good', 0.008379684154641671), ('work', 0.008265791507011426), ('please', 0.008197975469959743), ('wealth', 0.008172089586826142)]",neutral,"['health', 'life', 'better', 'need', 'good health', 'hope', 'good', 'work', 'please', 'wealth ']"
5,4,69,4_hospitalathome_covid19_hospitalathome model_model,"[('hospitalathome', 0.027934503590367775), ('covid19', 0.02202802144249291), ('hospitalathome model', 0.01899661103617801), ('model', 0.017465879242181473), ('healthcare', 0.016817596166207198), ('coronavirus', 0.01655828708783948), ('pandemic', 0.015298617775322577), ('elderly', 0.013575322786375027), ('like covid19 publichealth', 0.012754273576729131), ('upward swing', 0.012754273576729131)]",neutral,"['hospitalathome', 'covid', 'hospitalathome model', 'model', 'healthcare', 'coronavirus', 'pandemic', 'elderly', 'like covid publichealth', 'upward swing ']"
6,5,54,5_mask_wear_wear mask_wearing,"[('mask', 0.0676205903115298), ('wear', 0.04324481201684868), ('wear mask', 0.0342671880305505), ('wearing', 0.019994925536638047), ('face', 0.015473773524431137), ('public', 0.015069962616290348), ('covid', 0.013963242878048964), ('lifted', 0.013941060956912636), ('wearing mask', 0.013486990991220015), ('singapore', 0.013191964309871901)]",neutral,"['mask', 'wear', 'wear mask', 'wearing', 'face', 'public', 'covid', 'lifted', 'wearing mask', 'singapore ']"
7,6,43,6_vaccine_vaccination_singapore_covid19 vaccine,"[('vaccine', 0.0470832920558717), ('vaccination', 0.028484269394946714), ('singapore', 0.019221722102489926), ('covid19 vaccine', 0.016381624524936383), ('adopted', 0.015324281670572173), ('next year', 0.014305828422265096), ('vaccination even', 0.013152143930743477), ('next', 0.012199791570640228), ('sinovac', 0.012167962511803927), ('folks', 0.011152825312850098)]",neutral,"['vaccine', 'vaccination', 'singapore', 'covid vaccine', 'adopted', 'next year', 'vaccination even', 'next', 'sinovac', 'folks ']"
8,7,42,7_motivation_health_started_exercise,"[('motivation', 0.016718541307566486), ('health', 0.0143272137428259), ('started', 0.014229798265204652), ('exercise', 0.013987924510173807), ('fitness', 0.013987924510173807), ('stayhome stayhealthy', 0.013265028239412793), ('stayhealthy', 0.012340662891279771), ('fitnessathome', 0.011948286362712036), ('fitnessathome stayhome stayhealthy', 0.011948286362712036), ('fightingfit', 0.011948286362712036)]",neutral,"['motivation', 'health', 'started', 'exercise', 'fitness', 'stayhome stayhealthy', 'stayhealthy', 'fitnessathome', 'fitnessathome stayhome stayhealthy', 'fightingfit ']"
9,8,42,8_stayhome_singapore_curry_checkin,"[('stayhome', 0.019138581776850058), ('singapore', 0.01895906503028199), ('curry', 0.015114881548365598), ('checkin', 0.015114881548365598), ('dish', 0.015114881548365598), ('popcorn', 0.015114881548365598), ('covid19', 0.014112838370979998), ('safe entry', 0.013200511749172143), ('aglio olio', 0.012972425193801642), ('aglio', 0.012972425193801642)]",neutral,"['stayhome', 'singapore', 'curry', 'checkin', 'dish', 'popcorn', 'covid', 'safe entry', 'aglio olio', 'aglio ']"
10,9,38,9_traditional_vaccine_professionals_vaccines,"[('traditional', 0.036064518625662595), ('vaccine', 0.028624911096755076), ('professionals', 0.015640743530911147), ('vaccines', 0.015476143168156164), ('moderna', 0.014495696487083315), ('pfizer', 0.014495696487083315), ('medical', 0.014047584253208161), ('vaccination', 0.013469080253285167), ('people', 0.01331017337517632), ('yada', 0.013248483438595039)]",neutral,"['traditional', 'vaccine', 'professionals', 'vaccines', 'moderna', 'pfizer', 'medical', 'vaccination', 'people', 'yada ']"
