Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,789,-1_health_people_healthcare_dont,"[('health', 0.011795234632191027), ('people', 0.006823242391063344), ('healthcare', 0.005911346178155719), ('dont', 0.005706064773183851), ('covid19', 0.005490167523999777), ('covid', 0.0054170148150808894), ('amp', 0.005039030034974525), ('like', 0.005036169297059471), ('us', 0.005012085948155181), ('care', 0.004967808734957192)]",negative,"['health', 'people', 'healthcare', 'dont', 'covid', 'covid', 'amp', 'like', 'us', 'care ']"
1,0,1492,0_covid19_health_italy_covid,"[('covid19', 0.010670908255176827), ('health', 0.010271899077872333), ('italy', 0.010107963454870954), ('covid', 0.007490436309814755), ('people', 0.00660822809971982), ('care', 0.006361192500443485), ('vaccine', 0.006125411952060934), ('amp', 0.005997271477084224), ('doctors', 0.004947503341846678), ('lockdown', 0.004858533622782301)]",negative,"['covid', 'health', 'italy', 'covid', 'people', 'care', 'vaccine', 'amp', 'doctors', 'lockdown ']"
2,1,109,1_mental health_mental_health_issues,"[('mental health', 0.0746535385735611), ('mental', 0.07423052132690802), ('health', 0.03572048998436573), ('issues', 0.008810707339790922), ('dont', 0.008213404865413491), ('mental health issues', 0.00811770002093771), ('mentally', 0.0078094336217446126), ('health issues', 0.007680234872694955), ('need', 0.007364028013514415), ('amp', 0.007189861274076408)]",negative,"['mental health', 'mental', 'health', 'issues', 'dont', 'mental health issues', 'mentally', 'health issues', 'need', 'amp ']"
3,2,72,2_kids pandemia_variantecovid vaccines nanotechnology_fda antibody_fda antibody nextgen,"[('kids pandemia', 0.06220434119089021), ('variantecovid vaccines nanotechnology', 0.06220434119089021), ('fda antibody', 0.06220434119089021), ('fda antibody nextgen', 0.06220434119089021), ('follow amp', 0.06220434119089021), ('follow amp rt', 0.06220434119089021), ('variants medicalstudent', 0.06220434119089021), ('kids pandemia cancer', 0.06220434119089021), ('medicalstudent', 0.06220434119089021), ('medicalstudent kids', 0.06220434119089021)]",negative,"['kids pandemia', 'variantecovid vaccines nanotechnology', 'fda antibody', 'fda antibody nextgen', 'follow amp', 'follow amp rt', 'variants medicalstudent', 'kids pandemia cancer', 'medicalstudent', 'medicalstudent kids ']"
4,3,67,3_mask_wearing_masks_precaution,"[('mask', 0.04454822573921325), ('wearing', 0.03432222704161426), ('masks', 0.02629502655635199), ('precaution', 0.02561546393621419), ('face', 0.023094381590051467), ('restaurant', 0.02229328122976219), ('wear', 0.021806809700834134), ('naples', 0.02101426847549971), ('2020', 0.021004720126772305), ('mask precaution', 0.02050792909400681)]",negative,"['mask', 'wearing', 'masks', 'precaution', 'face', 'restaurant', 'wear', 'naples', '', 'mask precaution ']"
5,4,63,4_coronavirus_covid19_iorestoacasa distancelearning_distancelearning,"[('coronavirus', 0.0365814525533328), ('covid19', 0.024060267220883513), ('iorestoacasa distancelearning', 0.022262501885922815), ('distancelearning', 0.022262501885922815), ('medicine', 0.022039158566006505), ('covid19 coronavirus', 0.020759489490717487), ('andratuttobene', 0.020486560035580224), ('research', 0.018421947836818484), ('stayhome', 0.017831407728580828), ('covid19 coronavirus coronavirusitaly', 0.01702687503661161)]",negative,"['coronavirus', 'covid', 'iorestoacasa distancelearning', 'distancelearning', 'medicine', 'covid coronavirus', 'andratuttobene', 'research', 'stayhome', 'covid coronavirus coronavirusitaly ']"
6,5,45,5_food_worldfoodsafetyday_food safe_health,"[('food', 0.06673053273660824), ('worldfoodsafetyday', 0.02662182011420714), ('food safe', 0.026271600442642058), ('health', 0.02268534323020258), ('safe', 0.022224175221736482), ('cannot', 0.02125737111479112), ('sdg3', 0.018931196586758958), ('nutrition', 0.018587365403801504), ('amp', 0.018335047234016903), ('healthy', 0.017895861913622173)]",negative,"['food', 'worldfoodsafetyday', 'food safe', 'health', 'safe', 'cannot', 'sdg', 'nutrition', 'amp', 'healthy ']"
7,6,38,6_test_pass_certificate_flight,"[('test', 0.029147580766324312), ('pass', 0.024882819580479325), ('certificate', 0.024680366299639017), ('flight', 0.018862566242222576), ('locator', 0.016716355133338866), ('boarding', 0.016716355133338866), ('passenger locator', 0.016716355133338866), ('passenger locator form', 0.016716355133338866), ('locator form', 0.016716355133338866), ('us', 0.016700154096190276)]",negative,"['test', 'pass', 'certificate', 'flight', 'locator', 'boarding', 'passenger locator', 'passenger locator form', 'locator form', 'us ']"
8,7,35,7_mrnelson1963_rus avir us_navi rus avir_coro,"[('mrnelson1963', 0.03023982884798955), ('rus avir us', 0.028000045030157822), ('navi rus avir', 0.028000045030157822), ('coro', 0.028000045030157822), ('avir us', 0.028000045030157822), ('avir', 0.028000045030157822), ('rus avir', 0.028000045030157822), ('rus', 0.027674418078325477), ('navi', 0.027674418078325477), ('navi rus', 0.027674418078325477)]",negative,"['mrnelson', 'rus avir us', 'navi rus avir', 'coro', 'avir us', 'avir', 'rus avir', 'rus', 'navi', 'navi rus ']"
9,8,33,8_indonesia_travel_bali_starting,"[('indonesia', 0.07852959975862918), ('travel', 0.0728194569888086), ('bali', 0.05171716227489232), ('starting', 0.05028316529062686), ('indonesia jakarta bali', 0.04783216606305139), ('jakarta bali', 0.04783216606305139), ('negaramelindungi', 0.04436082405232719), ('protocol travel indonesia', 0.04436082405232719), ('protocol travel', 0.04436082405232719), ('rintiskemajuan', 0.04436082405232719)]",negative,"['indonesia', 'travel', 'bali', 'starting', 'indonesia jakarta bali', 'jakarta bali', 'negaramelindungi', 'protocol travel indonesia', 'protocol travel', 'rintiskemajuan ']"
