,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,81,-1_travel_health_mental_mental health,"[('travel', 0.01903932979372164), ('health', 0.017464188574759308), ('mental', 0.01353258641412394), ('mental health', 0.01353258641412394), ('safe', 0.013147555295779755), ('miq', 0.01202388760004199), ('motivation', 0.010713100962297271), ('message', 0.010171158780436255), ('stay', 0.010149439810592955), ('healthy', 0.010000992716141029)]",positive
1,0,66,0_travel_love_hospital_nz,"[('travel', 0.02024562645393593), ('love', 0.01738916185719178), ('hospital', 0.013955088453619799), ('nz', 0.010933667434623215), ('health', 0.010922714461397654), ('life', 0.01046631634021485), ('live', 0.01046631634021485), ('cant', 0.010193735701386552), ('good', 0.010123076271116936), ('newzealand', 0.009437063430167267)]",positive
2,1,37,1_god_message_us_love,"[('god', 0.037471359312798505), ('message', 0.032943894321017374), ('us', 0.022423006248212505), ('love', 0.022195223289536128), ('praise', 0.020061833366811103), ('lord', 0.016864997027777787), ('gospel', 0.0163444230658), ('power', 0.015603648174186413), ('today', 0.014406193382399986), ('hope', 0.014101191854308078)]",positive
3,2,34,2_travel_people_home_coronavirus,"[('travel', 0.043288346036376164), ('people', 0.03294833740400478), ('home', 0.027913483994828025), ('coronavirus', 0.027734604724644122), ('covid19', 0.027729268829320065), ('dogs', 0.02520133807969892), ('safe', 0.024711253053003587), ('stay', 0.023845248209974967), ('north', 0.019906397428671906), ('far north', 0.019906397428671906)]",positive
4,3,30,3_covid19_health_us health_messages,"[('covid19', 0.034413618236076846), ('health', 0.03137120304780709), ('us health', 0.022340221936902622), ('messages', 0.02051503869330172), ('friends', 0.019749814141203758), ('well', 0.019507939065234996), ('message', 0.01943881420566223), ('us', 0.01902428045368143), ('means', 0.018742095291583515), ('thank', 0.017654868406424867)]",positive
5,4,24,4_health_message_public_messages,"[('health', 0.0471819786069867), ('message', 0.04259693414785087), ('public', 0.04041484314397971), ('messages', 0.037949280436688736), ('public health', 0.029735475012375195), ('goodness', 0.02564406009851913), ('egg', 0.022729054913652506), ('clear', 0.02223449323916617), ('public health message', 0.020141616319151616), ('health message', 0.020141616319151616)]",positive
6,5,21,5_nurses_nurse_research_world,"[('nurses', 0.04939550167614079), ('nurse', 0.04106006888185301), ('research', 0.031123226365079384), ('world', 0.03079505166138976), ('day', 0.027784297224262507), ('stuff', 0.025230847843258287), ('guys pure legends', 0.022853520383303773), ('hcas ed send', 0.022853520383303773), ('ed', 0.022853520383303773), ('stuff theae', 0.022853520383303773)]",positive
7,6,21,6_amp_health_reducing_benefits,"[('amp', 0.06387847244211577), ('health', 0.03484886304590837), ('reducing', 0.031710292947965533), ('benefits', 0.02436973581050218), ('health amp', 0.02378271971097415), ('free', 0.02154183930170135), ('improve health', 0.02154183930170135), ('improve', 0.02154183930170135), ('enabling', 0.02154183930170135), ('workers', 0.02030811317541848)]",positive
8,7,18,7_bloomfield_covid19_auckland_nz,"[('bloomfield', 0.030960109076563467), ('covid19', 0.02786258262176872), ('auckland', 0.0270946938327068), ('nz', 0.0251132673889002), ('safety', 0.023959647219751617), ('level', 0.021581674737722933), ('amp', 0.021403068059377545), ('dipshits', 0.01947962257483665), ('creative', 0.01947962257483665), ('safety video', 0.01947962257483665)]",positive
9,8,17,8_bonus_bonus points_points_lovethestags,"[('bonus', 0.06651152624029676), ('bonus points', 0.05386504180066381), ('points', 0.052946683895971694), ('lovethestags', 0.04520576308503182), ('amp', 0.039906915744178054), ('cricketnation', 0.03228495215590456), ('plunketshield', 0.03228495215590456), ('lovethestags plunketshield', 0.025357572736461796), ('racing', 0.025357572736461796), ('plunketshield cricketnation', 0.017980456777828693)]",positive
10,9,15,9_know_message_nko_ang,"[('know', 0.04021560013004377), ('message', 0.03454396370587051), ('nko', 0.03397199561180535), ('ang', 0.03397199561180535), ('idk', 0.02921692575949315), ('appreciate', 0.02830999634317112), ('people', 0.028114599281860365), ('messages', 0.0215424657808269), ('care', 0.020685627410291344), ('full', 0.020617908079534987)]",positive
11,10,14,10_puzzle_pieces_pieces enjoy_rotating,"[('puzzle', 0.14830779782113196), ('pieces', 0.13981085275652647), ('pieces enjoy', 0.13981085275652647), ('rotating', 0.13981085275652647), ('rotating pieces', 0.13981085275652647), ('rotating pieces enjoy', 0.13981085275652647), ('enjoy', 0.13222795323180142), ('bonus puzzle', 0.13114754267653517), ('enjoy bonus', 0.13114754267653517), ('pieces enjoy bonus', 0.13114754267653517)]",positive
12,11,11,11_family_everyone take_seriously_covid19,"[('family', 0.05402518026519707), ('everyone take', 0.051342292010601746), ('seriously', 0.051342292010601746), ('covid19', 0.047679285769871606), ('everyone', 0.040518885198897805), ('take', 0.040518885198897805), ('covid', 0.03888946068976282), ('real covid19', 0.03666752484675134), ('follow public', 0.03666752484675134), ('covid19 pm amp', 0.03666752484675134)]",positive
