Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1203,-1_singapore_covid19_covid_people,"[('singapore', 0.005896444516912765), ('covid19', 0.005024599259926998), ('covid', 0.0036148663979003078), ('people', 0.0032533170408567003), ('cases', 0.0032339040706760706), ('health', 0.0031259098157828172), ('coronavirus', 0.0031214340472724084), ('amp', 0.0030443386954091896), ('one', 0.0029767541720283645), ('stayhome', 0.0027476581300778)]",negative,"['singapore', 'covid', 'covid', 'people', 'cases', 'health', 'coronavirus', 'amp', 'one', 'stayhome ']"
1,0,510,0_worker_party_worker party_nurses,"[('worker', 0.009359871439517962), ('party', 0.008004281426832205), ('worker party', 0.006832915113560445), ('nurses', 0.0062537066602453145), ('migrant', 0.005882573844948437), ('dormitories', 0.005612143045520089), ('workers', 0.005582336449240435), ('pritam', 0.00545698099832695), ('migrant worker', 0.004709760912306016), ('worker dormitories', 0.004641662412571723)]",negative,"['worker', 'party', 'worker party', 'nurses', 'migrant', 'dormitories', 'workers', 'pritam', 'migrant worker', 'worker dormitories ']"
2,1,268,1_covid19 cases_new covid19_new covid19 cases_cases,"[('covid19 cases', 0.03812953396305085), ('new covid19', 0.036396122063344895), ('new covid19 cases', 0.03615679424712687), ('cases', 0.03530998688887916), ('reports', 0.03269535869816268), ('singapore reports', 0.03248097376919156), ('deaths singapore', 0.031797524050348726), ('deaths singapore reports', 0.030739286840190706), ('new', 0.030498563359345622), ('deaths', 0.030227189065115227)]",negative,"['covid cases', 'new covid', 'new covid cases', 'cases', 'reports', 'singapore reports', 'deaths singapore', 'deaths singapore reports', 'new', 'deaths ']"
3,2,238,2_quarantine_singapore quarantine_quarantine singapore_singapore,"[('quarantine', 0.040613076628163707), ('singapore quarantine', 0.011933493673757713), ('quarantine singapore', 0.009384516136522865), ('singapore', 0.009191185382991351), ('day', 0.00881065397968116), ('days', 0.007981678164762066), ('hotel', 0.007688833936604543), ('room', 0.007591496197229507), ('day quarantine', 0.0074254508932195965), ('quarantinelife', 0.007201773157147746)]",negative,"['quarantine', 'singapore quarantine', 'quarantine singapore', 'singapore', 'day', 'days', 'hotel', 'room', 'day quarantine', 'quarantinelife ']"
4,3,206,3_coronavirus_update_singapore_covid19,"[('coronavirus', 0.021903494112098864), ('update', 0.01382359406950085), ('singapore', 0.012895670767831295), ('covid19', 0.012561913565976312), ('coronavirusoutbreak', 0.011197740643340077), ('singapore covid19', 0.010670306421553349), ('2020', 0.010091053642008662), ('total', 0.009546238856312709), ('singaporeinsta', 0.009323318955577595), ('coronavirus cases', 0.008341278079839367)]",negative,"['coronavirus', 'update', 'singapore', 'covid', 'coronavirusoutbreak', 'singapore covid', '', 'total', 'singaporeinsta', 'coronavirus cases ']"
5,4,188,4_mask_wear_wearing_wear mask,"[('mask', 0.042285299635311926), ('wear', 0.019202411658402953), ('wearing', 0.01576921967238912), ('wear mask', 0.014493186303035675), ('masks', 0.01221794597580242), ('wearing mask', 0.011298696517493993), ('reusable', 0.007801104936212044), ('face', 0.00777892346296217), ('singapore', 0.006991780938829191), ('shirt', 0.006480990054848232)]",negative,"['mask', 'wear', 'wearing', 'wear mask', 'masks', 'wearing mask', 'reusable', 'face', 'singapore', 'shirt ']"
6,5,173,5_circuit_circuit breaker_breaker_circuitbreaker,"[('circuit', 0.03283729690338186), ('circuit breaker', 0.03270631606370672), ('breaker', 0.032238970361329014), ('circuitbreaker', 0.016037789375488623), ('lockdown', 0.01405382432533664), ('circuitbreakersg', 0.010162716733053544), ('extended', 0.00991999697376182), ('stay', 0.009779271578236846), ('2022', 0.00970535801997789), ('singapore', 0.009417520783214907)]",negative,"['circuit', 'circuit breaker', 'breaker', 'circuitbreaker', 'lockdown', 'circuitbreakersg', 'extended', 'stay', '', 'singapore ']"
7,6,155,6_stayhome_something_staysafe_stayhome staysafe,"[('stayhome', 0.01742023570177685), ('something', 0.0131043420730924), ('staysafe', 0.009524554317903973), ('stayhome staysafe', 0.009058602387468365), ('something something', 0.008448153109683793), ('home', 0.007752857595089645), ('singapore', 0.007423590062051474), ('wfh', 0.0071895676020534175), ('stay', 0.006867794505193079), ('rain', 0.006310043622274423)]",negative,"['stayhome', 'something', 'staysafe', 'stayhome staysafe', 'something something', 'home', 'singapore', 'wfh', 'stay', 'rain ']"
8,7,131,7_vaccine_dose_vaccinated_vaccination,"[('vaccine', 0.033281208154811115), ('dose', 0.029639505704104226), ('vaccinated', 0.01672240426866077), ('vaccination', 0.016201798269473433), ('covid19 vaccine', 0.013015176471946596), ('shot', 0.01152869143995588), ('people', 0.00943675322774974), ('covid vaccine', 0.009114954805770162), ('moh', 0.008451748010338649), ('covid', 0.008306681732816078)]",negative,"['vaccine', 'dose', 'vaccinated', 'vaccination', 'covid vaccine', 'shot', 'people', 'covid vaccine', 'moh', 'covid ']"
9,8,124,8_lockdown_singapore lockdown_lockdown singapore_lock,"[('lockdown', 0.048830054385230436), ('singapore lockdown', 0.02254531392008625), ('lockdown singapore', 0.0142593063288445), ('lock', 0.013182187212038522), ('singapore', 0.010994347419966459), ('month', 0.0074796916609191), ('partial', 0.007473819075082632), ('partial lockdown', 0.006328787118862274), ('june', 0.006123965371654965), ('trying', 0.005810975230762499)]",negative,"['lockdown', 'singapore lockdown', 'lockdown singapore', 'lock', 'singapore', 'month', 'partial', 'partial lockdown', 'june', 'trying ']"
