Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,438,-1_singapore_covid19_health_appreciate,"[('singapore', 0.01386714690468694), ('covid19', 0.011405151201269819), ('health', 0.011109110736698834), ('appreciate', 0.00776746292330341), ('care', 0.007221987586616354), ('covid', 0.007037922071144546), ('time', 0.006306874760373251), ('malaysia', 0.006219370756902152), ('help', 0.006195929555658258), ('safe', 0.006102776233467112)]",neutral,"['singapore', 'covid', 'health', 'appreciate', 'care', 'covid', 'time', 'malaysia', 'help', 'safe ']"
1,0,293,0_government_singapore_appreciate_health,"[('government', 0.012756251676236351), ('singapore', 0.011211724552062), ('appreciate', 0.010739317637809432), ('health', 0.01073120784421336), ('people', 0.008949221594855268), ('good', 0.008026747890519792), ('care', 0.007721842987376674), ('help', 0.007475867124404404), ('still', 0.0071814451563143545), ('take', 0.006769045346382443)]",neutral,"['government', 'singapore', 'appreciate', 'health', 'people', 'good', 'care', 'help', 'still', 'take ']"
2,1,86,1_singapore_covid19_cases_covid,"[('singapore', 0.04158453381046913), ('covid19', 0.03904100647333304), ('cases', 0.03414099777510344), ('covid', 0.025540432728001532), ('new', 0.02023472259333832), ('covid cases', 0.014326417967614262), ('singapore covid', 0.012390820029554), ('coronavirus', 0.012390820029554), ('covid19 cases', 0.012245436097946837), ('follow', 0.011152250223063773)]",neutral,"['singapore', 'covid', 'cases', 'covid', 'new', 'covid cases', 'singapore covid', 'coronavirus', 'covid cases', 'follow ']"
3,2,59,2_mental_mental health_health_help,"[('mental', 0.0677525080274436), ('mental health', 0.06365214316899771), ('health', 0.051075392733302936), ('help', 0.024865323148488043), ('dont', 0.016773817430964826), ('men', 0.016029490106525466), ('need', 0.012195288201287393), ('please', 0.012195288201287393), ('know', 0.011734418642811406), ('issues', 0.011679792199138587)]",neutral,"['mental', 'mental health', 'health', 'help', 'dont', 'men', 'need', 'please', 'know', 'issues ']"
4,3,52,3_chocolate_singapore_dark_dark chocolate,"[('chocolate', 0.06704702938945355), ('singapore', 0.029632472099963496), ('dark', 0.02003733786951441), ('dark chocolate', 0.01659875394813237), ('tea', 0.01619908861042429), ('ho', 0.015274837083128278), ('aglio olio', 0.014226325159868625), ('olio', 0.014226325159868625), ('aglio', 0.014226325159868625), ('marsiling singapore', 0.01176697159135622)]",neutral,"['chocolate', 'singapore', 'dark', 'dark chocolate', 'tea', 'ho', 'aglio olio', 'olio', 'aglio', 'marsiling singapore ']"
5,4,47,4_safe_quarantine_singapore_contact,"[('safe', 0.03382994381245192), ('quarantine', 0.027395817445691105), ('singapore', 0.026247737162574242), ('contact', 0.021073705727454695), ('tracing', 0.019101298504277345), ('contact tracing', 0.0170122836030896), ('safe entry', 0.016443552240664232), ('entry', 0.016443552240664232), ('checkin', 0.015567649866092478), ('app', 0.014325973878208007)]",neutral,"['safe', 'quarantine', 'singapore', 'contact', 'tracing', 'contact tracing', 'safe entry', 'entry', 'checkin', 'app ']"
6,5,47,5_circuit_circuit breaker_breaker_singapore,"[('circuit', 0.030068389938384375), ('circuit breaker', 0.030068389938384375), ('breaker', 0.030068389938384375), ('singapore', 0.02908049467849359), ('circuitbreaker', 0.026721211972590784), ('covid19', 0.022838988786899828), ('lockdown', 0.018067108793911484), ('stay', 0.01759418216609989), ('sgunited', 0.015425489378993329), ('covid19singapore', 0.015036518282425793)]",neutral,"['circuit', 'circuit breaker', 'breaker', 'singapore', 'circuitbreaker', 'covid', 'lockdown', 'stay', 'sgunited', 'covidsingapore ']"
7,6,43,6_mask_wear_masks_face,"[('mask', 0.07787872950296451), ('wear', 0.04662557820302912), ('masks', 0.039266555315063574), ('face', 0.02540777108621761), ('wear mask', 0.02420087356791929), ('singapore', 0.019127193925216494), ('wearer', 0.017532291550153532), ('public', 0.017464255030097325), ('covid19', 0.016643638947929404), ('wearing', 0.01642220439522229)]",neutral,"['mask', 'wear', 'masks', 'face', 'wear mask', 'singapore', 'wearer', 'public', 'covid', 'wearing ']"
8,7,35,7_vaccine_singapore_passport_vaccination,"[('vaccine', 0.061610341336811085), ('singapore', 0.024895803073619084), ('passport', 0.022859385987130214), ('vaccination', 0.02091500118463725), ('sinovac', 0.01792842941587372), ('vaccinated', 0.01476400096915576), ('workers', 0.014026028346150212), ('healthcare workers', 0.012833196458274711), ('getting', 0.012643225156229813), ('covid', 0.012516039099377553)]",neutral,"['vaccine', 'singapore', 'passport', 'vaccination', 'sinovac', 'vaccinated', 'workers', 'healthcare workers', 'getting', 'covid ']"
9,8,32,8_sony_pool_singapore_collage,"[('sony', 0.03322492811866885), ('pool', 0.03043674662063657), ('singapore', 0.03007891235759006), ('collage', 0.021662780576376144), ('keep living singapore', 0.021662780576376144), ('stay safe keep', 0.021662780576376144), ('safe keep living', 0.021662780576376144), ('safe keep', 0.021662780576376144), ('collage part', 0.021662780576376144), ('singaporephotographer singaporestudio', 0.021662780576376144)]",neutral,"['sony', 'pool', 'singapore', 'collage', 'keep living singapore', 'stay safe keep', 'safe keep living', 'safe keep', 'collage part', 'singaporephotographer singaporestudio ']"
10,9,26,9_spread covid19_spread_distancing_social,"[('spread covid19', 0.03418056822769638), ('spread', 0.034095318534858414), ('distancing', 0.033430591011228396), ('social', 0.032689378451332615), ('covid19', 0.032473318910814085), ('isnt', 0.031572102923796176), ('public', 0.030976744323457293), ('social distancing', 0.030727048974539876), ('public health', 0.030727048974539876), ('effective ways', 0.02970022953326613)]",neutral,"['spread covid', 'spread', 'distancing', 'social', 'covid', 'isnt', 'public', 'social distancing', 'public health', 'effective ways ']"
11,10,26,10_looka_0414_0414 singapore_mask,"[('looka', 0.06636493577321809), ('0414', 0.06636493577321809), ('0414 singapore', 0.06636493577321809), ('mask', 0.05929209617867931), ('mask looka', 0.05662756376940808), ('orchardgateway', 0.05328279388492538), ('shoes', 0.04988226754938252), ('pants', 0.04642129424365073), ('tee', 0.042894327330447755), ('shirt', 0.04220117658513703)]",neutral,"['looka', '', ' singapore', 'mask', 'mask looka', 'orchardgateway', 'shoes', 'pants', 'tee', 'shirt ']"
12,11,26,11_stayhome_stayhealthy_cycling_fitness,"[('stayhome', 0.03272765625316473), ('stayhealthy', 0.03107371604574677), ('cycling', 0.023306958240635833), ('fitness', 0.018645566592508666), ('stayhome stayhealthy', 0.018129135517818334), ('photos', 0.01731460189811685), ('mco', 0.01535456100792199), ('health', 0.015103433841077681), ('faster', 0.015069847674577157), ('yoga', 0.015069847674577157)]",neutral,"['stayhome', 'stayhealthy', 'cycling', 'fitness', 'stayhome stayhealthy', 'photos', 'mco', 'health', 'faster', 'yoga ']"
13,12,18,12_cluster_number_nurses_closing,"[('cluster', 0.025949817895774618), ('number', 0.025350518217976067), ('nurses', 0.02410095004055289), ('closing', 0.022355653822650697), ('clusters', 0.020360181979790906), ('go', 0.020089838690031826), ('entry prevent super', 0.018068439813906285), ('things help', 0.018068439813906285), ('prevent super', 0.018068439813906285), ('total number related', 0.018068439813906285)]",neutral,"['cluster', 'number', 'nurses', 'closing', 'clusters', 'go', 'entry prevent super', 'things help', 'prevent super', 'total number related ']"
14,13,15,13_archives_exploringsgfromhome_exploring archives_exploring,"[('archives', 0.0819985411240894), ('exploringsgfromhome', 0.0819985411240894), ('exploring archives', 0.0819985411240894), ('exploring', 0.0819985411240894), ('stayhome covid19', 0.0819985411240894), ('sgmemory', 0.07806916530845141), ('stayhome', 0.07023743579446312), ('covid19 exploringsgfromhome singapore', 0.058360915708045316), ('singapore sgmemory', 0.058360915708045316), ('covid19 exploringsgfromhome', 0.058360915708045316)]",neutral,"['archives', 'exploringsgfromhome', 'exploring archives', 'exploring', 'stayhome covid', 'sgmemory', 'stayhome', 'covid exploringsgfromhome singapore', 'singapore sgmemory', 'covid exploringsgfromhome ']"
15,14,14,14_amp_amp covid19_swasta_treating,"[('amp', 0.07786729455108983), ('amp covid19', 0.036309774261539564), ('swasta', 0.03543550633530314), ('treating', 0.034010758534423445), ('treating covid patients', 0.02574025035609173), ('treating covid', 0.02574025035609173), ('amp take', 0.02574025035609173), ('covid patients', 0.024896069029770096), ('covid19', 0.02068161271541), ('care', 0.020255213139236162)]",neutral,"['amp', 'amp covid', 'swasta', 'treating', 'treating covid patients', 'treating covid', 'amp take', 'covid patients', 'covid', 'care ']"
16,15,14,15_travel restrictions_restrictions_travel_singapore,"[('travel restrictions', 0.0683478103746627), ('restrictions', 0.06678245660224116), ('travel', 0.05974043916917476), ('singapore', 0.04406135557347513), ('covid19', 0.04325566058124968), ('singapore covid19', 0.04267174226369626), ('city', 0.039539796245407925), ('covid19 travel restrictions', 0.037876087738242054), ('sees', 0.03633917697330597), ('covid19 travel', 0.03514739157144013)]",neutral,"['travel restrictions', 'restrictions', 'travel', 'singapore', 'covid', 'singapore covid', 'city', 'covid travel restrictions', 'sees', 'covid travel ']"
17,16,14,16_skin_oil_mask_serum,"[('skin', 0.04462342670315288), ('oil', 0.04017378189301024), ('mask', 0.030309270641673876), ('serum', 0.029407437243218367), ('face', 0.028252387312160825), ('routine', 0.02376788056057471), ('cleanser', 0.02376788056057471), ('skincare routine', 0.02376788056057471), ('skincare', 0.02280344326848395), ('benefits', 0.01941537352289358)]",neutral,"['skin', 'oil', 'mask', 'serum', 'face', 'routine', 'cleanser', 'skincare routine', 'skincare', 'benefits ']"
18,17,13,17_shortage_hospitals_medication_supplies,"[('shortage', 0.05091142134704777), ('hospitals', 0.04991874764110366), ('medication', 0.04800663083268888), ('supplies', 0.04151970863323939), ('healthcare', 0.041169066787198595), ('many', 0.03449013676416938), ('dr', 0.031015233020500424), ('needs', 0.029127275532639295), ('mouth infections', 0.02890950370225006), ('shortage private', 0.02890950370225006)]",neutral,"['shortage', 'hospitals', 'medication', 'supplies', 'healthcare', 'many', 'dr', 'needs', 'mouth infections', 'shortage private ']"
19,18,11,18_pm lee_pm_lee_election,"[('pm lee', 0.06563479717169436), ('pm', 0.06248957310873852), ('lee', 0.06161497167361057), ('election', 0.05353857165865079), ('covid19', 0.047894261025160006), ('new', 0.03362311047464488), ('singapore', 0.03335819227627469), ('thats election 2020', 0.032842165252032735), ('electoral boundaries', 0.032842165252032735), ('ge2020 singapore', 0.032842165252032735)]",neutral,"['pm lee', 'pm', 'lee', 'election', 'covid', 'new', 'singapore', 'thats election', ' electoral boundaries', 'ge singapore ']"
