Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,3333,-1_appreciate_health_thank_amp,"[('appreciate', 0.004120600481218841), ('health', 0.003763837372235718), ('thank', 0.003261853014746522), ('amp', 0.0031210959636781515), ('people', 0.003079894181395656), ('love', 0.0028074169485855158), ('good', 0.0027434895057107645), ('us', 0.002630096744516912), ('care', 0.0025844968778796842), ('help', 0.0024202238342044837)]",positive,"['appreciate', 'health', 'thank', 'amp', 'people', 'love', 'good', 'us', 'care', 'help ']"
1,0,661,0_nurses_nursing_hospital_covid19,"[('nurses', 0.014805473669167199), ('nursing', 0.008754218258912453), ('hospital', 0.008261625082546312), ('covid19', 0.00594117947948327), ('frontline', 0.00578715336181222), ('workers', 0.005582572790931683), ('hands', 0.004905569918432424), ('nurse', 0.004902703237661586), ('international nurses', 0.0047413197152314), ('medical', 0.0046941869938651555)]",positive,"['nurses', 'nursing', 'hospital', 'covid', 'frontline', 'workers', 'hands', 'nurse', 'international nurses', 'medical ']"
2,1,510,1_mental_mental health_health_help,"[('mental', 0.03236655512391513), ('mental health', 0.03133324375590813), ('health', 0.009937594987628091), ('help', 0.0066320648832070206), ('depression', 0.00594950248182581), ('mental health issues', 0.00551036445176462), ('issues', 0.0054151472460670265), ('health issues', 0.005021331369978298), ('awareness', 0.004722056196845729), ('therapy', 0.004296862903540863)]",positive,"['mental', 'mental health', 'health', 'help', 'depression', 'mental health issues', 'issues', 'health issues', 'awareness', 'therapy ']"
3,2,475,2_vaccine_vaccination_vaccines_covid19 vaccine,"[('vaccine', 0.014257900541430205), ('vaccination', 0.010895874191514774), ('vaccines', 0.00842103968327164), ('covid19 vaccine', 0.0072915631243918545), ('covid19', 0.0072466762451846335), ('vaccinate', 0.006367220786894452), ('coronavirus', 0.006355648130249885), ('encourage', 0.005487294423092706), ('covid', 0.00525139654868788), ('site', 0.00524713521800443)]",positive,"['vaccine', 'vaccination', 'vaccines', 'covid vaccine', 'covid', 'vaccinate', 'coronavirus', 'encourage', 'covid', 'site ']"
4,3,434,3_birthday_happy birthday_happy_blessings,"[('birthday', 0.03183083682154577), ('happy birthday', 0.024047309367622845), ('happy', 0.021478798276940308), ('blessings', 0.014953065082897815), ('good health', 0.014735120774703996), ('good', 0.012537789213435558), ('happiness', 0.012024653645395969), ('year', 0.010991278900938137), ('may', 0.010315649521961472), ('wishing', 0.010025129073909844)]",positive,"['birthday', 'happy birthday', 'happy', 'blessings', 'good health', 'good', 'happiness', 'year', 'may', 'wishing ']"
5,4,198,4_africa_south_south africa_cape,"[('africa', 0.013955126540303167), ('south', 0.01239533898965303), ('south africa', 0.011425836369948676), ('cape', 0.006704925552962191), ('zimbabwe', 0.006093818366612837), ('make difference', 0.0058297597534087645), ('fundraising', 0.0057487665652073165), ('southafrica zimbabwe', 0.005154055328698922), ('cape town', 0.005131269368637256), ('difference', 0.004889891698937786)]",positive,"['africa', 'south', 'south africa', 'cape', 'zimbabwe', 'make difference', 'fundraising', 'southafrica zimbabwe', 'cape town', 'difference ']"
6,5,196,5_benefits_tea_body_helps,"[('benefits', 0.012821373750797671), ('tea', 0.00999601506942377), ('body', 0.00975780022590926), ('helps', 0.009322719847128439), ('vegan', 0.009251800269659875), ('hair', 0.008996413562481391), ('health benefits', 0.008954701166840908), ('detox', 0.008780203204575905), ('immune', 0.00847222146092859), ('natural', 0.008327013653742523)]",positive,"['benefits', 'tea', 'body', 'helps', 'vegan', 'hair', 'health benefits', 'detox', 'immune', 'natural ']"
7,6,170,6_safe_take care_safe thank_stay safe,"[('safe', 0.03753693011008019), ('take care', 0.023971715686617136), ('safe thank', 0.022008083006215144), ('stay safe', 0.01995068817181177), ('take', 0.018848531596421535), ('thank', 0.01864362497048179), ('safe healthy', 0.0181299412268445), ('stay', 0.017649912852122283), ('morning', 0.01563590961091383), ('care safe', 0.01563354354006779)]",positive,"['safe', 'take care', 'safe thank', 'stay safe', 'take', 'thank', 'safe healthy', 'stay', 'morning', 'care safe ']"
8,7,165,7_appreciate_really appreciate_really_love,"[('appreciate', 0.03574167020002334), ('really appreciate', 0.019621946054801), ('really', 0.019353765925523094), ('love', 0.014362881826080021), ('appreciate brother', 0.011820065801774981), ('brother', 0.011259929027671785), ('thanks', 0.011249256017957671), ('appreciate thanks', 0.00999354770625596), ('much', 0.00995048270440058), ('love appreciate', 0.00904294888171344)]",positive,"['appreciate', 'really appreciate', 'really', 'love', 'appreciate brother', 'brother', 'thanks', 'appreciate thanks', 'much', 'love appreciate ']"
9,8,163,8_safety_school_health safety_taxi,"[('safety', 0.018756589847968057), ('school', 0.0134575794990797), ('health safety', 0.013168204845301517), ('taxi', 0.007322206542793782), ('discussion', 0.0059812048295349515), ('school health', 0.00597436395373186), ('children', 0.0051376955297320216), ('road', 0.005127014985129507), ('schools', 0.005126876021669612), ('police', 0.004860375115283759)]",positive,"['safety', 'school', 'health safety', 'taxi', 'discussion', 'school health', 'children', 'road', 'schools', 'police ']"
10,9,156,9_wealth_health wealth_abundance_business,"[('wealth', 0.024944235951118474), ('health wealth', 0.01591009389673283), ('abundance', 0.015741526009647382), ('business', 0.014790258139222905), ('financial', 0.012817490737002743), ('financial health', 0.0110556608398984), ('health', 0.011048586376473091), ('grow', 0.009730078934808447), ('future', 0.008532056015926211), ('rich', 0.007960969163997019)]",positive,"['wealth', 'health wealth', 'abundance', 'business', 'financial', 'financial health', 'health', 'grow', 'future', 'rich ']"
11,10,141,10_workout_fitness_homeworkout_weight,"[('workout', 0.016349416069232344), ('fitness', 0.013933984606306233), ('homeworkout', 0.013149560133454676), ('weight', 0.013104350053383156), ('gym', 0.012794899288862424), ('healthylifestyle', 0.012184185084600268), ('fitness health', 0.009270871736444102), ('exercise', 0.009142962488056062), ('msoahealthclub', 0.008719688570257251), ('homeworkout stayhome', 0.008557005823182525)]",positive,"['workout', 'fitness', 'homeworkout', 'weight', 'gym', 'healthylifestyle', 'fitness health', 'exercise', 'msoahealthclub', 'homeworkout stayhome ']"
