Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,255,-1_health_amp_covid19_care,"[('health', 0.018441765146078364), ('amp', 0.011079527126619056), ('covid19', 0.009249514284273204), ('care', 0.006867799087082503), ('healthy', 0.006034229967466773), ('take', 0.005058225500551364), ('healthcare', 0.004942150912211313), ('stay', 0.0049359159837927425), ('corona', 0.004899539244292293), ('earthchan', 0.0048646238096143445)]",positive,"['health', 'amp', 'covid', 'care', 'healthy', 'take', 'healthcare', 'stay', 'corona', 'earthchan ']"
1,0,125,0_safe_stay_stay safe_safe healthy,"[('safe', 0.06471705159247876), ('stay', 0.054501051071423195), ('stay safe', 0.051975640197713543), ('safe healthy', 0.04749820333785712), ('healthy', 0.0459505775294563), ('stay safe healthy', 0.04021186225205784), ('good', 0.024420470571742372), ('take', 0.020390251960872074), ('happy', 0.019692493834423244), ('take care', 0.018980150559803056)]",positive,"['safe', 'stay', 'stay safe', 'safe healthy', 'healthy', 'stay safe healthy', 'good', 'take', 'happy', 'take care ']"
2,1,90,1_germany_health_system_healthcare,"[('germany', 0.016300508556627794), ('health', 0.014587354371095847), ('system', 0.013486912806436916), ('healthcare', 0.010424585158135517), ('german', 0.010365009967772756), ('care', 0.0099906181021456), ('would', 0.009076501227511215), ('due', 0.009034649322019202), ('place', 0.008857385644748436), ('working', 0.008176238673605134)]",positive,"['germany', 'health', 'system', 'healthcare', 'german', 'care', 'would', 'due', 'place', 'working ']"
3,2,56,2_sportmotivation sports health_sportmotivation_sportmotivation sports_sports,"[('sportmotivation sports health', 0.060957532474751636), ('sportmotivation', 0.06034669653587459), ('sportmotivation sports', 0.06034669653587459), ('sports', 0.059859048468203245), ('sports health', 0.05975829165578292), ('sports health gesundheit', 0.05856704100515353), ('health gesundheit', 0.05856704100515353), ('erfolg', 0.05830589274587649), ('gesundheit', 0.0568695625324253), ('food erfolg', 0.05553791711544564)]",positive,"['sportmotivation sports health', 'sportmotivation', 'sportmotivation sports', 'sports', 'sports health', 'sports health gesundheit', 'health gesundheit', 'erfolg', 'gesundheit', 'food erfolg ']"
4,3,47,3_covid19_coronavirus_covid19 coronavirus_service,"[('covid19', 0.05678548562824753), ('coronavirus', 0.04298535621408896), ('covid19 coronavirus', 0.02157773456242138), ('service', 0.019819873535020956), ('stayathome', 0.017936374993303635), ('economic', 0.017342389343143336), ('wiwiunigoe', 0.016165077765227402), ('public', 0.015867919117017973), ('coronavirus covid19', 0.015441808505228628), ('corona', 0.014719858509947507)]",positive,"['covid', 'coronavirus', 'covid coronavirus', 'service', 'stayathome', 'economic', 'wiwiunigoe', 'public', 'coronavirus covid', 'corona ']"
5,4,40,4_covid19_care_covid_help,"[('covid19', 0.04810752809809487), ('care', 0.029306556449188264), ('covid', 0.02682708017690256), ('help', 0.013948183969289766), ('people', 0.013592240243829323), ('well', 0.012789512286131998), ('covid19 mental health', 0.012774374684321547), ('response', 0.012774374684321547), ('covid19 mental', 0.012774374684321547), ('look', 0.011909851418049205)]",positive,"['covid', 'care', 'covid', 'help', 'people', 'well', 'covid mental health', 'response', 'covid mental', 'look ']"
6,5,39,5_amp_hearing_health amp_health,"[('amp', 0.04600650284269461), ('hearing', 0.021206625245599624), ('health amp', 0.020150866824825368), ('health', 0.019218260520650086), ('soil', 0.013334513601741134), ('products', 0.012580110001728928), ('1989', 0.011068170356215237), ('act', 0.010667610881392908), ('planet', 0.010340504777661557), ('safety', 0.008754708608820739)]",positive,"['amp', 'hearing', 'health amp', 'health', 'soil', 'products', '', 'act', 'planet', 'safety ']"
7,6,33,6_healthcare_cancer_innovation_business,"[('healthcare', 0.03589425937637492), ('cancer', 0.03110838860441983), ('innovation', 0.02576232543716068), ('business', 0.023843306932843644), ('insurance', 0.022873521553114), ('design', 0.021573961962642312), ('digital', 0.020834996267518464), ('new', 0.019228740730634415), ('meet', 0.018112314795239687), ('cancer business technologynews', 0.01790723631868011)]",positive,"['healthcare', 'cancer', 'innovation', 'business', 'insurance', 'design', 'digital', 'new', 'meet', 'cancer business technologynews ']"
8,7,27,7_workout_fitness_hollywoodlife hollywood_hollywoodlife,"[('workout', 0.039960521864489555), ('fitness', 0.03410548360623182), ('hollywoodlife hollywood', 0.030083290840888125), ('hollywoodlife', 0.02885970487968654), ('health', 0.0282913442581884), ('hollywood', 0.027422942731305047), ('beauty', 0.025956577212107285), ('gym', 0.024795316994742127), ('workout hollywoodlife hollywood', 0.02374684103382401), ('hollywoodlife hollywood losangeles', 0.02374684103382401)]",positive,"['workout', 'fitness', 'hollywoodlife hollywood', 'hollywoodlife', 'health', 'hollywood', 'beauty', 'gym', 'workout hollywoodlife hollywood', 'hollywoodlife hollywood losangeles ']"
9,8,27,8_mental_mental health_health_im,"[('mental', 0.08229343858468426), ('mental health', 0.07736584250515118), ('health', 0.03520054144206475), ('im', 0.03083647396287006), ('always', 0.028448942489350433), ('fan', 0.02540070585832951), ('mental health issues', 0.021083584148985837), ('health issues', 0.02032056468666361), ('helped', 0.019170923416516477), ('feel', 0.018313164499774142)]",positive,"['mental', 'mental health', 'health', 'im', 'always', 'fan', 'mental health issues', 'health issues', 'helped', 'feel ']"
