Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,24834,-1_health_appreciate_help_people,"[('health', 0.007410291162885182), ('appreciate', 0.006401076230389292), ('help', 0.005977456238105746), ('people', 0.005046453073452491), ('amp', 0.005002469652744683), ('im', 0.004743497379126258), ('care', 0.004717504595971028), ('dont', 0.004403261005034258), ('would', 0.004228435180465831), ('get', 0.004112926062971794)]",neutral,"['health', 'appreciate', 'help', 'people', 'amp', 'im', 'care', 'dont', 'would', 'get ']"
1,0,31096,0_health_help_covid19_amp,"[('health', 0.007877946907192016), ('help', 0.006696272806448672), ('covid19', 0.0060411365437063715), ('amp', 0.005040468793668943), ('appreciate', 0.004998999189235535), ('people', 0.004824984581993701), ('mental', 0.004775483143512392), ('care', 0.004642716722150696), ('mental health', 0.004576356929974869), ('get', 0.004530715637595934)]",neutral,"['health', 'help', 'covid', 'amp', 'appreciate', 'people', 'mental', 'care', 'mental health', 'get ']"
2,1,205,1_payrollsupportprogram march 31_aviation economy_payrollsupportprogram march_workers depending help,"[('payrollsupportprogram march 31', 0.11937320521955026), ('aviation economy', 0.11937320521955026), ('payrollsupportprogram march', 0.11937320521955026), ('workers depending help', 0.11937320521955026), ('keep aviation economy', 0.11937320521955026), ('payrollsupportprogram', 0.11937320521955026), ('keep aviation', 0.11937320521955026), ('moving please support', 0.11937320521955026), ('moving please', 0.11937320521955026), ('support extension payrollsupportprogram', 0.11937320521955026)]",neutral,"['payrollsupportprogram march', ' aviation economy', 'payrollsupportprogram march', 'workers depending help', 'keep aviation economy', 'payrollsupportprogram', 'keep aviation', 'moving please support', 'moving please', 'support extension payrollsupportprogram ']"
3,2,91,2_sleep_melatonin_sleep health_sleeping,"[('sleep', 0.09199454606534188), ('melatonin', 0.017367049404101404), ('sleep health', 0.015788226731001276), ('sleeping', 0.01561997541819797), ('health', 0.014222146254928394), ('insomnia', 0.012774062651447485), ('sleep better', 0.010937146466872577), ('nights sleep', 0.010157331726153827), ('good nights', 0.010157331726153827), ('good nights sleep', 0.010157331726153827)]",neutral,"['sleep', 'melatonin', 'sleep health', 'sleeping', 'health', 'insomnia', 'sleep better', 'nights sleep', 'good nights', 'good nights sleep ']"
4,3,80,3_ricardo actor tvhost_ricardo_actor tvhost_tvhost,"[('ricardo actor tvhost', 0.13293273356215016), ('ricardo', 0.13293273356215016), ('actor tvhost', 0.13293273356215016), ('tvhost', 0.13293273356215016), ('ricardo actor', 0.13293273356215016), ('home im healthcare', 0.13274807425302515), ('stay home im', 0.13256495118310793), ('cant stay home', 0.1309819971889307), ('home im', 0.13014941736048694), ('cant stay', 0.1299866168077097)]",neutral,"['ricardo actor tvhost', 'ricardo', 'actor tvhost', 'tvhost', 'ricardo actor', 'home im healthcare', 'stay home im', 'cant stay home', 'home im', 'cant stay ']"
5,4,74,4_run_running_marathoner teamrwb teamwidoc_teamrwb,"[('run', 0.0437036918034126), ('running', 0.042735391429799145), ('marathoner teamrwb teamwidoc', 0.031099191311616238), ('teamrwb', 0.031099191311616238), ('marathoner teamrwb', 0.031099191311616238), ('homeless back', 0.031099191311616238), ('runningforvets marathoner teamrwb', 0.031099191311616238), ('runningforvets marathoner', 0.031099191311616238), ('runningforthosethatcant', 0.031099191311616238), ('runningforvets', 0.031099191311616238)]",neutral,"['run', 'running', 'marathoner teamrwb teamwidoc', 'teamrwb', 'marathoner teamrwb', 'homeless back', 'runningforvets marathoner teamrwb', 'runningforvets marathoner', 'runningforthosethatcant', 'runningforvets ']"
6,5,73,5_stream_appreciate_twitch_streaming,"[('stream', 0.04396989095119663), ('appreciate', 0.03243167344768325), ('twitch', 0.03116692636737976), ('streaming', 0.028574477934914536), ('really appreciate', 0.019245826351589168), ('channel', 0.01911754550677242), ('channel would', 0.018693884146511672), ('would', 0.01846201775508675), ('would really appreciate', 0.018312698718488743), ('would really', 0.01719986094882345)]",neutral,"['stream', 'appreciate', 'twitch', 'streaming', 'really appreciate', 'channel', 'channel would', 'would', 'would really appreciate', 'would really ']"
7,6,64,6_work harris health_want work harris_work harris_harris health,"[('work harris health', 0.22129219139200457), ('want work harris', 0.22129219139200457), ('work harris', 0.22129219139200457), ('harris health', 0.22129219139200457), ('harris health system', 0.22129219139200457), ('system hiring houston', 0.21835137354080908), ('houston tx details', 0.21835137354080908), ('hiring houston tx', 0.21835137354080908), ('hiring houston', 0.21835137354080908), ('houston tx', 0.21307005035134763)]",neutral,"['work harris health', 'want work harris', 'work harris', 'harris health', 'harris health system', 'system hiring houston', 'houston tx details', 'hiring houston tx', 'hiring houston', 'houston tx ']"
8,7,51,7_apply_youre 100 match_value click link_100 match might,"[('apply', 0.11001179707644643), ('youre 100 match', 0.08058410628473485), ('value click link', 0.08058410628473485), ('100 match might', 0.08058410628473485), ('value click', 0.08058410628473485), ('apply even youre', 0.08058410628473485), ('underestimating value click', 0.08058410628473485), ('underestimating value', 0.08058410628473485), ('nervous apply job', 0.08058410628473485), ('100 match', 0.08058410628473485)]",neutral,"['apply', 'youre', 'match', 'value click link', ' match might', 'value click', 'apply even youre', 'underestimating value click', 'underestimating value', 'nervous apply job', ' match ']"
9,8,48,8_curve_flattening_spread_flattening curve,"[('curve', 0.06409556382713172), ('flattening', 0.041737554201799795), ('spread', 0.03871776459270236), ('flattening curve', 0.028898337102116957), ('rate', 0.02612759409879444), ('flatten curve', 0.025173870288329552), ('flatten', 0.024742040575918764), ('graph', 0.0216905782674483), ('slope', 0.01999124248659838), ('disease', 0.01794587805706186)]",neutral,"['curve', 'flattening', 'spread', 'flattening curve', 'rate', 'flatten curve', 'flatten', 'graph', 'slope', 'disease ']"
