Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,274,-1_health_amp_people_covid19,"[('health', 0.014409704170411855), ('amp', 0.006203179204063049), ('people', 0.005916149604695723), ('covid19', 0.005811170909012728), ('covid', 0.005658671473235695), ('even', 0.005360657888150752), ('im', 0.005078304250112205), ('get', 0.004820478999239316), ('nurses', 0.0047913119662506), ('go', 0.004784529132000157)]",negative,"['health', 'amp', 'people', 'covid', 'covid', 'even', 'im', 'get', 'nurses', 'go ']"
1,0,121,0_covid19_kosovo_serbia_serbian,"[('covid19', 0.019986111658756148), ('kosovo', 0.0199272681947996), ('serbia', 0.018964444197054706), ('serbian', 0.012635730355444828), ('pm', 0.010096210627266676), ('amp', 0.009677588258933362), ('montenegro', 0.008423820236963218), ('health', 0.007950128182621854), ('protest', 0.007450548839112482), ('people', 0.007440138142571999)]",negative,"['covid', 'kosovo', 'serbia', 'serbian', 'pm', 'amp', 'montenegro', 'health', 'protest', 'people ']"
2,1,36,1_astrazeneca_vaccine_astrazeneca vaccine_pfizer,"[('astrazeneca', 0.03130616366171037), ('vaccine', 0.030460850781687306), ('astrazeneca vaccine', 0.01979866537980906), ('pfizer', 0.01944316206043515), ('dose', 0.017598813670941387), ('se', 0.017598813670941387), ('likely', 0.016255742921699963), ('pfizerbiontech', 0.014471074871791214), ('health', 0.014161165825295178), ('vaccination', 0.014081886283011531)]",negative,"['astrazeneca', 'vaccine', 'astrazeneca vaccine', 'pfizer', 'dose', 'se', 'likely', 'pfizerbiontech', 'health', 'vaccination ']"
3,2,32,2_masks_mask_care_workers,"[('masks', 0.02604111368495946), ('mask', 0.025796046490871666), ('care', 0.018013179969912647), ('workers', 0.0176563191020859), ('covid19', 0.01638415711746373), ('wear', 0.01585720993126564), ('zato', 0.01571943367734691), ('healthcare', 0.015546617504950698), ('nose', 0.015240731829163997), ('lockdown', 0.014592755666332108)]",negative,"['masks', 'mask', 'care', 'workers', 'covid', 'wear', 'zato', 'healthcare', 'nose', 'lockdown ']"
4,3,29,3_mental_mental health_health_anxiety,"[('mental', 0.05885017066400618), ('mental health', 0.05443546583230988), ('health', 0.031715936898757395), ('anxiety', 0.016936853647252073), ('struggling', 0.013787328855163091), ('going', 0.01229007207824421), ('little', 0.011705889967056404), ('else', 0.01123328532187748), ('im', 0.011087991109500308), ('anyone', 0.011031581310885193)]",negative,"['mental', 'mental health', 'health', 'anxiety', 'struggling', 'going', 'little', 'else', 'im', 'anyone ']"
5,4,29,4_kosovo_italian_coronavirus_breaking,"[('kosovo', 0.047185074795297155), ('italian', 0.03776548795937305), ('coronavirus', 0.025672117798516494), ('breaking', 0.024440338392466184), ('number', 0.02313812933432594), ('confirmed', 0.02240271268938096), ('borders', 0.022229366806127315), ('ministry', 0.021189671606814262), ('kosovo health', 0.020101821248001195), ('covid19', 0.019642370180595725)]",negative,"['kosovo', 'italian', 'coronavirus', 'breaking', 'number', 'confirmed', 'borders', 'ministry', 'kosovo health', 'covid ']"
6,5,27,5_cases_covid19 cases_covid_pandemic,"[('cases', 0.026601098282496623), ('covid19 cases', 0.024642259950469276), ('covid', 0.02375993725791518), ('pandemic', 0.022030454514066954), ('vaccinated', 0.021461369986814027), ('israel', 0.021010571735742264), ('record', 0.018379076101906932), ('new', 0.01775161523190866), ('ministry', 0.01716675522974314), ('one', 0.015944327117338876)]",negative,"['cases', 'covid cases', 'covid', 'pandemic', 'vaccinated', 'israel', 'record', 'new', 'ministry', 'one ']"
7,6,27,6_amp_er_post_forever looking easy,"[('amp', 0.07012745115169103), ('er', 0.020415904359308873), ('post', 0.015654719855422827), ('forever looking easy', 0.014958631899217839), ('whats', 0.014958631899217839), ('discounted', 0.014958631899217839), ('whats needed', 0.014958631899217839), ('package discounted', 0.014958631899217839), ('fit amp healthy', 0.014958631899217839), ('easy way comes', 0.014958631899217839)]",negative,"['amp', 'er', 'post', 'forever looking easy', 'whats', 'discounted', 'whats needed', 'package discounted', 'fit amp healthy', 'easy way comes ']"
8,7,26,7_healthcare_system_people_health,"[('healthcare', 0.03864270502866673), ('system', 0.026698743290751482), ('people', 0.02570937787485612), ('health', 0.02341333561636017), ('free', 0.020735495103297637), ('year', 0.019621645828869574), ('us', 0.019121233618634777), ('died', 0.01639066160298972), ('get', 0.01618709276511579), ('heard', 0.01515295798093321)]",negative,"['healthcare', 'system', 'people', 'health', 'free', 'year', 'us', 'died', 'get', 'heard ']"
9,8,26,8_montenegro_covid19_bulgaria_patients,"[('montenegro', 0.037803232177845404), ('covid19', 0.03733078730657721), ('bulgaria', 0.024004224627035383), ('patients', 0.023786883676806304), ('montenegrin', 0.02303509642793375), ('pandemic', 0.019220287065342564), ('blood', 0.01879404908477867), ('number', 0.018739159064940017), ('donate', 0.01809718400040503), ('health', 0.01716977945199746)]",negative,"['montenegro', 'covid', 'bulgaria', 'patients', 'montenegrin', 'pandemic', 'blood', 'number', 'donate', 'health ']"
10,9,24,9_pollution_health_air_gdp,"[('pollution', 0.02603533149979191), ('health', 0.022433530020269588), ('air', 0.02053403253907343), ('gdp', 0.017424567991031075), ('worst', 0.015763012305363314), ('impact', 0.015282983362947818), ('global', 0.014526120883211908), ('worse', 0.014526120883211908), ('apart', 0.012831771409755749), ('world global', 0.012831771409755749)]",negative,"['pollution', 'health', 'air', 'gdp', 'worst', 'impact', 'global', 'worse', 'apart', 'world global ']"
11,10,23,10_smile_art_wake_wakeupwithasmile,"[('smile', 0.04873612512809462), ('art', 0.043023973624602196), ('wake', 0.036351021520939), ('wakeupwithasmile', 0.02930850606945056), ('happy happiness', 0.02930850606945056), ('wuwas smile', 0.02930850606945056), ('smile happy happiness', 0.02930850606945056), ('iseefaces bored', 0.02930850606945056), ('wuwas', 0.02930850606945056), ('wakeupwithasmile wuwas smile', 0.02930850606945056)]",negative,"['smile', 'art', 'wake', 'wakeupwithasmile', 'happy happiness', 'wuwas smile', 'smile happy happiness', 'iseefaces bored', 'wuwas', 'wakeupwithasmile wuwas smile ']"
12,11,22,11_ukraine_russia_strike_caputered,"[('ukraine', 0.044780696363718536), ('russia', 0.025541002255702678), ('strike', 0.02198830880456336), ('caputered', 0.02101059747676399), ('russians exchanged nazi', 0.02101059747676399), ('exchanged', 0.02101059747676399), ('nurse azvo', 0.02101059747676399), ('russians exchanged', 0.02101059747676399), ('nazi', 0.02101059747676399), ('exchanged nazi nurse', 0.02101059747676399)]",negative,"['ukraine', 'russia', 'strike', 'caputered', 'russians exchanged nazi', 'exchanged', 'nurse azvo', 'russians exchanged', 'nazi', 'exchanged nazi nurse ']"
13,12,22,12_coronavirus_cases_people_last,"[('coronavirus', 0.051856397548125585), ('cases', 0.04988535139261212), ('people', 0.035623604074160195), ('last', 0.02906710349003795), ('corona', 0.02744024082053122), ('montana', 0.02481396887222093), ('number people', 0.02341974066155133), ('update', 0.022866867350442688), ('virus', 0.02194707112724783), ('covid19', 0.021013907250562507)]",negative,"['coronavirus', 'cases', 'people', 'last', 'corona', 'montana', 'number people', 'update', 'virus', 'covid ']"
14,13,21,13_vaccine_vaccines_natural_immunity,"[('vaccine', 0.03543246910265335), ('vaccines', 0.02939610115407012), ('natural', 0.028675774061930025), ('immunity', 0.02454804897674506), ('sadly', 0.02025527026516151), ('big', 0.020155112288701517), ('big pharma', 0.019638439181396048), ('pharma', 0.019638439181396048), ('dont', 0.018045518469344695), ('dont work miserable', 0.016488663007446957)]",negative,"['vaccine', 'vaccines', 'natural', 'immunity', 'sadly', 'big', 'big pharma', 'pharma', 'dont', 'dont work miserable ']"
15,14,21,14_ass_nurse_nurses_true,"[('ass', 0.05076602800015234), ('nurse', 0.045373346235098165), ('nurses', 0.03780733825272099), ('true', 0.03653732942063956), ('name', 0.032495903132463956), ('said', 0.03239109386711077), ('know', 0.02923575006853605), ('nurse also pls', 0.02857150452722577), ('giant hemoroid tell', 0.02857150452722577), ('screaming mother brought', 0.02857150452722577)]",negative,"['ass', 'nurse', 'nurses', 'true', 'name', 'said', 'know', 'nurse also pls', 'giant hemoroid tell', 'screaming mother brought ']"
