,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,466,-1_travel_health_message_people,"[('travel', 0.014749888287160173), ('health', 0.013982795232500816), ('message', 0.010707508215909378), ('people', 0.00987046541840849), ('covid19', 0.009772428727258779), ('lockdown', 0.00964415139846751), ('amp', 0.008582325306468125), ('get', 0.007295256582925054), ('go', 0.006895214802482217), ('want', 0.0067725664233388595)]",negative
1,0,1272,0_health_covid19_people_voucher,"[('health', 0.01524825743313012), ('covid19', 0.012470462203009814), ('people', 0.010425414491705602), ('voucher', 0.009673205713873298), ('amp', 0.009335403617717243), ('travel', 0.008388977761320606), ('south', 0.007522988172280971), ('africa', 0.006927685280846283), ('workers', 0.006883624517525856), ('south africa', 0.006716174394024553)]",negative
2,1,39,1_day_lockdownextended day_capetown health travel_live,"[('day', 0.07681062538134341), ('lockdownextended day', 0.05339567245416702), ('capetown health travel', 0.05339567245416702), ('live', 0.05309433101891568), ('capetown', 0.05253776421561322), ('lockdownextended', 0.05230186379864942), ('health travel', 0.05164088731318398), ('broadcast', 0.048683952803314647), ('apr 11pm capetown', 0.04846201891063177), ('apr 11pm', 0.04846201891063177)]",negative
3,2,27,2_day_live periscope day_periscope day_live periscope,"[('day', 0.11291030180413603), ('live periscope day', 0.07483957758823812), ('periscope day', 0.07483957758823812), ('live periscope', 0.07483957758823812), ('11pm', 0.07483957758823812), ('periscope', 0.07483957758823812), ('broadcast', 0.07454643287671643), ('coronavirussouthafrica travel southafrica', 0.06984717957589108), ('southafrica lovewins', 0.06984717957589108), ('coronavirussouthafrica travel', 0.06984717957589108)]",negative
4,3,22,3_mental health_mental_health_message,"[('mental health', 0.07780095447101382), ('mental', 0.0749509213181861), ('health', 0.04114239110682396), ('message', 0.030822545840711608), ('youre', 0.019684750551495017), ('mentalhealth', 0.017391739305120717), ('mentalhealth weareallinthistogether', 0.01433711289868739), ('mentalhealth weareallinthistogether covid19', 0.01433711289868739), ('season mentalhealth weareallinthistogether', 0.01433711289868739), ('repost', 0.01433711289868739)]",negative
5,4,21,4_africas_flatten curve mitigate_curve mitigate_africas latest efforts,"[('africas', 0.11218059338173542), ('flatten curve mitigate', 0.11218059338173542), ('curve mitigate', 0.11218059338173542), ('africas latest efforts', 0.11218059338173542), ('africas latest', 0.11218059338173542), ('south africas latest', 0.11218059338173542), ('zweli mkhize south', 0.11218059338173542), ('efforts flatten', 0.11218059338173542), ('efforts flatten curve', 0.11218059338173542), ('hi message health', 0.11218059338173542)]",negative
6,5,21,5_africas_flatten curve mitigate_curve mitigate_africas latest efforts,"[('africas', 0.11218059338173542), ('flatten curve mitigate', 0.11218059338173542), ('curve mitigate', 0.11218059338173542), ('africas latest efforts', 0.11218059338173542), ('africas latest', 0.11218059338173542), ('south africas latest', 0.11218059338173542), ('zweli mkhize south', 0.11218059338173542), ('efforts flatten', 0.11218059338173542), ('efforts flatten curve', 0.11218059338173542), ('hi message health', 0.11218059338173542)]",negative
7,6,18,6_black_healthcare heroes blacklisted_medicalschemes medicalaidinquiry dstvshowcase_neck,"[('black', 0.1481962401346812), ('healthcare heroes blacklisted', 0.09026548003015576), ('medicalschemes medicalaidinquiry dstvshowcase', 0.09026548003015576), ('neck', 0.09026548003015576), ('professionals 520 black', 0.09026548003015576), ('neck black', 0.09026548003015576), ('racialprofilinginvestigation medicalschemes', 0.09026548003015576), ('professionals 520', 0.09026548003015576), ('medicalschemes medicalaidinquiry', 0.09026548003015576), ('racialprofilinginvestigation', 0.09026548003015576)]",negative
8,7,18,7_workers_frontline workers_frontline_strike,"[('workers', 0.06491350628774592), ('frontline workers', 0.06372455968584474), ('frontline', 0.05736401872823034), ('strike', 0.05500281599651015), ('identified departments', 0.054760942515883364), ('government identified departments', 0.054760942515883364), ('identified departments work', 0.054760942515883364), ('departments work', 0.054760942515883364), ('since level', 0.054760942515883364), ('deserve risk', 0.054760942515883364)]",negative
9,8,15,8_vooma_voucher_last_1666,"[('vooma', 0.05401140287321792), ('voucher', 0.04176089948053512), ('last', 0.040518057986934086), ('1666', 0.03882159710901151), ('numbers need', 0.03882159710901151), ('hours southafrica', 0.03882159710901151), ('vibes digital', 0.03882159710901151), ('losing elderly waiting', 0.03882159710901151), ('mzansi', 0.03882159710901151), ('mzansi losing', 0.03882159710901151)]",negative
10,9,15,9_salary_star health_send resume_rahul,"[('salary', 0.043671988485121466), ('star health', 0.027144388479915703), ('send resume', 0.027144388479915703), ('rahul', 0.027144388479915703), ('manager star health', 0.027144388479915703), ('salary upto', 0.027144388479915703), ('west delhi', 0.027144388479915703), ('delhi', 0.027144388479915703), ('star health insurance', 0.027144388479915703), ('upto', 0.027144388479915703)]",negative
11,10,13,10_south_lockdowns sign_allow vaping product_lockdowns sign petition,"[('south', 0.14103017339818028), ('lockdowns sign', 0.11137772934168691), ('allow vaping product', 0.11137772934168691), ('lockdowns sign petition', 0.11137772934168691), ('sales south african', 0.11137772934168691), ('south africa allow', 0.11137772934168691), ('sales south', 0.11137772934168691), ('africa allow', 0.11137772934168691), ('vaping', 0.11137772934168691), ('vaping product', 0.11137772934168691)]",negative
12,11,11,11_reliefreformreward covid19_ubuntuinaction_reliefreformreward_afternoon,"[('reliefreformreward covid19', 0.1108159292164012), ('ubuntuinaction', 0.10530972670184838), ('reliefreformreward', 0.10530972670184838), ('afternoon', 0.0943419513463458), ('covid19 communityrelief', 0.08260508653711211), ('reliefreformreward covid19 communityrelief', 0.08260508653711211), ('communityrelief lockdownsa', 0.08260508653711211), ('communityrelief', 0.08260508653711211), ('covid19 communityrelief lockdownsa', 0.08260508653711211), ('ubuntuinaction reliefreformreward covid19', 0.07683807986782147)]",negative
