,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,22619,-1_health_amp_travel_covid19,"[('health', 0.007669544427483846), ('amp', 0.006809031606336429), ('travel', 0.006410946537208143), ('covid19', 0.006139284172910802), ('people', 0.005448635397679887), ('message', 0.005327772662997487), ('covid', 0.0053126029460446094), ('get', 0.005159845702548297), ('care', 0.0046474292187532636), ('dont', 0.0044641522886480715)]",negative
1,0,1058,0_schools_vouchers_school_education,"[('schools', 0.022862637599504056), ('vouchers', 0.02237500934362595), ('school', 0.017000976666206535), ('education', 0.01598406736537829), ('public', 0.014323588038764924), ('allowances', 0.013358052104711452), ('ohio', 0.01249944502804983), ('students', 0.011788902743662878), ('voucher', 0.010521212726784308), ('predatory', 0.010124452262864833)]",negative
2,1,824,1_china_travel_ban_trump,"[('china', 0.03989794549520386), ('travel', 0.02238047385711121), ('ban', 0.01817843340637512), ('trump', 0.016288556777898467), ('travel ban', 0.015323635983033193), ('jan', 0.014185226870833824), ('travel china', 0.013224257660356242), ('coronavirus', 0.01317692542669504), ('health', 0.010887768609275063), ('health emergency', 0.010223815637340108)]",negative
3,2,785,2_mask_wear_masks_wear mask,"[('mask', 0.042936373096313096), ('wear', 0.023530251728848012), ('masks', 0.022171324850370995), ('wear mask', 0.01846492644908648), ('wearing', 0.014542776033329185), ('wearing mask', 0.010957384011790302), ('message', 0.009220793526655311), ('people', 0.008469667839050548), ('dont', 0.007930432722073952), ('health', 0.007007341135010976)]",negative
4,3,654,3_mental_mental health_health_message,"[('mental', 0.05064846163050259), ('mental health', 0.049224533087080524), ('health', 0.025249748165182922), ('message', 0.012887827473088484), ('holidays', 0.009218886238697222), ('im', 0.008809753863299396), ('bell', 0.00854691447127538), ('holiday', 0.007625400410678749), ('messages', 0.0070782088401837315), ('tweet', 0.007070800055036025)]",negative
5,4,547,4_nurses_nurse_travel nurse_travel,"[('nurses', 0.046887380295916596), ('nurse', 0.032956623845996694), ('travel nurse', 0.02857542073011821), ('travel', 0.027903580699987045), ('travel nurses', 0.023078639004269246), ('hospitals', 0.013676356835043214), ('traveling', 0.01326525475220201), ('nursing', 0.0128887345101845), ('traveling nurses', 0.0104178379007091), ('pay', 0.00928011410774657)]",negative
6,5,500,5_message_health_public_public health,"[('message', 0.02708391215431462), ('health', 0.0224300842789201), ('public', 0.02183314111067477), ('public health', 0.021449993109074666), ('messages', 0.01226639315825318), ('health message', 0.010705516029401405), ('public health message', 0.00997168699715294), ('tweet', 0.007746750642623185), ('one', 0.007570075736341011), ('people', 0.006589093046834465)]",negative
7,6,459,6_biden_trump_campaign_message,"[('biden', 0.01929745931058548), ('trump', 0.016483461097472278), ('campaign', 0.015998092531322526), ('message', 0.014130986274149266), ('snake', 0.011907623320925756), ('snake oil', 0.011590533013231564), ('oil', 0.011042838521600425), ('gop', 0.01029831229230972), ('president', 0.008896928035832178), ('people', 0.007995990624781249)]",negative
8,7,453,7_protest_protests_message_peaceful,"[('protest', 0.03588908526672456), ('protests', 0.027494192956155947), ('message', 0.01875980830629948), ('peaceful', 0.016141108689579686), ('protesters', 0.009399285819525992), ('people', 0.008088268535460248), ('police', 0.007114927073361474), ('peaceful protest', 0.0070898682329391645), ('black', 0.0069645222709577214), ('blm', 0.00690006813940798)]",negative
9,8,440,8_discount_healthcare_insurance_discounts,"[('discount', 0.04400015393563927), ('healthcare', 0.032433342956894644), ('insurance', 0.01950495115663084), ('discounts', 0.01921831681359281), ('healthcare worker', 0.013973173903942773), ('worker', 0.012646471873884013), ('get', 0.011731664350548194), ('workers', 0.010809942564765092), ('healthcare workers', 0.010603725560858033), ('worker discount', 0.009889294003960077)]",negative
10,9,405,9_quarantine_days_travel_people,"[('quarantine', 0.04948553556978682), ('days', 0.011464763336145479), ('travel', 0.010992479097457446), ('people', 0.009258403450528547), ('14', 0.009089439637474803), ('14 days', 0.008508949845725323), ('negative', 0.008133879983492227), ('health', 0.007975529470442897), ('travelers', 0.007790792196084919), ('please', 0.007071046267139972)]",negative
11,10,392,10_gun_mental_mental health_sales,"[('gun', 0.05252427690962518), ('mental', 0.026778893470061706), ('mental health', 0.025520807570872616), ('sales', 0.023950040031878866), ('guns', 0.023406211175918193), ('gun sales', 0.020116144279466508), ('background', 0.015054849273705753), ('checks', 0.014967995730367596), ('health', 0.014231853388399452), ('laws', 0.01422878751185546)]",negative
12,11,383,11_sale_cbd_health_shop,"[('sale', 0.034724441159463285), ('cbd', 0.01740400075086282), ('health', 0.0129505378610644), ('shop', 0.011922377718731383), ('code', 0.010030078541277528), ('tickets', 0.009369120111936914), ('25', 0.008492908860839596), ('fitness', 0.008187465990560288), ('50', 0.008039797358518652), ('store', 0.0078148415586235)]",negative
13,12,383,12_vaccine_travel_vaccinated_vaccines,"[('vaccine', 0.032482077134191684), ('travel', 0.017071050609795635), ('vaccinated', 0.015242591766882294), ('vaccines', 0.014874116191849137), ('vaccination', 0.013670758827421005), ('get', 0.012465959492984322), ('passport', 0.009915108107375213), ('proof', 0.008871053379405578), ('countries', 0.007934887881785419), ('required', 0.007472466482036969)]",negative
14,13,348,13_bonus_get_work_getting,"[('bonus', 0.040842532269782225), ('get', 0.011626380183299683), ('work', 0.00980171038365789), ('getting', 0.008938251987884158), ('unemployment', 0.008083815239013139), ('paid', 0.007998854066905259), ('got', 0.00789625451817347), ('pay', 0.0077541150086958485), ('workers', 0.007602404126779188), ('essential', 0.00748719723895585)]",negative
15,14,335,14_positive_tested_covid19_test,"[('positive', 0.02928447078912717), ('tested', 0.0288593701579852), ('covid19', 0.025709186722145894), ('test', 0.02194307147787168), ('tested positive', 0.018866978288317723), ('testing', 0.018383419148742523), ('positive covid19', 0.01814367470326447), ('tested positive covid19', 0.014398426975217841), ('county', 0.013532949489080136), ('covid19 test', 0.011101359041323526)]",negative
16,15,331,15_voucher_flight_refund_customer,"[('voucher', 0.02643484542153094), ('flight', 0.023581225242149194), ('refund', 0.01796360040023077), ('customer', 0.01125973324188706), ('vouchers', 0.01057905613052767), ('cancel', 0.009863177664960952), ('cancelled', 0.009104810211332439), ('travel', 0.008553968005804252), ('delta', 0.00793721530393442), ('get', 0.007449140847181244)]",negative
17,16,303,16_case_monkeypox_omicron_department,"[('case', 0.03498699604749977), ('monkeypox', 0.02997787346768209), ('omicron', 0.021999646186998338), ('department', 0.021024715246315474), ('health', 0.020369910020409998), ('detected', 0.020052598508492336), ('department public health', 0.01949359152666342), ('man', 0.01944550054821789), ('department public', 0.019412565114211907), ('county', 0.018539161722323002)]",negative
18,17,258,17_cases_covid19 cases_covid19_officials,"[('cases', 0.04454662879907045), ('covid19 cases', 0.022389293273552206), ('covid19', 0.019111925037155968), ('officials', 0.01747190842927759), ('health officials', 0.017087035549091866), ('new', 0.015870864919194486), ('thanksgiving', 0.014511139692059444), ('holiday', 0.013563416373138773), ('health', 0.010897524929269594), ('covid', 0.010648899459476446)]",negative
19,18,235,18_nurse_nurses_message_hospital,"[('nurse', 0.03932234969593577), ('nurses', 0.022263851624824863), ('message', 0.01367551007058134), ('hospital', 0.009840649125632341), ('patient', 0.008175455331923546), ('go', 0.007589611434508063), ('time', 0.007213713401072423), ('holiday', 0.006765420854278661), ('nurse said', 0.006723780232440859), ('sick', 0.006074131738507092)]",negative
20,19,212,19_nurses_bonus_bonuses_pay,"[('nurses', 0.04386303582419951), ('bonus', 0.02834964130533059), ('bonuses', 0.02346956068549775), ('pay', 0.013665623429676036), ('signing', 0.012413724904814946), ('nurse', 0.010059143642000407), ('bonuses nurses', 0.009898391365398034), ('signing bonuses', 0.009688621443103103), ('money', 0.009457028549504035), ('hospital', 0.008635801158017408)]",negative
21,20,212,20_players_team_nba_travel,"[('players', 0.019993072606773327), ('team', 0.016289018977297915), ('nba', 0.013113039025977862), ('travel', 0.012381278673839702), ('health', 0.012198665796063494), ('games', 0.012028766571502519), ('nhl', 0.011794053410952954), ('sports', 0.010442467268875972), ('play', 0.010066761128192278), ('covid19', 0.009808474924443967)]",negative
22,21,205,21_apply_hiring_click_link bio,"[('apply', 0.05908016749026179), ('hiring', 0.04678017736159941), ('click', 0.042945956751341954), ('link bio', 0.027706619168875325), ('bio', 0.026942782814790355), ('might', 0.025288576728882108), ('link', 0.02523014526426756), ('job like', 0.02427218859639857), ('sign bonus', 0.02210172160419959), ('bonus', 0.021067757554776433)]",negative
23,22,171,22_canada_travel_canadians_health,"[('canada', 0.037330622076432673), ('travel', 0.02276569220964253), ('canadians', 0.018331159071280675), ('health', 0.01568759176857612), ('ottawa', 0.014856546935914098), ('canada covid19 featured', 0.013677945654192097), ('covid19', 0.013531006919684339), ('canada covid19', 0.013282394114305561), ('outside canada', 0.012959241230123443), ('covid19 featured', 0.01224073493599463)]",negative
24,23,161,23_messagetotheworld independenceday2020 thecriterion_thecriterion covid19_independenceday2020 thecriterion covid19_thecriterion,"[('messagetotheworld independenceday2020 thecriterion', 0.11111114256816457), ('thecriterion covid19', 0.11111114256816457), ('independenceday2020 thecriterion covid19', 0.11111114256816457), ('thecriterion', 0.11111114256816457), ('independenceday2020 thecriterion', 0.11111114256816457), ('messagetotheworld', 0.11111114256816457), ('independenceday2020', 0.11111114256816457), ('messagetotheworld independenceday2020', 0.11111114256816457), ('farrakhan', 0.10611494182273251), ('farrakhan messagetotheworld independenceday2020', 0.10485712852711693)]",negative
25,24,151,24_healthcare health wellness_unitedstates_healthcare health_health wellness,"[('healthcare health wellness', 0.044361617185937736), ('unitedstates', 0.0425705180124417), ('healthcare health', 0.04200919672292101), ('health wellness', 0.04085001403716836), ('wellness', 0.04051339799750786), ('coronavirus', 0.032689458820554795), ('wellness unitedstates', 0.029557367241468034), ('health wellness unitedstates', 0.029557367241468034), ('healthcare', 0.022499413259911116), ('eu', 0.020826406150322198)]",negative
26,25,149,25_bonuses_ceo_ceos_stock,"[('bonuses', 0.03237476778294735), ('ceo', 0.021093441214552665), ('ceos', 0.02044963902301924), ('stock', 0.020110152259826375), ('pay', 0.016707247255410885), ('bonus', 0.015480556164278765), ('bailout', 0.014258539716797596), ('workers', 0.014145748264447616), ('money', 0.013068665317534573), ('insurance', 0.013018290897406302)]",negative
27,26,149,26_closed_holiday_safe_july,"[('closed', 0.04850912846061271), ('holiday', 0.027133912109509075), ('safe', 0.0270385620516964), ('july', 0.018614139235938132), ('open', 0.01730357368802855), ('happy', 0.016167407382446156), ('monday', 0.015688507201141157), ('healthy', 0.01471856151599027), ('closed today', 0.013587424119543067), ('reopening', 0.01242802001862965)]",negative
