,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,394,-1_amp_health_covid19_travel,"[('amp', 0.011509898218337958), ('health', 0.011136591926553223), ('covid19', 0.008790989068070484), ('travel', 0.0073063423735929625), ('message', 0.0068602322527700575), ('safe', 0.006440841373842495), ('people', 0.006234388820249341), ('bonus', 0.005855929174644893), ('today', 0.00532393374561582), ('day', 0.005151065128625504)]",positive
1,0,236,0_covid19_message_people_travel,"[('covid19', 0.02598303491123986), ('message', 0.01662533397050062), ('people', 0.012447461110280481), ('travel', 0.011625449141433798), ('health', 0.01024823476808857), ('covid', 0.009126993173573768), ('ireland', 0.009063931417247638), ('important', 0.008073609298032445), ('virus', 0.007298420611576228), ('home', 0.007277783495348383)]",positive
2,1,133,1_mental health_mental_health_traveller,"[('mental health', 0.053877626742812774), ('mental', 0.05311022851662744), ('health', 0.03733466362771234), ('traveller', 0.0348875633160891), ('travellers', 0.020517511524624877), ('traveller mental', 0.017171763649347555), ('traveller mental health', 0.017171763649347555), ('protest', 0.017038463497907313), ('crisis', 0.01539878430335105), ('leinster house', 0.013300193311371881)]",positive
3,2,83,2_health_active_travel_active travel,"[('health', 0.024492595485887367), ('active', 0.017036951546654754), ('travel', 0.01518839825537821), ('active travel', 0.013855296726178053), ('healthy', 0.011769498585764373), ('fitness', 0.010541815185827252), ('physical', 0.010122812934852518), ('activity', 0.008792011956184318), ('physical activity', 0.008792011956184318), ('common', 0.008326342743451415)]",positive
4,3,63,3_amp_health_week_live,"[('amp', 0.04521188763254777), ('health', 0.013752989136036849), ('week', 0.010437255363889043), ('live', 0.009235774287671859), ('across', 0.008341546445885755), ('safe', 0.008214346969560176), ('coming', 0.007737764127000769), ('working', 0.007709955082257116), ('people', 0.007708947877184824), ('team', 0.007611688517625835)]",positive
5,4,48,4_happy_safe_holiday_christmas,"[('happy', 0.03398865885040284), ('safe', 0.02903612812776022), ('holiday', 0.025035486387587975), ('christmas', 0.02229675906200134), ('healthy', 0.020690908563481894), ('wishing', 0.0177960169937573), ('wish', 0.015740361731434126), ('everyone', 0.015000387283572258), ('time', 0.014289736448789347), ('hope', 0.013192822713516088)]",positive
6,5,44,5_gift_vouchers_voucher_gift voucher,"[('gift', 0.06453501352621561), ('vouchers', 0.036944577743268286), ('voucher', 0.026497777880516726), ('gift voucher', 0.02433373661320444), ('gift vouchers', 0.021693369304991456), ('christmas', 0.018820364014715884), ('vouchers available', 0.017395418650445204), ('healing', 0.015991133181972636), ('gift vouchers available', 0.015559235571084962), ('available', 0.015277372348411136)]",positive
7,6,40,6_bonus_frontline_workers_1000 bonus,"[('bonus', 0.06752696612768742), ('frontline', 0.053855110081919906), ('workers', 0.03836078276264822), ('1000 bonus', 0.0348111142745206), ('1000', 0.0308653357441104), ('frontline healthcare', 0.02861381596750546), ('bonus frontline', 0.02673309321029957), ('covid', 0.026572913328374984), ('frontline workers', 0.023130770976298926), ('bonuses', 0.02252320337951655)]",positive
8,7,35,7_nurses_international day_international_day,"[('nurses', 0.058419665607164224), ('international day', 0.04103686155520675), ('international', 0.03623371182280856), ('day', 0.03544063555948153), ('nurse', 0.03373515452481225), ('internationalnursesday', 0.027292554449748523), ('day nurse', 0.02415904797233654), ('international day nurse', 0.02415904797233654), ('day nurses', 0.019452468786814673), ('international day nurses', 0.019452468786814673)]",positive
9,8,34,8_bank_emergency_bank holiday_holiday,"[('bank', 0.06214121603141574), ('emergency', 0.05423817817246359), ('bank holiday', 0.048831242584196785), ('holiday', 0.03820761413282819), ('blackrock', 0.037711136505117836), ('bank holiday weekend', 0.03268203431694658), ('holiday weekend', 0.03211909526616861), ('options', 0.03017686973833681), ('department', 0.02981583647587986), ('weekend', 0.02972738001166077)]",positive
10,9,31,9_vaccines_travel_vaccine_choice,"[('vaccines', 0.03430695359434664), ('travel', 0.03313697101413356), ('vaccine', 0.020548685761202737), ('choice', 0.019957298803838484), ('also', 0.018903497095847), ('advice', 0.01731575123922862), ('stay', 0.016106274864976695), ('follow', 0.016005299115974574), ('haha', 0.015137061321048704), ('vaccinated', 0.014220611594525869)]",positive
11,10,31,10_midwives_amp_nurses_student,"[('midwives', 0.03551378399178689), ('amp', 0.034937511651283705), ('nurses', 0.02799009123895318), ('student', 0.02582210031974301), ('vital', 0.0250785427760987), ('nurses amp midwives', 0.02293599675718672), ('amp midwives', 0.02293599675718672), ('work', 0.022739997108291936), ('pay', 0.02270847659325344), ('student nurses', 0.02209462805410536)]",positive
12,11,27,11_thank_fight_nurses_providing,"[('thank', 0.027876073829303363), ('fight', 0.027874687826903832), ('nurses', 0.02748865844501863), ('providing', 0.022983110134883074), ('fight covid19', 0.022983110134883074), ('made visors', 0.022760707144499282), ('visors', 0.02220331908358242), ('nurse', 0.021542829655790432), ('day', 0.01967993704271777), ('covid19', 0.017808641656096275)]",positive
13,12,23,12_weekend_bank_bank holiday_holiday,"[('weekend', 0.044970245782946006), ('bank', 0.039168517332726964), ('bank holiday', 0.03283098282588287), ('holiday', 0.03211042400902369), ('bank holiday weekend', 0.026621492238941374), ('holiday weekend', 0.026162944358293937), ('weekendvibes', 0.017689938726384295), ('may', 0.017643059696091912), ('limerick', 0.01754046729186186), ('call', 0.015587171262085026)]",positive
14,13,23,13_voucher_prizes_vouchers_play,"[('voucher', 0.04038830916440989), ('prizes', 0.028810904400639378), ('vouchers', 0.021947037457054657), ('play', 0.0190376302437807), ('raffle', 0.01759651308650365), ('draw', 0.01679242619722599), ('50', 0.01679242619722599), ('200', 0.015660156826004818), ('tickets', 0.015660156826004818), ('hamper', 0.014651611438028128)]",positive
15,14,22,14_message_health_health message_public health,"[('message', 0.048663263508859175), ('health', 0.04304873996690985), ('health message', 0.02592409257305519), ('public health', 0.025126497077873438), ('public', 0.025043674248940453), ('important', 0.02390352780264892), ('clear', 0.023439810888449677), ('public health message', 0.02189916402706732), ('important message', 0.01775613590692836), ('clear message', 0.016789359087859584)]",positive
16,15,22,15_dublin_micaredress_safe_travelling,"[('dublin', 0.05889289893565485), ('micaredress', 0.041379034165747765), ('safe', 0.02825558704905699), ('travelling', 0.027467491220516164), ('donegal', 0.02370298611973041), ('dublin today', 0.02316833353602977), ('everyone', 0.02123221973275917), ('micaprotest', 0.01917361100666169), ('100percentredress', 0.01917361100666169), ('travelling dublin', 0.01917361100666169)]",positive
17,16,20,16_safe travels_travels_safe_safe travels crew,"[('safe travels', 0.10657637239772481), ('travels', 0.10089484104282356), ('safe', 0.09338200410669155), ('safe travels crew', 0.04435686128406809), ('travels crew', 0.04435686128406809), ('crew', 0.03976713865611727), ('sucessive flights', 0.03469734848010641), ('flight ei9018 sucessive', 0.03469734848010641), ('ei9018 sucessive', 0.03469734848010641), ('ei9018 sucessive flights', 0.03469734848010641)]",positive
18,17,20,17_survey_chance_win 100_chance win 100,"[('survey', 0.0765055367468294), ('chance', 0.07521289741608528), ('win 100', 0.07496070218674701), ('chance win 100', 0.07496070218674701), ('consider completing confidential', 0.07484765070475197), ('survey career', 0.07484765070475197), ('republic northern', 0.07484765070475197), ('republic', 0.07484765070475197), ('vouchers thank', 0.07484765070475197), ('completing confidential', 0.07484765070475197)]",positive
19,18,19,18_fuel_free_allowance_etc,"[('fuel', 0.03948545532043404), ('free', 0.0385393317188998), ('allowance', 0.031189339877705845), ('etc', 0.0308161935166828), ('afford', 0.023471187569180485), ('pension', 0.023471187569180485), ('childcare', 0.02281029474176399), ('benefits', 0.021179704594865532), ('medical', 0.01985203367891104), ('fuel medical college', 0.01942424644465727)]",positive
20,19,18,19_galway_shes_thank_doctors nurses,"[('galway', 0.04098457951752877), ('shes', 0.040325974913026634), ('thank', 0.03290759784810834), ('doctors nurses', 0.02960182061530542), ('doctors', 0.029449718927916268), ('youre', 0.029106240745638556), ('nurse', 0.0276917810345889), ('amazing', 0.02465845996149886), ('nurses', 0.022715178834805814), ('messages', 0.021244816063772484)]",positive
21,20,14,20_help_support_raise money_donate,"[('help', 0.03679768187436438), ('support', 0.0311850372749823), ('raise money', 0.03053331889759481), ('donate', 0.02951582217603792), ('raise', 0.02683755478415723), ('money', 0.024827156153533182), ('help raise money', 0.023884133714045852), ('cakesale help', 0.023884133714045852), ('mealsonwheels volunteers working', 0.023884133714045852), ('pandemic thank', 0.023884133714045852)]",positive
22,21,13,21_frontline workers_thank_frontline_workers,"[('frontline workers', 0.05194496100149533), ('thank', 0.05188949119912018), ('frontline', 0.046073470427736914), ('workers', 0.04430423451256925), ('message frontline', 0.03594824132693449), ('message', 0.03267092185297412), ('message frontline workers', 0.029932047401293516), ('behalf', 0.025729168036093042), ('messages', 0.02436315387227471), ('work', 0.02429457079166076)]",positive
23,22,12,22_commission_plus_canteen_communications,"[('commission', 0.05189778805942988), ('plus', 0.045327316420048384), ('canteen', 0.03567309633858888), ('communications', 0.03567309633858888), ('free parking', 0.03567309633858888), ('location', 0.03466862677638964), ('parking', 0.03243611753714368), ('based', 0.03185637564084886), ('centre', 0.03000633111271395), ('centre location', 0.029522281848005583)]",positive
24,23,12,23_accommodation_nurses homes_moved_nurses,"[('accommodation', 0.08063373369659102), ('nurses homes', 0.05065755180737322), ('moved', 0.04759056948395305), ('nurses', 0.04310721437968831), ('homes', 0.039296025692689654), ('hospitals', 0.03713071486139406), ('doctors', 0.03193573416209102), ('doctors london', 0.02795197041210161), ('hospitals need', 0.02795197041210161), ('hospitals used', 0.02795197041210161)]",positive
25,24,11,24_bike_island co_hoppers_co,"[('bike', 0.046915425574470454), ('island co', 0.033392243888006316), ('hoppers', 0.033392243888006316), ('co', 0.029350434445595174), ('island', 0.028825844025577092), ('bikes', 0.02612047582210258), ('ebikes', 0.02612047582210258), ('tour', 0.025044182916004736), ('parking', 0.02201282583419638), ('cycle', 0.020640240722237153)]",positive
