,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,60,-1_safety_support_also_health,"[('safety', 0.02279201084207524), ('support', 0.019083390949164405), ('also', 0.016478732744024834), ('health', 0.01583542215904981), ('medical', 0.01548821564291411), ('health safety', 0.014962677760282263), ('whatshappeninginmyanmar', 0.014600445488340972), ('family', 0.013864055482449105), ('staff', 0.012468898133568553), ('photo campaign support', 0.012116311817317208)]",positive
1,0,72,0_always_happy_good_wish,"[('always', 0.03688031294251297), ('happy', 0.03534272394031491), ('good', 0.03306963423522407), ('wish', 0.029622240506594236), ('love', 0.0284393047092969), ('care', 0.026685466036698965), ('take', 0.02666184816496584), ('health', 0.025841654023230534), ('take care', 0.024993765427438884), ('support', 0.024390920722469612)]",positive
2,1,43,1_mental_mental health_health_support,"[('mental', 0.03753984770933778), ('mental health', 0.03753984770933778), ('health', 0.02472312638078939), ('support', 0.02070056865098485), ('youth', 0.018434386635694418), ('amp', 0.015487318850794397), ('supporting', 0.015182882499900215), ('need', 0.012728858793494412), ('persons', 0.012537363848839422), ('working', 0.010910450394423782)]",positive
3,2,40,2_covid19_offer_support_thailand,"[('covid19', 0.02884275281239537), ('offer', 0.02412153767699483), ('support', 0.019645635825501967), ('thailand', 0.018909270485815095), ('health', 0.017840680373730308), ('rooms', 0.017373509613052198), ('bangkok', 0.016641059555918006), ('stay', 0.01636590253755905), ('us', 0.01470659978433665), ('medical', 0.014276869106968477)]",positive
4,3,40,3_myanmar_education_support_health,"[('myanmar', 0.03389754057718443), ('education', 0.027217728731069233), ('support', 0.024049874140582395), ('health', 0.0202157930826607), ('civil', 0.01879131025024316), ('teameurope', 0.018045892631784556), ('euinmyanmar', 0.017655613509976117), ('campaign', 0.016250400218771957), ('response', 0.015966010971607963), ('disobedience', 0.015790156052811487)]",positive
5,4,33,4_thailand_amp_support_covid19,"[('thailand', 0.04699779848901616), ('amp', 0.026559603457555658), ('support', 0.020241194034596833), ('covid19', 0.020207642945240745), ('tourism', 0.019614627491665558), ('health', 0.016844157689886844), ('power', 0.015036158111712307), ('supporting', 0.014252114945814793), ('health personnel', 0.013612755335952105), ('conducted', 0.013612755335952105)]",positive
6,5,25,5_support states citizens_overseas keep_auspol_safe announcing,"[('support states citizens', 0.055138774589494954), ('overseas keep', 0.055138774589494954), ('auspol', 0.055138774589494954), ('safe announcing', 0.055138774589494954), ('going support', 0.055138774589494954), ('going support states', 0.055138774589494954), ('tell going support', 0.055138774589494954), ('support states', 0.055138774589494954), ('support package food', 0.055138774589494954), ('roof healthcare', 0.055138774589494954)]",positive
7,6,23,6_whatshappeninginmyanmar_protest_young people_young,"[('whatshappeninginmyanmar', 0.0516098710150838), ('protest', 0.04620669221064647), ('young people', 0.040034833753578795), ('young', 0.03712641569149671), ('strike', 0.03664337783273896), ('tsp', 0.03569076542730723), ('people', 0.03529850200589131), ('marched', 0.03199554896358717), ('today', 0.028925712389414084), ('apr29coup', 0.028183260566661112)]",positive
8,7,23,7_health_read_health workforce_workforce,"[('health', 0.04768836790998069), ('read', 0.032393659996870446), ('health workforce', 0.029075985034224688), ('workforce', 0.029075985034224688), ('covid19 pandemic', 0.028902809649607505), ('provide', 0.027553243059003443), ('health services', 0.026721147565890276), ('pandemic', 0.02620699484122054), ('boosting', 0.025693184809480282), ('health workers', 0.023138328569193175)]",positive
9,8,18,8_vaccines_covid19_covid19 vaccines_support,"[('vaccines', 0.057961894842927485), ('covid19', 0.05741967380163502), ('covid19 vaccines', 0.053094503798852846), ('support', 0.030419049020132077), ('vaccine', 0.030184305702906082), ('provide', 0.029848532714751692), ('partnering', 0.02832312786475869), ('million', 0.02532873044707217), ('health immunization', 0.024354333988142598), ('efficiently', 0.024354333988142598)]",positive
