,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,3454,-1_health_support_mental_mental health,"[('health', 0.02307990384977793), ('support', 0.022787009049280813), ('mental', 0.012780478725116355), ('mental health', 0.01215782743816332), ('care', 0.010338723391040956), ('amp', 0.01001667507234633), ('people', 0.00935131869557789), ('healthcare', 0.00875770078135304), ('services', 0.008734499672496298), ('dont', 0.00835631708388723)]",neutral
1,0,5488,0_support_health_mental_mental health,"[('support', 0.02341848159235607), ('health', 0.020560267841585152), ('mental', 0.01278695013144793), ('mental health', 0.01236935051845411), ('amp', 0.011476480650510892), ('covid19', 0.009518620078364856), ('need', 0.00898255821111373), ('care', 0.008210072773484773), ('people', 0.008011393702267505), ('services', 0.007779889408823035)]",neutral
2,1,142,1_aviation_payrollsupportprogram march 31_keep aviation economy_workers depending help,"[('aviation', 0.12058745617887644), ('payrollsupportprogram march 31', 0.1176387211148454), ('keep aviation economy', 0.1176387211148454), ('workers depending help', 0.1176387211148454), ('moving please support', 0.1176387211148454), ('payrollsupportprogram', 0.1176387211148454), ('workers depending', 0.1176387211148454), ('keep aviation', 0.1176387211148454), ('moving please', 0.1176387211148454), ('aviation economy', 0.1176387211148454)]",neutral
3,2,126,2_cbd_joint_hemp_amp joint support,"[('cbd', 0.1349316325957622), ('joint', 0.07613692920087536), ('hemp', 0.07493322745340186), ('amp joint support', 0.07374848522203838), ('cbd cbdoil', 0.07374848522203838), ('amp joint', 0.07374848522203838), ('cbdoil', 0.07374848522203838), ('joint support', 0.07374848522203838), ('hip amp joint', 0.07374848522203838), ('hip amp', 0.07374848522203838)]",neutral
4,3,43,3_gym_fitness_supportsmallbusiness_gym fitness,"[('gym', 0.0657014906476895), ('fitness', 0.060877299644240365), ('supportsmallbusiness', 0.042382972953470585), ('gym fitness', 0.04153817032995109), ('fitness health', 0.04153817032995109), ('fitfam', 0.03871729600855068), ('supportfamily', 0.03871729600855068), ('supportsmallbusiness locallyownedandoperated', 0.03871729600855068), ('locallyownedandoperated gym fitness', 0.03871729600855068), ('locallyownedandoperated gym', 0.03871729600855068)]",neutral
5,4,34,4_gofundme_support gofundme_support_donation,"[('gofundme', 0.04115085382150505), ('support gofundme', 0.03988622662337771), ('support', 0.03767795169423078), ('donation', 0.037538080468817535), ('please support gofundme', 0.03680424911544218), ('please', 0.03522951062698476), ('gofundme campaign', 0.03176686968631208), ('support gofundme campaign', 0.03176686968631208), ('please support', 0.02421165328544678), ('help', 0.023273045459375714)]",neutral
6,5,16,5_please_please help_help_help please,"[('please', 0.28202824598293436), ('please help', 0.23806839319575976), ('help', 0.2226057181228353), ('help please', 0.2091725694420976), ('please help please', 0.18824645129983036), ('msmatterstoo', 0.1464134930574572), ('frontline', 0.10231641795862648), ('frontline workers', 0.10072990769995707), ('please please', 0.08784809583447434), ('workers', 0.08764518484904013)]",neutral
7,6,16,6_coronavirus_hospital_healthcare partnershas responded_fox news,"[('coronavirus', 0.09728205482579616), ('hospital', 0.05349793078426348), ('healthcare partnershas responded', 0.05199328634747823), ('fox news', 0.05199328634747823), ('responded request comment', 0.05199328634747823), ('request comment fox', 0.05199328634747823), ('frazier healthcare', 0.05199328634747823), ('request comment', 0.05199328634747823), ('frazier healthcare partnershas', 0.05199328634747823), ('comment fox', 0.05199328634747823)]",neutral
8,7,16,7_states_need_education_support,"[('states', 0.03196657825745411), ('need', 0.028814171738061625), ('education', 0.026743292714820285), ('support', 0.02379461005589474), ('campaign', 0.021758286024932107), ('made healthcare priority', 0.020215601009982827), ('education sc teachers', 0.020215601009982827), ('run havent', 0.020215601009982827), ('signature issue', 0.020215601009982827), ('plans education', 0.020215601009982827)]",neutral
9,8,12,8_fcbarcelona_pbsd2309_seating bring mask_limited seating bring,"[('fcbarcelona', 0.11848327199299738), ('pbsd2309', 0.10344777527284635), ('seating bring mask', 0.10344777527284635), ('limited seating bring', 0.10344777527284635), ('limited seating', 0.10344777527284635), ('seating bring', 0.10344777527284635), ('40 capacity', 0.10344777527284635), ('40 capacity limited', 0.10344777527284635), ('capacity limited seating', 0.10344777527284635), ('capacity limited', 0.10344777527284635)]",neutral
10,9,11,9_done doesnt galvanize_galvanize support appreciation_pandering increasingly_doesnt galvanize support,"[('done doesnt galvanize', 0.04237686585832413), ('galvanize support appreciation', 0.04237686585832413), ('pandering increasingly', 0.04237686585832413), ('doesnt galvanize support', 0.04237686585832413), ('vaudevillian', 0.04237686585832413), ('doesnt galvanize', 0.04237686585832413), ('trying turn vaudevillian', 0.04237686585832413), ('pandering increasingly dwindling', 0.04237686585832413), ('vaudevillian villain', 0.04237686585832413), ('appreciation dont', 0.04237686585832413)]",neutral
11,10,11,10_fibromyalgia_pain_family_mentalstrength mentalhealth seeing,"[('fibromyalgia', 0.10114299735332548), ('pain', 0.07799331830712594), ('family', 0.05398758851981949), ('mentalstrength mentalhealth seeing', 0.049208737866826356), ('hand impact', 0.049208737866826356), ('fibromyalgia fatigue', 0.049208737866826356), ('fibromyalgia fatigue pain', 0.049208737866826356), ('impact fibromyalgia support', 0.049208737866826356), ('impact fibromyalgia', 0.049208737866826356), ('fibromyalgia support', 0.049208737866826356)]",neutral
