Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1462,-1_health_amp_covid19_care,"[('health', 0.020653632808491217), ('amp', 0.008822659625158793), ('covid19', 0.008075381740394677), ('care', 0.007155208148196743), ('healthcare', 0.006706898061147326), ('people', 0.005860058122395674), ('new', 0.005603822377235844), ('good', 0.005600010362858129), ('safety', 0.005441501237531155), ('safe', 0.005344595900788946)]",positive,"['health', 'amp', 'covid', 'care', 'healthcare', 'people', 'new', 'good', 'safety', 'safe ']"
1,0,1812,0_health_care_amp_mental,"[('health', 0.02500716700344483), ('care', 0.010377108269713232), ('amp', 0.009132397533118076), ('mental', 0.008957661586482459), ('safe', 0.008825222630379968), ('mental health', 0.008379544301586985), ('covid19', 0.008130793334014886), ('healthcare', 0.008063483831023515), ('good', 0.006918784681458938), ('healthy', 0.0060835407700255755)]",positive,"['health', 'care', 'amp', 'mental', 'safe', 'mental health', 'covid', 'healthcare', 'good', 'healthy ']"
2,1,108,1_cbd_cbdoil_oil_organic,"[('cbd', 0.10228419464864374), ('cbdoil', 0.056413482348037454), ('oil', 0.0556530205317701), ('organic', 0.055420722587948376), ('hemp', 0.054419883344288905), ('petcaretips2020', 0.053658501307066286), ('tinctures', 0.05319519047101349), ('discounts', 0.05309367497751822), ('cbdoil tinctures', 0.051849515600550275), ('nuleaf', 0.05039506835079237)]",positive,"['cbd', 'cbdoil', 'oil', 'organic', 'hemp', 'petcaretips', 'tinctures', 'discounts', 'cbdoil tinctures', 'nuleaf ']"
3,2,77,2_mask_masks_wearing_disposable,"[('mask', 0.0859919295309004), ('masks', 0.02892756831379459), ('wearing', 0.021371916043155227), ('disposable', 0.021116694948563965), ('facemask', 0.015837521211422977), ('wear mask', 0.01533167222730187), ('face', 0.015128061462520074), ('wear', 0.014795941876030541), ('covid', 0.01371810078992092), ('skincare mask', 0.01326871730367137)]",positive,"['mask', 'masks', 'wearing', 'disposable', 'facemask', 'wear mask', 'face', 'wear', 'covid', 'skincare mask ']"
4,3,68,3_weightloss_weightlossdiet_weightlosstransformation_weightlosstips,"[('weightloss', 0.0916240595838071), ('weightlossdiet', 0.08185592031978627), ('weightlosstransformation', 0.08185592031978627), ('weightlosstips', 0.08056326828996126), ('weight', 0.07845146810591944), ('keto', 0.07665154709064795), ('ketodiet', 0.07533599635650069), ('loss', 0.07504443948890792), ('weight loss', 0.07477910626574967), ('health fitness', 0.07319628299096737)]",positive,"['weightloss', 'weightlossdiet', 'weightlosstransformation', 'weightlosstips', 'weight', 'keto', 'ketodiet', 'loss', 'weight loss', 'health fitness ']"
5,4,22,4_crew_cruise_covid19_priority,"[('crew', 0.05617364009307729), ('cruise', 0.05412875306192305), ('covid19', 0.046126521245868246), ('priority', 0.04510985645495994), ('passengers amp crew', 0.04465138231360054), ('passengers', 0.04465138231360054), ('passengers amp', 0.04465138231360054), ('amp crew', 0.04465138231360054), ('needed', 0.0410303428163989), ('avoid', 0.04009765018218662)]",positive,"['crew', 'cruise', 'covid', 'priority', 'passengers amp crew', 'passengers', 'passengers amp', 'amp crew', 'needed', 'avoid ']"
6,5,20,5_burnout_cgfpsicologa_scholaralerts_cgfpsicologa scholaralerts,"[('burnout', 0.16386440389864865), ('cgfpsicologa', 0.09830387016288525), ('scholaralerts', 0.08650615396565321), ('cgfpsicologa scholaralerts', 0.07813991904880094), ('stress', 0.06697707220784309), ('niche', 0.05966409617501208), ('healthcare', 0.04804141669633652), ('impact', 0.045655952898205225), ('workplace', 0.04513936629490424), ('impact burnout', 0.042735761882395654)]",positive,"['burnout', 'cgfpsicologa', 'scholaralerts', 'cgfpsicologa scholaralerts', 'stress', 'niche', 'healthcare', 'impact', 'workplace', 'impact burnout ']"
7,6,16,6_storms_health many storms_health many_many storms,"[('storms', 0.13630444121800755), ('health many storms', 0.1210368871472855), ('health many', 0.11973810848753545), ('many storms', 0.11973810848753545), ('many', 0.07963696573551295), ('spain', 0.0681510842158093), ('bro', 0.0653116955386557), ('barcelona', 0.05710712942657432), ('many storms barcelona', 0.0515282870543718), ('storms barcelona', 0.0515282870543718)]",positive,"['storms', 'health many storms', 'health many', 'many storms', 'many', 'spain', 'bro', 'barcelona', 'many storms barcelona', 'storms barcelona ']"
8,7,13,7_true_exactly_right_point sure right,"[('true', 0.4112867167391905), ('exactly', 0.3066267807731233), ('right', 0.21992774979999305), ('point sure right', 0.2102915642759711), ('good point sure', 0.2102915642759711), ('exactly true good', 0.2102915642759711), ('funny shes', 0.2102915642759711), ('exactly true', 0.2102915642759711), ('exactly exactly true', 0.2102915642759711), ('cares second', 0.2102915642759711)]",positive,"['true', 'exactly', 'right', 'point sure right', 'good point sure', 'exactly true good', 'funny shes', 'exactly true', 'exactly exactly true', 'cares second ']"
9,8,12,8_care global giveaway_health care global_sale amp_global giveaway,"[('care global giveaway', 0.17580282902697267), ('health care global', 0.17580282902697267), ('sale amp', 0.17580282902697267), ('global giveaway', 0.17580282902697267), ('sale amp health', 0.17580282902697267), ('amp health care', 0.17580282902697267), ('care global', 0.17580282902697267), ('giveaway', 0.17325566201836498), ('sale', 0.16512271412394003), ('amp health', 0.1483792889824994)]",positive,"['care global giveaway', 'health care global', 'sale amp', 'global giveaway', 'sale amp health', 'amp health care', 'care global', 'giveaway', 'sale', 'amp health ']"
