,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,113,-1_gift_health_gifts_also,"[('gift', 0.01646733667635772), ('health', 0.013750127935175797), ('gifts', 0.009848540649099636), ('also', 0.009330196404410183), ('food', 0.008690307875950345), ('us', 0.008306198641853389), ('covid19', 0.008214239284310648), ('19', 0.007962539076224495), ('provide', 0.007668283669449362), ('covid', 0.007541842981380398)]",negative
1,0,65,0_food_provide_provide food_people,"[('food', 0.036837770695409854), ('provide', 0.030620667473743323), ('provide food', 0.028694014474703298), ('people', 0.025708381392582295), ('poor', 0.023127390581855773), ('lockdown', 0.021418749657937147), ('workers', 0.017364245702486746), ('help', 0.01451094721936076), ('daily', 0.013154565644914054), ('needy', 0.012256762350784116)]",negative
2,1,60,1_voucher_gift_gift voucher_card,"[('voucher', 0.046392887145630876), ('gift', 0.04079198229186561), ('gift voucher', 0.0325288327521217), ('card', 0.021119997035907962), ('please', 0.018431678792317947), ('days', 0.016498983724156847), ('account', 0.01637806701687092), ('vouchers', 0.015300638914881853), ('received', 0.01466388118013242), ('paytm', 0.014129569693390905)]",negative
3,2,32,2_ihhc_safety_food_nurses,"[('ihhc', 0.03491839509936783), ('safety', 0.028085053086942677), ('food', 0.02760368187702433), ('nurses', 0.026936226020478054), ('covid19', 0.025895332458475716), ('provide food', 0.02567359189841874), ('coronavirus', 0.02501220987615819), ('provide', 0.02283119943217704), ('hospital', 0.022741700355454125), ('positive', 0.022405875039814154)]",negative
4,3,30,3_health_healthy_healthylifestyle_worldnotobaccoday,"[('health', 0.04207389419002975), ('healthy', 0.025920326393919318), ('healthylifestyle', 0.024808150024459782), ('worldnotobaccoday', 0.022217086821069664), ('love', 0.01787613509621748), ('gift', 0.015780937648544397), ('gift healthy', 0.01391784420297562), ('worldnotobaccoday health', 0.01391784420297562), ('gift healthy lifestyle', 0.01391784420297562), ('hands', 0.01391784420297562)]",negative
5,4,28,4_mask_masks_provide_provide mask,"[('mask', 0.04989656504565823), ('masks', 0.0366352410740054), ('provide', 0.02888742214504087), ('provide mask', 0.028031474787385057), ('one', 0.020855750171625196), ('still', 0.02014806887676309), ('government', 0.016780377630563236), ('health', 0.015827325762522985), ('provide masks', 0.015195649004976894), ('must', 0.014846858652610071)]",negative
6,5,26,5_inquiry ministry_hm inquiry_reserve_poorest pandemic covid,"[('inquiry ministry', 0.040534642747685055), ('hm inquiry', 0.040534642747685055), ('reserve', 0.040534642747685055), ('poorest pandemic covid', 0.040534642747685055), ('raw ncb', 0.040534642747685055), ('raw', 0.040534642747685055), ('neet exam', 0.040534642747685055), ('good god gift', 0.040534642747685055), ('ncb amp', 0.040534642747685055), ('hm', 0.040534642747685055)]",negative
7,6,26,6_bangladesh_doses_vaccines_india,"[('bangladesh', 0.06632923968446826), ('doses', 0.05906475811964083), ('vaccines', 0.04946277070383034), ('india', 0.04400670730034163), ('astrazeneca', 0.04285547259399768), ('vaccine', 0.04247869927303719), ('million', 0.0379837503943505), ('oxford', 0.037425228552012565), ('oxford astrazeneca', 0.037425228552012565), ('indian', 0.03293067127577407)]",negative
8,7,26,7_gift_person_health_holi,"[('gift', 0.02710679520707665), ('person', 0.022687744583996843), ('health', 0.019710001201329323), ('holi', 0.01349186219991185), ('disease request', 0.013039949414787925), ('person mrratan sirji', 0.013039949414787925), ('going last', 0.013039949414787925), ('treated properly', 0.013039949414787925), ('planet', 0.013039949414787925), ('gift welfare', 0.013039949414787925)]",negative
9,8,24,8_covid19_mentalhealthawareness_people_god,"[('covid19', 0.026667280038538677), ('mentalhealthawareness', 0.022335373952720207), ('people', 0.020857669605056372), ('god', 0.01957021830118251), ('health', 0.018885889652841686), ('medical', 0.018645914484337472), ('amp', 0.017039789838748425), ('gift', 0.016528533662851615), ('teams', 0.015902377335107225), ('covid19 people', 0.015902377335107225)]",negative
