Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,903,-1_health_stayhome_thank_safe,"[('health', 0.006272699043085113), ('stayhome', 0.00496128619198045), ('thank', 0.004774249348660893), ('safe', 0.00462812345519912), ('stay', 0.004411619417842876), ('care', 0.004237657960946976), ('help', 0.004163049154210182), ('appreciate', 0.004097068322916242), ('love', 0.003947483384930511), ('good', 0.0038127726962220326)]",positive,"['health', 'stayhome', 'thank', 'safe', 'stay', 'care', 'help', 'appreciate', 'love', 'good ']"
1,0,778,0_nurses_covid19_thank_doctors,"[('nurses', 0.010479691449849032), ('covid19', 0.007856514944805064), ('thank', 0.007294304102895232), ('doctors', 0.006309554618425577), ('healthcare', 0.006115636142948961), ('nurse', 0.005924209212433796), ('nursing', 0.005285723765251305), ('vaccine', 0.00468608043413712), ('uae', 0.004449736080141961), ('amp', 0.004359191722979698)]",positive,"['nurses', 'covid', 'thank', 'doctors', 'healthcare', 'nurse', 'nursing', 'vaccine', 'uae', 'amp ']"
2,1,180,1_birthday_happy_may_blessings,"[('birthday', 0.02110545690886094), ('happy', 0.020823280869055417), ('may', 0.020579741651634145), ('blessings', 0.018573846665513007), ('year', 0.018395160817123057), ('happiness', 0.017034497840105682), ('happy birthday', 0.016841596674395956), ('ramadan', 0.016646486226435806), ('good health', 0.015603831016103357), ('good', 0.015180040348422208)]",positive,"['birthday', 'happy', 'may', 'blessings', 'year', 'happiness', 'happy birthday', 'ramadan', 'good health', 'good ']"
3,2,123,2_qatar_doha_lebanon_doha qatar,"[('qatar', 0.027641444066840007), ('doha', 0.01441547323405907), ('lebanon', 0.014050655647518253), ('doha qatar', 0.010656480803548552), ('beirut', 0.009461090133768078), ('lebanonneeds', 0.008611905417157527), ('oman', 0.008297724579079955), ('covid19', 0.008043931543357924), ('stayhome', 0.007515573557185152), ('muscat', 0.007216570923647402)]",positive,"['qatar', 'doha', 'lebanon', 'doha qatar', 'beirut', 'lebanonneeds', 'oman', 'covid', 'stayhome', 'muscat ']"
4,3,114,3_dubai_uae_stayhome_stayhealthy,"[('dubai', 0.020659113153961434), ('uae', 0.012465480222706075), ('stayhome', 0.011912617452566922), ('stayhealthy', 0.009322696133788942), ('mydubai', 0.0072323875674463614), ('emirates', 0.006780340151325456), ('healthy', 0.006679368438658361), ('arab emirates', 0.006531339391225082), ('united arab emirates', 0.006531339391225082), ('done', 0.0065174326702262956)]",positive,"['dubai', 'uae', 'stayhome', 'stayhealthy', 'mydubai', 'emirates', 'healthy', 'arab emirates', 'united arab emirates', 'done ']"
5,4,96,4_god health_thank god health_god health thank_health thank god,"[('god health', 0.34744418619891854), ('thank god health', 0.34744418619891854), ('god health thank', 0.33930386745164265), ('health thank god', 0.33930386745164265), ('health thank', 0.3327701439144377), ('thank god', 0.32708598371709885), ('god', 0.22660220777446866), ('thank', 0.12849269306674388), ('health', 0.09326985841538249), ('worry dear fine', 0.00879603049826471)]",positive,"['god health', 'thank god health', 'god health thank', 'health thank god', 'health thank', 'thank god', 'god', 'thank', 'health', 'worry dear fine ']"
6,5,92,5_eid_mubarak_eid mubarak_allah,"[('eid', 0.048736617332257065), ('mubarak', 0.03458730341285544), ('eid mubarak', 0.031745675858344674), ('allah', 0.029334583006386198), ('may', 0.0262095076750141), ('eidmubarak', 0.01877304871743771), ('may allah', 0.0185153260792887), ('blessings', 0.01837704604286226), ('peace', 0.013878437202012636), ('good', 0.013693975615306652)]",positive,"['eid', 'mubarak', 'eid mubarak', 'allah', 'may', 'eidmubarak', 'may allah', 'blessings', 'peace', 'good ']"
7,6,86,6_mental_mental health_health_help,"[('mental', 0.05148864651281608), ('mental health', 0.0484177377219744), ('health', 0.01765846112311562), ('help', 0.012512573587840298), ('zone', 0.009605248128421024), ('mentalhealth', 0.009338761943340705), ('school', 0.00763585429012013), ('emotional', 0.007466326537339582), ('struggling', 0.007353109760313479), ('focusing', 0.006899136478420724)]",positive,"['mental', 'mental health', 'health', 'help', 'zone', 'mentalhealth', 'school', 'emotional', 'struggling', 'focusing ']"
8,7,81,7_fitness_gym_fit_hyattregencyriyadholaya,"[('fitness', 0.039210545686494486), ('gym', 0.01536002730772861), ('fit', 0.013223304271723253), ('hyattregencyriyadholaya', 0.012288021846182889), ('workout', 0.011413764922670237), ('back', 0.010379758382670745), ('riyadh', 0.010288786665442974), ('fitness health', 0.009612437215372001), ('health fitness', 0.009612437215372001), ('training', 0.00931703438234671)]",positive,"['fitness', 'gym', 'fit', 'hyattregencyriyadholaya', 'workout', 'back', 'riyadh', 'fitness health', 'health fitness', 'training ']"
9,8,78,8_safety_safe_healthy_thank,"[('safety', 0.021800412381352528), ('safe', 0.021404521582924708), ('healthy', 0.018993383585825956), ('thank', 0.01564023834977981), ('stay', 0.014697231944372483), ('health safety', 0.014421601942003143), ('stay safe', 0.014078673713172713), ('safe healthy', 0.013728077552290528), ('thank lord', 0.009680556486870481), ('workplace', 0.00961350473006764)]",positive,"['safety', 'safe', 'healthy', 'thank', 'stay', 'health safety', 'stay safe', 'safe healthy', 'thank lord', 'workplace ']"
10,9,77,9_amp_health amp safety_amp safety_safe amp,"[('amp', 0.029136322089528176), ('health amp safety', 0.01199527989633193), ('amp safety', 0.011846166159993742), ('safe amp', 0.011435804823277333), ('safe amp healthy', 0.01099567323830427), ('amp healthy', 0.010730636479413755), ('health amp', 0.009656949667531481), ('employees', 0.009418159089333657), ('parts', 0.008784811478288607), ('work', 0.008432422789394683)]",positive,"['amp', 'health amp safety', 'amp safety', 'safe amp', 'safe amp healthy', 'amp healthy', 'health amp', 'employees', 'parts', 'work ']"
11,10,58,10_dancing parades inviting_crowds countries_shares uae_parades inviting,"[('dancing parades inviting', 0.05103367869016626), ('crowds countries', 0.05103367869016626), ('shares uae', 0.05103367869016626), ('parades inviting', 0.05103367869016626), ('spread amp', 0.05103367869016626), ('parades inviting amp', 0.05103367869016626), ('still cautious amp', 0.05103367869016626), ('shares uae celebrates', 0.05103367869016626), ('music dancing parades', 0.05103367869016626), ('still cautious', 0.05103367869016626)]",positive,"['dancing parades inviting', 'crowds countries', 'shares uae', 'parades inviting', 'spread amp', 'parades inviting amp', 'still cautious amp', 'shares uae celebrates', 'music dancing parades', 'still cautious ']"
12,11,57,11_amitabhbachchan_actor_singer_bollywood,"[('amitabhbachchan', 0.06997277970104432), ('actor', 0.06865253857460951), ('singer', 0.06718361784306467), ('bollywood', 0.06674108773683929), ('shahenshah', 0.06620599862662954), ('bigb', 0.06589160398236951), ('actor singer', 0.06589160398236951), ('bollywood actor', 0.06485485579751465), ('health god bless', 0.06477211979003553), ('hows health god', 0.06477211979003553)]",positive,"['amitabhbachchan', 'actor', 'singer', 'bollywood', 'shahenshah', 'bigb', 'actor singer', 'bollywood actor', 'health god bless', 'hows health god ']"
13,12,56,12_habib_al habib_please_sir,"[('habib', 0.02118756501222052), ('al habib', 0.02118756501222052), ('please', 0.017358354529439228), ('sir', 0.01645388539646209), ('al', 0.014805481491536916), ('call', 0.013675002077315332), ('available', 0.012615933336236474), ('information please call', 0.012444940605089693), ('app download application', 0.012444940605089693), ('app download', 0.012444940605089693)]",positive,"['habib', 'al habib', 'please', 'sir', 'al', 'call', 'available', 'information please call', 'app download application', 'app download ']"
14,13,56,13_saudi_arabia_saudi arabia_thank saudi,"[('saudi', 0.049257273925118666), ('arabia', 0.02950179069250605), ('saudi arabia', 0.028415974997358956), ('thank saudi', 0.015165230949817261), ('saudiarabia', 0.014549750008881444), ('citizens residents', 0.012479445985695302), ('thank', 0.012176836216131711), ('covid19', 0.01183107542410324), ('usual', 0.010942782375005894), ('thier', 0.010942782375005894)]",positive,"['saudi', 'arabia', 'saudi arabia', 'thank saudi', 'saudiarabia', 'citizens residents', 'thank', 'covid', 'usual', 'thier ']"
15,14,51,14_world health_world health day_health day_world,"[('world health', 0.02986952464578535), ('world health day', 0.029688515856643338), ('health day', 0.028345239689492322), ('world', 0.026485586335499748), ('day', 0.022049748547562996), ('years world', 0.019627948370495245), ('years world health', 0.019627948370495245), ('healthcare', 0.018308391121573814), ('healthcare workers', 0.016596802686166527), ('workers', 0.01523454777615538)]",positive,"['world health', 'world health day', 'health day', 'world', 'day', 'years world', 'years world health', 'healthcare', 'healthcare workers', 'workers ']"
