Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,5534,-1_health_amp_dubai_healthcare,"[('health', 0.00253728129470048), ('amp', 0.002205063583988868), ('dubai', 0.001872325936081286), ('healthcare', 0.001861618479456574), ('good', 0.0018441708823615374), ('healthy', 0.0017121817066768747), ('covid19', 0.001652862384122501), ('safe', 0.0016512408120144377), ('uae', 0.0015963485469819045), ('stay', 0.001588006073484028)]",positive,"['health', 'amp', 'dubai', 'healthcare', 'good', 'healthy', 'covid', 'safe', 'uae', 'stay ']"
1,0,620,0_mental_mental health_happiness_health,"[('mental', 0.027662280614288718), ('mental health', 0.026173471076301028), ('happiness', 0.006530235422161876), ('health', 0.0063270818340713155), ('important', 0.004871649609406835), ('good mental', 0.004589689754153395), ('peace', 0.004529658789896258), ('good mental health', 0.004481186443714587), ('health happiness', 0.004438701985844634), ('good', 0.003925487483904947)]",positive,"['mental', 'mental health', 'happiness', 'health', 'important', 'good mental', 'peace', 'good mental health', 'health happiness', 'good ']"
2,1,456,1_nurse_nurses_doctors_doctors nurses,"[('nurse', 0.016863855929992243), ('nurses', 0.015966803864392635), ('doctors', 0.011618355973707827), ('doctors nurses', 0.01081521273187027), ('thank', 0.008574539032070545), ('nurse nurse', 0.005540725666070651), ('nursing', 0.00531497233060778), ('fighting', 0.004885000194436609), ('nursing students', 0.004787253040177859), ('save', 0.004744914945928531)]",positive,"['nurse', 'nurses', 'doctors', 'doctors nurses', 'thank', 'nurse nurse', 'nursing', 'fighting', 'nursing students', 'save ']"
3,2,371,2_birthday_happy birthday_happy_good health,"[('birthday', 0.03205206386842795), ('happy birthday', 0.02681351527064506), ('happy', 0.016469950046693636), ('good health', 0.01519303594844335), ('wishing', 0.01444543431538696), ('happiness', 0.013413744076798347), ('happybday', 0.013376521570700156), ('wishing happybday', 0.01267990673824306), ('good', 0.012549120955270183), ('bless', 0.011044714580679101)]",positive,"['birthday', 'happy birthday', 'happy', 'good health', 'wishing', 'happiness', 'happybday', 'wishing happybday', 'good', 'bless ']"
4,3,258,3_vaccine_covid19 vaccine_vaccination_dose,"[('vaccine', 0.028151300050799268), ('covid19 vaccine', 0.015006195756740946), ('vaccination', 0.012067088460383058), ('dose', 0.011410503860713486), ('vaccinated', 0.00972722863826427), ('vaccines', 0.009477450268371063), ('uae', 0.008297419286084743), ('dose covid19', 0.006631479683219255), ('ministry health', 0.006493702445192463), ('first dose', 0.006354524569173897)]",positive,"['vaccine', 'covid vaccine', 'vaccination', 'dose', 'vaccinated', 'vaccines', 'uae', 'dose covid', 'ministry health', 'first dose ']"
5,4,250,4_gym_workout_fitness_fitness gym,"[('gym', 0.027470042677610804), ('workout', 0.02643403802045479), ('fitness', 0.02549518728906183), ('fitness gym', 0.024388464130596817), ('workout fit', 0.023236866997841058), ('fit', 0.023178232586403082), ('gymlife', 0.023152045455380292), ('muscle', 0.022983410361764607), ('fitness gym workout', 0.022927741720699286), ('getfitwithraznishh', 0.0228402990664583)]",positive,"['gym', 'workout', 'fitness', 'fitness gym', 'workout fit', 'fit', 'gymlife', 'muscle', 'fitness gym workout', 'getfitwithraznishh ']"
6,5,242,5_mask_hands_wearing_hand,"[('mask', 0.022959057377743442), ('hands', 0.012657556790578216), ('wearing', 0.01074334519317831), ('hand', 0.009772311488574504), ('wear', 0.009205586802066056), ('masks', 0.008411397031966606), ('wearing mask', 0.007317031010009923), ('wash', 0.0068940273262843065), ('face', 0.006653440313934618), ('washing', 0.006566526529063999)]",positive,"['mask', 'hands', 'wearing', 'hand', 'wear', 'masks', 'wearing mask', 'wash', 'face', 'washing ']"
7,6,236,6_eid_mubarak_eid mubarak_eidmubarak,"[('eid', 0.05204228892876496), ('mubarak', 0.03452689241557789), ('eid mubarak', 0.03427047933919925), ('eidmubarak', 0.02259966228825976), ('eid mubarak may', 0.013382500363107584), ('mubarak may', 0.013354753006393088), ('occasion', 0.013204297067297838), ('happiness', 0.012926623975574581), ('may', 0.012148839260596216), ('peace', 0.011989964207849112)]",positive,"['eid', 'mubarak', 'eid mubarak', 'eidmubarak', 'eid mubarak may', 'mubarak may', 'occasion', 'happiness', 'may', 'peace ']"
8,7,220,7_thank god health_god health_health thank god_recovery,"[('thank god health', 0.06402292377678878), ('god health', 0.06235067128765024), ('health thank god', 0.05606983832263221), ('recovery', 0.05510579582669703), ('thank god', 0.05482376302007335), ('god health thank', 0.05464933977108087), ('health thank', 0.05294564631153901), ('speedy', 0.05089827963483388), ('speedy recovery', 0.050507256551717054), ('god', 0.04352318630715315)]",positive,"['thank god health', 'god health', 'health thank god', 'recovery', 'thank god', 'god health thank', 'health thank', 'speedy', 'speedy recovery', 'god ']"
9,8,219,8_safety_safety health_health safety_safety health work,"[('safety', 0.024013875664693943), ('safety health', 0.014126025463572917), ('health safety', 0.01044272127045486), ('safety health work', 0.0071688579985029486), ('preventive', 0.007069689728239274), ('health work', 0.007005016011631058), ('measures', 0.0065928099444993215), ('worker safety', 0.006510271188268058), ('health worker safety', 0.006510271188268058), ('workplace', 0.006248176208909187)]",positive,"['safety', 'safety health', 'health safety', 'safety health work', 'preventive', 'health work', 'measures', 'worker safety', 'health worker safety', 'workplace ']"
10,9,202,9_take care_safe_stay_stay safe,"[('take care', 0.02622722153143279), ('safe', 0.024950508266259743), ('stay', 0.022041890741095187), ('stay safe', 0.021442287797374966), ('take', 0.02111467867445568), ('care', 0.01634619670756393), ('safe take care', 0.015183206093512078), ('safe take', 0.015173868990942174), ('safe stay', 0.01379058148540946), ('take care stay', 0.01231851776419642)]",positive,"['take care', 'safe', 'stay', 'stay safe', 'take', 'care', 'safe take care', 'safe take', 'safe stay', 'take care stay ']"
11,10,201,10_nurses day_nurses_international nurses day_international nurses,"[('nurses day', 0.04539294774993677), ('nurses', 0.03000484465693112), ('international nurses day', 0.025864027912885713), ('international nurses', 0.025864027912885713), ('day', 0.02548223073564535), ('happy nurses', 0.023192870584304866), ('happy nurses day', 0.021612896191979016), ('international', 0.019231016264473797), ('happy international', 0.01781433683660359), ('happy international nurses', 0.016063650011471368)]",positive,"['nurses day', 'nurses', 'international nurses day', 'international nurses', 'day', 'happy nurses', 'happy nurses day', 'international', 'happy international', 'happy international nurses ']"
