Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,233,-1_health_safe_seminar_amp,"[('health', 0.020012278197991836), ('safe', 0.011911288284988884), ('seminar', 0.008877270973330659), ('amp', 0.006668931070738746), ('crown', 0.006632289892093375), ('crown princess', 0.006632289892093375), ('coronavirus', 0.00649714211583831), ('covid19', 0.006327406465630951), ('people', 0.0063229815102231485), ('great', 0.006191038068258311)]",positive,"['health', 'safe', 'seminar', 'amp', 'crown', 'crown princess', 'coronavirus', 'covid', 'people', 'great ']"
1,0,596,0_health_covid19_care_love,"[('health', 0.02469847311256184), ('covid19', 0.019377223907166553), ('care', 0.009091371466327988), ('love', 0.008761529973781237), ('good', 0.008737183514251528), ('healthcare', 0.008729052498752), ('new', 0.008384982298857388), ('healthy', 0.007867626635276452), ('day', 0.007041469939066956), ('may', 0.006918830731202957)]",positive,"['health', 'covid', 'care', 'love', 'good', 'healthcare', 'new', 'healthy', 'day', 'may ']"
2,1,97,1_mental_mental health_health_people,"[('mental', 0.08255329508725731), ('mental health', 0.07763622328615685), ('health', 0.04242251221003706), ('people', 0.011897504909612359), ('like', 0.009488065774956781), ('relaxing beach', 0.009463089922505481), ('relaxing', 0.009238262407779842), ('beach', 0.00845270177264379), ('care', 0.008395425974823371), ('need', 0.007976332087133324)]",positive,"['mental', 'mental health', 'health', 'people', 'like', 'relaxing beach', 'relaxing', 'beach', 'care', 'need ']"
3,2,46,2_vaccine_vaccines_dose_proud,"[('vaccine', 0.06038211584287115), ('vaccines', 0.026619608486379447), ('dose', 0.02107403046264366), ('proud', 0.01699563518104773), ('pfizer', 0.015496375722380386), ('work', 0.014884337670773797), ('im proud', 0.014809366999648677), ('doses', 0.014528202117075518), ('first', 0.01433730899002781), ('im', 0.013023795461927072)]",positive,"['vaccine', 'vaccines', 'dose', 'proud', 'pfizer', 'work', 'im proud', 'doses', 'first', 'im ']"
4,3,46,3_healthcare healthtech_healthtech_futuretechnology_ai,"[('healthcare healthtech', 0.07303441174237704), ('healthtech', 0.07303441174237704), ('futuretechnology', 0.06240804418084542), ('ai', 0.06240804418084542), ('healthcare', 0.062114694047177905), ('futuremedicine', 0.06068912904016124), ('futurehealthcare', 0.056961766483635504), ('artificialintelligence', 0.03874302349340741), ('ai artificialintelligence', 0.034437854042854425), ('futurehealthcare futuretechnology', 0.034437854042854425)]",positive,"['healthcare healthtech', 'healthtech', 'futuretechnology', 'ai', 'healthcare', 'futuremedicine', 'futurehealthcare', 'artificialintelligence', 'ai artificialintelligence', 'futurehealthcare futuretechnology ']"
5,4,45,4_pool_panama_waiting_happy,"[('pool', 0.04460503567809693), ('panama', 0.042645615963932855), ('waiting', 0.034467527569438536), ('happy', 0.034164425894792134), ('swimmingpool', 0.027163729405514897), ('casaareka travel', 0.025273446026926327), ('panama pool', 0.025273446026926327), ('panama pool swimmingpool', 0.025273446026926327), ('pool swimmingpool pool', 0.025273446026926327), ('casaareka', 0.025273446026926327)]",positive,"['pool', 'panama', 'waiting', 'happy', 'swimmingpool', 'casaareka travel', 'panama pool', 'panama pool swimmingpool', 'pool swimmingpool pool', 'casaareka ']"
6,5,38,5_nurse_nurses_tired_de,"[('nurse', 0.15192408845820043), ('nurses', 0.09633368148092361), ('tired', 0.03838955290451564), ('de', 0.030227466624336438), ('happy', 0.02461572165950351), ('keep', 0.023512679894995957), ('happy international nurses', 0.023488594417077707), ('picture newly', 0.023488594417077707), ('picture newly retired', 0.023488594417077707), ('hospital de especialidades', 0.023488594417077707)]",positive,"['nurse', 'nurses', 'tired', 'de', 'happy', 'keep', 'happy international nurses', 'picture newly', 'picture newly retired', 'hospital de especialidades ']"
7,6,27,6_mask_princess charlene_charlene_tested positive,"[('mask', 0.06162920586670886), ('princess charlene', 0.032306658613241904), ('charlene', 0.032306658613241904), ('tested positive', 0.027678928915513535), ('tested', 0.027678928915513535), ('wearing', 0.027678928915513535), ('positive', 0.02607760047851575), ('princess', 0.025626421856710633), ('health', 0.024916813006426185), ('masks', 0.022884247617615452)]",positive,"['mask', 'princess charlene', 'charlene', 'tested positive', 'tested', 'wearing', 'positive', 'princess', 'health', 'masks ']"
8,7,23,7_costa_costa rica_rica_health,"[('costa', 0.08313279768090003), ('costa rica', 0.06960933535140733), ('rica', 0.06960933535140733), ('health', 0.02826299600311354), ('system', 0.026665665742658728), ('sector', 0.026175812435075718), ('public', 0.02206802266248954), ('de', 0.021009392211957977), ('costarricense', 0.019777119169534042), ('caja', 0.019777119169534042)]",positive,"['costa', 'costa rica', 'rica', 'health', 'system', 'sector', 'public', 'de', 'costarricense', 'caja ']"
9,8,19,8_810_1010_710_910,"[('810', 0.13489703335619846), ('1010', 0.11475384530391362), ('710', 0.09610732270436209), ('910', 0.09335203275384794), ('social skills', 0.06727429237574821), ('creativity', 0.06727429237574821), ('optimism', 0.06727429237574821), ('empathy', 0.06727429237574821), ('trustworthiness', 0.06727429237574821), ('memory', 0.0666016453657308)]",positive,"['', '', '', '', 'social skills', 'creativity', 'optimism', 'empathy', 'trustworthiness', 'memory ']"
