,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,28756,-1_support_health_amp_covid19,"[('support', 0.010562388122985112), ('health', 0.00936127184707422), ('amp', 0.006993574774564999), ('covid19', 0.0056445852850509105), ('healthcare', 0.005575754114918447), ('people', 0.00545161368823703), ('care', 0.005400609204908344), ('mental', 0.004591407326088214), ('dont', 0.00450145161350702), ('mental health', 0.00439043835051438)]",negative
1,0,1544,0_protest_protests_peaceful_people,"[('protest', 0.026544515266029786), ('protests', 0.023453968056006705), ('peaceful', 0.01235289725097568), ('people', 0.010382265224310341), ('blm', 0.009798924917791345), ('support', 0.009455194641344174), ('supporters', 0.009045539967538421), ('trump', 0.008750273168959802), ('police', 0.008143109220692306), ('black', 0.007910955346638531)]",negative
2,1,1145,1_gun_mental_mental health_guns,"[('gun', 0.03902226977529466), ('mental', 0.02402908279904686), ('mental health', 0.022766852785251583), ('guns', 0.019177748344756333), ('health', 0.015264888991947329), ('laws', 0.012828019038075157), ('mental health services', 0.010900088762758947), ('gun control', 0.009774204817031097), ('safety', 0.009693152567638735), ('support', 0.009677827959585354)]",negative
3,2,1020,2_mask_masks_wear_wear mask,"[('mask', 0.041386434923005866), ('masks', 0.024933796197008497), ('wear', 0.02229765613012097), ('wear mask', 0.016078541975774626), ('wearing', 0.015036919598755385), ('trump', 0.010965227609041213), ('wearing mask', 0.009144209368894308), ('support', 0.008891296842459224), ('supporters', 0.007480607728364736), ('dont', 0.007352542321902172)]",negative
4,3,928,3_mental_mental health_health_mental health services,"[('mental', 0.043639002786664854), ('mental health', 0.04225445291210812), ('health', 0.027633167508237078), ('mental health services', 0.021424864388104658), ('services', 0.019143245829774076), ('health services', 0.018026736858624614), ('need', 0.009739937350282942), ('support', 0.009154349292483646), ('mental health support', 0.00794224742926603), ('health support', 0.007686151911739797)]",negative
5,4,919,4_vaccine_vaccines_vaccination_covid19,"[('vaccine', 0.04024283632744194), ('vaccines', 0.01937842310388167), ('vaccination', 0.010242079292105187), ('covid19', 0.009573298962190554), ('covid19 vaccine', 0.00939424484389301), ('vaccinated', 0.00916398355743161), ('people', 0.008765854714949766), ('get', 0.008197026012176346), ('support', 0.008167181527125582), ('getting', 0.007652139019358107)]",negative
6,5,638,5_nurses_teachers_strike_support,"[('nurses', 0.026053003248439895), ('teachers', 0.02046465989656198), ('strike', 0.019719915704833658), ('support', 0.015462912770294645), ('nurse', 0.014798579747050167), ('staff', 0.014543356165367916), ('support staff', 0.01230499256586317), ('workers', 0.011030976162453462), ('doctors', 0.009807292136305696), ('hospital', 0.007984428111891106)]",negative
7,6,456,6_abortion_abortions_healthcare_women,"[('abortion', 0.035786739461474315), ('abortions', 0.022256705375107273), ('healthcare', 0.013333193334237969), ('women', 0.012821056554474313), ('legal', 0.012749578000650434), ('support', 0.012165195712906402), ('safe legal', 0.012059920514904213), ('trumpsupporting state', 0.010223576979179352), ('opposed bill provide', 0.010223576979179352), ('also opposes', 0.010223576979179352)]",negative
8,7,411,7_resign_need resign_traitor_paid,"[('resign', 0.05749998183806068), ('need resign', 0.015015727108220772), ('traitor', 0.012906914801729825), ('paid', 0.012020836700269804), ('need', 0.011931031733838617), ('paid sick', 0.011689366313537385), ('sick', 0.011523535491459552), ('sick leave', 0.010968496412293773), ('traitor anyone', 0.010459946643005907), ('traitor anyone supports', 0.010459946643005907)]",negative
9,8,401,8_players_athletes_sports_health,"[('players', 0.01883664478364776), ('athletes', 0.014221453291639199), ('sports', 0.014021271906707898), ('health', 0.012265985060789767), ('support', 0.01162286479316351), ('mental', 0.01099597160093216), ('mental health', 0.01087418324273879), ('team', 0.00868494329827493), ('fans', 0.008611837747850933), ('football', 0.008218670216132585)]",negative
10,9,393,9_amp_support_amp support_support amp,"[('amp', 0.051648168259198664), ('support', 0.011141827804593064), ('amp support', 0.006123637669907677), ('support amp', 0.005877354974729362), ('health', 0.0055346506521046), ('healthcare', 0.004844759140720287), ('health amp', 0.004793568275430839), ('im', 0.004726790807533447), ('covid19', 0.004482998977368902), ('people', 0.004000086808394467)]",negative
