Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,157,-1_health_dont_like_care,"[('health', 0.022963764354886777), ('dont', 0.009809752883329435), ('like', 0.008836747328887354), ('care', 0.008101396337480091), ('would', 0.007744541749996924), ('healthcare', 0.00736606285421233), ('need', 0.007006642745357511), ('really', 0.0063255953859460545), ('2022', 0.00616586854532547), ('good', 0.006072480241126891)]",neutral,"['health', 'dont', 'like', 'care', 'would', 'healthcare', 'need', 'really', '', 'good ']"
1,0,54,0_mental_mental health_health_month,"[('mental', 0.06341865118557725), ('mental health', 0.061447627523288105), ('health', 0.0542682361134171), ('month', 0.015542546170124037), ('im', 0.013512128574567099), ('june', 0.01168299144927043), ('break', 0.01168299144927043), ('people', 0.011392876404470023), ('like', 0.0113143754979571), ('better', 0.010669456841873783)]",neutral,"['mental', 'mental health', 'health', 'month', 'im', 'june', 'break', 'people', 'like', 'better ']"
2,1,33,1_vaccine_covid19_fourth_health,"[('vaccine', 0.048474484849055324), ('covid19', 0.04104522760470261), ('fourth', 0.03029596309467878), ('health', 0.023017796741604157), ('covid19 vaccine', 0.02264069937871571), ('lets', 0.022103759432252523), ('get', 0.020231357610196656), ('public health', 0.02015436263498989), ('public', 0.018430060675797996), ('persons likely admitted', 0.01713912541282099)]",neutral,"['vaccine', 'covid', 'fourth', 'health', 'covid vaccine', 'lets', 'get', 'public health', 'public', 'persons likely admitted ']"
3,2,31,2_nurse_worth_nurses_worker,"[('nurse', 0.052456388450024045), ('worth', 0.0261911426490008), ('nurses', 0.026085275304855174), ('worker', 0.025722171055760638), ('every', 0.02435526075865479), ('pay', 0.022047575190651973), ('makes', 0.020740215830912272), ('life', 0.01953989657818895), ('isnt worth', 0.018686265827558352), ('train', 0.018686265827558352)]",neutral,"['nurse', 'worth', 'nurses', 'worker', 'every', 'pay', 'makes', 'life', 'isnt worth', 'train ']"
4,3,25,3_health_health care_public_care,"[('health', 0.04533984144064093), ('health care', 0.03304072294821526), ('public', 0.026832682797509427), ('care', 0.02607955798312231), ('year', 0.01764339210954593), ('private', 0.016255982364968995), ('pharmacare', 0.016255982364968995), ('national', 0.015532664289909966), ('canada', 0.014971911065910124), ('social', 0.014127014293880188)]",neutral,"['health', 'health care', 'public', 'care', 'year', 'private', 'pharmacare', 'national', 'canada', 'social ']"
5,4,23,4_gun_amp_safety_gun safety,"[('gun', 0.06129076274524123), ('amp', 0.04141369028940055), ('safety', 0.034722789927686175), ('gun safety', 0.027434642014460546), ('laws', 0.024159544581887536), ('gun control', 0.020768164546353315), ('guns', 0.020768164546353315), ('mental', 0.019870452172496472), ('course', 0.01959617286747182), ('control', 0.018355415795308527)]",neutral,"['gun', 'amp', 'safety', 'gun safety', 'laws', 'gun control', 'guns', 'mental', 'course', 'control ']"
6,5,20,5_covid_mask_wear_airport,"[('covid', 0.040244317169616906), ('mask', 0.040175488291603445), ('wear', 0.030575523927331028), ('airport', 0.030575523927331028), ('got', 0.02814404553187138), ('wear mask', 0.026925473751309235), ('eating', 0.02503811853693483), ('careful', 0.02454822430195), ('people', 0.02188071122540738), ('might', 0.020456853584958336)]",neutral,"['covid', 'mask', 'wear', 'airport', 'got', 'wear mask', 'eating', 'careful', 'people', 'might ']"
7,6,18,6_covid19_patients_transmission_showing mild,"[('covid19', 0.0723150016933086), ('patients', 0.04056617761094441), ('transmission', 0.030598963671383882), ('showing mild', 0.02491747103819572), ('showing mild symptoms', 0.02491747103819572), ('patients showing', 0.02491747103819572), ('patients showing mild', 0.02491747103819572), ('respiratory', 0.02491747103819572), ('covid19 patients showing', 0.02491747103819572), ('covid19 patients', 0.02491747103819572)]",neutral,"['covid', 'patients', 'transmission', 'showing mild', 'showing mild symptoms', 'patients showing', 'patients showing mild', 'respiratory', 'covid patients showing', 'covid patients ']"
8,7,12,7_trump_campaign_like_going,"[('trump', 0.030678943895991326), ('campaign', 0.027240880494332535), ('like', 0.02644041694192107), ('going', 0.024131674338027036), ('scares', 0.02274814273562642), ('ethics', 0.02274814273562642), ('broadcasting', 0.02274814273562642), ('integrity', 0.02274814273562642), ('would', 0.019696565883574265), ('information', 0.01816058699622169)]",neutral,"['trump', 'campaign', 'like', 'going', 'scares', 'ethics', 'broadcasting', 'integrity', 'would', 'information ']"
9,8,12,8_hair_health_good_mention,"[('hair', 0.05191037281783943), ('health', 0.04653327557491867), ('good', 0.03813577271823178), ('mention', 0.02471554967492384), ('steak', 0.02471554967492384), ('outside', 0.02471554967492384), ('cheap', 0.02471554967492384), ('un', 0.02471554967492384), ('cuando', 0.02471554967492384), ('get', 0.023703496010865542)]",neutral,"['hair', 'health', 'good', 'mention', 'steak', 'outside', 'cheap', 'un', 'cuando', 'get ']"
