Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,203,-1_health_amp_help_appreciate,"[('health', 0.01865893732650099), ('amp', 0.016313183815811795), ('help', 0.010661326554733452), ('appreciate', 0.010334338243975524), ('covid19', 0.009272966468156202), ('thank', 0.009148788494508772), ('care', 0.008411417907818854), ('please', 0.007328376196933116), ('safe', 0.007195127132199352), ('get', 0.006820816659797206)]",positive,"['health', 'amp', 'help', 'appreciate', 'covid', 'thank', 'care', 'please', 'safe', 'get ']"
1,0,176,0_health_help_spain_mental,"[('health', 0.024008601177464613), ('help', 0.01300762783122066), ('spain', 0.01125334916740966), ('mental', 0.010615795643724337), ('mental health', 0.010295551075596673), ('workers', 0.01010253804621776), ('covid19', 0.009373210419424863), ('care', 0.009038847562545443), ('amp', 0.008451977231265527), ('thank', 0.00822016892377553)]",positive,"['health', 'help', 'spain', 'mental', 'mental health', 'workers', 'covid', 'care', 'amp', 'thank ']"
2,1,64,1_love_good_happy_always,"[('love', 0.02660606334513498), ('good', 0.022505875152894803), ('happy', 0.017987383709310835), ('always', 0.01760599520740127), ('thank', 0.01705631254766382), ('health', 0.01654796718052535), ('blessings', 0.016538831964797125), ('wish', 0.016054720935933003), ('tribute', 0.015220093907878398), ('safe', 0.011648057552999533)]",positive,"['love', 'good', 'happy', 'always', 'thank', 'health', 'blessings', 'wish', 'tribute', 'safe ']"
3,2,54,2_nursing_nurses_nurse_care,"[('nursing', 0.038055769349298864), ('nurses', 0.03651723613675496), ('nurse', 0.016798042369557953), ('care', 0.014564837408383225), ('covid19', 0.013984829945781894), ('trying', 0.013267451002160252), ('hospital', 0.013093049931452596), ('healthcare', 0.011733340503135917), ('thank', 0.011497961282131024), ('new', 0.01131957642024991)]",positive,"['nursing', 'nurses', 'nurse', 'care', 'covid', 'trying', 'hospital', 'healthcare', 'thank', 'new ']"
4,3,38,3_vaccines_vaccine_covid19_health,"[('vaccines', 0.03236579600859674), ('vaccine', 0.02564749855434033), ('covid19', 0.022077990442145527), ('health', 0.018177012664129164), ('people', 0.016461367341034587), ('get', 0.015981898485382597), ('help', 0.015853086667001727), ('us', 0.013402746099754632), ('doctor', 0.013274930156630933), ('singapore', 0.013274930156630933)]",positive,"['vaccines', 'vaccine', 'covid', 'health', 'people', 'get', 'help', 'us', 'doctor', 'singapore ']"
5,4,37,4_cbd_cannabis_cbdoil_hemp,"[('cbd', 0.07541623703806477), ('cannabis', 0.04985874990423229), ('cbdoil', 0.04845108562308493), ('hemp', 0.04703050569959587), ('organic', 0.0469793939419733), ('wellness', 0.04612854113939996), ('hempoil', 0.04559654352018498), ('tinctures', 0.0441486986264328), ('petcaretips2020', 0.0441486986264328), ('cbdoil tinctures', 0.04218294340935868)]",positive,"['cbd', 'cannabis', 'cbdoil', 'hemp', 'organic', 'wellness', 'hempoil', 'tinctures', 'petcaretips', 'cbdoil tinctures ']"
6,5,26,5_health_soil_climate_seaweed,"[('health', 0.03055888414414695), ('soil', 0.023169955008096463), ('climate', 0.022112627541405132), ('seaweed', 0.01986695937920283), ('sustainable', 0.019308295840080383), ('benefits', 0.018924371402069453), ('environmental', 0.01842718961783761), ('environment', 0.017452579587161603), ('farming', 0.016440736269650362), ('soil health', 0.016440736269650362)]",positive,"['health', 'soil', 'climate', 'seaweed', 'sustainable', 'benefits', 'environmental', 'environment', 'farming', 'soil health ']"
7,6,26,6_animal health_animal_campaign_help,"[('animal health', 0.029831671455747135), ('animal', 0.029831671455747135), ('campaign', 0.02452543346437565), ('help', 0.024407148014404745), ('lets', 0.023330614402163823), ('please', 0.021914416188899114), ('health', 0.021400313806898146), ('thank', 0.019163268803551705), ('end unimaginable cruelty', 0.018598582905041974), ('put end unimaginable', 0.018598582905041974)]",positive,"['animal health', 'animal', 'campaign', 'help', 'lets', 'please', 'health', 'thank', 'end unimaginable cruelty', 'put end unimaginable ']"
8,7,21,7_appreciate_thank_friend_friend thank,"[('appreciate', 0.14565902369078795), ('thank', 0.11820334028358995), ('friend', 0.0697738000812376), ('friend thank', 0.06526039954643871), ('thank deard friend', 0.06526039954643871), ('deard', 0.06526039954643871), ('deard friend', 0.06526039954643871), ('deard friend thank', 0.06526039954643871), ('thank deard', 0.06526039954643871), ('appreciate thank', 0.06257467145621598)]",positive,"['appreciate', 'thank', 'friend', 'friend thank', 'thank deard friend', 'deard', 'deard friend', 'deard friend thank', 'thank deard', 'appreciate thank ']"
9,8,15,8_mask_coronavirus_stayhome_facemaskmurah,"[('mask', 0.06001444219206128), ('coronavirus', 0.05307766422132726), ('stayhome', 0.05219055629425756), ('facemaskmurah', 0.040454294435358126), ('maskerwajah', 0.040454294435358126), ('maskermurah makeup', 0.040454294435358126), ('maskermurah makeup stayhome', 0.040454294435358126), ('facemasks facemaskmurah', 0.040454294435358126), ('maskermurah', 0.040454294435358126), ('maskerwajah beauty coronavirus', 0.040454294435358126)]",positive,"['mask', 'coronavirus', 'stayhome', 'facemaskmurah', 'maskerwajah', 'maskermurah makeup', 'maskermurah makeup stayhome', 'facemasks facemaskmurah', 'maskermurah', 'maskerwajah beauty coronavirus ']"
10,9,15,9_ai_healthcare_nhs preparing level_racial inequalities,"[('ai', 0.09799811949681542), ('healthcare', 0.06698876879260734), ('nhs preparing level', 0.06327882347817121), ('racial inequalities', 0.06327882347817121), ('inequalities explore uks', 0.06327882347817121), ('barriers care diversity', 0.06327882347817121), ('removing barriers care', 0.06327882347817121), ('data inclusivity removing', 0.06327882347817121), ('care diversity', 0.06327882347817121), ('care diversity inclusion', 0.06327882347817121)]",positive,"['ai', 'healthcare', 'nhs preparing level', 'racial inequalities', 'inequalities explore uks', 'barriers care diversity', 'removing barriers care', 'data inclusivity removing', 'care diversity', 'care diversity inclusion ']"
11,10,14,10_tests_covid19 open schools_tests covid19 open_rapid tests covid19,"[('tests', 0.07623591590465388), ('covid19 open schools', 0.0681866776131363), ('tests covid19 open', 0.0681866776131363), ('rapid tests covid19', 0.0681866776131363), ('schools save', 0.0681866776131363), ('rapid tests', 0.0681866776131363), ('schools save lives', 0.0681866776131363), ('tests covid19', 0.0681866776131363), ('open schools', 0.0681866776131363), ('open schools save', 0.0681866776131363)]",positive,"['tests', 'covid open schools', 'tests covid open', 'rapid tests covid', 'schools save', 'rapid tests', 'schools save lives', 'tests covid', 'open schools', 'open schools save ']"
