Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,158,-1_health_amp_safe_care,"[('health', 0.015318610434515594), ('amp', 0.011281566526967397), ('safe', 0.010664362206961157), ('care', 0.009924404110056514), ('safety', 0.008691110414586818), ('im', 0.007382349992763368), ('work', 0.007311299716452557), ('emergency', 0.006738287644537908), ('hospital', 0.006616718352205373), ('take', 0.006601748032880716)]",positive,"['health', 'amp', 'safe', 'care', 'safety', 'im', 'work', 'emergency', 'hospital', 'take ']"
1,0,52,0_health_wish_year_good,"[('health', 0.03946710158625207), ('wish', 0.03565969823450313), ('year', 0.033211181871097076), ('good', 0.029701662128626582), ('happy', 0.028045241099141582), ('happiness', 0.028043630131291103), ('new year', 0.02691837768203651), ('good health', 0.024822783473125845), ('new', 0.024556022103513046), ('love', 0.024179694438615763)]",positive,"['health', 'wish', 'year', 'good', 'happy', 'happiness', 'new year', 'good health', 'new', 'love ']"
2,1,47,1_covid19_coronavirus_covid19 coronavirus_care,"[('covid19', 0.040277956278386075), ('coronavirus', 0.037848175486300345), ('covid19 coronavirus', 0.01789303661624932), ('care', 0.015686630348498983), ('take', 0.015170595170165323), ('world', 0.014540445860858587), ('take care', 0.014418352566209656), ('covid', 0.013606371351316952), ('stay', 0.012616058495433449), ('public', 0.012616058495433449)]",positive,"['covid', 'coronavirus', 'covid coronavirus', 'care', 'take', 'world', 'take care', 'covid', 'stay', 'public ']"
3,2,32,2_health_healthcare_science_research,"[('health', 0.03154134958946803), ('healthcare', 0.026613540564510083), ('science', 0.02468814230141068), ('research', 0.019522069171338457), ('digital', 0.019104030361052144), ('education', 0.019104030361052144), ('looking', 0.01873027763438933), ('education research', 0.017119950548121488), ('medicine education research', 0.017119950548121488), ('2022', 0.017119950548121488)]",positive,"['health', 'healthcare', 'science', 'research', 'digital', 'education', 'looking', 'education research', 'medicine education research', ' ']"
4,3,31,3_mental_mental health_health_employee,"[('mental', 0.08485354566925633), ('mental health', 0.08380091296370142), ('health', 0.05233295947020818), ('employee', 0.01654661917765938), ('employees', 0.01654661917765938), ('issues', 0.016040571620035332), ('help', 0.013898526377367488), ('important', 0.013898526377367488), ('good mental health', 0.013474216692162918), ('good mental', 0.013474216692162918)]",positive,"['mental', 'mental health', 'health', 'employee', 'employees', 'issues', 'help', 'important', 'good mental health', 'good mental ']"
5,4,25,4_austria_health_alpineclub_lockdown,"[('austria', 0.04272348257957732), ('health', 0.027162912245140565), ('alpineclub', 0.01698460472512115), ('lockdown', 0.016585498670054776), ('spending', 0.016228926959159284), ('time', 0.015111089385558763), ('nice', 0.014760390452593058), ('week', 0.014101790832302966), ('country', 0.013348858557438805), ('may', 0.012149164764115256)]",positive,"['austria', 'health', 'alpineclub', 'lockdown', 'spending', 'time', 'nice', 'week', 'country', 'may ']"
6,5,24,5_health_actse2021_social_world,"[('health', 0.030628803125084317), ('actse2021', 0.024399573667578747), ('social', 0.02279950684272084), ('world', 0.021114927872871423), ('slovenia', 0.019754878738157348), ('flood', 0.019151779808741953), ('safety', 0.01787394339664581), ('people', 0.01719233491712083), ('ljubljana', 0.015308769433871007), ('social fabric', 0.013568922071218311)]",positive,"['health', 'actse', 'social', 'world', 'slovenia', 'flood', 'safety', 'people', 'ljubljana', 'social fabric ']"
7,6,22,6_vaccination_vaccinated_vaccine_fully vaccinated,"[('vaccination', 0.04732671272527974), ('vaccinated', 0.04465325334289591), ('vaccine', 0.03999560498723891), ('fully vaccinated', 0.024164117640545255), ('trust', 0.024164117640545255), ('fully', 0.024164117640545255), ('effective', 0.022259920335611534), ('portugal', 0.020055259331643996), ('vaccinated countries', 0.020055259331643996), ('scientific evidence', 0.020055259331643996)]",positive,"['vaccination', 'vaccinated', 'vaccine', 'fully vaccinated', 'trust', 'fully', 'effective', 'portugal', 'vaccinated countries', 'scientific evidence ']"
8,7,21,7_sis_amp_amp sis_bro amp,"[('sis', 0.044930793046649736), ('amp', 0.03759075820972854), ('amp sis', 0.03546200218152426), ('bro amp', 0.030483963792687856), ('bro amp sis', 0.030483963792687856), ('bro', 0.02955166848460355), ('nurses', 0.02876383780505314), ('care', 0.022675627500691763), ('healing', 0.01897536075224778), ('hospitals', 0.018290378275612713)]",positive,"['sis', 'amp', 'amp sis', 'bro amp', 'bro amp sis', 'bro', 'nurses', 'care', 'healing', 'hospitals ']"
9,8,20,8_gym_fitness_sport_workout,"[('gym', 0.05505390230857346), ('fitness', 0.04865770984965703), ('sport', 0.03501800417304836), ('workout', 0.03501800417304836), ('health', 0.028288884284079246), ('fitnessmotivation', 0.027638251100708354), ('fitfam', 0.027638251100708354), ('fitness gym', 0.027638251100708354), ('motivation', 0.027638251100708354), ('training', 0.025701105593645693)]",positive,"['gym', 'fitness', 'sport', 'workout', 'health', 'fitnessmotivation', 'fitfam', 'fitness gym', 'motivation', 'training ']"
