Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,3195,-1_health_amp_help_thank,"[('health', 0.009038300684357075), ('amp', 0.007941679822210472), ('help', 0.0065622684992003065), ('thank', 0.006391675765978935), ('mental', 0.005212900837726062), ('mental health', 0.0050146461133841105), ('us', 0.004874567965451095), ('people', 0.004460280195441936), ('nurses', 0.00434176133935), ('covid19', 0.004329868237916101)]",positive,"['health', 'amp', 'help', 'thank', 'mental', 'mental health', 'us', 'people', 'nurses', 'covid ']"
1,0,4512,0_covid19_health_amp_thank,"[('covid19', 0.008512499638009362), ('health', 0.008487292554060152), ('amp', 0.008127479794075545), ('thank', 0.006981224073430349), ('help', 0.005715083042632477), ('nursing', 0.005619494741639807), ('care', 0.005146354127749962), ('nurses', 0.005021232463534502), ('workers', 0.004715106779385475), ('people', 0.004593425564578429)]",positive,"['covid', 'health', 'amp', 'thank', 'help', 'nursing', 'care', 'nurses', 'workers', 'people ']"
2,1,113,1_mask_masks_wearing_wear,"[('mask', 0.0358267834863421), ('masks', 0.027619219744210444), ('wearing', 0.01719444037403887), ('wear', 0.015339609692347758), ('face', 0.014957096555277513), ('help', 0.011147514209815097), ('dont', 0.010509900571048973), ('wear mask', 0.010430663303255006), ('covid19', 0.010341631791631207), ('wearing mask', 0.010121172484655844)]",positive,"['mask', 'masks', 'wearing', 'wear', 'face', 'help', 'dont', 'wear mask', 'covid', 'wearing mask ']"
3,2,99,2_appreciate_really appreciate_really_thanks,"[('appreciate', 0.11294500973903476), ('really appreciate', 0.06583732049424067), ('really', 0.05974731614666224), ('thanks', 0.05037402605519127), ('much', 0.03380593801007651), ('appreciate thanks', 0.02940067953070403), ('thank', 0.023911052978958035), ('appreciate thank', 0.023520543624563222), ('thank much', 0.0201893959769659), ('thanks much', 0.019908449238235613)]",positive,"['appreciate', 'really appreciate', 'really', 'thanks', 'much', 'appreciate thanks', 'thank', 'appreciate thank', 'thank much', 'thanks much ']"
4,3,76,3_pink_pink floyd_floyd_beyond horizon,"[('pink', 0.109759818440734), ('pink floyd', 0.08633410611965153), ('floyd', 0.08633410611965153), ('beyond horizon', 0.07103721280030985), ('horizon', 0.07066012612177164), ('beyond', 0.0662336014244787), ('floyd tribute', 0.06593753246370081), ('pink floyd tribute', 0.06593753246370081), ('irish pink', 0.06445699284399475), ('irish pink floyd', 0.06445699284399475)]",positive,"['pink', 'pink floyd', 'floyd', 'beyond horizon', 'horizon', 'beyond', 'floyd tribute', 'pink floyd tribute', 'irish pink', 'irish pink floyd ']"
5,4,46,4_easter_happy easter_stayhome_happy,"[('easter', 0.08409563795972706), ('happy easter', 0.029738601115998735), ('stayhome', 0.02559043656820535), ('happy', 0.021412571855116046), ('wishing', 0.016311136221091357), ('eggs', 0.016044522040469966), ('eastersunday', 0.016044522040469966), ('home', 0.014274718583738154), ('remember', 0.013707765346312859), ('covid19', 0.01326213660723738)]",positive,"['easter', 'happy easter', 'stayhome', 'happy', 'wishing', 'eggs', 'eastersunday', 'home', 'remember', 'covid ']"
6,5,43,5_st patricks_patricks day_patricks_st patricks day,"[('st patricks', 0.036481899997286356), ('patricks day', 0.036481899997286356), ('patricks', 0.036481899997286356), ('st patricks day', 0.036481899997286356), ('st', 0.028818467556111046), ('happy st', 0.025395876924092748), ('happy st patricks', 0.025395876924092748), ('day', 0.024145133455770334), ('happy', 0.01997881312158125), ('gin', 0.013654758584095672)]",positive,"['st patricks', 'patricks day', 'patricks', 'st patricks day', 'st', 'happy st', 'happy st patricks', 'day', 'happy', 'gin ']"
7,6,42,6_public health_public_minister_health,"[('public health', 0.021923668578641444), ('public', 0.020067023437119715), ('minister', 0.020024362588674086), ('health', 0.018646646678959235), ('returns practising', 0.015830481997739728), ('returns practising medicine', 0.015830481997739728), ('varadkar returns', 0.015830481997739728), ('varadkar returns practising', 0.015830481997739728), ('practising medicine', 0.015830481997739728), ('medicine help crisis', 0.015830481997739728)]",positive,"['public health', 'public', 'minister', 'health', 'returns practising', 'returns practising medicine', 'varadkar returns', 'varadkar returns practising', 'practising medicine', 'medicine help crisis ']"
8,7,42,7_healthcare essential_healthcare essential workers_grieving_shineyourlight,"[('healthcare essential', 0.03616454115574902), ('healthcare essential workers', 0.03616454115574902), ('grieving', 0.03531997640735866), ('shineyourlight', 0.031915499633461034), ('sick grieving', 0.030969731941726274), ('essential workers', 0.02971421897201486), ('sick', 0.02745524704888299), ('workers sick grieving', 0.025591202808711643), ('essential workers sick', 0.025591202808711643), ('workers sick', 0.025160773546561772)]",positive,"['healthcare essential', 'healthcare essential workers', 'grieving', 'shineyourlight', 'sick grieving', 'essential workers', 'sick', 'workers sick grieving', 'essential workers sick', 'workers sick ']"
9,8,38,8_clapping_clapforourcarers_nhs_clapforcarers,"[('clapping', 0.06328636572346368), ('clapforourcarers', 0.04119530905127927), ('nhs', 0.02934567503915875), ('clapforcarers', 0.027851519820952915), ('workers', 0.024472466454706552), ('everyone clapping', 0.019441810703474102), ('emotional', 0.01891566792068181), ('applaud', 0.01641604950451324), ('clamping', 0.016018092443595033), ('pay respect', 0.016018092443595033)]",positive,"['clapping', 'clapforourcarers', 'nhs', 'clapforcarers', 'workers', 'everyone clapping', 'emotional', 'applaud', 'clamping', 'pay respect ']"
