Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,29513,-1_birthday_appreciate_sir_help,"[('birthday', 0.0005882907402690712), ('appreciate', 0.0005624375040927778), ('sir', 0.0005501954201185009), ('help', 0.000522119515920724), ('amp', 0.0005139707937732973), ('many', 0.0004995832008864382), ('ji', 0.0004963753347850841), ('happy birthday', 0.0004958006290803087), ('people', 0.0004911721730008466), ('please', 0.00047854560728065456)]",positive,"['birthday', 'appreciate', 'sir', 'help', 'amp', 'many', 'ji', 'happy birthday', 'people', 'please ']"
1,0,1531,0_tributes_anniversary_birth anniversary_birth,"[('tributes', 0.009295172897952184), ('anniversary', 0.009209138411092423), ('birth anniversary', 0.007141075053642549), ('birth', 0.00679335706444362), ('death anniversary', 0.00596219506812276), ('tribute', 0.005620791033462779), ('death', 0.005113367596256231), ('humble', 0.004450331824972892), ('freedom', 0.004346643487106158), ('freedom fighter', 0.003914166178730754)]",positive,"['tributes', 'anniversary', 'birth anniversary', 'birth', 'death anniversary', 'tribute', 'death', 'humble', 'freedom', 'freedom fighter ']"
2,1,894,1_mental health_mental_mental health issues_mentalhealth,"[('mental health', 0.016328777884722437), ('mental', 0.015699175516029937), ('mental health issues', 0.004254040596311204), ('mentalhealth', 0.004020687832927294), ('mental health important', 0.003435091499282849), ('suicide', 0.0033246119253856816), ('health important', 0.0033183717832534015), ('sushantsinghrajput', 0.003022017567093492), ('health issues', 0.0029213305416867954), ('mentalhealthmatters', 0.0028225696770988705)]",positive,"['mental health', 'mental', 'mental health issues', 'mentalhealth', 'mental health important', 'suicide', 'health important', 'sushantsinghrajput', 'health issues', 'mentalhealthmatters ']"
3,2,861,2_happy birthday_birthday_birthday sir_wish happy birthday,"[('happy birthday', 0.014895220593775087), ('birthday', 0.013495739637393605), ('birthday sir', 0.00639523281154823), ('wish happy birthday', 0.006284446790390684), ('happy birthday sir', 0.006106543618766819), ('health happiness', 0.0059532369222576745), ('wishing happy birthday', 0.005895555519904555), ('birthday may', 0.005785154888483486), ('happy', 0.005526367970087986), ('wishing', 0.005407601879337173)]",positive,"['happy birthday', 'birthday', 'birthday sir', 'wish happy birthday', 'happy birthday sir', 'health happiness', 'wishing happy birthday', 'birthday may', 'happy', 'wishing ']"
4,3,717,3_coronavirus covid19_covidsos_covid patients_coronavirus,"[('coronavirus covid19', 0.0024902543433230617), ('covidsos', 0.0024090576413413065), ('covid patients', 0.0022548702657530584), ('coronavirus', 0.002201089967169024), ('sharing details updates', 0.002132131313826676), ('thank sharing details', 0.002131160342875012), ('corona', 0.0021185186545102158), ('sharing details', 0.0020925194814765554), ('covid19 indiafightscovid19', 0.0020791760975846464), ('covidemergency2021 corona vaccine', 0.0020156941782728285)]",positive,"['coronavirus covid', 'covidsos', 'covid patients', 'coronavirus', 'sharing details updates', 'thank sharing details', 'corona', 'sharing details', 'covid indiafightscovid', 'covidemergency corona vaccine ']"
5,4,629,4_yoga_yogastretch_stayhome stayhappy stayhealthy_stayhappy stayhealthy,"[('yoga', 0.025906442963269695), ('yogastretch', 0.020497270835758866), ('stayhome stayhappy stayhealthy', 0.02013601427170011), ('stayhappy stayhealthy', 0.02007197165194999), ('yogainstructor', 0.020026285812921343), ('stayhome stayhappy', 0.019883141526221577), ('yogainspiration', 0.01978206281520279), ('stayhappy stayhealthy covd19', 0.019702662733112605), ('stayhealthy covd19', 0.019702662733112605), ('yogainstructor yogainspiration', 0.019069058524790967)]",positive,"['yoga', 'yogastretch', 'stayhome stayhappy stayhealthy', 'stayhappy stayhealthy', 'yogainstructor', 'stayhome stayhappy', 'yogainspiration', 'stayhappy stayhealthy covd', 'stayhealthy covd', 'yogainstructor yogainspiration ']"
6,5,604,5_fight covid19 donating_contributed indias fight_covid19 donating pmcares_covid19 donating,"[('fight covid19 donating', 0.0312896959727436), ('contributed indias fight', 0.031272052003402134), ('covid19 donating pmcares', 0.031272052003402134), ('covid19 donating', 0.03125617768686534), ('contributed indias', 0.0312384263391973), ('donating pmcares', 0.0312384263391973), ('pmcares join', 0.031201823066199685), ('donating pmcares join', 0.031201823066199685), ('proud contributed indias', 0.031169279676261385), ('join movement amp', 0.031167757029234754)]",positive,"['fight covid donating', 'contributed indias fight', 'covid donating pmcares', 'covid donating', 'contributed indias', 'donating pmcares', 'pmcares join', 'donating pmcares join', 'proud contributed indias', 'join movement amp ']"
7,6,600,6_nurses day_internationalnursesday_happy international_international nurses,"[('nurses day', 0.011620791049685613), ('internationalnursesday', 0.01017750432268293), ('happy international', 0.00896210468122327), ('international nurses', 0.00880315128962751), ('international nurses day', 0.008284461648983893), ('happy international nurses', 0.008107394911385039), ('nurses', 0.007969266903886815), ('nursesday', 0.007894530584002394), ('happy nurses', 0.007522188874173352), ('international', 0.007271682539747481)]",positive,"['nurses day', 'internationalnursesday', 'happy international', 'international nurses', 'international nurses day', 'happy international nurses', 'nurses', 'nursesday', 'happy nurses', 'international ']"
8,7,589,7_thank workers keeping_staff every single_kept wheels_wheels turnin,"[('thank workers keeping', 0.03363092387375676), ('staff every single', 0.03363092387375676), ('kept wheels', 0.03363092387375676), ('wheels turnin', 0.03363092387375676), ('every single essential', 0.03363092387375676), ('supermarket staff every', 0.03363092387375676), ('turnin', 0.03363092387375676), ('essential worker kept', 0.03363092387375676), ('workers cleaners supermarket', 0.03363092387375676), ('running health', 0.03363092387375676)]",positive,"['thank workers keeping', 'staff every single', 'kept wheels', 'wheels turnin', 'every single essential', 'supermarket staff every', 'turnin', 'essential worker kept', 'workers cleaners supermarket', 'running health ']"
9,8,540,8_eid_eid mubarak_eidmubarak_mubarak,"[('eid', 0.028357648529380976), ('eid mubarak', 0.01683671125875198), ('eidmubarak', 0.015099753677493707), ('mubarak', 0.014979567313791057), ('may allah', 0.00980512953279806), ('allah', 0.008984296892076398), ('eidulfitr', 0.00880355967687752), ('mubarak may', 0.00658083369179906), ('eid ul', 0.00582860892334598), ('happy eid', 0.005802213996778975)]",positive,"['eid', 'eid mubarak', 'eidmubarak', 'mubarak', 'may allah', 'allah', 'eidulfitr', 'mubarak may', 'eid ul', 'happy eid ']"
