Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,285,-1_health_covid19_amp_care,"[('health', 0.02277897517074889), ('covid19', 0.010328637476122064), ('amp', 0.009163699624911075), ('care', 0.008629206670704954), ('people', 0.008404269676365326), ('healthcare', 0.0083964034346243), ('total', 0.007688697561527742), ('mental', 0.0069559753462578675), ('like', 0.006922926736713447), ('know', 0.006844229197587184)]",negative,"['health', 'covid', 'amp', 'care', 'people', 'healthcare', 'total', 'mental', 'like', 'know ']"
1,0,171,0_portugal_healthcare_health_covid19,"[('portugal', 0.02232847445980326), ('healthcare', 0.02144170719031767), ('health', 0.018312827566618676), ('covid19', 0.013955560813935773), ('us', 0.01364519911687266), ('people', 0.010615848908874403), ('pay', 0.010512811826974744), ('portuguese', 0.009734711082415129), ('workers', 0.009623821675313542), ('country', 0.009388515384142166)]",negative,"['portugal', 'healthcare', 'health', 'covid', 'us', 'people', 'pay', 'portuguese', 'workers', 'country ']"
2,1,159,1_jewish_antisemitic_jews_delusional,"[('jewish', 0.02313376267666488), ('antisemitic', 0.01893925286085248), ('jews', 0.017491661159468708), ('delusional', 0.017217502600774984), ('didnt', 0.01709192573262796), ('one', 0.016524876633218652), ('antisemitism', 0.012962689490193649), ('debate', 0.012962689490193649), ('nazi', 0.012962689490193649), ('fake', 0.01245635983908804)]",negative,"['jewish', 'antisemitic', 'jews', 'delusional', 'didnt', 'one', 'antisemitism', 'debate', 'nazi', 'fake ']"
3,2,143,2_covid19_covid_vaccine_health,"[('covid19', 0.02558949182977252), ('covid', 0.024493293729111607), ('vaccine', 0.017976532698906634), ('health', 0.014061062265710191), ('vaccines', 0.01188813778612697), ('uk', 0.011626955566801975), ('people', 0.011376772853516095), ('dont', 0.010391635406233331), ('zero', 0.010378087466287302), ('get', 0.010134436574820702)]",negative,"['covid', 'covid', 'vaccine', 'health', 'vaccines', 'uk', 'people', 'dont', 'zero', 'get ']"
4,3,62,3_mental_mental health_health_people,"[('mental', 0.056917799885566875), ('mental health', 0.05513000036225912), ('health', 0.05015829609239307), ('people', 0.020453812337357147), ('dont', 0.014827520588145859), ('issues', 0.012560972670820047), ('im', 0.012140976512001616), ('bad', 0.01056888829009625), ('go', 0.009452421093633218), ('like', 0.008536627992723556)]",negative,"['mental', 'mental health', 'health', 'people', 'dont', 'issues', 'im', 'bad', 'go', 'like ']"
5,4,48,4_health_public_pandemic_covid19,"[('health', 0.031175646058732236), ('public', 0.027537336966676797), ('pandemic', 0.027057166186987513), ('covid19', 0.021382075521286473), ('many', 0.021286640961613527), ('public health', 0.017916454612729345), ('publichealth', 0.01630562464707711), ('made', 0.014737423820930049), ('covid19 january', 0.012256246834290406), ('others suffered burnout', 0.012256246834290406)]",negative,"['health', 'public', 'pandemic', 'covid', 'many', 'public health', 'publichealth', 'made', 'covid january', 'others suffered burnout ']"
6,5,33,5_mask_masks_aampe_went,"[('mask', 0.049270732837105216), ('masks', 0.043636242022468734), ('aampe', 0.03231233138906329), ('went', 0.02982371041328866), ('nurse', 0.020448675883295412), ('home', 0.019290158063412357), ('wouldnt stop went', 0.01793450415085865), ('nurse suspect', 0.01793450415085865), ('suspect woke', 0.01793450415085865), ('woke early nosebleed', 0.01793450415085865)]",negative,"['mask', 'masks', 'aampe', 'went', 'nurse', 'home', 'wouldnt stop went', 'nurse suspect', 'suspect woke', 'woke early nosebleed ']"
7,6,26,6_health_sorry_im_get,"[('health', 0.03390983397795588), ('sorry', 0.02803300423450124), ('im', 0.02735994706929942), ('get', 0.02431170091384235), ('tough', 0.022052331350423386), ('became', 0.022052331350423386), ('help', 0.020900935003666615), ('someone', 0.01898659424015868), ('expect someone', 0.01872838562232523), ('expect someone else', 0.01872838562232523)]",negative,"['health', 'sorry', 'im', 'get', 'tough', 'became', 'help', 'someone', 'expect someone', 'expect someone else ']"
8,7,24,7_nurses_nhs_doctors_nurse,"[('nurses', 0.06262991640082839), ('nhs', 0.03469007931415404), ('doctors', 0.0320787497079814), ('nurse', 0.02972790695638745), ('know', 0.024711991643959232), ('colour', 0.02453919573140062), ('treated', 0.02453919573140062), ('amp', 0.02297690649112295), ('treatment', 0.02240826637719542), ('job', 0.021076396656449913)]",negative,"['nurses', 'nhs', 'doctors', 'nurse', 'know', 'colour', 'treated', 'amp', 'treatment', 'job ']"
9,8,12,8_nurse_myers_im saying nurse_myers t3 way,"[('nurse', 0.19059835202895267), ('myers', 0.09582914280527914), ('im saying nurse', 0.053188615167403655), ('myers t3 way', 0.053188615167403655), ('t3', 0.053188615167403655), ('nurse believe people', 0.053188615167403655), ('god dont', 0.053188615167403655), ('god dont nerf', 0.053188615167403655), ('nurse absolutely', 0.053188615167403655), ('nerfed terms addons', 0.053188615167403655)]",negative,"['nurse', 'myers', 'im saying nurse', 'myers t way', 't', 'nurse believe people', 'god dont', 'god dont nerf', 'nurse absolutely', 'nerfed terms addons ']"
10,9,10,9_workers_onsite_enemy_remote,"[('workers', 0.09776927929238984), ('onsite', 0.03461169259128805), ('enemy', 0.03324288447962729), ('remote', 0.03324288447962729), ('office', 0.030581365409518085), ('boss', 0.028886229000494038), ('worker', 0.026096075491326615), ('covid since job', 0.024360914696088032), ('covid since', 0.024360914696088032), ('dont think announcement', 0.024360914696088032)]",negative,"['workers', 'onsite', 'enemy', 'remote', 'office', 'boss', 'worker', 'covid since job', 'covid since', 'dont think announcement ']"
