,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1089,-1_health_support_amp_services,"[('health', 0.024626808156793124), ('support', 0.023265849613664402), ('amp', 0.010444969578108752), ('services', 0.00831099125248341), ('state', 0.007822285307577902), ('good', 0.006629570733979632), ('covid19', 0.006549039609413169), ('care', 0.006443988343353962), ('appreciate', 0.006291061880727354), ('supporting', 0.006115929335808587)]",positive
1,0,2600,0_health_support_covid19_amp,"[('health', 0.026373224890323156), ('support', 0.02268074315521907), ('covid19', 0.019687774325401097), ('amp', 0.009038432596609525), ('state', 0.008961017184077763), ('workers', 0.008491532016956457), ('care', 0.007439546757399017), ('nigeria', 0.007204483012356082), ('us', 0.007189552410360334), ('services', 0.0071085480400440645)]",positive
2,1,75,1_turn notifications_amp turn notifications_delivery follow_follow amp,"[('turn notifications', 0.06100954558921117), ('amp turn notifications', 0.06100954558921117), ('delivery follow', 0.06100954558921117), ('follow amp', 0.06100954558921117), ('notifications', 0.06100954558921117), ('follow amp turn', 0.06100954558921117), ('amp turn', 0.06100954558921117), ('delivery follow amp', 0.06100954558921117), ('wide delivery follow', 0.06100954558921117), ('turn', 0.05927499196118048)]",positive
3,2,64,2_iphone_battery_dm call_dm,"[('iphone', 0.07317374313650767), ('battery', 0.06663705665422144), ('dm call', 0.06644775932951323), ('dm', 0.06440517109727428), ('price', 0.06253614524891503), ('retweet pls', 0.06218634020661023), ('help retweet pls', 0.06218634020661023), ('help retweet', 0.06218634020661023), ('call', 0.061956329496256575), ('smart iphone', 0.06138322473749554)]",positive
4,3,19,3_dogs_canin_royal canin_royal,"[('dogs', 0.08904686933322095), ('canin', 0.06321172825218938), ('royal canin', 0.06321172825218938), ('royal', 0.06243150128550463), ('nutrition', 0.048799228738754405), ('health', 0.04308178724235062), ('digestive', 0.041924950526632775), ('canin size', 0.040436362431911115), ('size health', 0.040436362431911115), ('size health nutrition', 0.040436362431911115)]",positive
5,4,15,4_amp_covid19_support_amp support,"[('amp', 0.09751612833073926), ('covid19', 0.0380877479819159), ('support', 0.03479502673443494), ('amp support', 0.033235083829774165), ('economic recovery', 0.02687293222390331), ('economic recovery handhygiene', 0.02687293222390331), ('recovery handhygiene', 0.02687293222390331), ('healthy lets save', 0.02687293222390331), ('handhygiene infectionprevention', 0.02687293222390331), ('save lives integrating', 0.02687293222390331)]",positive
6,5,12,5_memory 64gig_64gig_memory 64gig price_64gig price,"[('memory 64gig', 0.08152614192327817), ('64gig', 0.0808447699073718), ('memory 64gig price', 0.07891770981178244), ('64gig price', 0.07794362277055332), ('07032655719', 0.07744788238540082), ('call 07032655719 nation', 0.07744788238540082), ('07032655719 nation', 0.07744788238540082), ('call 07032655719', 0.07744788238540082), ('dm call 07032655719', 0.07744788238540082), ('07032655719 nation wide', 0.07744788238540082)]",positive
7,6,12,6_breastfeeding_breastfeeding week_breastfeeding healthier_breastfeeding healthier planet,"[('breastfeeding', 0.16409735111427382), ('breastfeeding week', 0.05851227210253256), ('breastfeeding healthier', 0.050053193663199144), ('breastfeeding healthier planet', 0.050053193663199144), ('healthier planet', 0.050053193663199144), ('well', 0.04584216932330878), ('week', 0.045040795641529414), ('sleep', 0.04474291025850622), ('healthier', 0.043686489247335425), ('planet', 0.04322273130846165)]",positive
8,7,12,7_covid19_healthcare_safety matters_healthcare tertiary,"[('covid19', 0.05872920675760153), ('healthcare', 0.05335553874003975), ('safety matters', 0.05289985430582958), ('healthcare tertiary', 0.05289985430582958), ('times health safety', 0.05289985430582958), ('us gni', 0.05289985430582958), ('times health', 0.05289985430582958), ('institutions covid support', 0.05289985430582958), ('us gni healthcare', 0.05289985430582958), ('support healthcare redefined', 0.05289985430582958)]",positive
9,8,12,8_reproductive health_reproductive_response_850k rampup show,"[('reproductive health', 0.1015520575453608), ('reproductive', 0.10015761919705357), ('response', 0.0973213175225003), ('850k rampup show', 0.07950531164148707), ('850k rampup', 0.07950531164148707), ('access quality reproductive', 0.07950531164148707), ('ongoing access', 0.07950531164148707), ('rampup show', 0.07950531164148707), ('show projects response', 0.07950531164148707), ('show projects', 0.07950531164148707)]",positive
10,9,10,9_amp_cleanlightingprotects_health amp safety_amp safety,"[('amp', 0.07149305416603884), ('cleanlightingprotects', 0.06905646005440806), ('health amp safety', 0.06258527345615858), ('amp safety', 0.06187125940201446), ('cleanlighting', 0.056710514987861095), ('health amp', 0.05220413967430225), ('safety', 0.05144516394608), ('platforms', 0.04394982018884679), ('impacting society', 0.04394982018884679), ('communities amp', 0.04394982018884679)]",positive
