Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,508,-1_health_taiwan_safe_amp,"[('health', 0.013130957075761932), ('taiwan', 0.00857374462525132), ('safe', 0.008147734177403004), ('amp', 0.0077745077591487586), ('care', 0.007450705828923963), ('healthy', 0.0067788574598253055), ('good', 0.00643510884767848), ('us', 0.0060258807348753845), ('taipei', 0.005871987600754357), ('wish', 0.00556570627914729)]",positive,"['health', 'taiwan', 'safe', 'amp', 'care', 'healthy', 'good', 'us', 'taipei', 'wish ']"
1,0,898,0_health_taiwan_covid19_safe,"[('health', 0.01426105088488203), ('taiwan', 0.011187663345453357), ('covid19', 0.010593803550032308), ('safe', 0.009279721235158805), ('good', 0.008383839619770047), ('happy', 0.008089537921168115), ('care', 0.00762110671473556), ('stay', 0.007502833884142932), ('take', 0.007198378790070987), ('healthy', 0.006903593825734262)]",positive,"['health', 'taiwan', 'covid', 'safe', 'good', 'happy', 'care', 'stay', 'take', 'healthy ']"
2,1,82,1_mental_mental health_health_depression,"[('mental', 0.0706767466366704), ('mental health', 0.0659937075539689), ('health', 0.03436433188276286), ('depression', 0.016936199008804807), ('awareness', 0.014755705303273386), ('awareness mental', 0.014337143068486225), ('awareness mental health', 0.014337143068486225), ('mental health issues', 0.014337143068486225), ('day', 0.014117059160686734), ('raise', 0.013648740855215568)]",positive,"['mental', 'mental health', 'health', 'depression', 'awareness', 'awareness mental', 'awareness mental health', 'mental health issues', 'day', 'raise ']"
3,2,65,2_emergency_emergency medicine_medicine_hospital,"[('emergency', 0.05775236499976554), ('emergency medicine', 0.050410216473916136), ('medicine', 0.04357871936492972), ('hospital', 0.025352482837020632), ('webinar', 0.024995359855814164), ('taiwan society', 0.022200158430200685), ('society emergency medicine', 0.02123395061284454), ('taiwan society emergency', 0.02123395061284454), ('tsem', 0.02123395061284454), ('society emergency', 0.02123395061284454)]",positive,"['emergency', 'emergency medicine', 'medicine', 'hospital', 'webinar', 'taiwan society', 'society emergency medicine', 'taiwan society emergency', 'tsem', 'society emergency ']"
4,3,52,3_covid19_frontline_thank_stand,"[('covid19', 0.025057165855751583), ('frontline', 0.019571349793344364), ('thank', 0.019125718771778526), ('stand', 0.01795457923359067), ('healthheroes europe eusolidarity', 0.017215589659565593), ('frontline workersstay strong', 0.017215589659565593), ('get together healthheroes', 0.017215589659565593), ('healthheroes', 0.017215589659565593), ('healthheroes europe', 0.017215589659565593), ('eusolidarity', 0.017215589659565593)]",positive,"['covid', 'frontline', 'thank', 'stand', 'healthheroes europe eusolidarity', 'frontline workersstay strong', 'get together healthheroes', 'healthheroes', 'healthheroes europe', 'eusolidarity ']"
5,4,47,4_taiwan_health_letter_taiwans,"[('taiwan', 0.041901067998541285), ('health', 0.029174620689528658), ('letter', 0.017975209985531156), ('taiwans', 0.017818240325708553), ('open letter world', 0.01578818362289997), ('health organization taiwan', 0.01578818362289997), ('open letter', 0.01578818362289997), ('letter world health', 0.01578818362289997), ('letter world', 0.01578818362289997), ('world health organization', 0.01540732284474099)]",positive,"['taiwan', 'health', 'letter', 'taiwans', 'open letter world', 'health organization taiwan', 'open letter', 'letter world health', 'letter world', 'world health organization ']"
6,5,37,5_need panic_panic_health_health safety top,"[('need panic', 0.034711331538311796), ('panic', 0.034711331538311796), ('health', 0.03292749570648009), ('health safety top', 0.032497002036227546), ('attention health safety', 0.032497002036227546), ('health equal', 0.032497002036227546), ('everyone take good', 0.032497002036227546), ('world need panic', 0.032497002036227546), ('lightitblue', 0.032497002036227546), ('world need', 0.032497002036227546)]",positive,"['need panic', 'panic', 'health', 'health safety top', 'attention health safety', 'health equal', 'everyone take good', 'world need panic', 'lightitblue', 'world need ']"
7,6,35,6_amp_amp healthy_back_worry,"[('amp', 0.046811972645418747), ('amp healthy', 0.016263955514217162), ('back', 0.01619079483712869), ('worry', 0.014730756269316005), ('really', 0.013637504134065854), ('get', 0.013310248571131188), ('safety', 0.013186144892265337), ('safe amp', 0.01267704833212486), ('fun', 0.01267704833212486), ('donate help', 0.011978265133618002)]",positive,"['amp', 'amp healthy', 'back', 'worry', 'really', 'get', 'safety', 'safe amp', 'fun', 'donate help ']"
8,7,32,7_nurse_nurses_write_day,"[('nurse', 0.09604347560885845), ('nurses', 0.08472801649721688), ('write', 0.03146505868069566), ('day', 0.02987105196929059), ('nursing', 0.028147394636574025), ('think', 0.023066556076556267), ('ha', 0.022943979077883404), ('doctors nurses', 0.019657118358860654), ('thanks', 0.01939113317906259), ('life', 0.018633954112862023)]",positive,"['nurse', 'nurses', 'write', 'day', 'nursing', 'think', 'ha', 'doctors nurses', 'thanks', 'life ']"
9,8,29,8_pharmaceutical_gmp_manufactures_pharmaceutical manufactures,"[('pharmaceutical', 0.08028591984743515), ('gmp', 0.059552997572122054), ('manufactures', 0.05736308467166376), ('pharmaceutical manufactures', 0.05736308467166376), ('formulation', 0.03633850067948767), ('world', 0.03550214735932881), ('chemicalsintermediatesapis finished', 0.03381828875560065), ('pharmaceutical manufactures taiwanpics', 0.03381828875560065), ('contact wendy', 0.03381828875560065), ('peaceful love pharmaceutical', 0.03381828875560065)]",positive,"['pharmaceutical', 'gmp', 'manufactures', 'pharmaceutical manufactures', 'formulation', 'world', 'chemicalsintermediatesapis finished', 'pharmaceutical manufactures taiwanpics', 'contact wendy', 'peaceful love pharmaceutical ']"
10,9,27,9_world coronavirus_twforwho taiwan benefit_benefit world coronavirus_taiwan benefit world,"[('world coronavirus', 0.032934171583467516), ('twforwho taiwan benefit', 0.032934171583467516), ('benefit world coronavirus', 0.032934171583467516), ('taiwan benefit world', 0.032934171583467516), ('let taiwan join', 0.032934171583467516), ('world coronavirus let', 0.032934171583467516), ('let taiwan', 0.032934171583467516), ('taiwan benefit', 0.032934171583467516), ('coronavirus let taiwan', 0.032934171583467516), ('coronavirus let', 0.032934171583467516)]",positive,"['world coronavirus', 'twforwho taiwan benefit', 'benefit world coronavirus', 'taiwan benefit world', 'let taiwan join', 'world coronavirus let', 'let taiwan', 'taiwan benefit', 'coronavirus let taiwan', 'coronavirus let ']"
