Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,257,-1_health_covid19_like_healthcare,"[('health', 0.02446806449605996), ('covid19', 0.008741147880407757), ('like', 0.007397105098276129), ('healthcare', 0.007154839253050247), ('amp', 0.006917465674190014), ('also', 0.00674745086882024), ('world', 0.006266459644228738), ('care', 0.0060716792935358544), ('medicine', 0.005979992517481712), ('people', 0.005828623496042988)]",positive,"['health', 'covid', 'like', 'healthcare', 'amp', 'also', 'world', 'care', 'medicine', 'people ']"
1,0,333,0_health_safe_care_stay,"[('health', 0.023254024177414095), ('safe', 0.013711027375712281), ('care', 0.012387462552236645), ('stay', 0.011538168617770028), ('take', 0.01008160418647263), ('stay safe', 0.008734028820815788), ('covid19', 0.008642496160931946), ('happy', 0.008568932081535), ('amp', 0.007903301870459196), ('take care', 0.007854363156241627)]",positive,"['health', 'safe', 'care', 'stay', 'take', 'stay safe', 'covid', 'happy', 'amp', 'take care ']"
2,1,110,1_covid19_coronavirus_corona_quarantine,"[('covid19', 0.03589320835264198), ('coronavirus', 0.0352065708775982), ('corona', 0.015828255223115213), ('quarantine', 0.01457249655262855), ('covid19 coronavirus', 0.014473836168159348), ('test', 0.013946539122159636), ('finland', 0.013694521034268211), ('pandemic', 0.013027553038023816), ('help', 0.012573320797684723), ('healthcare', 0.011160376310290673)]",positive,"['covid', 'coronavirus', 'corona', 'quarantine', 'covid coronavirus', 'test', 'finland', 'pandemic', 'help', 'healthcare ']"
3,2,39,2_vaccine_vaccination_vaccines_pfizer,"[('vaccine', 0.039053918143705915), ('vaccination', 0.034828286015270236), ('vaccines', 0.0258268724084701), ('pfizer', 0.02374039539142621), ('covid19', 0.023435340118929223), ('nurse', 0.01982936511120115), ('covid19 vaccine', 0.01693796113799841), ('blog', 0.014820538317682909), ('medicines', 0.014531568703424933), ('people', 0.014339845524201431)]",positive,"['vaccine', 'vaccination', 'vaccines', 'pfizer', 'covid', 'nurse', 'covid vaccine', 'blog', 'medicines', 'people ']"
4,3,38,3_mental health_mental_health_burnout,"[('mental health', 0.07347236712037712), ('mental', 0.07222439820957893), ('health', 0.042979033772881), ('burnout', 0.023265727751816682), ('anxiety', 0.023265727751816682), ('selfcare', 0.022685348125190415), ('relax', 0.01652876084758966), ('mentalhealth', 0.016314729201724328), ('tips', 0.01293870577838753), ('depression', 0.01293870577838753)]",positive,"['mental health', 'mental', 'health', 'burnout', 'anxiety', 'selfcare', 'relax', 'mentalhealth', 'tips', 'depression ']"
5,4,37,4_nurses_nurse_new_like,"[('nurses', 0.043553065565349415), ('nurse', 0.04148212011768516), ('new', 0.02054616457145699), ('like', 0.02054616457145699), ('thank', 0.018422084145858903), ('one', 0.017812274780116783), ('2025', 0.01678207519008146), ('port', 0.01678207519008146), ('baby', 0.016212999258380614), ('true', 0.016212999258380614)]",positive,"['nurses', 'nurse', 'new', 'like', 'thank', 'one', '', 'port', 'baby', 'true ']"
6,5,31,5_bees_worker_apis_worker bees,"[('bees', 0.12095338822456778), ('worker', 0.11589830270457623), ('apis', 0.09042412002001457), ('worker bees', 0.08114688537964476), ('bee', 0.07912110501751275), ('bees apis', 0.07156038314154767), ('honey', 0.060577682137818514), ('worker bees apis', 0.05122819883930264), ('mellifera', 0.05122819883930264), ('apis mellifera', 0.05122819883930264)]",positive,"['bees', 'worker', 'apis', 'worker bees', 'bee', 'bees apis', 'honey', 'worker bees apis', 'mellifera', 'apis mellifera ']"
7,6,20,6_workers_work_office_remote,"[('workers', 0.04898716861558271), ('work', 0.03932653525952228), ('office', 0.03790380921386912), ('remote', 0.03241734165001226), ('safe', 0.03191890153019698), ('keep', 0.027054098406362564), ('let robots', 0.024000666436226087), ('coronavirus concrete3dprinting', 0.024000666436226087), ('construction workers', 0.024000666436226087), ('exposure construction workers', 0.024000666436226087)]",positive,"['workers', 'work', 'office', 'remote', 'safe', 'keep', 'let robots', 'coronavirus concretedprinting', 'construction workers', 'exposure construction workers ']"
8,7,16,7_25_25 days_days_25 pushups 25,"[('25', 0.22599638318634907), ('25 days', 0.11269995534488483), ('days', 0.10228257671645707), ('25 pushups 25', 0.08821224073235849), ('25 pushups', 0.08821224073235849), ('pushups 25', 0.08821224073235849), ('pushups 25 days', 0.08821224073235849), ('pushups', 0.08821224073235849), ('raise awareness', 0.06484288182773616), ('disorder mental health', 0.06484288182773616)]",positive,"['', ' days', 'days', ' pushups', '', 'pushups', 'pushups', ' pushups', 'days', 'pushups', 'raise awareness', 'disorder mental health ']"
9,8,14,8_lord_pray_may_prayers,"[('lord', 0.046837419634033275), ('pray', 0.04296458435004474), ('may', 0.03533796824964004), ('prayers', 0.03052349564189032), ('health', 0.02801256966545636), ('would', 0.027789815541759726), ('pray preexisting health', 0.02389377722141251), ('get treatment kind', 0.02389377722141251), ('conditions need', 0.02389377722141251), ('thats going', 0.02389377722141251)]",positive,"['lord', 'pray', 'may', 'prayers', 'health', 'would', 'pray preexisting health', 'get treatment kind', 'conditions need', 'thats going ']"
10,9,14,9_finnish_companies solutions_healthcare companies solutions_healthcare companies,"[('finnish', 0.06265358693176265), ('companies solutions', 0.04635049338212974), ('healthcare companies solutions', 0.04635049338212974), ('healthcare companies', 0.04635049338212974), ('capital helsinki listed', 0.04635049338212974), ('health capital helsinki', 0.04635049338212974), ('finnish healthcare companies', 0.04635049338212974), ('helsinki listed finnish', 0.04635049338212974), ('solutions covid19', 0.04635049338212974), ('capital helsinki', 0.04635049338212974)]",positive,"['finnish', 'companies solutions', 'healthcare companies solutions', 'healthcare companies', 'capital helsinki listed', 'health capital helsinki', 'finnish healthcare companies', 'helsinki listed finnish', 'solutions covid', 'capital helsinki ']"
11,10,13,10_covid_medical_covid19_science clear,"[('covid', 0.04702624792494495), ('medical', 0.03663235189867889), ('covid19', 0.03335935565532495), ('science clear', 0.027048896093013933), ('diseases jumping', 0.027048896093013933), ('knowing fully well', 0.027048896093013933), ('destroying ecosystems expect', 0.027048896093013933), ('see steady stream', 0.027048896093013933), ('steady stream diseases', 0.027048896093013933), ('steady stream', 0.027048896093013933)]",positive,"['covid', 'medical', 'covid', 'science clear', 'diseases jumping', 'knowing fully well', 'destroying ecosystems expect', 'see steady stream', 'steady stream diseases', 'steady stream ']"
12,11,12,11_fantastic_home_event last night_night check,"[('fantastic', 0.07313975530536464), ('home', 0.05286400125595004), ('event last night', 0.04515589303722949), ('night check', 0.04515589303722949), ('together strong', 0.04515589303722949), ('global citizen event', 0.04515589303722949), ('thanks fantastic', 0.04515589303722949), ('together strong stay', 0.04515589303722949), ('give thanks', 0.04515589303722949), ('thanks fantastic frontline', 0.04515589303722949)]",positive,"['fantastic', 'home', 'event last night', 'night check', 'together strong', 'global citizen event', 'thanks fantastic', 'together strong stay', 'give thanks', 'thanks fantastic frontline ']"
