Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,7829,-1_good_birthday_good health_health,"[('good', 0.002460315809235578), ('birthday', 0.002427322142602633), ('good health', 0.002316842344993762), ('health', 0.0022868155911630406), ('happy birthday', 0.0021957247955423347), ('happy', 0.00212928816825329), ('life', 0.0021236990533202494), ('appreciate', 0.0020208738883541718), ('god', 0.0019909352519680134), ('blessings', 0.0017436645588815932)]",positive,"['good', 'birthday', 'good health', 'health', 'happy birthday', 'happy', 'life', 'appreciate', 'god', 'blessings ']"
1,0,1126,0_nurses_nurse_nursing_nurses week,"[('nurses', 0.014707526761136958), ('nurse', 0.011464371705965053), ('nursing', 0.010830113401628863), ('nurses week', 0.0070984045065352625), ('international nurses', 0.006892713998104884), ('international', 0.006155223520945088), ('week', 0.005538017742694531), ('happy international', 0.005346130868240559), ('happy international nurses', 0.005234173167378605), ('hospital', 0.004792984973388826)]",positive,"['nurses', 'nurse', 'nursing', 'nurses week', 'international nurses', 'international', 'week', 'happy international', 'happy international nurses', 'hospital ']"
2,1,684,1_birthday_happy birthday_good health_cheers,"[('birthday', 0.01424749153289974), ('happy birthday', 0.014179164376350303), ('good health', 0.011772731210520701), ('cheers', 0.010840820403010477), ('happy', 0.010066065404741911), ('blessings', 0.009837126724746171), ('good', 0.00937041023383741), ('wishing', 0.0075568164132974866), ('wealth', 0.007492922278473838), ('life good health', 0.007187121220272886)]",positive,"['birthday', 'happy birthday', 'good health', 'cheers', 'happy', 'blessings', 'good', 'wishing', 'wealth', 'life good health ']"
3,2,673,2_month_new_new month_happy new,"[('month', 0.016006042783332283), ('new', 0.01408405704673755), ('new month', 0.012683244305958345), ('happy new', 0.011983222658761885), ('workers day', 0.009725709251900229), ('happy new month', 0.009602241954013732), ('happy workers day', 0.007800138472521034), ('happy workers', 0.007786767187304875), ('year', 0.007289454214745014), ('workers', 0.007255264410911369)]",positive,"['month', 'new', 'new month', 'happy new', 'workers day', 'happy new month', 'happy workers day', 'happy workers', 'year', 'workers ']"
4,3,647,3_nigeria_lagos nigeria_lagos_nigeria happy birthday,"[('nigeria', 0.011887403483524768), ('lagos nigeria', 0.01003620712340769), ('lagos', 0.009212760647569087), ('nigeria happy birthday', 0.005552049286855338), ('nigeria happy', 0.005377743694780349), ('lagos nigeria happy', 0.0042287865479631315), ('birthday', 0.004189030656037268), ('stayhome', 0.004132025717129728), ('nigerians', 0.004019465882231491), ('happy birthday', 0.003928755274104347)]",positive,"['nigeria', 'lagos nigeria', 'lagos', 'nigeria happy birthday', 'nigeria happy', 'lagos nigeria happy', 'birthday', 'stayhome', 'nigerians', 'happy birthday ']"
5,4,449,4_mental_mental health_mentalhealth_stress,"[('mental', 0.02620365298825484), ('mental health', 0.024809805469037924), ('mentalhealth', 0.008131017007170428), ('stress', 0.0053033221989389106), ('help mental', 0.004756416934644392), ('help', 0.004677360424343005), ('help mental health', 0.004624505746316157), ('mental health nigeria', 0.004281804920082306), ('health', 0.0039448492500870885), ('health nigeria africans', 0.003933522622869746)]",positive,"['mental', 'mental health', 'mentalhealth', 'stress', 'help mental', 'help', 'help mental health', 'mental health nigeria', 'health', 'health nigeria africans ']"
6,5,293,5_allah_ya allah_may allah_ya,"[('allah', 0.025661303264928666), ('ya allah', 0.012609703058192753), ('may allah', 0.01242286004853285), ('ya', 0.011989001135314354), ('alhamdulillah', 0.011037272468118722), ('allahs', 0.009004514981312507), ('may', 0.008194788865443853), ('almighty allah', 0.007610698341951064), ('ameen', 0.00697959318036871), ('wealth', 0.0068796716351126695)]",positive,"['allah', 'ya allah', 'may allah', 'ya', 'alhamdulillah', 'allahs', 'may', 'almighty allah', 'ameen', 'wealth ']"
7,6,238,6_hand_wash_hands_wash hands,"[('hand', 0.01284127628397913), ('wash', 0.011416768413210446), ('hands', 0.010297642190467474), ('wash hands', 0.00944326755509656), ('hand sanitizers', 0.008573494426479426), ('sanitizers', 0.00785236694290273), ('spread covid19', 0.0051888979610736075), ('wash hands regularly', 0.005134258009795514), ('avoid', 0.005035890694943619), ('hand hygiene', 0.004995432491111342)]",positive,"['hand', 'wash', 'hands', 'wash hands', 'hand sanitizers', 'sanitizers', 'spread covid', 'wash hands regularly', 'avoid', 'hand hygiene ']"
8,7,188,7_really appreciate_appreciate thanks_appreciate appreciate_really,"[('really appreciate', 0.03587598784468935), ('appreciate thanks', 0.035469263078270225), ('appreciate appreciate', 0.02868314627561638), ('really', 0.027840015199906216), ('appreciate', 0.02592812857054839), ('thanks', 0.025866009973039318), ('appreciate thank', 0.01824891423976431), ('really appreciate thanks', 0.015269968785740334), ('appreciate thank much', 0.01489457343041814), ('thanks appreciate', 0.014411836502567617)]",positive,"['really appreciate', 'appreciate thanks', 'appreciate appreciate', 'really', 'appreciate', 'thanks', 'appreciate thank', 'really appreciate thanks', 'appreciate thank much', 'thanks appreciate ']"
9,8,176,8_child_young_outreach_donations,"[('child', 0.008672667918337046), ('young', 0.00782646682746371), ('outreach', 0.007806474530550745), ('donations', 0.007376838932154591), ('children', 0.007298701411291221), ('young people', 0.007116952364050083), ('givingtuesday', 0.00701638662115721), ('maternal', 0.007012319531658084), ('donate', 0.0064277117687823095), ('fundraising', 0.006278720380492388)]",positive,"['child', 'young', 'outreach', 'donations', 'children', 'young people', 'givingtuesday', 'maternal', 'donate', 'fundraising ']"
10,9,166,9_biodiversity_sanitation_climate_soil,"[('biodiversity', 0.008407234477191326), ('sanitation', 0.008332607516918484), ('climate', 0.007990576916018734), ('soil', 0.007785397806922513), ('farming', 0.006687414895783983), ('food', 0.006596186495170625), ('pollution', 0.006538960148926587), ('waste', 0.006356757794517681), ('water', 0.006293203854133367), ('tobacco', 0.006203503998692215)]",positive,"['biodiversity', 'sanitation', 'climate', 'soil', 'farming', 'food', 'pollution', 'waste', 'water', 'tobacco ']"
11,10,158,10_digestive_helps_benefits_health benefits,"[('digestive', 0.01022294993638025), ('helps', 0.010206118816857856), ('benefits', 0.009605353852830829), ('health benefits', 0.009353904259688012), ('immune', 0.00913844876345003), ('spices', 0.008278599429852715), ('immune system', 0.008237380548303839), ('immunity', 0.008181478860378563), ('eating', 0.007816808539121353), ('healthy', 0.007486516400142729)]",positive,"['digestive', 'helps', 'benefits', 'health benefits', 'immune', 'spices', 'immune system', 'immunity', 'eating', 'healthy ']"
12,11,154,11_jesus_divine_divine health_confessions,"[('jesus', 0.015367791507203448), ('divine', 0.01266718655816388), ('divine health', 0.011168318664805802), ('confessions', 0.010408536053280647), ('health confessions', 0.010408536053280647), ('name', 0.009968318722707183), ('glory', 0.009862497106712824), ('divine health confessions', 0.009630131368526543), ('word', 0.009538022904642679), ('jesus name', 0.009379244101099056)]",positive,"['jesus', 'divine', 'divine health', 'confessions', 'health confessions', 'name', 'glory', 'divine health confessions', 'word', 'jesus name ']"
