Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,113,-1_health_thank_stayhome_taiwan,"[('health', 0.014667140570466964), ('thank', 0.010027487276915006), ('stayhome', 0.009617149030686344), ('taiwan', 0.009531588993001558), ('single', 0.009202299887276609), ('beijing', 0.009086209770670468), ('covid19', 0.00904253466656542), ('safe', 0.008940726268814685), ('get', 0.00868464594328031), ('appreciate', 0.008605031894010285)]",positive,"['health', 'thank', 'stayhome', 'taiwan', 'single', 'beijing', 'covid', 'safe', 'get', 'appreciate ']"
1,0,97,0_thank_health_always_good,"[('thank', 0.02576110724964722), ('health', 0.025098133077491206), ('always', 0.021163586679427433), ('good', 0.018800916906845672), ('really', 0.018353300510681), ('appreciate', 0.018030327619643852), ('love', 0.01779784760201724), ('happy', 0.016450802293489965), ('care', 0.015220413176439395), ('us', 0.015024900771260277)]",positive,"['thank', 'health', 'always', 'good', 'really', 'appreciate', 'love', 'happy', 'care', 'us ']"
2,1,55,1_taiwan_health_taiwancanhelp_thank,"[('taiwan', 0.050372333967551086), ('health', 0.02153127364490173), ('taiwancanhelp', 0.019048726821417557), ('thank', 0.018432363972379705), ('help', 0.016430194086803126), ('taiwans', 0.015414818745773894), ('world', 0.014481548862754932), ('public', 0.012654640302757042), ('right', 0.011832347261339735), ('taiwan help', 0.01169375452754411)]",positive,"['taiwan', 'health', 'taiwancanhelp', 'thank', 'help', 'taiwans', 'world', 'public', 'right', 'taiwan help ']"
3,2,40,2_covid19_covid19 pandemic_pandemic_taiwanese,"[('covid19', 0.05050300567059931), ('covid19 pandemic', 0.03336481212523087), ('pandemic', 0.030071542989213086), ('taiwanese', 0.02172088095995412), ('medical', 0.020196752503856035), ('recent', 0.019143849813072853), ('cases', 0.01909508633969526), ('taiwan', 0.016266066177021705), ('taiwancanhelp', 0.015920627073782813), ('coronavirus', 0.015611185597638933)]",positive,"['covid', 'covid pandemic', 'pandemic', 'taiwanese', 'medical', 'recent', 'cases', 'taiwan', 'taiwancanhelp', 'coronavirus ']"
4,3,34,3_covid19_heart_amp_workersstay strong get,"[('covid19', 0.027362475029996662), ('heart', 0.025525427068279163), ('amp', 0.024563047311239962), ('workersstay strong get', 0.02335995504668862), ('workersstay strong', 0.02335995504668862), ('patients frontline', 0.02335995504668862), ('heart pray covid19', 0.02335995504668862), ('covid19 patients frontline', 0.02335995504668862), ('healthheroes', 0.02335995504668862), ('strong get together', 0.02335995504668862)]",positive,"['covid', 'heart', 'amp', 'workersstay strong get', 'workersstay strong', 'patients frontline', 'heart pray covid', 'covid patients frontline', 'healthheroes', 'strong get together ']"
5,4,26,4_masks_medical_us eu advanced_advanced rapid,"[('masks', 0.059415243481487495), ('medical', 0.04343109658429202), ('us eu advanced', 0.03527528501074048), ('advanced rapid', 0.03527528501074048), ('advanced', 0.03527528501074048), ('world worked together', 0.03527528501074048), ('advanced rapid tests', 0.03527528501074048), ('world worked', 0.03527528501074048), ('vaccines covid19', 0.03527528501074048), ('worked together us', 0.03527528501074048)]",positive,"['masks', 'medical', 'us eu advanced', 'advanced rapid', 'advanced', 'world worked together', 'advanced rapid tests', 'world worked', 'vaccines covid', 'worked together us ']"
6,5,22,5_kids_school_coronavirus_hope,"[('kids', 0.04085287712070319), ('school', 0.031637974348380095), ('coronavirus', 0.031418738309713576), ('hope', 0.02565741809079849), ('people', 0.02406706387721377), ('epidemic outbreak fighting', 0.02351383307493888), ('coronavirus coronavirustaiwan', 0.02351383307493888), ('school starts', 0.02351383307493888), ('tomorrow', 0.02351383307493888), ('coronavirus coronavirustaiwan parenting', 0.02351383307493888)]",positive,"['kids', 'school', 'coronavirus', 'hope', 'people', 'epidemic outbreak fighting', 'coronavirus coronavirustaiwan', 'school starts', 'tomorrow', 'coronavirus coronavirustaiwan parenting ']"
7,6,21,6_quarantine_taiwan_medical quarantine_unnecessary,"[('quarantine', 0.06544030269038702), ('taiwan', 0.03719803123757619), ('medical quarantine', 0.035706531783524044), ('unnecessary', 0.03269246638234192), ('americans', 0.024739119661970434), ('covid19 taiwan', 0.023987188774449456), ('virus', 0.023362412866628383), ('prevent', 0.022316582364702527), ('people', 0.022156031509792326), ('coronavirustaiwan', 0.021882931148102035)]",positive,"['quarantine', 'taiwan', 'medical quarantine', 'unnecessary', 'americans', 'covid taiwan', 'virus', 'prevent', 'people', 'coronavirustaiwan ']"
8,7,20,7_fight covid19_fight_covid19_medical,"[('fight covid19', 0.04866645464217637), ('fight', 0.0459457687229025), ('covid19', 0.04186458679589489), ('medical', 0.04136294912789716), ('taiwan', 0.03331290353054045), ('hospital', 0.031026402334383488), ('taiwancanhelp', 0.02858269463220436), ('ongoing', 0.023954466292344934), ('well', 0.023954466292344934), ('world', 0.023942827453088157)]",positive,"['fight covid', 'fight', 'covid', 'medical', 'taiwan', 'hospital', 'taiwancanhelp', 'ongoing', 'well', 'world ']"
9,8,17,8_nurses_need say thank_ones appreciate_say thank sane,"[('nurses', 0.044328338184866325), ('need say thank', 0.04003961937258668), ('ones appreciate', 0.04003961937258668), ('say thank sane', 0.04003961937258668), ('doctor nurses appreciation', 0.04003961937258668), ('say thank', 0.04003961937258668), ('sane ones appreciate', 0.04003961937258668), ('us stay', 0.04003961937258668), ('sane ones', 0.04003961937258668), ('sane', 0.04003961937258668)]",positive,"['nurses', 'need say thank', 'ones appreciate', 'say thank sane', 'doctor nurses appreciation', 'say thank', 'sane ones appreciate', 'us stay', 'sane ones', 'sane ']"
10,9,15,9_amp_eswatini_taiwan amp_minister,"[('amp', 0.09071245290002287), ('eswatini', 0.03882122025744656), ('taiwan amp', 0.038066854328137216), ('minister', 0.037384791149305374), ('yes', 0.035354505429209725), ('yes taiwancanhelp', 0.03516792879828767), ('taiwancanhelp', 0.0346526140624913), ('donation', 0.032437838171584056), ('amb', 0.031594877582934756), ('yes taiwancanhelp taiwan', 0.031594877582934756)]",positive,"['amp', 'eswatini', 'taiwan amp', 'minister', 'yes', 'yes taiwancanhelp', 'taiwancanhelp', 'donation', 'amb', 'yes taiwancanhelp taiwan ']"
11,10,13,10_countries_masks_central_swift delivery medical,"[('countries', 0.051370814613072094), ('masks', 0.04061192309055878), ('central', 0.03748069632997776), ('swift delivery medical', 0.03748069632997776), ('euintaiwan risceu', 0.03748069632997776), ('coronavirus announcement second', 0.03748069632997776), ('countries hit hardest', 0.03748069632997776), ('covid19 euintaiwan', 0.03748069632997776), ('swift delivery', 0.03748069632997776), ('countries hit', 0.03748069632997776)]",positive,"['countries', 'masks', 'central', 'swift delivery medical', 'euintaiwan risceu', 'coronavirus announcement second', 'countries hit hardest', 'covid euintaiwan', 'swift delivery', 'countries hit ']"
