,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,5149,-1_health_people_message_travel,"[('health', 0.008228866154929078), ('people', 0.006539768472204643), ('message', 0.00653026295168494), ('travel', 0.006171915515213351), ('amp', 0.00570953282312798), ('holiday', 0.0049971326070774), ('get', 0.004907759670226166), ('covid19', 0.004739881978743127), ('lockdown', 0.0044417842434731885), ('covid', 0.004192995103939076)]",negative
1,0,663,0_travel_vaccine_health_covid,"[('travel', 0.014647089714793116), ('vaccine', 0.012718709446638441), ('health', 0.010514082796705492), ('covid', 0.010165530440023402), ('covid19', 0.007290583743087846), ('vaccination', 0.007144776427891219), ('people', 0.006885361560399114), ('passport', 0.006873877947511554), ('coronavirus', 0.006821217403605365), ('get', 0.0059272334478659)]",negative
2,1,473,1_nurses_bonus_pay_workers,"[('nurses', 0.022339297914556938), ('bonus', 0.022091227699494818), ('pay', 0.01880867447099165), ('workers', 0.014225291322188999), ('reward', 0.012633534358744508), ('pay rise', 0.01025958891663455), ('rise', 0.010217138468079404), ('nhs', 0.00936477862499585), ('nurse', 0.00876666468922624), ('500', 0.00817980497470403)]",negative
3,2,463,2_mental_mental health_health_message,"[('mental', 0.030797502906778275), ('mental health', 0.030028658085311497), ('health', 0.02031095832291962), ('message', 0.011309271162531115), ('lockdown', 0.010010437599182931), ('messages', 0.00878656399495892), ('people', 0.006945528506766313), ('talk', 0.006060199169737318), ('amp', 0.005586441664669791), ('im', 0.005564555371671185)]",negative
4,3,461,3_voucher_vouchers_refund_cancelled,"[('voucher', 0.02965849873167907), ('vouchers', 0.022127559027631534), ('refund', 0.019702599306095993), ('cancelled', 0.011760347636956296), ('flight', 0.009475189177638014), ('code', 0.008994505348075839), ('get', 0.00799181102485873), ('food', 0.007740579398204392), ('flights', 0.007483723919784605), ('voucher code', 0.006909727547908698)]",negative
5,4,234,4_public health_public_health_health message,"[('public health', 0.02690204235751256), ('public', 0.025774557843775716), ('health', 0.022879601017241482), ('health message', 0.020871426215561175), ('scotland', 0.02024549996404233), ('message', 0.018267973450058938), ('public health message', 0.01743576991699135), ('messages', 0.013117518973322804), ('health messages', 0.0109063791992975), ('scottish', 0.009863326873933558)]",negative
6,5,203,5_bank_bank holiday_holiday_closed,"[('bank', 0.03187265771527429), ('bank holiday', 0.024967409712267782), ('holiday', 0.022567141391297323), ('closed', 0.013910732014897032), ('holidays', 0.013350561910071645), ('bank holidays', 0.012071209501458461), ('june', 0.011278971903970566), ('nurse', 0.011102914996890752), ('work', 0.010631103237869415), ('hospital', 0.010487161123741843)]",negative
7,6,186,6_mask_wear_masks_wearing,"[('mask', 0.04174239578542349), ('wear', 0.020898711747659476), ('masks', 0.02027046689478994), ('wearing', 0.0194860523617108), ('wear mask', 0.013969538966408675), ('people', 0.013180974564607548), ('lockdown', 0.012990082523365101), ('facemask', 0.011704338562035536), ('travel', 0.009707365091682024), ('mask wearing', 0.009547442310826782)]",negative
8,7,160,7_amp_health_message_health amp,"[('amp', 0.04812744473693816), ('health', 0.01054824145776939), ('message', 0.008273462147344484), ('health amp', 0.005992489907357719), ('weeks', 0.00517667297144206), ('im', 0.005049563432247006), ('safety', 0.004846544215102201), ('travel', 0.004834022968539), ('get', 0.004465871035092896), ('lockdown', 0.004371971573189651)]",negative
9,8,102,8_key_worker_key worker_home,"[('key', 0.04498887112654201), ('worker', 0.0412127171298812), ('key worker', 0.03966922193445765), ('home', 0.023277198819713463), ('work', 0.020152555492089507), ('essential', 0.015990993389515883), ('travel', 0.013680628913141708), ('classed', 0.013078421314844326), ('workers', 0.01293961153541906), ('harrogate', 0.012567597491374781)]",negative
